"","logFC","logCPM","F","PValue","FDR","locus_tag"
"gpmI",-2.42912833872835,8.73515508210582,1646.19371310614,1.35712183278516e-36,6.15997599901185e-33,"ECP_3713"
"acpP",-2.2847004224482,12.2683275614301,1043.68809258832,2.30027337308203e-32,5.22047042020966e-29,"ECP_1086"
"fabF",-1.76559878448205,11.3215476046799,945.000103791395,1.88166040578909e-31,2.84695219395889e-28,"ECP_1087"
"ECP_1124",1.16881510910981,8.8251701899146,479.760303259581,2.38266750661778e-25,2.70373195313453e-22,"ECP_1124"
"ECP_1125",1.1729337945573,8.93894181483331,350.143474829562,1.28438824802492e-22,1.16596765155703e-19,"ECP_1125"
"ECP_1085",-1.20832355185022,10.3091879418002,307.343360619077,1.63549072791319e-21,1.23724873566633e-18,"ECP_1085"
"ECP_3542",-2.16810516456383,5.4282878116697,286.188459076822,6.46752947957487e-21,4.1937309011129e-18,"ECP_3542"
"fabR",0.975478625081176,8.83651686649053,261.341627236327,3.65689727278361e-20,2.0748320901456e-17,"ECP_4180"
"ECP_1552",1.20582975740012,8.29064053807111,248.578259028089,9.41558721318742e-20,4.74859448451752e-17,"ECP_1552"
"ECP_0855",0.874654121158671,8.05676602185962,240.01688033438,1.81788431457689e-19,8.25137690386449e-17,"ECP_0855"
"mgtA",0.883596145530837,10.686033629164,229.578663073924,4.16730977160223e-19,1.71958355030023e-16,"ECP_4492"
"ECP_4356",1.47604180896379,7.47046671131647,233.347611537421,8.0062421588877e-19,3.02836109659927e-16,"ECP_4356"
"yffB",0.933249211656386,8.13050114701201,211.970648160826,1.82018614555327e-18,6.35524993435868e-16,"ECP_2484"
"pagP",1.41165343116354,5.81500051012686,209.702402899337,2.21714293180058e-18,7.18829411960203e-16,"ECP_0653"
"ECP_1481",0.987072463809703,9.77335967270632,202.311867069974,4.26965209045109e-18,1.2919967225705e-15,"ECP_1481"
"dapE",0.758745329767195,9.32299340708015,200.675842785418,4.94940452781424e-18,1.3214910089264e-15,"ECP_2485"
"ECP_3282",0.744091008499687,8.84030591058028,201.31433428966,4.67155946725869e-18,1.3214910089264e-15,"ECP_3282"
"yihD",-1.4299694828334,6.74466676781888,198.432156419321,6.07084255251369e-18,1.53086413032554e-15,"ECP_4068"
"speG",1.0126805860622,8.06351551889942,195.984274926128,7.60261803823787e-18,1.81622543555588e-15,"ECP_1532"
"ECP_0304",-1.47108007609722,5.56914015961932,184.24585972304,2.31156658815141e-17,5.24610037180962e-15,"ECP_0304"
"ECP_1553",1.14585458689117,7.60388621505003,173.343847997309,6.84469388238954e-17,1.47943169200791e-14,"ECP_1553"
"ECP_0852",-1.20938393501176,5.3505461441751,170.809479453818,8.87885665743957e-17,1.83186956218719e-14,"ECP_0852"
"folA",0.741255838143547,8.39875084547107,167.822025194828,1.21142832373082e-16,2.39072746148443e-14,"ECP_0048"
"ECP_3543",-1.47244893200402,4.96440584329188,167.081445453474,1.30931838732018e-16,2.47624840001929e-14,"ECP_3543"
"ECP_2500",-0.980751463491718,9.1596899931932,166.06815986899,1.45684489548554e-16,2.64504759224355e-14,"ECP_2500"
"bglA",0.821738188632797,9.01211063138183,161.706370375058,2.32066957350276e-16,4.05135353620348e-14,"ECP_2895"
"ynfB",1.01823372993065,8.05631107545013,158.313610115834,3.35659209718863e-16,5.64280427005156e-14,"ECP_1531"
"ycbB",-1.10321503822986,6.69502248668721,153.961928281759,5.43869512071845e-16,8.81651326890751e-14,"ECP_0936"
"ECP_0689",0.784655904469119,8.30872072766922,151.085023899626,7.52700551367736e-16,1.17810613884764e-13,"ECP_0689"
"arnB",1.43149193859167,8.16289591157178,175.516234638367,9.00803590533341e-16,1.36291583247694e-13,"ECP_2296"
"ECP_0940",-1.82720567369736,8.00915050057241,188.549609051032,1.32380332386648e-15,1.9383042861387e-13,"ECP_0940"
"ECP_0356",1.11710806801657,6.08861137582547,144.700376470873,1.57565360521214e-15,2.23496616064309e-13,"ECP_0356"
"ECP_3279",0.823488302665964,8.6355145678679,140.95152094988,2.46027065527015e-15,3.38399045583977e-13,"ECP_3279"
"tqsA",1.69672635069376,4.76595712812534,136.531364151408,4.21019831154129e-15,5.62061474590762e-13,"ECP_1545"
"slyB",0.771418195108189,10.8414724424507,133.886064981668,5.84394675258978e-15,7.57876408857286e-13,"ECP_1587"
