"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_2453",2.89919980961791,7.17454583067973,914.20171398086,8.49422301554987e-31,3.85552782675809e-27,"ECP_2453"
"ECP_2574",2.32147437778597,8.68979264133665,817.052277754722,4.01936153763464e-30,9.12194100966182e-27,"ECP_2574"
"ECP_2258",-2.17808472700924,12.1138432462173,798.240602637647,6.54901174723854e-30,9.90865477357191e-27,"ECP_2258"
"ECP_2575",2.73593413881246,9.12730855874492,803.893212969735,1.27283943627889e-28,1.44435455031747e-25,"ECP_2575"
"cca",1.51246794658976,7.19137380090485,604.7712947196,2.09688621763387e-27,1.90355330836803e-24,"ECP_3146"
"ECP_3648",2.52174691875121,5.89974825423638,589.519020519556,3.54812129586581e-27,2.68415376032249e-24,"ECP_3648"
"ECP_0940",-4.6289715201231,8.00915050057241,863.275271638456,3.8893667817142e-26,2.4153083608277e-23,"ECP_0940"
"ECP_3502",2.4457512198049,5.28983803869409,522.180816397415,4.25698763750201e-26,2.4153083608277e-23,"ECP_3502"
"ECP_2952",1.56291351204818,8.14650420656132,509.217424302404,7.10469801109644e-26,3.58313603026297e-23,"ECP_2952"
"ECP_3627",1.57884564967894,8.1750001733835,496.728898960895,1.17715801856495e-25,5.34312024626629e-23,"ECP_3627"
"ECP_3336",1.46084969950929,7.10641249431468,491.624667632576,1.45186256459559e-25,5.99091289154491e-23,"ECP_3336"
"marA",1.96029855321405,9.4291172044932,464.753937104114,1.09131220363418e-24,4.12788841024629e-22,"ECP_1514"
"ECP_3437",2.08988559817237,10.7928347726759,468.269163156746,1.67738585468775e-24,5.85665722648284e-22,"ECP_3437"
"rseP",1.5996772713935,9.27002503144592,427.37790908504,2.4505317463815e-24,7.94497399773258e-22,"ECP_0184"
"bepA",1.55206828394989,7.38871535265886,412.558850032561,4.96747273733603e-24,1.50315725031788e-21,"ECP_2496"
"ECP_4258",1.17356677676101,7.8521069959838,390.141955229406,1.5130707561302e-23,4.29239260129686e-21,"ECP_4258"
"ECP_2833",1.62830268818998,7.5366891927995,373.960309049038,3.50636164680776e-23,9.36198559697673e-21,"ECP_2833"
"bamA",1.57288223619238,10.6456422205022,350.087197794381,1.28845331450576e-22,3.24904977474535e-20,"ECP_0185"
"bamD",0.986401271537311,8.60621552114655,339.268317384998,2.38569315919217e-22,5.69929539451224e-20,"ECP_2598"
"ECP_2497",1.58869910437411,6.59208802881657,313.484774257233,1.11443261684206e-21,2.52920482392305e-19,"ECP_2497"
"ygiM",3.65420508714328,8.04871886638643,482.281212800744,6.32869420643877e-21,1.36790204776312e-18,"ECP_3145"
"ECP_1157",-2.02616484957246,8.22387032830433,329.479789648896,1.21267767700352e-20,2.50197453450862e-18,"ECP_1157"
"ECP_2517",1.14260282010074,8.73400408879293,273.470305568552,1.54336482070245e-20,2.91888871715351e-18,"ECP_2517"
"ECP_2573",1.17513529147872,7.3811550942069,273.677686181053,1.52120745574306e-20,2.91888871715351e-18,"ECP_2573"
"degP",5.30235891150286,10.81753716706,460.275751266242,2.47646470605675e-20,4.49626932031664e-18,"ECP_0171"
"skp",1.00102865438651,9.14076380961952,257.004222410183,5.02028121198052e-20,8.43965052636281e-18,"ECP_0186"
"yidQ",1.98615251725025,5.85392698344171,277.49733560625,4.98142339054969e-20,8.43965052636281e-18,"ECP_3889"
"yfeK",3.30022156698878,3.29021294553462,250.546140499218,8.11633995214023e-20,1.31571668009873e-17,"ECP_2443"
"cysB",-1.13664838466119,6.35401158509198,246.924175805922,1.06755237558092e-19,1.67090352853855e-17,"ECP_1326"
"yraP",1.1227044975667,6.91351279082085,244.239380508175,1.31094343138289e-19,1.98345741168232e-17,"ECP_3238"
"ECP_0055",1.03478455877405,7.61826362950773,240.766110693159,1.71482271081597e-19,2.51083234980441e-17,"ECP_0055"
"fabR",0.943102312340277,8.83651686649053,240.302168867897,1.77789789045559e-19,2.5218370389931e-17,"ECP_4180"
"ECP_4259",0.945293731172848,8.04163475889097,237.719867077409,2.1761880897108e-19,2.99324779975677e-17,"ECP_4259"
"ECP_0609",0.955873294892287,9.24808879376427,223.460468513714,6.87872230964457e-19,9.1830942833755e-17,"ECP_0609"
"ECP_2491",1.02180326680174,8.99338536398268,219.065196548129,9.93063104797326e-19,1.2878609807643e-16,"ECP_2491"
"yhbW",1.72627182825618,6.12057964173869,224.281620072179,1.12611480695394e-18,1.41984308576775e-16,"ECP_3248"
"ECP_0470",-1.13289308661836,7.38880360975278,213.677124909583,1.57093709829435e-18,1.92715769977245e-16,"ECP_0470"
"ECP_1481",1.00788216588161,9.77335967270632,207.501583024609,2.68945094971373e-18,3.21247838440805e-16,"ECP_1481"
"yijD",0.922593994669637,7.13827377803701,203.167174410996,3.95384751790865e-18,4.60167022661215e-16,"ECP_4181"
"ECP_3045",-1.4731032108738,6.04812928944233,196.531069627125,7.22852477531119e-18,8.20256848878438e-16,"ECP_3045"
"ECP_0056",0.992932713419061,8.40062292853563,186.846883187979,1.79793980576865e-17,1.99045092155705e-15,"ECP_0056"
"ECP_2518",1.05519611576502,7.97503185665509,181.702959106981,2.96356710466552e-17,3.20276930668495e-15,"ECP_2518"
"ECP_1796",0.785475151404885,10.0488312126303,179.246732554557,3.77756809624849e-17,3.98753060206323e-15,"ECP_1796"
"yaiW",1.31409217871535,6.25543527421415,178.210701020673,4.1881183774197e-17,4.32042484434274e-15,"ECP_0437"
"ECP_1552",1.0292658526657,8.29064053807111,176.879932538575,4.78499812692954e-17,4.82646811069626e-15,"ECP_1552"
"ECP_3046",-1.40947005190341,6.78086503879054,180.112178410778,5.39466551193245e-17,5.32312755623074e-15,"ECP_3046"
"sbmA",2.46586884881237,6.29212537713495,240.072754615135,5.85348135707257e-17,5.6529684850537e-15,"ECP_0436"
"yieF",1.54015461091095,5.28795634453187,172.170037112391,7.71838524294444e-17,7.29869804535934e-15,"ECP_3913"
"yhcN",1.85967879814388,10.8140613721812,214.878457581907,1.4479315547481e-16,1.3412574136738e-14,"ECP_3322"
"ECP_2562",0.981692855711408,6.20654348305249,165.557130345947,1.53774219301378e-16,1.39596236281791e-14,"ECP_2562"
"cdaR",2.3361810196662,5.54141490067448,207.063621494564,1.83156554424383e-16,1.630093334377e-14,"ECP_0172"
"yeiR",1.23299664591285,7.44032550246681,166.78687969906,2.11681841357554e-16,1.84773822677295e-14,"ECP_2214"
"gshB",0.913899919535916,8.52066989446979,159.421201576363,2.97355985489865e-16,2.54660154365754e-14,"ECP_2941"
"marR",1.97071178215398,8.2745135532401,214.25390486433,3.30761136908436e-16,2.78023111190258e-14,"ECP_1513"
"ECP_3237",0.777676731523569,6.84619982850626,156.753783029038,3.98565944640728e-16,3.27339438151613e-14,"ECP_3237"
"ECP_3503",1.48059847274906,5.28067375901615,156.634561228534,4.03855662844025e-16,3.27339438151613e-14,"ECP_3503"
"ompD",-2.300214479569,7.33604815330164,208.438704787321,6.49642001208165e-16,5.17320183067344e-14,"ECP_1867"
"ECP_2280",1.31546565524615,6.51895432354925,157.501770254194,7.20505272140292e-16,5.63857487973239e-14,"ECP_2280"
"ECP_0962",-0.878218325306296,13.520686925267,151.145926696574,7.47503049317956e-16,5.75070566246475e-14,"ECP_0962"
"ECP_3049",-1.02318618920655,6.48025729442653,149.719728820333,8.79695324469161e-16,6.65489512960921e-14,"ECP_3049"
"ECP_2452",0.796882487393009,8.254534104847,148.594625545134,1.00113481726349e-15,7.44942776321146e-14,"ECP_2452"
"yieE",1.45394682835885,5.68509850777479,147.920167354371,1.08222420696744e-15,7.92292850875034e-14,"ECP_3912"
"ECP_1819",2.32044710815603,7.03851222505996,206.053577583694,1.18000009902251e-15,8.50161976105269e-14,"ECP_1819"
"ECP_1286",1.98024153937543,3.91850734046278,146.156840902667,1.32836850581165e-15,9.42103851231108e-14,"ECP_1286"
"ECP_2832",0.785491388081128,7.51925239698546,142.50245537868,2.04383563613177e-15,1.4272261465234e-13,"ECP_2832"
"tolC",0.911394191046632,10.860721171125,133.846248618265,5.8730804104882e-15,4.03907757321302e-13,"ECP_3127"
"ECP_1553",1.01657159161016,7.60388621505003,133.454660902577,6.16782780645504e-15,4.17847319604469e-13,"ECP_1553"
"ECP_3554",0.986204744777319,9.16949175901798,133.043908857267,6.49367005477209e-15,4.33452476156037e-13,"ECP_3554"
"ECP_0823",0.703399605558408,7.28349291610252,131.488335336443,7.90022903267141e-15,5.19697675062254e-13,"ECP_0823"
"ECP_1124",0.622167232500326,8.8251701899146,131.314127040919,8.07649459194329e-15,5.23702985040437e-13,"ECP_1124"
"ECP_2886",0.741947750405431,7.00683056967849,130.937820154025,8.47142413002205e-15,5.41574565157325e-13,"ECP_2886"
"ECP_0596",-1.23550377594182,5.63571043290274,130.755920015944,8.66951448175259e-15,5.46540642120486e-13,"ECP_0596"
"ECP_4133",1.00280426455936,7.08017604002907,129.751606190458,9.85392634384489e-15,6.12698242119342e-13,"ECP_4133"
"arnB",1.34139001772754,8.16289591157178,149.647544139088,1.04948611993731e-14,6.43732094377761e-13,"ECP_2296"
"ECP_3928",-0.943570972614922,11.2016180779906,127.938934618581,1.24397863955488e-14,7.52855872658616e-13,"ECP_3928"
"ECP_1749",0.830157642918531,6.60577521173463,122.884982269064,2.41418131359811e-14,1.44183802400287e-12,"ECP_1749"
"nfsA",1.31941020369067,8.5767978118754,143.364818885554,2.74554290057547e-14,1.61844405528728e-12,"ECP_0865"
"ydcL",1.11303308678438,6.66181266473803,123.356571124696,3.01789400900038e-14,1.75618216754522e-12,"ECP_1435"
"ECP_0156",0.853312909264651,7.08191608335324,120.365451072532,3.38554520537949e-14,1.94518856800222e-12,"ECP_0156"
"ECP_0524",1.45794400790717,9.85678603344,145.447580228858,3.8222576449519e-14,2.16865343130458e-12,"ECP_0524"
"ECP_3282",0.579917880824946,8.84030591058028,119.029328656985,4.05913498942454e-14,2.27461897740716e-12,"ECP_3282"
"ECP_3044",-1.1321856914585,4.72182487889538,117.740286106317,4.8426386438271e-14,2.68057765906478e-12,"ECP_3044"
"ECP_2492",0.581528834414394,9.51885468702427,117.492451523419,5.01059600925976e-14,2.7401319621723e-12,"ECP_2492"
"ECP_3334",0.564316670418834,9.35140235486114,115.945441902906,6.2064060753937e-14,3.35367585431095e-12,"ECP_3334"
"yffB",0.699213796763153,8.13050114701201,115.659087268747,6.45870008302296e-14,3.44894584433426e-12,"ECP_2484"
"ECP_2516",0.911993166877491,9.55804470392127,113.735363507745,8.45703920287613e-14,4.4635466211459e-12,"ECP_2516"
"lpxD",0.573674542963986,10.3086511448853,111.269122752549,1.20070394114034e-13,6.26436228601841e-12,"ECP_0187"
"speG",0.771579456377561,8.06351551889942,110.919109478476,1.26251536653924e-13,6.51199687354729e-12,"ECP_1532"
"marB",1.93550515105003,6.55450675621725,140.721151512066,1.78335005441959e-13,9.09508527753993e-12,"ECP_1515"
"ECP_0357",1.39309199037996,5.62800868725289,109.14535545542,2.25299207821357e-13,1.13625900477904e-11,"ECP_0357"
"ECP_0667",-0.663171074413163,7.51288663536229,106.841030624726,2.28546931895725e-13,1.13997200425791e-11,"ECP_0667"
"arnA",1.61652896381876,7.22796790278171,132.201012613038,2.44480683170611e-13,1.20619328359935e-11,"ECP_2298"
"ECP_0522",0.796708352211427,7.53773001102473,105.843534809571,2.64905176431572e-13,1.27915382534352e-11,"ECP_0522"
"ybjC",1.50024604183202,6.84251777661669,127.860713094182,2.62485642315898e-13,1.27915382534352e-11,"ECP_0864"
"pal",-0.688667632592074,9.66445987982052,105.097747822508,2.96011963439996e-13,1.41431400216225e-11,"ECP_0752"
"ECP_0855",0.579636832315306,8.05676602185962,102.501039445304,4.37646668244663e-13,2.0692481532943e-11,"ECP_0855"
"ECP_1417",1.5043791715088,7.20377003657601,124.155448629106,5.41017069567176e-13,2.53162523584063e-11,"ECP_1417"
"ECP_2885",0.638327205225966,7.79287925208585,100.948185130803,5.54798427706901e-13,2.56962251363431e-11,"ECP_2885"
"cpxP",2.37885010602947,8.87030572286694,136.053866458579,5.73383463915494e-13,2.62887630577013e-11,"ECP_4123"
"ECP_3118",1.19892444058127,5.87729228094197,103.126966481748,5.81138983055036e-13,2.63778984408681e-11,"ECP_3118"
"ECP_0816",2.35697683392543,7.60714145259403,134.228224139269,6.69179899085948e-13,2.98636355418924e-11,"ECP_0816"
"ECP_2831",0.850729336776494,5.9619538008737,99.6900870473288,6.73621350873722e-13,2.98636355418924e-11,"ECP_2831"
"sodA",0.931657074829097,11.9366548505511,99.6513942219119,6.77672276011217e-13,2.98636355418924e-11,"ECP_4118"
"ECP_0011",-1.09274576389323,7.19675965268085,104.685522579708,7.24738989207395e-13,3.16306756924266e-11,"ECP_0011"
"ECP_1452",1.33598101411594,7.84699249831263,118.261931580964,7.64736179628689e-13,3.30584525650916e-11,"ECP_1452"
"arnT",1.37501687907539,5.70325514333161,103.902060296223,7.98296805296151e-13,3.41836716909361e-11,"ECP_2300"
"ECP_2887",0.669859571892883,7.00454394623191,96.5510811213518,1.10153947273999e-12,4.6727922119316e-11,"ECP_2887"
"ECP_2295",1.47392857406079,6.0413994037696,110.328789981947,1.11388570984425e-12,4.68141410831764e-11,"ECP_2295"
"ECP_2378",0.737167892114327,7.65911665101429,95.8894435887182,1.22358800813998e-12,5.09528987976822e-11,"ECP_2378"
"ECP_3047",-1.24232505627237,5.85343327862268,99.7274955220405,1.27730582016454e-12,5.27062828884258e-11,"ECP_3047"
"yhaK",1.85824365480514,4.56292333570788,104.394483143265,1.37723033329933e-12,5.63175538995105e-11,"ECP_3201"
"lptA",0.637677160387607,7.76050754002399,94.1472881652969,1.61752358622795e-12,6.55530317668632e-11,"ECP_3288"
"slyB",0.652029093726413,10.8414724424507,93.7403182266603,1.72738765989609e-12,6.93859521085697e-11,"ECP_1587"
"ECP_0523",1.38102980873371,11.2959135475793,112.26637200307,1.7745060265782e-12,7.06533583740213e-11,"ECP_0523"
"yqjF",1.86554858833409,4.09699382879506,96.6076306635528,2.04510198895377e-12,8.04282225596849e-11,"ECP_3197"
"ECP_4356",0.969784741019182,7.47046671131647,95.5040224576088,2.05544697442684e-12,8.04282225596849e-11,"ECP_4356"
"ycgZ",1.03036374490258,6.66868550885119,93.5770264702975,3.15008606459953e-12,1.22207185018951e-10,"ECP_1201"
"ECP_3119",1.02835406304873,5.8818215222685,89.803143855614,3.29598183486283e-12,1.26783572444427e-10,"ECP_3119"
"ygiC",0.653473441631216,8.39687392508892,89.7485142327123,3.32611121148622e-12,1.26867384780974e-10,"ECP_3129"
"bglA",0.615484517573389,9.01211063138183,88.4036372832295,4.16625667200776e-12,1.57588658618694e-10,"ECP_2895"
"pheP",-0.712513777238893,7.11586617068982,87.4040877956447,4.93282290894626e-12,1.85042009782703e-10,"ECP_0607"
"ECP_4787",-0.924720195501783,8.65424055625368,89.6081449396628,6.09278021798295e-12,2.26681388601841e-10,"ECP_4787"
"ECP_3048",-1.40666292544783,5.97601260570935,96.7528472622013,6.8138968825075e-12,2.51449414225216e-10,"ECP_3048"
"yagU",-1.94901689985202,6.58621381919091,106.67841698495,9.42572706074407e-12,3.45027218779979e-10,"ECP_0350"
"ECP_0825",0.755734560239642,9.03613680055743,82.5172483724941,1.14829632143640e-11,4.16969360239987e-10,"ECP_0825"
"ECP_1629",1.46323838741142,5.27801781424462,90.2839117204742,1.17089471086106e-11,4.21800880364947e-10,"ECP_1629"
"ECP_4364",0.72520917020592,6.38147481452842,81.8250457145982,1.29775543536211e-11,4.63819836307766e-10,"ECP_4364"
"arnD",1.37723892556605,5.69049247952648,88.9372005141342,1.45394797146054e-11,5.15583581442139e-10,"ECP_2299"
"ECP_1689",2.55846792921343,6.74335626197288,104.818530077619,1.55281937881518e-11,5.46375748871481e-10,"ECP_1689"
"ECP_4159",1.27757028182912,7.53390855452998,95.5944575496484,1.63650578070708e-11,5.71392287586881e-10,"ECP_4159"
"ECP_3043",-1.14302360397505,4.40743021237996,80.3639440882685,1.68399277394676e-11,5.83484213812544e-10,"ECP_3043"
"ECP_4168",0.842525214291557,9.46857626605364,81.787479131438,1.84582966411403e-11,6.34713700410121e-10,"ECP_4168"
"folA",0.516154559651871,8.39875084547107,79.458550725473,1.98213649376979e-11,6.76459965806096e-10,"ECP_0048"
