"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ydfG",-2.07895593368607,6.97826170067624,447.41381694014,9.75846588578789e-25,4.42936766555912e-21,"ECP_1523"
"ECP_1124",1.15715928951337,8.8251701899146,329.109759434821,4.32331042252017e-22,6.54116866927301e-19,"ECP_1124"
"ECP_4483",-1.75639240733249,8.67056477905655,332.19889180981,3.60214249386836e-22,6.54116866927301e-19,"ECP_4483"
"ECP_0940",-3.23743922456417,8.00915050057241,397.700983961348,1.30344622772664e-20,1.47908560691281e-17,"ECP_0940"
"fabR",1.15124632054015,8.83651686649053,256.398637392431,5.24928277899248e-20,4.76529890676937e-17,"ECP_4180"
"ECP_2552",-1.07508395921776,8.57613492008486,247.886235682622,9.92266767115504e-20,6.53069673702599e-17,"ECP_2552"
"ECP_2574",1.50986514085728,8.68979264133665,247.690027693911,1.00715746109676e-19,6.53069673702599e-17,"ECP_2574"
"ECP_2575",1.79752425352207,9.12730855874492,249.276357174703,4.63641828425043e-19,2.63058782402659e-16,"ECP_2575"
"rnt",-1.44111113010791,5.98430329983147,226.406719574874,5.39608632385162e-19,2.7214262026625e-16,"ECP_1598"
"ECP_1125",1.11282763786721,8.93894181483331,219.548368420539,9.53489707242529e-19,3.93444525561258e-16,"ECP_1125"
"ECP_1552",1.36015900900054,8.29064053807111,220.186372274002,9.03744226379016e-19,3.93444525561258e-16,"ECP_1552"
"marA",1.57186036026198,9.4291172044932,210.256213924674,3.60903481773968e-18,1.36511741981003e-15,"ECP_1514"
"ECP_2562",1.23295001971188,6.20654348305249,194.852867203778,8.44239352222157e-18,2.94769416902798e-15,"ECP_2562"
"ECP_1711",-1.00447897477317,7.64361464712055,190.860453523821,1.22681777735388e-17,3.97751849386376e-15,"ECP_1711"
"ECP_1712",-0.977674969689219,7.80317558334414,175.125262221384,5.71103079764448e-17,1.72815791936722e-14,"ECP_1712"
"ECP_1481",1.09041435574461,9.77335967270632,172.490199693049,7.46909455811359e-17,2.11888876245485e-14,"ECP_1481"
"speG",1.12607741931707,8.06351551889942,169.985818692797,9.6687785406664e-17,2.58156387035793e-14,"ECP_1532"
"ECP_0855",0.864013679905616,8.05676602185962,164.029886999863,1.80871675484094e-16,4.56098075012391e-14,"ECP_0855"
"ECP_3282",0.795141466324092,8.84030591058028,160.211562831787,2.72836529616673e-16,6.51792109436884e-14,"ECP_3282"
"ECP_2453",1.46312185142918,7.17454583067973,161.072178510477,3.32383058128184e-16,7.54343350421914e-14,"ECP_2453"
"ECP_1553",1.29093457541524,7.60388621505003,154.465850071561,5.14028713777679e-16,1.11103634849375e-13,"ECP_1553"
"ECP_0609",0.940772600190934,9.24808879376427,153.516412611261,5.71760235859968e-16,1.1283563958993e-13,"ECP_0609"
"pagP",1.43394942909257,5.81500051012686,153.880180471718,5.48878593709241e-16,1.1283563958993e-13,"ECP_0653"
"mgtA",0.865859293535579,10.686033629164,152.769165392978,6.21947651638891e-16,1.17625849616205e-13,"ECP_4492"
"yijD",0.943031964875873,7.13827377803701,151.747398263776,6.98142982600162e-16,1.26754839920885e-13,"ECP_4181"
"ECP_3279",1.02129194205976,8.6355145678679,151.247559615969,7.38912977860755e-16,1.28997154096537e-13,"ECP_3279"
"yffB",0.924987495742623,8.13050114701201,146.304549697074,1.3056637432598e-15,2.19496582616897e-13,"ECP_2484"
"ECP_3648",1.48445123658174,5.89974825423638,138.928931981099,3.14080202450028e-15,5.0914644247167e-13,"ECP_3648"
"bepA",1.04901979226808,7.38871535265886,133.377226267578,6.22792184262915e-15,9.74777146334266e-13,"ECP_2496"
"ECP_3627",0.973737066538401,8.1750001733835,132.748345363626,6.73923589456407e-15,1.01964639084754e-12,"ECP_3627"
"ECP_0055",0.911646684456134,7.61826362950773,132.448685854385,6.99813434683046e-15,1.02466231613753e-12,"ECP_0055"
"ECP_1649",-1.19738590288516,7.75518486701786,131.784012562848,7.61020529633386e-15,1.07946005750186e-12,"ECP_1649"
"ynfB",1.09570494324308,8.05631107545013,128.187128434582,1.20473782256214e-14,1.65706211412411e-12,"ECP_1531"
"ECP_3336",0.886353055889974,7.10641249431468,126.736084254691,1.45400308722542e-14,1.94109412144593e-12,"ECP_3336"
"ECP_0421",-1.0761764444919,7.19275955899223,124.994790080634,1.82601556619703e-14,2.36808132999095e-12,"ECP_0421"
"degP",3.58362318360535,10.81753716706,169.248909230491,3.39889632346647e-14,4.28544178117064e-12,"ECP_0171"
"folA",0.734093132647199,8.39875084547107,114.804081136191,7.27782899524808e-14,8.81993289188524e-12,"ECP_0048"
"ECP_3046",-1.30188003145385,6.78086503879054,116.915535811383,7.38394910534565e-14,8.81993289188524e-12,"ECP_3046"
"ECP_0524",1.67085601832366,9.85678603344,135.654549556761,1.03689640629995e-13,1.2067878944091e-11,"ECP_0524"
"hfq",-0.834251729829184,9.8567646128879,111.959034531767,1.08795141809416e-13,1.23455287168235e-11,"ECP_4417"
"ECP_0689",0.798148175623492,8.30872072766922,109.861570081052,1.47031260477414e-13,1.6277436373341e-11,"ECP_0689"
"ygiM",2.32937990702007,8.04871886638643,143.449066723874,2.15393052287493e-13,2.32778348650698e-11,"ECP_3145"
"emtA",-1.06798403201268,6.93601671579333,105.963163439679,2.60242639608579e-13,2.74707288647289e-11,"ECP_1236"
"ECP_0357",1.57628950617344,5.62800868725289,107.91298091651,2.68751498022782e-13,2.77241602164866e-11,"ECP_0357"
"sseA",-0.877144406753957,6.45137258809596,104.107499417361,3.43330245840844e-13,3.46305774638132e-11,"ECP_2526"
"nsrR",1.05997145216496,7.08392278646665,103.425346697023,3.80479357348746e-13,3.75433870218686e-11,"ECP_4423"
"marR",1.81281835339736,8.2745135532401,129.26688849092,4.17334856141448e-13,4.03038917452347e-11,"ECP_1513"
"ECP_0523",1.72566372328587,11.2959135475793,124.22150225612,4.46775459689623e-13,4.13859961536979e-11,"ECP_0523"
"ECP_4168",1.12945248685758,9.46857626605364,105.436740337065,4.38491288851975e-13,4.13859961536979e-11,"ECP_4168"
"ydhJ",1.04824224988644,5.48144135147558,101.256241214424,5.29189499771648e-13,4.80398227892702e-11,"ECP_1590"
