"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1124",1.15129976945557,8.8251701899146,287.102692533466,6.08345987987903e-21,2.76128243947709e-17,"ECP_1124"
"pyrH",-2.08398635253857,9.06344608084564,287.81818557988,2.56122091692639e-20,2.90634543548222e-17,"ECP_0179"
"proV",1.69320160926557,7.24310531806378,275.154687128784,1.37270984017635e-20,2.90634543548222e-17,"ECP_2643"
"fabR",1.25525376323802,8.83651686649053,268.735827514238,2.15265688132371e-20,2.90634543548222e-17,"ECP_4180"
"queF",-1.46835433658344,7.15613108505053,261.615974457984,3.58487887565197e-20,3.25435304331686e-17,"ECP_2776"
"ECP_0940",-3.13989408381364,8.00915050057241,349.772598036116,1.00937952084077e-19,7.63595607516041e-17,"ECP_0940"
"ECP_0596",-2.14224224962642,5.63571043290274,244.631775096963,1.27202553352752e-19,8.24817699525914e-17,"ECP_0596"
"ECP_1552",1.47982594048551,8.29064053807111,231.574492468687,3.54740953858266e-19,2.01271148695334e-16,"ECP_1552"
"hflC",-1.40736086996816,9.07109392058716,226.982055662217,5.14784802499439e-19,2.59623135393884e-16,"ECP_4420"
"ECP_0470",-1.39226686634058,7.38880360975278,213.234917590109,1.63189170236507e-18,7.40715643703507e-16,"ECP_0470"
"ECP_1583",-1.00732638097508,8.88783650133471,207.554987551277,2.67682355482235e-18,1.10455473775806e-15,"ECP_1583"
"ECP_1125",1.13478818160392,8.93894181483331,201.397064987436,4.6367703072111e-18,1.7538583687026e-15,"ECP_1125"
"ECP_1553",1.52795046643267,7.60388621505003,193.30403755859,9.75232706303818e-18,3.40506250301002e-15,"ECP_1553"
"ECP_2562",1.21076586723899,6.20654348305249,167.607046416458,1.2390301217737e-16,4.01711265909343e-14,"ECP_2562"
"yhbW",1.82987523191895,6.12057964173869,168.07440681426,1.85436620670269e-16,5.61131214148235e-14,"ECP_3248"
"pagP",1.53136028830404,5.81500051012686,159.660914419093,2.89684897170451e-16,8.21799842660422e-14,"ECP_0653"
"ECP_1582",-1.07983503804834,7.89267884904882,157.671633969563,3.60190212396615e-16,9.61707867098961e-14,"ECP_1582"
"ECP_0808",1.24704888945615,6.01710433426716,154.976436066833,4.85534133715885e-16,1.22435524052022e-13,"ECP_0808"
"marA",1.45521327263098,9.4291172044932,156.650350036298,6.18148048564754e-16,1.47672315391338e-13,"ECP_1514"
"glpD",2.33145384165677,5.62844725994499,170.372332983221,1.09731230978423e-15,2.49035028705531e-13,"ECP_3511"
"mgtA",0.894381017131437,10.686033629164,143.764023451432,1.75967092357596e-15,3.80340301052919e-13,"ECP_4492"
"yijD",0.957974422586705,7.13827377803701,140.268488769391,2.67096061806595e-15,5.51067738427333e-13,"ECP_4181"
"ECP_2575",1.48913167178099,9.12730855874492,149.094648522617,2.90902543176418e-15,5.74089844990331e-13,"ECP_2575"
"ECP_2453",1.4520186802384,7.17454583067973,140.940396854225,3.19651700684448e-15,6.04541278919462e-13,"ECP_2453"
"ECP_2574",1.19667857144879,8.68979264133665,135.59614185129,4.72504883871153e-15,8.57879867156465e-13,"ECP_2574"
"proW",1.39512265376413,5.68803318477375,133.753638452641,5.9414321482827e-15,1.03723694311751e-12,"ECP_2644"
"folA",0.838752275493551,8.39875084547107,133.058439629759,6.48184124405271e-15,1.08966953358353e-12,"ECP_0048"
"ECP_0011",-1.58584906451557,7.19675965268085,139.372464669838,8.71603915446186e-15,1.4129322043608e-12,"ECP_0011"
"ECP_3282",0.758099859886976,8.84030591058028,128.063474040192,1.22412391631016e-14,1.91596498487304e-12,"ECP_3282"
"ECP_0689",0.91119147831106,8.30872072766922,127.42443833112,1.32963981968324e-14,2.01174504718074e-12,"ECP_0689"
"ECP_1775",-0.822680068740975,10.1812929885982,124.813194497465,1.87017301344239e-14,2.6527235337547e-12,"ECP_1775"
"ECP_3250",-1.05090485542495,10.8881188372366,124.901302763268,1.84861051068409e-14,2.6527235337547e-12,"ECP_3250"
"ECP_4373",0.754235989213267,9.0566976215707,124.553582475879,1.93524938719077e-14,2.66184756619967e-12,"ECP_4373"
"bepA",1.07426916631274,7.38871535265886,123.75681156073,2.15017215294039e-14,2.78846611491327e-12,"ECP_2496"
"ECP_4106",-1.22463346592378,9.33026957544679,123.86583678799,2.11934680761475e-14,2.78846611491327e-12,"ECP_4106"
"proX",1.45490983989029,6.50370393394938,124.291281522282,2.8468216719333e-14,3.58936765802924e-12,"ECP_2645"
"hflK",-0.947561336508268,9.39922888104186,119.717269609169,3.6963871252068e-14,4.53456788143613e-12,"ECP_4419"
"cysB",-0.933963877457292,6.35401158509198,114.846159658524,7.23507710352433e-14,8.42051665971716e-12,"ECP_1326"
"ssb",-1.0532758185174,8.88496918073963,115.009889373746,7.07120951393876e-14,8.42051665971716e-12,"ECP_4287"
"ECP_1742",-2.41954083627179,5.78456096039128,135.007351465021,1.17372329216343e-13,1.33188250578245e-11,"ECP_1742"
"hpt",-0.906536302988705,8.20709567081796,111.151223967624,1.22116335721877e-13,1.35191718985756e-11,"ECP_0133"
"ECP_3271",-1.09004857578982,8.52597668643393,110.107349323125,1.41902392903214e-13,1.53355943187545e-11,"ECP_3271"
"yeiR",1.26504520102302,7.44032550246681,109.917643892041,1.99720471649922e-13,2.10821214143953e-11,"ECP_2214"
"ECP_0059",-1.03384735498729,6.68164796026541,107.195337893489,2.16922733899289e-13,2.23775520265653e-11,"ECP_0059"
"degP",3.5943819718173,10.81753716706,146.385712291932,2.3001515773908e-13,2.32008622439485e-11,"ECP_0171"
"speG",0.950627261198021,8.06351551889942,106.637322701406,2.35523378290999e-13,2.32400133491922e-11,"ECP_1532"
"ECP_0357",1.65885424663831,5.62800868725289,108.39673714003,2.507324740189e-13,2.36300943675094e-11,"ECP_0357"
"dacC",1.09956709813292,7.32833810068521,105.961660930449,2.60300664986885e-13,2.36300943675094e-11,"ECP_0853"
"ECP_3046",-1.30533032025751,6.78086503879054,108.186550953804,2.49922602863803e-13,2.36300943675094e-11,"ECP_3046"
"ECP_3270",-0.947611275789684,9.47573812708697,106.015298395299,2.58237592926228e-13,2.36300943675094e-11,"ECP_3270"
"ECP_0855",0.731197676128817,8.05676602185962,103.906059330485,3.53888480204501e-13,3.14960747382006e-11,"ECP_0855"
"ECP_0597",1.18574666121815,9.35493731926784,105.127656620807,4.47410645249095e-13,3.83169229959555e-11,"ECP_0597"
"ECP_1339",1.07737164410847,8.60192187736825,102.435217897808,4.42046095231007e-13,3.83169229959555e-11,"ECP_1339"
"ECP_3045",-1.25364941621995,6.04812928944233,101.297710418684,5.2583771027558e-13,4.41995808692751e-11,"ECP_3045"
"gdhA",1.43847840347421,6.41301372597412,106.297070789895,5.71871906487644e-13,4.71950287917712e-11,"ECP_1707"
"yrfF",0.740900522583102,7.72523527048744,100.07961778461,6.34222177100282e-13,5.14059725331818e-11,"ECP_3484"
"ECP_0809",1.3478358817053,5.62890097268073,99.3792371185905,7.06894987302712e-13,5.62911639888949e-11,"ECP_0809"
"ECP_3627",0.890773737450282,8.1750001733835,98.145612170438,8.56856730433669e-13,6.70564258523866e-11,"ECP_3627"
"ECP_4107",-1.05121873060459,7.53975294852587,97.2989493889748,9.78765189538151e-13,7.5298562632435e-11,"ECP_4107"
"tqsA",1.71428618542918,4.76595712812534,95.7440459666949,1.25225571222843e-12,9.4733144630081e-11,"ECP_1545"
"arnT",1.60816517740346,5.70325514333161,99.741162819969,1.46103604738369e-12,1.08715452771714e-10,"ECP_2300"
"ECP_3648",1.29282686787583,5.89974825423638,93.8105135234322,1.70789513984197e-12,1.25034452253914e-10,"ECP_3648"
"ilvD",0.991347617842729,7.14556473524444,93.2358544596533,1.87449669619798e-12,1.35053023873693e-10,"ECP_3964"
"ECP_0609",0.775850454885276,9.24808879376427,91.9551382328602,2.30991067593994e-12,1.63823196220178e-10,"ECP_0609"
"yahA",-1.03673183382148,7.7506670674435,91.5239683089668,2.47929975256833e-12,1.73131408875502e-10,"ECP_0391"
"ECP_4690",0.873138052094628,9.05859654054234,90.4099687644814,2.97986254619577e-12,2.04933274199736e-10,"ECP_4690"
"ECP_0356",1.08981918660147,6.08861137582547,89.3171154371517,3.57439187814736e-12,2.38590657866336e-10,"ECP_0356"
"ilvG",0.899035647365182,7.76026373883164,89.4009397848103,3.52467450310732e-12,2.38590657866336e-10,"ECP_3962"
"pqiB",0.783770901297975,7.78252536839482,88.5014635406378,4.09824085223762e-12,2.69592974323283e-10,"ECP_0956"
"metK",-0.88791771248024,9.58515491674016,87.4035877654123,4.93324130717712e-12,3.19885461332528e-10,"ECP_2935"
"ECP_4146",-1.3806384263148,4.12307681769526,86.3965148860205,5.85610566375124e-12,3.74378360672773e-10,"ECP_4146"
"ECP_3279",0.822633362969716,8.6355145678679,86.0939840623462,6.16731512184798e-12,3.88797824139833e-10,"ECP_3279"
"ECP_3924",-0.816257187726667,6.32132847958369,85.6414377701897,6.66550929430891e-12,4.14448584751618e-10,"ECP_3924"
"ECP_0810",1.0667225465814,6.1565475403053,81.9418277979385,1.2711797362484e-11,7.79714165247497e-10,"ECP_0810"
"ECP_3336",0.742867662288775,7.10641249431468,79.0341433877545,2.14042549228085e-11,1.29538550792837e-09,"ECP_3336"
"ECP_0060",-1.04562488815461,9.28244247561347,80.0299838120822,2.25125638833964e-11,1.32707178528229e-09,"ECP_0060"
"ECP_3047",-1.35904636216081,5.85343327862268,81.7396108700847,2.23958489694189e-11,1.32707178528229e-09,"ECP_3047"
"ECP_0524",1.46257165858608,9.85678603344,90.1831469169746,2.66073758157499e-11,1.54834460035499e-09,"ECP_0524"
"ECP_0717",2.97456021581787,8.14205637254644,99.974995405198,2.78505059333529e-11,1.60017020799353e-09,"ECP_0717"
"ECP_3251",-0.726346858160659,10.1045976649569,76.719785929977,3.26992131815217e-11,1.85527160788659e-09,"ECP_3251"
"yhcN",1.5323813496756,10.8140613721812,89.4006418483184,3.36282714524564e-11,1.88442869287283e-09,"ECP_3322"
"ECP_1830",1.81450962883644,7.46282635256328,93.2831573432772,3.74239950243143e-11,2.04659654717304e-09,"ECP_1830"
"ygiM",2.03091253325253,8.04871886638643,95.5861045967738,3.73791650754771e-11,2.04659654717304e-09,"ECP_3145"
