"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_0941",-1.68915847253408,9.93376399045102,434.773215740504,1.73666072092381e-24,7.88270301227319e-21,"ECP_0941"
"marA",1.97850062893954,9.4291172044932,251.175503573957,1.41979557397083e-19,3.2222260551268e-16,"ECP_1514"
"ECP_1124",1.13647170355109,8.8251701899146,234.1529330676,2.88601417355933e-19,3.27490458344645e-16,"ECP_1124"
"ECP_2657",-1.28959470041172,10.9073317273115,235.911765300991,2.50985207045306e-19,3.27490458344645e-16,"ECP_2657"
"ECP_1125",1.23907980678396,8.93894181483331,202.386791345136,4.2409624359029e-18,3.84994569931265e-15,"ECP_1125"
"mgtA",1.1433676538654,10.686033629164,197.21905820023,6.78498167724079e-18,5.13283863883266e-15,"ECP_4492"
"ECP_0973",-1.07437945052615,8.05157427179377,180.108693231086,3.468111294914e-17,2.24882245251638e-14,"ECP_0973"
"fabR",1.09316533775819,8.83651686649053,170.280001974107,9.37853172679517e-17,5.32114443849041e-14,"ECP_4180"
"ECP_3282",0.942242860410459,8.84030591058028,166.557617555949,1.38352702840947e-16,6.97758797994508e-14,"ECP_3282"
"ECP_0940",-2.67658783352891,8.00915050057241,208.917118026634,2.88276696070701e-16,1.14769395349631e-13,"ECP_0940"
"ECP_1552",1.32864417988685,8.29064053807111,159.236176651931,3.03422063052559e-16,1.14769395349631e-13,"ECP_1552"
"yhbW",1.96393232128887,6.12057964173869,164.389277068478,2.71449871751406e-16,1.14769395349631e-13,"ECP_3248"
"ECP_0609",1.05009933023082,9.24808879376427,142.476215839833,2.05023155318902e-15,7.15846232301919e-13,"ECP_0609"
"ECP_0770",-1.38050452502999,5.96751732521095,138.073759672645,3.48528949809038e-15,1.12998064513087e-12,"ECP_0770"
"ECP_3045",-1.62397923859739,6.04812928944233,131.654141084703,7.73619823431769e-15,2.34097358570453e-12,"ECP_3045"
"pagP",1.48450268145247,5.81500051012686,128.639898274158,1.13644973533252e-14,3.22396584292144e-12,"ECP_0653"
"murI",-1.17002159531232,6.23119873709261,119.507467404144,3.80327794956108e-14,1.01547521253281e-11,"ECP_4184"
"ECP_3279",1.04937007481585,8.6355145678679,118.613446862577,4.29630827061143e-14,1.08338573557252e-11,"ECP_3279"
"yeiR",1.43448881778611,7.44032550246681,119.232283283206,5.53942454638495e-14,1.25717240080207e-11,"ECP_2214"
"ECP_3046",-1.54537005748431,6.78086503879054,119.065225017555,5.52543803110607e-14,1.25717240080207e-11,"ECP_3046"
"folA",0.850194689257738,8.39875084547107,115.752989045147,6.37480656521944e-14,1.37786890473957e-11,"ECP_0048"
"speG",1.06533614481646,8.06351551889942,113.649270914612,8.56034752930552e-14,1.76615533797808e-11,"ECP_1532"
"ECP_1481",1.03037730487476,9.77335967270632,112.929135770386,9.47791831074488e-14,1.87044657445526e-11,"ECP_1481"
"ECP_2562",1.08144743263073,6.20654348305249,112.031197846296,1.07681478944398e-13,2.03652597053593e-11,"ECP_2562"
"yhcN",2.03204890279726,10.8140613721812,135.903203582573,1.20236815415059e-13,2.18301962067582e-11,"ECP_3322"
"ECP_0357",1.83541322906585,5.62800868725289,112.47523264994,1.4089899749222e-13,2.45977134468148e-11,"ECP_0357"
"glpD",2.13354082363013,5.62844725994499,120.834116333025,2.04803708768443e-13,3.44297790407394e-11,"ECP_3511"
"marR",2.12204199799647,8.2745135532401,132.879710912428,2.87255380500937e-13,4.65661490033483e-11,"ECP_1513"
"ECP_2575",1.38530268205163,9.12730855874492,110.310910318222,3.27559990915688e-13,5.12687861643555e-11,"ECP_2575"
"yffB",0.903789388482306,8.13050114701201,104.110112078066,3.43195490306869e-13,5.19254776834293e-11,"ECP_2484"
"ECP_0689",0.885781479662218,8.30872072766922,100.013857781695,6.40700587535391e-13,9.26424858209305e-11,"ECP_0689"
"ECP_0855",0.782598363950465,8.05676602185962,99.8896099221481,6.53130545554037e-13,9.26424858209305e-11,"ECP_0855"
"ECP_1553",1.18872465570694,7.60388621505003,98.4449772397818,8.17645366788801e-13,1.12463403631951e-10,"ECP_1553"
"ECP_0356",1.25174043090164,6.08861137582547,98.2069272538211,8.48668417989254e-13,1.13297233801565e-10,"ECP_0356"
"ECP_2574",1.09890782106295,8.68979264133665,96.8116955525603,1.05702288845808e-12,1.37080768306034e-10,"ECP_2574"
"ECP_3047",-1.69340023722869,5.85343327862268,97.9233236234005,1.67334786641687e-12,2.10981276824061e-10,"ECP_3047"
"ECP_0667",-0.837130110507221,7.51288663536229,92.2005586410553,2.21894058439838e-12,2.7221003547525e-10,"ECP_0667"
"yijD",0.839751915949913,7.13827377803701,89.7240152121751,3.33971632292616e-12,3.98920326046364e-10,"ECP_4181"
"ECP_2453",1.23661347068898,7.17454583067973,87.7935880853995,5.46388474377439e-12,6.3591212441005e-10,"ECP_2453"
"ECP_0524",1.67389733034324,9.85678603344,100.024972290481,6.85645073766795e-12,7.7803574745687e-10,"ECP_0524"
"ECP_3044",-1.32157671158135,4.72182487889538,84.4373054444401,8.20703929018197e-12,9.08579300930146e-10,"ECP_3044"
"ECP_4364",0.971494284918096,6.38147481452842,82.4096250838611,1.17029826787513e-11,1.26475805663934e-09,"ECP_4364"
