"","logFC","logCPM","F","PValue","FDR","locus_tag"
"deoD",-3.21763885526269,9.31955609755293,280.418917432599,9.55546179059102e-21,4.33722410674926e-17,"ECP_4768"
"cysB",-1.96729177885895,6.35401158509198,157.143873467104,3.81758581542885e-16,8.66401100811577e-13,"ECP_1326"
"ECP_1124",1.3697299480069,8.8251701899146,126.350455743398,1.52893290342201e-14,2.3132754828775e-11,"ECP_1124"
"ECP_3328",-1.90051316442486,7.5060836676299,98.6523317510345,7.91588806215008e-13,8.98255397852481e-10,"ECP_3328"
"ECP_1125",1.33540287388881,8.93894181483331,86.5009110479255,5.752562959309e-12,5.22217665446071e-09,"ECP_1125"
"proV",1.63213320582908,7.24310531806378,78.0161610165407,2.57639461719733e-11,1.94904252790978e-08,"ECP_2643"
"fklB",-1.27786302153473,8.50603820733447,74.8652377042669,4.61976269169157e-11,2.99558612251258e-08,"ECP_4461"
"fabR",1.17638919001608,8.83651686649053,73.8675724150913,5.57630223599162e-11,3.16385448114575e-08,"ECP_4180"
"ECP_3282",1.02382852383521,8.84030591058028,72.6103033043249,7.08513458974293e-11,3.57326954476035e-08,"ECP_3282"
"ECP_0440",-1.20879908944425,8.49654633616276,71.0067382135906,9.65307464199968e-11,4.38153058000365e-08,"ECP_0440"
"ECP_1552",1.40834062459488,8.29064053807111,64.7531064598623,3.36807810594277e-10,1.24060000360466e-07,"ECP_1552"
"ECP_2562",1.3436755947211,6.20654348305249,65.1759206228454,3.08813423408861e-10,1.24060000360466e-07,"ECP_2562"
"mgtA",1.08104571398079,10.686033629164,64.4932824493745,3.55316149963882e-10,1.24060000360466e-07,"ECP_4492"
"pagP",1.65065809735895,5.81500051012686,59.173313702441,1.09458187615401e-09,3.31220475724203e-07,"ECP_0653"
"ECP_0940",-2.4184280146381,8.00915050057241,67.9075526148187,1.08895140251693e-09,3.31220475724203e-07,"ECP_0940"
"ECP_2575",1.68109964427438,9.12730855874492,59.4360940429106,1.63746511406267e-09,4.64528384545654e-07,"ECP_2575"
"folA",0.980538797916546,8.39875084547107,56.5476332667023,1.9499004535972e-09,4.91699897715427e-07,"ECP_0048"
"ydhJ",1.46940667868406,5.48144135147558,56.6917460082805,1.88832050343398e-09,4.91699897715427e-07,"ECP_1590"
"yegD",-1.16194201073848,7.92914639528357,52.2737657308917,5.16331823066557e-09,1.2334895499469e-06,"ECP_2109"
"ECP_3046",-1.60834399490979,6.78086503879054,51.0368750288557,7.85249917538826e-09,1.78212468785436e-06,"ECP_3046"
"ECP_1553",1.37355738644409,7.60388621505003,48.173828599278,1.37153300247766e-08,2.96447061821242e-06,"ECP_1553"
"ECP_1547",-1.04187057486598,7.78552571142909,47.6513023685494,1.55838261190191e-08,3.14352732238133e-06,"ECP_1547"
"ECP_3648",1.60887221769895,5.89974825423638,47.5620152619174,1.59288672427342e-08,3.14352732238133e-06,"ECP_3648"
"rseP",1.21199146245353,9.27002503144592,46.7040597688592,1.96818333725117e-08,3.69632475065955e-06,"ECP_0184"
