"","logFC","logCPM","F","PValue","FDR","locus_tag"
"rpoD",-3.02724122864513,11.3017415746449,798.64357152126,1.00505898149592e-27,4.56095765802848e-24,"ECP_3157"
"cysB",-2.23506193089758,6.36022999257604,526.82286523928,2.25583161202769e-24,5.11848192769082e-21,"ECP_1326"
"ECP_0940",-3.23092069254975,8.19914046878387,690.346191078595,3.70664485071175e-24,5.60691811084331e-21,"ECP_0940"
"marA",1.81311497674314,9.28208889751535,366.8674636365,1.55899831785439e-21,1.7686835916058e-18,"ECP_1514"
"yhbW",1.68951049123841,5.99069720260788,352.349025925717,3.19350121982522e-21,2.89842170711337e-18,"ECP_3248"
"ECP_2575",1.60915256645324,9.07875933819681,291.859044466338,9.22650997601785e-20,6.97831704519483e-17,"ECP_2575"
"ECP_2574",1.33808264825245,8.63522251587592,265.50689092728,4.46754433196357e-19,2.8962451683501e-16,"ECP_2574"
"ECP_0470",-1.14209211241013,7.42698870708974,232.974846522795,4.13850406873317e-18,2.34756643298889e-15,"ECP_0470"
"fabR",1.02887752796408,8.81981764693524,228.686263813194,5.66074621023195e-18,2.85427403355918e-15,"ECP_4180"
"ECP_1124",0.929941927321708,8.8374070507931,225.726107526153,7.04773285861844e-18,3.19826117124105e-15,"ECP_1124"
"degP",3.29285637020263,10.6889296270657,389.004173395703,1.39114907396116e-17,5.73912227057796e-15,"ECP_0171"
"mgtA",1.04329109762345,10.7190970717204,208.666426766036,2.619856915468e-17,9.90742556866148e-15,"ECP_4492"
"ECP_1339",1.04138852428822,8.59744674390349,195.509713916265,7.68537246738923e-17,2.68278617361633e-14,"ECP_1339"
"bglA",0.967635558221056,8.95496189936641,189.712406784774,1.25902509287957e-16,4.03935230588554e-14,"ECP_2895"
"yhcN",1.66784435457926,10.7267084299577,211.25589938266,1.33517594949941e-16,4.03935230588554e-14,"ECP_3322"
"yeiR",1.23051622092755,7.33421110585035,187.91195138133,1.47137269370088e-16,4.17318080250911e-14,"ECP_2214"
"ECP_1045",1.81541448732012,4.4521570785849,184.912162948825,1.91296760400373e-16,5.10649822762877e-14,"ECP_1045"
"ECP_1125",0.977939418993363,8.93280793798763,182.421884509925,2.38508604734414e-16,6.01306693491539e-14,"ECP_1125"
"ECP_0128",-1.00231170280141,8.91682036880397,180.03468541438,2.95363630744491e-16,7.05452713851842e-14,"ECP_0128"
"ECP_0689",0.899522081225392,8.30858461148876,175.924937638381,4.29159769028088e-16,9.73763515924732e-14,"ECP_0689"
"marB",1.7152401816483,6.40022171473,188.437406556177,1.28260067960987e-15,2.77163899241408e-13,"ECP_1515"
"ECP_1417",1.34078075136548,7.06861268636099,166.889138307927,1.62085910718904e-15,3.3433902856472e-13,"ECP_1417"
"ECP_0886",2.47447171913803,4.65622558330983,196.576545388572,1.7509625043622e-15,3.45472514991116e-13,"ECP_0886"
"ECP_1481",0.982485687258257,9.73394611835772,160.032392085191,1.95379845884096e-15,3.69430725259177e-13,"ECP_1481"
"bepA",0.967948456336474,7.35177327351218,151.541654017332,4.61928795038055e-15,8.38493148753078e-13,"ECP_2496"
"ECP_0597",1.12493301110632,9.37553859078917,149.150893434928,5.92684482141846e-15,1.00905085223739e-12,"ECP_0597"
"ECP_3716",1.51690949446816,5.89795496477975,149.024104174173,6.2259638304643e-15,1.00905085223739e-12,"ECP_3716"
"ECP_4133",0.960429995278516,6.96651666519753,148.942167582454,6.05814714465149e-15,1.00905085223739e-12,"ECP_4133"
