"","logFC","logCPM","F","PValue","FDR","locus_tag"
"deoD",-3.66738035982075,9.23613666785752,1502.08932647582,6.26266695512293e-33,2.84199826423479e-29,"ECP_4768"
"yegD",-2.16715959821221,7.93785785740665,505.504874927067,4.80220586603144e-24,1.08962051100253e-20,"ECP_2109"
"ECP_0440",-1.50685938186772,8.49960262506454,475.685962375097,1.45440424412128e-23,1.65002161495559e-20,"ECP_0440"
"fklB",-1.62818070812242,8.46254028442345,478.244388219377,1.31920912553775e-23,1.65002161495559e-20,"ECP_4461"
"yidC",-1.79778179498164,10.3787961511318,414.374332536201,1.7646609113862e-22,1.60160624317412e-19,"ECP_3906"
"ECP_4075",-1.44355450285139,7.39930655310216,387.779069033724,5.79926558296939e-22,4.38617786925251e-19,"ECP_4075"
"ECP_0940",-2.57453818799728,8.19914046878387,472.384277250661,1.63940543912197e-21,9.29952735341936e-19,"ECP_0940"
"ECP_3716",2.3063352281506,5.89795496477975,367.407582152135,1.62193183594481e-21,9.29952735341936e-19,"ECP_3716"
"ECP_0590",-1.66382190131986,6.72083836705195,358.510406327635,2.34808613106503e-21,1.18395720697479e-18,"ECP_0590"
"ECP_0470",-1.41633780405612,7.42698870708974,353.556424451206,3.00559511356264e-21,1.36393906253473e-18,"ECP_0470"
"proV",1.66956038621218,7.3178787907773,350.823064194195,3.44880911715931e-21,1.422790524879e-18,"ECP_2643"
"cysS",-1.26908311767179,8.83320463402832,343.734914930078,4.9494974884516e-21,1.87173496688278e-18,"ECP_0587"
"ECP_3328",-1.83004513926725,7.4561150393296,336.676664934124,7.14022946972664e-21,2.49248933335534e-18,"ECP_3328"
"cysB",-1.67014078312436,6.36022999257604,325.423261647984,1.29945763143253e-20,3.93129248762722e-18,"ECP_1326"
"ECP_4465",-1.90789154882366,6.27020090854875,325.567580747513,1.28936665601823e-20,3.93129248762722e-18,"ECP_4465"
"ECP_1124",1.04582699211437,8.8374070507931,285.962552096764,1.24136128079989e-19,3.52081093266869e-17,"ECP_1124"
"fabR",1.13339333251796,8.81981764693524,278.36272373073,1.97843055552996e-19,5.28124580058526e-17,"ECP_4180"
"rplY",-1.41944137931231,11.3923320381834,274.801533124272,2.4708840873691e-19,6.22937332693387e-17,"ECP_2226"
"cpxP",3.60354507266645,8.81272175916273,529.888758397947,2.94218828463912e-19,7.02718443983808e-17,"ECP_4123"
"ECP_2575",1.54956381708345,9.07875933819681,272.001780517993,3.11458532698132e-19,7.06699410692061e-17,"ECP_2575"
"ECP_1547",-1.20928426060534,7.77934538469016,253.739372474758,9.71085309071484e-19,2.0984691107459e-16,"ECP_1547"
"ECP_1649",-1.17651580052381,7.74465859482604,252.075791645874,1.08647540026435e-18,2.24110243927255e-16,"ECP_1649"
"proX",1.68562546358342,6.55987188812878,250.762860021506,1.53234397865864e-18,3.02338129354474e-16,"ECP_2645"
"ECP_2422",-1.1108268811039,9.58858735548276,241.227025116021,2.29637519595036e-18,4.3420627663428e-16,"ECP_2422"
"cdaR",1.92536337955003,5.53695427139579,239.556099696393,2.58358204648513e-18,4.50934435651905e-16,"ECP_0172"
"ECP_0684",-1.05734872782589,9.04731985395303,239.839094698488,2.5324020903044e-18,4.50934435651905e-16,"ECP_0684"
"ECP_3717",-1.13220802646855,8.5859582851322,237.983192833445,2.88856200873513e-18,4.85492385023705e-16,"ECP_3717"
