trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_4268,dnaB,KFF-dnaB JVpna-40 ECP_4268,0,
ECP_0073,ECP_0073,KFF-dnaB JVpna-40 ECP_4268,1,3
ECP_0490,ECP_0490,KFF-dnaB JVpna-40 ECP_4268,1,5
ECP_1186,ECP_1186,KFF-dnaB JVpna-40 ECP_4268,1,2
ECP_2514,ECP_2514,KFF-dnaB JVpna-40 ECP_4268 reverse,1,4
ECP_2695,mop,KFF-dnaB JVpna-40 ECP_4268,1,2
ECP_2962,JD73_08040,KFF-dnaB JVpna-40 ECP_4268,1,10
ECP_3074,ECP_3074,KFF-dnaB JVpna-40 ECP_4268,1,7
ECP_3405,ECP_3405,KFF-dnaB JVpna-40 ECP_4268,1,3
ECP_4499,ECP_4499,KFF-dnaB JVpna-40 ECP_4268 reverse,1,10
ECP_4572,ECP_4572,KFF-dnaB JVpna-40 ECP_4268 reverse,1,3
ECP_0035,ECP_0035,KFF-dnaB JVpna-40 ECP_4268 reverse,2,5;8
ECP_0065,araC,KFF-dnaB JVpna-40 ECP_4268,2,2;9
ECP_0078,leuO,KFF-dnaB JVpna-40 ECP_4268,2,2;7
ECP_0125,acnB,KFF-dnaB JVpna-40 ECP_4268,2,7;10
ECP_0128,ECP_0128,KFF-dnaB JVpna-40 ECP_4268 reverse,2,2;3
ECP_0179,pyrH,KFF-dnaB JVpna-40 ECP_4268 reverse,2,4;7
ECP_0223,yafT,KFF-dnaB JVpna-40 ECP_4268,2,2;7
ECP_0231,ECP_0231,KFF-dnaB JVpna-40 ECP_4268,2,3;10
ECP_0237,ECP_0237,KFF-dnaB JVpna-40 ECP_4268,2,2;7
ECP_0348,ECP_0348,KFF-dnaB JVpna-40 ECP_4268,2,4;5
ECP_0397,ECP_0397,KFF-dnaB JVpna-40 ECP_4268,2,2;7
ECP_0406,ECP_0406,KFF-dnaB JVpna-40 ECP_4268,2,1;10
ECP_0540,ECP_0540,KFF-dnaB JVpna-40 ECP_4268,2,1;10
ECP_0541,ushA,KFF-dnaB JVpna-40 ECP_4268,2,2;6
ECP_0555,ECP_0555,KFF-dnaB JVpna-40 ECP_4268 reverse,2,8;9
ECP_0564,ECP_0564,KFF-dnaB JVpna-40 ECP_4268,2,7;8
ECP_0617,ybdZ,KFF-dnaB JVpna-40 ECP_4268,2,2;10
ECP_0620,ltrA,KFF-dnaB JVpna-40 ECP_4268 reverse,2,4;6
ECP_0656,ybeM,KFF-dnaB JVpna-40 ECP_4268,2,4;7
ECP_0657,tatE,KFF-dnaB JVpna-40 ECP_4268 reverse,2,3;10
ECP_0674,ECP_0674,KFF-dnaB JVpna-40 ECP_4268,2,3;10
ECP_0693,ECP_0693,KFF-dnaB JVpna-40 ECP_4268,2,7;9
ECP_0765,aroG,KFF-dnaB JVpna-40 ECP_4268,2,2;10
ECP_0799,moaE,KFF-dnaB JVpna-40 ECP_4268,2,2;3
ECP_0814,ybiB,KFF-dnaB JVpna-40 ECP_4268,2,6;10
ECP_0824,ECP_0824,KFF-dnaB JVpna-40 ECP_4268 reverse,2,1;8
ECP_0860,ybjK,KFF-dnaB JVpna-40 ECP_4268,2,3;6
ECP_0870,potH,KFF-dnaB JVpna-40 ECP_4268 reverse,2,7;9
ECP_0942,ECP_0942,KFF-dnaB JVpna-40 ECP_4268 reverse,2,4;6
ECP_0942,ECP_0942,KFF-dnaB JVpna-40 ECP_4268,2,8;9
ECP_0945,ECP_0945,KFF-dnaB JVpna-40 ECP_4268 reverse,2,1;9
ECP_0961,matP,KFF-dnaB JVpna-40 ECP_4268 reverse,2,1;8
ECP_0990,ECP_0990,KFF-dnaB JVpna-40 ECP_4268,2,2;3
ECP_0992,torT,KFF-dnaB JVpna-40 ECP_4268 reverse,2,3;5
ECP_1048,yceA,KFF-dnaB JVpna-40 ECP_4268,2,3;7
ECP_1086,acpP,KFF-dnaB JVpna-40 ECP_4268,2,6;8
ECP_1091,holB,KFF-dnaB JVpna-40 ECP_4268 reverse,2,3;10
ECP_1103,ECP_1103,KFF-dnaB JVpna-40 ECP_4268 reverse,2,1;6
ECP_1110,lolD,KFF-dnaB JVpna-40 ECP_4268 reverse,2,1;5
