"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",1.91276192036168e-15,2.29531430443402e-13,1.21593556946149e-23,9.11951677096114e-23,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp02020",159,"Up",4.64853718524897e-07,2.78912231114938e-05,3.41100003473817e-39,4.0932000416858e-37,"Two-component system"
"path:ecp00633",7,"Up",3.96077601876963e-06,0.000158431040750785,1.53419256867679e-05,3.12039166510533e-05,"Nitrotoluene degradation"
"path:ecp00240",50,"Down",9.72314669409888e-06,0.000291694400822967,6.64912890395706e-20,3.79950223083261e-19,"Pyrimidine metabolism"
"path:ecp00520",53,"Up",2.5868815034738e-05,0.000620851560833713,7.17019770879361e-25,7.00297125954061e-24,"Amino sugar and nucleotide sugar metabolism"
"path:ecp00250",31,"Down",3.88967259030069e-05,0.000777934518060139,1.42945980997415e-24,1.14356784797932e-23,"Alanine, aspartate and glutamate metabolism"
"path:ecp00230",77,"Down",6.89372619499633e-05,0.00103608611968458,3.70190282588377e-14,1.38821355970641e-13,"Purine metabolism"
"path:ecp00680",33,"Down",6.90724079789719e-05,0.00103608611968458,3.5779734706643e-12,1.22673376137062e-11,"Methane metabolism"
"path:ecp00330",22,"Down",0.00017788953164431,0.00217583350231344,1.42410842481573e-19,7.7678641353585e-19,"Arginine and proline metabolism"
"path:ecp00670",13,"Down",0.00018131945852612,0.00217583350231344,1.02896449977794e-08,2.57241124944485e-08,"One carbon pool by folate"
"path:ecp00130",21,"Down",0.000247816230538691,0.00270344978769481,1.27606665789305e-10,3.82819997367914e-10,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp00740",12,"Down",0.000305970867440262,0.00305970867440262,8.54478292907477e-06,1.83102491337317e-05,"Riboflavin metabolism"
"path:ecp03018",17,"Down",0.000487700333232138,0.00450184922983512,2.0883534607464e-08,5.01204830579135e-08,"RNA degradation"
"path:ecp02060",43,"Up",0.00093641852740893,0.00767044085103214,0.000314434470207186,0.000580494406536344,"Phosphotransferase system (PTS)"
"path:ecp00592",3,"Down",0.00101735799061779,0.00767044085103214,0.964020159362663,1,"alpha-Linolenic acid metabolism"
"path:ecp01240",143,"Down",0.00102272544680428,0.00767044085103214,3.03854841591612e-26,3.64625809909935e-25,"Biosynthesis of cofactors"
"path:ecp00030",35,"Down",0.00137033426363339,0.00947706251792248,1.47646336332206e-09,3.9372356355255e-09,"Pentose phosphate pathway"
"path:ecp00565",1,"Down",0.00142155937768837,0.00947706251792248,0.00142155937768837,0.00250863419592066,"Ether lipid metabolism"
"path:ecp00970",25,"Down",0.00169414177472668,0.0106450605980322,1.01482653031135e-06,2.25517006735855e-06,"Aminoacyl-tRNA biosynthesis"
"path:ecp00332",2,"Down",0.0017741767663387,0.0106450605980322,0.659883807483817,0.824854759354771,"Carbapenem biosynthesis"
"path:ecp01501",21,"Up",0.00233083485394222,0.0133190563082413,1.17463893271921e-15,5.03416685451089e-15,"beta-Lactam resistance"
"path:ecp00540",39,"Up",0.00245329414460542,0.0133816044251205,7.58655219783566e-25,7.00297125954061e-24,"Lipopolysaccharide biosynthesis"
"path:ecp00010",54,"Down",0.00669050210418611,0.034624877209873,5.40499044754952e-33,1.62149713426485e-31,"Glycolysis / Gluconeogenesis"
"path:ecp00290",16,"Up",0.00699358007456202,0.034624877209873,0.000116398741414565,0.000225287886608836,"Valine, leucine and isoleucine biosynthesis"
"path:ecp00660",12,"Up",0.00721351608539021,0.034624877209873,0.0162216823031918,0.025613182583987,"C5-Branched dibasic acid metabolism"
"path:ecp00440",7,"Down",0.00800830673889729,0.0369614157179875,0.938809335293717,1,"Phosphonate and phosphinate metabolism"
