"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",3.29778142711228e-15,3.95733771253474e-13,1.72397604176217e-22,9.85129166721239e-22,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp02020",159,"Up",2.0737114574706e-08,1.24422687448236e-06,2.85737991904552e-36,4.8983655755066e-35,"Two-component system"
"path:ecp00520",53,"Up",1.39864400640808e-06,5.59457602563232e-05,8.00077927826282e-24,5.0531237546923e-23,"Amino sugar and nucleotide sugar metabolism"
"path:ecp00680",33,"Down",2.28365308795692e-06,6.85095926387076e-05,1.13655204337132e-33,1.36386245204559e-32,"Methane metabolism"
"path:ecp01501",21,"Up",2.03634954517384e-05,0.000488723890841722,1.49065099535089e-16,5.96260398140358e-16,"beta-Lactam resistance"
"path:ecp00240",50,"Down",5.43621527446919e-05,0.00108724305489384,1.20766162347607e-17,5.17569267204031e-17,"Pyrimidine metabolism"
"path:ecp02026",49,"Up",0.000295874859427823,0.0050721404473341,2.56014503390426e-28,2.36321080052701e-27,"Biofilm formation - Escherichia coli"
"path:ecp00061",14,"Down",0.00041243095486823,0.00618646432302345,2.33143211387969e-14,7.77144037959898e-14,"Fatty acid biosynthesis"
"path:ecp00540",39,"Up",0.000698829222071621,0.00931772296095494,9.38942674629517e-25,7.04207005972138e-24,"Lipopolysaccharide biosynthesis"
"path:ecp00780",15,"Down",0.000799457142048572,0.00959348570458286,2.02191963890121e-16,7.82678569897243e-16,"Biotin metabolism"
"path:ecp01212",21,"Down",0.00195551371293218,0.021332876868351,6.28125069299703e-24,4.18750046199802e-23,"Fatty acid metabolism"
"path:ecp00230",77,"Down",0.00281455648693203,0.0281455648693203,2.39885527139867e-07,5.53581985707385e-07,"Purine metabolism"
"path:ecp00565",1,"Down",0.00379151038331784,0.0349985573844724,0.00379151038331784,0.00699971147689447,"Ether lipid metabolism"
"path:ecp00260",39,"Down",0.00503121436826597,0.0431246945851369,4.45314527196719e-34,5.93752702928959e-33,"Glycine, serine and threonine metabolism"
"path:ecp00290",16,"Up",0.005451729622346,0.0435432166636748,0.000346925518927132,0.000693851037854264,"Valine, leucine and isoleucine biosynthesis"
"path:ecp03020",4,"Down",0.00593542001697636,0.0435432166636748,0.444671501350994,0.606370229114992,"RNA polymerase"
"path:ecp00250",31,"Down",0.00616862236068726,0.0435432166636748,1.19613691921186e-21,6.3875736256576e-21,"Alanine, aspartate and glutamate metabolism"
"path:ecp02060",43,"Up",0.00678769467864376,0.0452512978576251,0.000147246147780988,0.000299483690402009,"Phosphotransferase system (PTS)"
"path:ecp00660",12,"Up",0.00907641621934044,0.057324734016887,0.0137988169941998,0.0239979425986084,"C5-Branched dibasic acid metabolism"
"path:ecp02024",57,"Up",0.0104534182282571,0.0592700530285496,1.43817786508627e-22,8.62906719051764e-22,"Quorum sensing"
"path:ecp03410",13,"Down",0.0111040319613225,0.0592700530285496,0.0176965682351345,0.0299096927917766,"Base excision repair"
"path:ecp00620",61,"Up",0.011277209026438,0.0592700530285496,4.42482028430964e-35,6.63723042646447e-34,"Pyruvate metabolism"
"path:ecp00650",32,"Up",0.0113600934971387,0.0592700530285496,7.52029939247812e-09,2.0054131713275e-08,"Butanoate metabolism"
"path:ecp00400",22,"Down",0.0123052642712872,0.0615263213564358,3.44231146004636e-08,8.97994293925138e-08,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:ecp03018",17,"Down",0.0141685371602527,0.0680089783692128,1.42651607959572e-10,4.27954823878715e-10,"RNA degradation"
"path:ecp00020",34,"Up",0.0171343274769642,0.0790815114321423,2.66918205837335e-17,1.10448912760277e-16,"Citrate cycle (TCA cycle)"
"path:ecp00592",3,"Down",0.0207054051292471,0.0897798267235994,1,1,"alpha-Linolenic acid metabolism"
"path:ecp03030",17,"Down",0.0209486262355065,0.0897798267235994,0.00225741724774727,0.00423265733952614,"DNA replication"
"path:ecp00430",6,"Down",0.0263641809345904,0.10909316248796,0.864497081000412,1,"Taurine and hypotaurine metabolism"
"path:ecp00053",19,"Up",0.0287556974966574,0.11502278998663,6.08990487556563e-15,2.21451086384205e-14,"Ascorbate and aldarate metabolism"
"path:ecp00541",19,"Up",0.0388526141510611,0.147934997752478,2.57024056084365e-15,9.63840210316369e-15,"O-Antigen nucleotide sugar biosynthesis"
