"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",1.57191819144926e-15,1.88630182973912e-13,5.67578249588117e-25,2.961277823938e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp00633",7,"Up",4.11060727251524e-10,2.46636436350914e-08,6.728026790999e-06,1.18729884547041e-05,"Nitrotoluene degradation"
"path:ecp03070",56,"Down",6.27489133005516e-09,2.50995653202206e-07,8.78828882392282e-25,4.39414441196141e-24,"Bacterial secretion system"
"path:ecp01501",21,"Down",1.3090346679782e-07,3.92710400393461e-06,1.0967542178459e-21,4.70037521933959e-21,"beta-Lactam resistance"
"path:ecp01053",13,"Up",4.15466429239292e-07,9.97119430174301e-06,2.80420808416862e-06,5.09856015303386e-06,"Biosynthesis of siderophore group nonribosomal peptides"
"path:ecp02020",159,"Up",8.22542261252422e-07,1.64508452250484e-05,1.77639476864693e-38,3.55278953729386e-37,"Two-component system"
"path:ecp03018",17,"Down",2.48567589654978e-06,4.16952971763652e-05,7.27034255775979e-11,1.67777135948303e-10,"RNA degradation"
"path:ecp00620",61,"Up",2.77968647842435e-06,4.16952971763652e-05,1.93703169225648e-40,4.64887606141556e-39,"Pyruvate metabolism"
"path:ecp00640",34,"Up",6.28349678051061e-06,8.37799570734748e-05,7.06187514566786e-28,4.69274115145191e-27,"Propanoate metabolism"
"path:ecp00061",14,"Up",2.92745415518086e-05,0.000351294498621704,1.89421772978206e-08,3.8526462300652e-08,"Fatty acid biosynthesis"
"path:ecp00020",34,"Up",6.6797020895753e-05,0.000728694773408214,1.07540998716429e-32,1.29049198459715e-31,"Citrate cycle (TCA cycle)"
"path:ecp00790",26,"Down",0.000129132964826955,0.00129132964826955,8.94375146538043e-16,2.90067615093419e-15,"Folate biosynthesis"
"path:ecp00540",39,"Up",0.00018823677278982,0.00173757021036757,8.54523998712729e-26,4.66103999297852e-25,"Lipopolysaccharide biosynthesis"
"path:ecp00500",41,"Up",0.000218329089760882,0.00187139219795041,4.23338497829002e-29,3.62861569567716e-28,"Starch and sucrose metabolism"
"path:ecp00480",24,"Up",0.000260073454775068,0.00208058763820054,1.63362974309051e-22,7.53982958349464e-22,"Glutathione metabolism"
"path:ecp01212",21,"Up",0.000324643302942533,0.00235296984286121,1.45727400670665e-14,4.37182202011995e-14,"Fatty acid metabolism"
"path:ecp00053",19,"Up",0.000333337394405338,0.00235296984286121,1.89523831844296e-12,5.05396884918122e-12,"Ascorbate and aldarate metabolism"
"path:ecp00010",54,"Up",0.000423124350275139,0.00282082900183426,4.77565093206466e-37,8.1868301692537e-36,"Glycolysis / Gluconeogenesis"
"path:ecp00920",30,"Down",0.000615996475203442,0.00389050405391647,7.72527952137675e-14,2.26105742089076e-13,"Sulfur metabolism"
"path:ecp00740",12,"Down",0.000831540297212212,0.00498924178327327,0.000107838081445607,0.000184865282478183,"Riboflavin metabolism"
"path:ecp00561",13,"Up",0.000998031813465344,0.00547260585584867,1.52212872619676e-07,2.9460555990905e-07,"Glycerolipid metabolism"
"path:ecp00680",33,"Down",0.00100331107357226,0.00547260585584867,5.3287444977733e-13,1.45329395393817e-12,"Methane metabolism"
"path:ecp00520",53,"Up",0.00105235597872431,0.00549055293247467,1.40433558598678e-26,8.42601351592067e-26,"Amino sugar and nucleotide sugar metabolism"
"path:ecp00592",3,"Down",0.00160168450761939,0.00800842253809695,1,1,"alpha-Linolenic acid metabolism"
"path:ecp00565",1,"Down",0.00278420995538362,0.0133642077858414,0.00278420995538362,0.00417631493307543,"Ether lipid metabolism"
"path:ecp02026",49,"Up",0.00290861064927267,0.0134243568427969,6.22937811945703e-36,8.30583749260938e-35,"Biofilm formation - Escherichia coli"
"path:ecp00340",8,"Down",0.00338661308192534,0.0143306530037019,0.175928483342392,0.242659977023989,"Histidine metabolism"
"path:ecp00730",14,"Down",0.00348213918457411,0.0143306530037019,0.00608420200574627,0.00879643663481388,"Thiamine metabolism"
"path:ecp01502",7,"Down",0.00349429971489134,0.0143306530037019,0.0584910857746509,0.083558693963787,"Vancomycin resistance"
"path:ecp00625",4,"Up",0.00370208535928966,0.0143306530037019,0.240130516703631,0.313213717439518,"Chloroalkane and chloroalkene degradation"
"path:ecp00626",4,"Up",0.00370208535928966,0.0143306530037019,0.240130516703631,0.313213717439518,"Naphthalene degradation"
"path:ecp01200",119,"Up",0.0041580150262093,0.0155925563482849,1.07491506175205e-47,6.44949037051229e-46,"Carbon metabolism"
"path:ecp00780",15,"Up",0.0047629811597017,0.0173199314898244,1.2475209749345e-08,2.58107787917483e-08,"Biotin metabolism"
"path:ecp00670",13,"Down",0.0104405854397793,0.0368491250815739,4.47564160180369e-06,8.01607451069317e-06,"One carbon pool by folate"
"path:ecp00071",13,"Up",0.0114383888051819,0.0392173330463381,1.0603420043766e-08,2.23229895658231e-08,"Fatty acid degradation"
"path:ecp01220",5,"Up",0.0120970839567549,0.040323613189183,0.138324562658165,0.193011017662556,"Degradation of aromatic compounds"
"path:ecp00643",2,"Down",0.0134558670077798,0.0429094497587522,1,1,"Styrene degradation"
"path:ecp00770",24,"Down",0.0135879924236049,0.0429094497587522,0.000146171681279711,0.000247050728923455,"Pantothenate and CoA biosynthesis"
"path:ecp00040",37,"Up",0.0144075478133018,0.044330916348621,1.4141045610193e-17,5.30289210382239e-17,"Pentose and glucuronate interconversions"
"path:ecp00630",41,"Up",0.0172793496817583,0.0518380490452748,3.66701020448632e-23,1.76016489815344e-22,"Glyoxylate and dicarboxylate metabolism"
"path:ecp03030",17,"Down",0.018005143801295,0.0526979818574487,0.00309644980698118,0.00458733304737953,"DNA replication"
"path:ecp00650",32,"Up",0.0205302136534581,0.0586577532955944,9.85580107036116e-14,2.81594316296033e-13,"Butanoate metabolism"
"path:ecp00310",19,"Up",0.0223870989340438,0.0624756249322153,6.17387784772282e-12,1.53048692908073e-11,"Lysine degradation"
"path:ecp01240",143,"Down",0.0244420531133124,0.065827544935621,1.53263441048404e-36,2.29895161572607e-35,"Biosynthesis of cofactors"
"path:ecp00400",22,"Down",0.0246853293508579,0.065827544935621,9.40247546230055e-08,1.84966730405912e-07,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:ecp03420",8,"Down",0.0257542577583148,0.0671850202390821,0.497542464620403,0.621928080775504,"Nucleotide excision repair"
