"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",9.42866889642734e-17,1.13144026757128e-14,7.60122043364183e-25,3.3783201927297e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp00680",33,"Down",9.33065381023305e-11,5.59839228613983e-09,4.4869064779454e-26,2.56394655882595e-25,"Methane metabolism"
"path:ecp03018",17,"Down",2.20344285395851e-09,8.81377141583403e-08,7.01041766160281e-17,1.91193208952804e-16,"RNA degradation"
"path:ecp00240",50,"Down",7.62639463792708e-09,2.28791839137812e-07,4.13394450794012e-32,5.51192601058683e-31,"Pyrimidine metabolism"
"path:ecp02020",159,"Up",2.16312519550303e-08,5.19150046920728e-07,1.75542399770594e-36,7.02169599082375e-35,"Two-component system"
"path:ecp03030",17,"Down",1.22862416217151e-07,2.45724832434302e-06,5.54849876567176e-09,1.02433823366248e-08,"DNA replication"
"path:ecp00230",77,"Down",3.17812382257409e-07,5.44821226726987e-06,5.69335272257745e-21,1.95200664774084e-20,"Purine metabolism"
"path:ecp03070",56,"Down",1.29103374213961e-06,1.59550438738715e-05,2.69484033307266e-26,1.6169041998436e-25,"Bacterial secretion system"
"path:ecp00670",13,"Down",1.3118949054633e-06,1.59550438738715e-05,3.17673267913564e-11,6.46115121180131e-11,"One carbon pool by folate"
"path:ecp00633",7,"Up",1.32958698948929e-06,1.59550438738715e-05,6.17814495511843e-06,1.01558547207426e-05,"Nitrotoluene degradation"
"path:ecp00250",31,"Down",3.92532883164351e-06,3.8165903006539e-05,1.53022162670376e-25,7.65110813351881e-25,"Alanine, aspartate and glutamate metabolism"
"path:ecp00790",26,"Down",3.99988551817934e-06,3.8165903006539e-05,5.44364854213327e-24,2.25254422433101e-23,"Folate biosynthesis"
"path:ecp01240",143,"Down",4.13463949237506e-06,3.8165903006539e-05,1.30972631979092e-27,9.8229473984319e-27,"Biosynthesis of cofactors"
"path:ecp00460",7,"Down",7.79004579469085e-06,6.67718210973501e-05,3.64782084242081e-06,6.07970140403468e-06,"Cyanoamino acid metabolism"
"path:ecp03430",22,"Down",9.17704670664858e-06,7.34163736531886e-05,3.05660283369541e-13,7.33584680086899e-13,"Mismatch repair"
"path:ecp03020",4,"Down",1.00607098981775e-05,7.54553242363314e-05,0.109429409203273,0.133995194942783,"RNA polymerase"
"path:ecp02026",49,"Up",1.50310272803369e-05,0.000103984039193774,9.32880785849771e-30,8.61120725399789e-29,"Biofilm formation - Escherichia coli"
"path:ecp04122",18,"Down",1.55976058790661e-05,0.000103984039193774,4.83232145863748e-18,1.44969643759125e-17,"Sulfur relay system"
"path:ecp00130",21,"Down",1.72169689225489e-05,0.000108738751089783,8.45412832641701e-13,1.9892066650393e-12,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp00970",25,"Down",2.16993872811171e-05,0.000130196323686702,2.1816800311194e-10,4.222606511844e-10,"Aminoacyl-tRNA biosynthesis"
"path:ecp00650",32,"Up",3.32916974448845e-05,0.000190238271113626,1.3582197423958e-24,5.82094175312486e-24,"Butanoate metabolism"
"path:ecp03440",27,"Down",3.90565949463808e-05,0.000213035972434804,5.73852728749864e-17,1.60144947558102e-16,"Homologous recombination"
"path:ecp00592",3,"Down",0.000118640332072217,0.000618993036898522,0.719703055809053,0.83848899705909,"alpha-Linolenic acid metabolism"
"path:ecp03410",13,"Down",0.000131529292615844,0.00065764646307922,1.34798531913663e-07,2.34432229415067e-07,"Base excision repair"
"path:ecp00565",1,"Down",0.000137204302652613,0.000658580652732544,0.000137204302652613,0.000211083542542482,"Ether lipid metabolism"
"path:ecp03010",55,"Down",0.000164660453868665,0.000759971325547687,1.36867226675246e-06,2.31324890155345e-06,"Ribosome"
"path:ecp00260",39,"Down",0.000244371889895562,0.00105815434782928,7.01544145549947e-28,5.61235316439958e-27,"Glycine, serine and threonine metabolism"
"path:ecp01502",7,"Down",0.000246902681160166,0.00105815434782928,0.0378709297432493,0.0493968648824991,"Vancomycin resistance"
"path:ecp00920",30,"Down",0.0002612793459646,0.00108115591433627,6.55222902244503e-27,4.36815268163002e-26,"Sulfur metabolism"
"path:ecp00350",9,"Down",0.000572181535866431,0.00228872614346572,1.41423575807938e-07,2.42440415670751e-07,"Tyrosine metabolism"
"path:ecp00290",16,"Up",0.000784393873709166,0.0030363633821,2.73311393539482e-05,4.31544305588656e-05,"Valine, leucine and isoleucine biosynthesis"
"path:ecp00053",19,"Up",0.000862140501108678,0.00321142478068668,3.28336082391205e-12,7.03577319409725e-12,"Ascorbate and aldarate metabolism"
"path:ecp01220",5,"Down",0.000883141814688836,0.00321142478068668,0.00177624009446763,0.002568057967905,"Degradation of aromatic compounds"
"path:ecp00625",4,"Down",0.000944708100572758,0.00323899920196374,0.00813132454654136,0.0110881698361928,"Chloroalkane and chloroalkene degradation"
"path:ecp00626",4,"Down",0.000944708100572758,0.00323899920196374,0.00813132454654136,0.0110881698361928,"Naphthalene degradation"
"path:ecp00401",4,"Down",0.000983187379393587,0.00327729126464529,1,1,"Novobiocin biosynthesis"
"path:ecp00500",41,"Up",0.00109037897441391,0.0035363642413424,7.55515245828442e-17,2.01470732220918e-16,"Starch and sucrose metabolism"
"path:ecp00340",8,"Down",0.00115283431497768,0.00355239685881247,0.105683336468716,0.130742271920061,"Histidine metabolism"
"path:ecp01100",898,"Down",0.00116788541667246,0.00355239685881247,7.00523529422279e-31,7.64207486642486e-30,"Metabolic pathways"
"path:ecp00400",22,"Down",0.00120461766871319,0.00355239685881247,1.41770560062128e-16,3.69836243640333e-16,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:ecp00660",12,"Up",0.00121373559342759,0.00355239685881247,0.00286683623533316,0.00409548033619023,"C5-Branched dibasic acid metabolism"
"path:ecp02060",43,"Up",0.00132205789057192,0.0037773082587769,8.13358114212659e-06,1.31895910412864e-05,"Phosphotransferase system (PTS)"
"path:ecp00190",42,"Down",0.00143122881116597,0.00399412691488178,7.63598716342585e-15,1.90899679085646e-14,"Oxidative phosphorylation"
"path:ecp00520",53,"Up",0.00164178748492555,0.00447760223161514,2.78780530583845e-25,1.33814654680246e-24,"Amino sugar and nucleotide sugar metabolism"
"path:ecp00900",13,"Down",0.00170803534839186,0.00455476092904495,3.0964287006961e-10,5.89795942989733e-10,"Terpenoid backbone biosynthesis"
"path:ecp01040",3,"Down",0.00288344952996676,0.00752204225208719,0.584855025108761,0.694877257554964,"Biosynthesis of unsaturated fatty acids"
"path:ecp00562",3,"Down",0.0029984821689212,0.00752666815421301,0.311763978261871,0.374116773914246,"Inositol phosphate metabolism"
