"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",5.88283607212096e-15,7.05940328654515e-13,2.89950910610069e-25,1.39176437092833e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp02020",159,"Up",1.18280793459455e-09,7.09684760756728e-08,4.17831438772522e-37,2.50698863263513e-35,"Two-component system"
"path:ecp03070",56,"Down",1.7371862167946e-08,6.94874486717841e-07,8.62868864304883e-26,4.31434432152441e-25,"Bacterial secretion system"
"path:ecp00650",32,"Up",2.78949927881692e-08,8.36849783645076e-07,1.26798537342731e-26,7.60791224056388e-26,"Butanoate metabolism"
"path:ecp00620",61,"Up",6.10276475755453e-08,1.46466354181309e-06,4.19252945385532e-26,2.39573111648875e-25,"Pyruvate metabolism"
"path:ecp00020",34,"Up",8.71686761322331e-08,1.74337352264466e-06,4.39887817551844e-25,2.03025146562389e-24,"Citrate cycle (TCA cycle)"
"path:ecp03030",17,"Down",1.41561014660899e-07,2.42676025132971e-06,5.65402425581061e-08,9.9776898631952e-08,"DNA replication"
"path:ecp02026",49,"Up",1.65516420566459e-07,2.48274630849689e-06,8.63037972531331e-33,1.72607594506266e-31,"Biofilm formation - Escherichia coli"
"path:ecp00500",41,"Up",4.00836966018389e-07,5.34449288024519e-06,1.39633706216283e-17,4.52866074214972e-17,"Starch and sucrose metabolism"
"path:ecp00670",13,"Down",4.95305663142996e-07,5.94366795771595e-06,2.66887401576145e-09,5.08356955383133e-09,"One carbon pool by folate"
"path:ecp03018",17,"Down",5.54710775173237e-07,6.05139027461713e-06,3.76822805330492e-15,1.0515985265037e-14,"RNA degradation"
"path:ecp03430",22,"Down",7.38204198734343e-07,7.38204198734343e-06,2.0788024467591e-13,4.98912587222183e-13,"Mismatch repair"
"path:ecp00660",12,"Up",1.0758921287652e-06,9.93131195783265e-06,6.43152239340576e-06,1.02904358294492e-05,"C5-Branched dibasic acid metabolism"
"path:ecp02030",20,"Up",1.28580522692332e-06,1.10211876593427e-05,9.33138860117169e-10,1.86627772023434e-09,"Bacterial chemotaxis"
"path:ecp00480",24,"Up",1.79211718151305e-06,1.43369374521044e-05,3.3349477631148e-28,2.35408077396339e-27,"Glutathione metabolism"
"path:ecp03440",27,"Down",2.3826801025e-06,1.787010076875e-05,1.42412024571472e-15,4.06891498775635e-15,"Homologous recombination"
"path:ecp00230",77,"Down",3.08567203032983e-06,2.178121433174e-05,4.24428236661395e-21,1.54337540604144e-20,"Purine metabolism"
"path:ecp00630",41,"Up",4.15533535483375e-06,2.77022356988916e-05,3.18881080827273e-29,2.73326640709091e-28,"Glyoxylate and dicarboxylate metabolism"
"path:ecp00330",22,"Down",5.33485006695615e-06,3.36937898965652e-05,1.46577603877735e-22,5.67397176300909e-22,"Arginine and proline metabolism"
"path:ecp00290",16,"Up",9.58240048466866e-06,5.7494402908012e-05,2.35858376163942e-07,4.10188480285117e-07,"Valine, leucine and isoleucine biosynthesis"
"path:ecp00240",50,"Down",1.22650780534491e-05,7.00861603054235e-05,4.45502169339432e-26,2.43001183276054e-25,"Pyrimidine metabolism"
"path:ecp00970",25,"Down",1.36196593940868e-05,7.112959410389e-05,7.33157914292394e-12,1.62923980953865e-11,"Aminoacyl-tRNA biosynthesis"
"path:ecp00053",19,"Up",1.39101295619774e-05,7.112959410389e-05,9.21125671832322e-11,1.93921194069962e-10,"Ascorbate and aldarate metabolism"
"path:ecp00340",8,"Down",1.4225918820778e-05,7.112959410389e-05,0.0161706709618535,0.0215608946158047,"Histidine metabolism"
"path:ecp00010",54,"Up",1.53176927050384e-05,7.35249249841841e-05,5.98948314183032e-30,5.98948314183032e-29,"Glycolysis / Gluconeogenesis"
"path:ecp00520",53,"Up",1.95349632870474e-05,9.01613690171416e-05,2.39003975850166e-24,1.06223989266741e-23,"Amino sugar and nucleotide sugar metabolism"
"path:ecp00565",1,"Down",2.0473374167343e-05,9.09927740770802e-05,2.0473374167343e-05,3.19065571439112e-05,"Ether lipid metabolism"
"path:ecp01200",119,"Up",2.2380738994174e-05,9.59174528321742e-05,4.70288594631014e-31,7.05432891946521e-30,"Carbon metabolism"
"path:ecp00790",26,"Down",2.76151038597568e-05,0.000114269395281752,1.82686705650071e-23,7.30746822600282e-23,"Folate biosynthesis"
"path:ecp00561",13,"Up",3.94796811832316e-05,0.000157918724732926,7.6720496581973e-07,1.29668444927278e-06,"Glycerolipid metabolism"
"path:ecp00401",4,"Down",6.57480716871186e-05,0.000254508664595298,0.492428263381138,0.585063283225114,"Novobiocin biosynthesis"
"path:ecp00361",2,"Up",0.00011743486779397,0.000414476003978719,1,1,"Chlorocyclohexane and chlorobenzene degradation"
"path:ecp00364",2,"Up",0.00011743486779397,0.000414476003978719,1,1,"Fluorobenzoate degradation"
"path:ecp00623",2,"Up",0.00011743486779397,0.000414476003978719,1,1,"Toluene degradation"
"path:ecp01210",26,"Up",0.00012311835615422,0.000422120078243041,9.82818371505278e-15,2.56387401262246e-14,"2-Oxocarboxylic acid metabolism"
"path:ecp00633",7,"Up",0.000147273148577387,0.000490910495257957,5.81245943604037e-05,8.71868915406055e-05,"Nitrotoluene degradation"
"path:ecp02024",57,"Up",0.000164331677757782,0.000532967603538752,6.50642435348483e-24,2.78846758006493e-23,"Quorum sensing"
"path:ecp01240",143,"Down",0.000213830483399269,0.000675254158102956,7.46891074901435e-30,6.89437915293633e-29,"Biosynthesis of cofactors"
"path:ecp00400",22,"Down",0.000223283120761464,0.000687024986958351,8.13013911608966e-15,2.16803709762391e-14,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:ecp00190",42,"Up",0.000643802728452783,0.00193140818535835,3.47219261556649e-07,5.95233019811398e-07,"Oxidative phosphorylation"
"path:ecp00310",19,"Up",0.000786303758318944,0.00230137685361642,3.41463719658445e-13,8.03444046255165e-13,"Lysine degradation"
"path:ecp01501",21,"Up",0.000886630934515284,0.00253323124147224,1.14554399991413e-19,3.92757942827702e-19,"beta-Lactam resistance"
"path:ecp01502",7,"Down",0.000960870617088445,0.00268149939652589,0.0783635147409962,0.0989854923044162,"Vancomycin resistance"
"path:ecp02060",43,"Up",0.00124194930571148,0.00338713447012221,3.83154901009863e-12,8.6752053058837e-12,"Phosphotransferase system (PTS)"
"path:ecp00592",3,"Down",0.00128574520617439,0.0034286538831317,0.551343077867742,0.642341449943,"alpha-Linolenic acid metabolism"
"path:ecp00051",54,"Up",0.00131604329822778,0.00343315643015942,2.93182262363936e-11,6.39670390612223e-11,"Fructose and mannose metabolism"
"path:ecp00625",4,"Up",0.00138386261066007,0.00345965652665018,0.0542637868348481,0.0692729193636359,"Chloroalkane and chloroalkene degradation"
"path:ecp00626",4,"Up",0.00138386261066007,0.00345965652665018,0.0542637868348481,0.0692729193636359,"Naphthalene degradation"
"path:ecp03020",4,"Down",0.00141953512619669,0.00347641255395107,0.364497719995923,0.437397263995108,"RNA polymerase"
"path:ecp00730",14,"Down",0.00157517661689757,0.00378042388055417,0.00544905200148384,0.0076033283741635,"Thiamine metabolism"
"path:ecp01120",257,"Up",0.00175715102886572,0.00413447300909582,3.13937850315622e-35,1.25575140126249e-33,"Microbial metabolism in diverse environments"
"path:ecp00281",5,"Up",0.00209641922522229,0.00483789051974376,0.110868972647106,0.138586215808882,"Geraniol degradation"
"path:ecp03010",55,"Down",0.00238005037339128,0.0053887932982444,4.06471789604428e-05,6.19465498660054e-05,"Ribosome"
"path:ecp00030",35,"Up",0.00248938041577604,0.00553195647950231,8.64718832571688e-29,6.9177506605735e-28,"Pentose phosphate pathway"
"path:ecp00250",31,"Down",0.00312374611836447,0.00681544607643157,2.19207144184201e-30,2.63048573021041e-29,"Alanine, aspartate and glutamate metabolism"
"path:ecp04122",18,"Down",0.00410908955760884,0.00880519190916179,1.24257421238076e-06,2.04258774637933e-06,"Sulfur relay system"
"path:ecp00280",11,"Up",0.00465185495392215,0.00979337885036241,4.16493197212521e-08,7.45957965156755e-08,"Valine, leucine and isoleucine degradation"
"path:ecp01040",3,"Down",0.00518878933708622,0.0107354262146611,0.591684844094816,0.676211250394076,"Biosynthesis of unsaturated fatty acids"
"path:ecp00071",13,"Up",0.00532589482289429,0.0108323284533443,1.97137846882929e-09,3.81557122999218e-09,"Fatty acid degradation"
"path:ecp00600",2,"Up",0.00679489056538273,0.0135897811307655,1,1,"Sphingolipid metabolism"
"path:ecp00040",37,"Up",0.0078641837817904,0.0154705254723745,1.66340770666961e-14,4.15851926667401e-14,"Pentose and glucuronate interconversions"
"path:ecp03060",18,"Down",0.00981109246927197,0.018989211230849,8.08475262219284e-07,1.34745877036547e-06,"Protein export"
"path:ecp00910",23,"Up",0.0105450230936954,0.0200857582737054,2.52654243100717e-17,7.57962729302152e-17,"Nitrogen metabolism"
"path:ecp02010",181,"Up",0.0118844958721758,0.0222834297603297,4.84541892447139e-48,5.81450270936567e-46,"ABC transporters"
"path:ecp00562",3,"Down",0.0132397238063891,0.02444256702718,0.273354739266453,0.331339077898731,"Inositol phosphate metabolism"
"path:ecp00130",21,"Down",0.0138409227653461,0.0251653141188111,5.85887881101942e-14,1.43482746392312e-13,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp00760",24,"Up",0.0176379983722066,0.0315904448457432,2.93205811690761e-16,8.58163351290033e-16,"Nicotinate and nicotinamide metabolism"
"path:ecp00380",12,"Up",0.0204272270225458,0.0360480476868455,1.35812892987296e-06,2.20237123763182e-06,"Tryptophan metabolism"
"path:ecp00640",34,"Up",0.0211075872056118,0.0367088473141074,2.52518597540975e-30,2.75474833681064e-29,"Propanoate metabolism"
"path:ecp00920",30,"Down",0.0276482866284495,0.0473970627916277,4.14737161581962e-09,7.65668605997469e-09,"Sulfur metabolism"
"path:ecp03410",13,"Down",0.0302366147364683,0.0511041375827633,6.71634605585853e-06,1.06047569303029e-05,"Base excision repair"
"path:ecp00680",33,"Down",0.0311622910392284,0.0519371517320474,3.96378895829584e-19,1.32126298609861e-18,"Methane metabolism"
"path:ecp03420",8,"Down",0.0366564601479092,0.0602571947636864,0.124497762758043,0.154017850834692,"Nucleotide excision repair"
"path:ecp00785",3,"Down",0.0387178465481949,0.062785697105181,1,1,"Lipoic acid metabolism"
"path:ecp00220",20,"Up",0.0399779679364181,0.0639647486982689,5.75908963208632e-20,2.03261987014811e-19,"Arginine biosynthesis"
"path:ecp00362",7,"Up",0.0435258385540447,0.0687250082432284,0.250007032622808,0.306131060354459,"Benzoate degradation"
