"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp00240",50,"Down",2.2763408685819e-17,2.73160904229828e-15,7.69825161450778e-24,2.43102682563404e-23,"Pyrimidine metabolism"
"path:ecp00790",26,"Down",1.15974270495433e-16,6.95845622972597e-15,1.21533414902078e-24,4.28941464360277e-24,"Folate biosynthesis"
"path:ecp01240",143,"Down",7.75489004357389e-16,2.62755034364047e-14,6.27343136079966e-24,2.03462638728638e-23,"Biosynthesis of cofactors"
"path:ecp00030",35,"Down",8.75850114546822e-16,2.62755034364047e-14,1.36055331079313e-25,5.83094276054197e-25,"Pentose phosphate pathway"
"path:ecp00680",33,"Down",1.25403727643004e-15,2.87796147470717e-14,4.86104380353219e-25,1.82289142632457e-24,"Methane metabolism"
"path:ecp00970",25,"Down",1.43898073735359e-15,2.87796147470717e-14,3.79863013343256e-18,8.76606953869053e-18,"Aminoacyl-tRNA biosynthesis"
"path:ecp00670",13,"Down",2.13121886602304e-15,3.65351805603949e-14,3.73717720735669e-12,6.79486764973944e-12,"One carbon pool by folate"
"path:ecp00230",77,"Down",1.38519529636559e-14,2.07779294454839e-13,6.34890531342191e-22,1.73151963093325e-21,"Purine metabolism"
"path:ecp00010",54,"Down",8.61674906545257e-14,1.14889987539368e-12,9.31907837790501e-26,4.30111309749462e-25,"Glycolysis / Gluconeogenesis"
"path:ecp00400",22,"Down",1.0898231441166e-13,1.30778777293993e-12,6.00182377167995e-25,2.18248137151998e-24,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:ecp01503",37,"Up",3.12818967865109e-13,3.3009603350388e-12,1.71294485292455e-24,5.70981617641515e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp01110",355,"Down",3.3009603350388e-13,3.3009603350388e-12,1.40257762412257e-27,8.01472928070042e-27,"Biosynthesis of secondary metabolites"
"path:ecp00460",7,"Down",6.91450276764301e-13,6.38261793936278e-12,2.11529010527052e-06,3.05825075460799e-06,"Cyanoamino acid metabolism"
"path:ecp04122",18,"Down",8.73989733226849e-13,7.49134057051584e-12,1.51933029314037e-17,3.37628954031194e-17,"Sulfur relay system"
"path:ecp00750",10,"Down",1.0028645953821e-12,8.02291676305681e-12,3.79426250234236e-08,5.83732692668056e-08,"Vitamin B6 metabolism"
"path:ecp00480",24,"Down",1.33136658840013e-12,9.98524941300098e-12,1.35024109839734e-25,5.83094276054197e-25,"Glutathione metabolism"
"path:ecp00401",4,"Down",1.49763779987250e-12,1.05715609402765e-11,0.00661658659428162,0.00835779359277679,"Novobiocin biosynthesis"
"path:ecp00785",3,"Down",2.65903069800813e-12,1.77268713200542e-11,0.0652936110158983,0.0791437709283615,"Lipoic acid metabolism"
"path:ecp00250",31,"Down",3.30771118634112e-12,2.08908074926807e-11,1.90371499148482e-29,2.57645878052742e-28,"Alanine, aspartate and glutamate metabolism"
"path:ecp00130",21,"Down",4.04859746980802e-12,2.42915848188481e-11,4.78689987685731e-14,9.26496750359479e-14,"Ubiquinone and other terpenoid-quinone biosynthesis"
