"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_1125",2.17711184876807,9.084606476999,465.227329768097,1.1914461958085e-19,5.46516370017361e-16,"ECP_1125"
"ECP_1124",1.91564256443615,8.94872233971818,362.410279572758,3.7685176181581e-18,5.76206343816374e-15,"ECP_1124"
"ECP_3713",-2.1993960418295,8.58843086779799,370.056723617354,2.82958197667764e-18,5.76206343816374e-15,"ECP_3713"
"ECP_1552",2.39792652262522,8.4290775849022,335.12048847707,1.09919120199266e-17,1.26049751088508e-14,"ECP_1552"
"ECP_4492",1.95906299268907,10.7693594809996,322.472072092967,1.85573557539954e-17,1.70245181687153e-14,"ECP_4492"
"ECP_1339",1.85796937759642,8.67008453949563,313.543250666957,2.71684236744202e-17,2.07702598990942e-14,"ECP_1339"
"ECP_2895",1.74284154622055,8.9537310154601,294.657727990031,6.29417202424658e-17,4.12448101074558e-14,"ECP_2895"
"ECP_1481",1.89898346072643,9.75659293381424,277.253725302701,1.42754031749462e-16,8.18515929543477e-14,"ECP_1481"
"ECP_0855",2.11041846108903,8.28664877202783,271.596745281747,1.88174999986045e-16,9.51646647783104e-14,"ECP_0855"
"ECP_4364",2.61190140183404,6.26449218191449,269.623332967922,2.07466023061501e-16,9.51646647783104e-14,"ECP_4364"
"ECP_2846",2.34366548975911,7.15620120794019,262.764435399587,2.92736507975879e-16,1.22071123825942e-13,"ECP_2846"
"ECP_1587",1.82226173126647,10.9262037159624,256.163556115515,4.10908612177784e-16,1.57069817004958e-13,"ECP_1587"
"ECP_1553",2.37890891538149,7.87900446521159,248.451599338963,6.16866601176626e-16,2.17659007661322e-13,"ECP_1553"
"ECP_0609",1.59087729811277,9.28694646516362,237.373527714538,1.12836050383691e-15,3.45052642073327e-13,"ECP_0609"
"ECP_1086",-2.06232755500949,12.4352982881422,237.714480607052,1.10717063140629e-15,3.45052642073327e-13,"ECP_1086"
"ECP_2536",-1.75864415951413,7.97943501835726,230.114471390467,1.69938338503688e-15,4.8719197419776e-13,"ECP_2536"
"ECP_0853",2.05436992067148,7.40959391873811,208.851733133957,6.04628143444608e-15,1.63142899645907e-12,"ECP_0853"
"ECP_0653",2.81392195007778,5.88567976669698,206.15862800742,7.15817859084044e-15,1.82414251089917e-12,"ECP_0653"
"ECP_0689",1.48224042381774,8.25483022904486,204.954286027126,7.724333761913e-15,1.86481678767868e-12,"ECP_0689"
"ECP_2562",1.97121585454046,6.37080041615208,199.79194629316,1.07528783406385e-14,2.46617264742545e-12,"ECP_2562"
"ECP_4180",1.66025098889862,8.88475003446687,198.973583555672,1.13395849206766e-14,2.47688933481635e-12,"ECP_4180"
"ECP_0356",2.4100354570548,6.14590889303385,173.339655805753,6.64927997477618e-14,1.38637487474083e-11,"ECP_0356"
"ECP_0164",1.63095390090849,10.3324696976704,163.70182397442,1.37136712472214e-13,2.41940807734633e-11,"ECP_0164"
"ECP_1532",1.67582457759986,8.22766748741824,165.161980126339,1.22609380375246e-13,2.41940807734633e-11,"ECP_1532"
"ECP_1558",1.38242812639958,9.56305935433852,164.655871495189,1.27449402544734e-13,2.41940807734633e-11,"ECP_1558"
"ECP_2500",-1.48605540364827,9.27919438808718,163.765947450734,1.36461572270781e-13,2.41940807734633e-11,"ECP_2500"
"ECP_1017",-2.10619462746516,7.42182422969636,160.167676436423,1.80470036448494e-13,3.06598539699719e-11,"ECP_1017"
"ECP_2484",1.62684047365372,8.00797271421388,136.215381918063,1.34545128714138e-12,2.20413751932768e-10,"ECP_2484"
"ECP_1087",-1.28251770241621,11.2458156992349,123.928073319279,4.23775314648591e-12,6.70295644238995e-10,"ECP_1087"
"ECP_2535",-1.16002531726261,10.0811603442106,123.568289179843,4.38858833836246e-12,6.7101515693562e-10,"ECP_2535"
"ECP_4690",1.17261337056574,9.06425271189933,119.059843382953,6.85130494994232e-12,1.01377212275437e-09,"ECP_4690"
"ECP_0864",-1.34047729960371,6.87735589484187,114.350478862152,1.10731881697794e-11,1.58727231671181e-09,"ECP_0864"
"ECP_1531",1.68419281042305,8.11492436889054,119.237836578507,1.24181194586696e-11,1.72611860475507e-09,"ECP_1531"
"ECP_2258",1.26092149523911,11.985773282874,112.507261374379,1.34202310658758e-11,1.81054705585801e-09,"ECP_2258"
"ECP_0852",-1.45864745565202,5.56671289187206,112.114333443558,1.39861702780086e-11,1.8329875161493e-09,"ECP_0852"
"ECP_3542",-2.03587815330136,5.41349685728331,110.164079905342,1.71983336609443e-11,2.19135434729865e-09,"ECP_3542"
"ECP_0048",1.16008302476897,8.48580638761255,109.423792518589,1.8616596307377e-11,2.3079547908632e-09,"ECP_0048"
"ECP_1085",-1.17474432016644,10.2860398465562,108.209997448725,2.12191995752538e-11,2.49570431927408e-09,"ECP_1085"
"ECP_4181",1.34399011654029,7.14582032941436,108.283007689313,2.10521499980851e-11,2.49570431927408e-09,"ECP_4181"
"ECP_2326",-1.18158548685951,7.83226121122588,104.403133692718,3.22330591894103e-11,3.69632606254562e-09,"ECP_2326"
"ECP_2485",1.08497705831561,9.18068630638884,100.926172320652,4.77260479759327e-11,5.3394971235513e-09,"ECP_2485"
"ECP_4215",1.81115509326788,5.17816534767378,92.9627970413684,1.22214833815089e-10,1.33476057788051e-08,"ECP_4215"
"ECP_1769",2.47556638328566,8.40967226765844,146.687461893492,1.29161916878833e-10,1.37782723889117e-08,"ECP_1769"
