"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_1124",1.98479743307323,8.94822924322622,262.445656663244,4.54102328754943e-13,1.04148369099946e-09,"ECP_1124"
"ECP_1552",2.28081080979807,8.42807394427633,274.196424583553,3.0010708978229e-13,1.04148369099946e-09,"ECP_1552"
"ECP_1481",1.8301542531911,9.75633279273522,249.491501635358,7.31749258999693e-13,1.11884461701053e-09,"ECP_1481"
"ECP_0689",1.50204076209418,8.25411454289289,229.995848608924,1.56977825947821e-12,1.44011457524531e-09,"ECP_0689"
"ECP_1125",2.17809559160291,9.08413583639383,231.126829388524,1.49937831787317e-12,1.44011457524531e-09,"ECP_1125"
"ECP_4492",2.0718684195098,10.7692016246238,212.369824795965,3.30108093232947e-12,2.52367637276588e-09,"ECP_4492"
"ECP_2562",2.34434818454733,6.36799323221537,197.697157480003,6.40782612347805e-12,4.19895691834198e-09,"ECP_2562"
"ECP_0609",1.50550810269972,9.28671176318732,184.775579855064,1.19401248244263e-11,6.84616907120543e-09,"ECP_0609"
"ECP_0164",1.82197236433564,10.3325319974472,179.831477900455,1.53104508723853e-11,7.80322646129238e-09,"ECP_0164"
"ECP_4364",2.84841685102766,6.26281293721783,161.076109450245,4.17383695970886e-11,1.91453901341845e-08,"ECP_4364"
"ECP_0855",2.12062420084283,8.28559467939353,139.513324134168,1.51758167648765e-10,6.32831559095352e-08,"ECP_0855"
"ECP_1553",2.34633220144252,7.87727619063647,137.436512875024,1.73428106640679e-10,6.62928937633996e-08,"ECP_1553"
"ECP_2846",1.85239382382623,7.15521437812076,131.561683343408,2.5548080332235e-10,9.01454188338168e-08,"ECP_2846"
"ECP_1532",1.55509774070695,8.22722747273089,126.321700907004,3.65634324325286e-10,1.19797474691435e-07,"ECP_1532"
"ECP_2484",1.75132918928105,8.00742674013674,120.656121424549,5.46793257885955e-10,1.67209378261525e-07,"ECP_2484"
"ECP_1769",2.14062249192517,8.40877326135516,106.682820310559,1.58904581309884e-09,4.35298566888426e-07,"ECP_1769"
"ECP_3062",2.45587959264338,4.29198302792322,106.495040871937,1.61327134011407e-09,4.35298566888426e-07,"ECP_3062"
"ECP_1339",1.79109728735323,8.66938127865435,101.286203629668,2.4774792830437e-09,6.31344303962303e-07,"ECP_1339"
"ECP_4690",1.13792589320149,9.06401227074941,100.094188969967,2.74017266491331e-09,6.6153536915565e-07,"ECP_4690"
"ECP_0356",2.48552346928362,6.14304555291834,94.267823318741,4.55211448524245e-09,1.02457229527355e-06,"ECP_0356"
"ECP_3282",0.982322428791182,8.83169776933913,93.9327443819272,4.69065144991161e-09,1.02457229527355e-06,"ECP_3282"
"ECP_0048",1.12803074788303,8.48548289357485,89.4501806900781,7.0668299523957e-09,1.40937169528866e-06,"ECP_0048"
"ECP_1558",1.53836226970559,9.56290519145209,89.7282767419534,6.88604510561346e-09,1.40937169528866e-06,"ECP_1558"
"ECP_4180",1.70898324426745,8.88415739335232,86.116001927403,9.69294181030148e-09,1.85256350349387e-06,"ECP_4180"
"ECP_0653",2.53767216071627,5.88300210020631,84.0122367753076,1.18933203028529e-08,2.10148133768515e-06,"ECP_0653"
"ECP_1587",1.76645873182818,10.9261606251606,83.9966029496211,1.19116012164408e-08,2.10148133768515e-06,"ECP_1587"
"ECP_2575",1.3075928991534,9.04100966671502,74.6356409707932,3.12419882320093e-08,5.3076666674158e-06,"ECP_2575"
"ECP_3279",1.06214983701966,8.64640931335652,58.8544269766094,2.0233295318947e-07,3.31464734385749e-05,"ECP_3279"
"ECP_2531",0.867767475217022,9.1757108512073,55.963731612644,2.96778229125155e-07,4.39136044192608e-05,"ECP_2531"
"ECP_3127",1.18740107576798,10.8361240154363,56.0987521302743,2.91419821744061e-07,4.39136044192608e-05,"ECP_3127"
"ECP_3278",1.03056926586259,6.86303591934139,56.3328965215043,2.82377908439387e-07,4.39136044192608e-05,"ECP_3278"
"ECP_2303",2.28458216923701,6.62419580607093,57.0568586465377,3.42929526854381e-07,4.91568043650327e-05,"ECP_2303"
"ECP_4181",1.44925514553115,7.14446352879555,52.5150714954914,4.7812918727242e-07,6.64599570308664e-05,"ECP_4181"
"ECP_2252",-1.23541469324743,6.36973161842135,49.6220003593048,7.26410870327427e-07,9.8001372417409e-05,"ECP_2252"
"ECP_0435",1.434844035648,6.79596925708022,48.2414836102339,8.92455942726606e-07,0.000116962725979627,"ECP_0435"
"ECP_3280",1.1088461440333,8.37836057796336,48.0332339858637,9.20944313484364e-07,0.000117343654609799,"ECP_3280"
"ECP_0165",0.829901838835003,7.63605718088463,45.9901529134002,1.26015526289446e-06,0.000152650280633948,"ECP_0165"
"ECP_1541",1.52683463103988,5.02700431645214,45.967583503005,1.26459792110094e-06,0.000152650280633948,"ECP_1541"
"ECP_1741",-1.09088220623154,5.84637433253456,43.8563613626731,1.76742656283207e-06,0.000207876554966941,"ECP_1741"
"ECP_0853",1.91095233105751,7.40817614024803,44.7763612913619,1.97304810879631e-06,0.000226259291876216,"ECP_0853"
"ECP_3339",1.39779704809884,4.87744094410391,42.8622969405004,2.0773490056931e-06,0.00023240975339303,"ECP_3339"
"ECP_0201",0.806968012913776,6.51654770965588,42.3498897268374,2.26008056224472e-06,0.000246833084262299,"ECP_0201"
"ECP_1531",1.67272005698421,8.11462941386523,40.3749819816015,3.8558218041193e-06,0.000411317549197563,"ECP_1531"
"ECP_0854",1.33744334463611,6.85076429900475,38.6591673309615,4.23966175371038e-06,0.000441984737824307,"ECP_0854"
"ECP_2414",0.790869351440788,6.15888088523208,38.4087979062725,4.43097866548194e-06,0.000451664425301459,"ECP_2414"
"ECP_0962",0.862616916223921,13.5292684667011,37.97997749669,4.78109658891116e-06,0.000476758479420337,"ECP_0962"
"ECP_1726",-0.923999470185697,6.01227684909786,37.0633547565448,5.63607417657353e-06,0.000550056856339209,"ECP_1726"
"ECP_1748",-0.660902868368672,7.67136933218514,36.6442358176129,6.0819212620067e-06,0.000581203600600515,"ECP_1748"
"ECP_2485",1.20596961758191,9.18063737066428,36.3910580693469,6.36995184014172e-06,0.000596305491647552,"ECP_2485"
"ECP_0597",1.14255094399459,9.95402384239449,35.9331358686232,6.92978582480039e-06,0.000635738551567188,"ECP_0597"
"ECP_4365",1.58263013907059,4.5899016508959,35.1452490888316,8.02404043195589e-06,0.000721691636497679,"ECP_4365"
"ECP_0357",2.0236315708247,5.78049487200268,35.8803918712664,8.19830872881413e-06,0.000723185425751354,"ECP_0357"
"ECP_4054",1.23569403636397,6.41545957096693,34.1981641064205,9.59811536728866e-06,0.000830689720561379,"ECP_4054"
"ECP_4482",-1.08920554568186,8.80789208176326,33.7059693966529,1.05480130786695e-05,0.000895995110960312,"ECP_4482"
"ECP_0470",-0.674314288176908,7.90759923571562,31.6959748132593,1.56557130735959e-05,0.00128237064051043,"ECP_0470"
"ECP_0743",0.904604574389332,10.2827919612904,31.7357587064718,1.55314418723045e-05,0.00128237064051043,"ECP_0743"
"ECP_0800",1.03442157884075,6.48976041275399,31.4259809089589,1.65285478128124e-05,0.00133011313714685,"ECP_0800"
"ECP_3567",0.762224703534523,8.86780845731246,31.0040009902407,1.80018938050592e-05,0.00142370149799666,"ECP_3567"
"ECP_2258",0.990814321435959,11.9857800465533,30.811825893927,1.87202701224932e-05,0.00145542167884536,"ECP_2258"
"ECP_1295",-0.857630398141024,6.86879778774984,30.6821086263352,1.92229781865575e-05,0.00146959668236232,"ECP_1295"
"ECP_2740",1.03635094749201,4.68620671519981,29.8379036334408,2.28809699778393e-05,0.00172057392275982,"ECP_2740"
"ECP_4783",0.918017180927113,6.84713006133952,29.6116185144881,2.39871955214367e-05,0.00177466557833597,"ECP_4783"
"ECP_1161",1.24669402907785,6.74027058782917,29.4850937361752,2.46312854516712e-05,0.00179339216455263,"ECP_1161"
"ECP_2302",1.88252466042283,5.84288824069678,29.9588271475306,2.60830257048016e-05,0.00186941935793633,"ECP_2302"
"ECP_1422",0.799187651105502,7.20295040094611,28.8337844201746,2.82626698860682e-05,0.00199447487334454,"ECP_1422"
"ECP_1232",-0.900619102381042,5.73977157971836,28.0646473202525,3.33289806226851e-05,0.00221565266835154,"ECP_1232"
"ECP_1768",1.66487826282421,8.71825472308995,29.6807418406687,3.29579588620432e-05,0.00221565266835154,"ECP_1768"
"ECP_2573",0.735191105016608,7.21520660172675,28.2660990713555,3.19118118528872e-05,0.00221565266835154,"ECP_2573"
"ECP_4373",0.684236464495968,8.87928604744834,28.1244036717712,3.2901514439096e-05,0.00221565266835154,"ECP_4373"
"ECP_2453",0.888796362651586,6.91750359359268,27.9772552002694,3.39651841605815e-05,0.00222568999635125,"ECP_2453"
"ECP_2574",1.05534409533604,8.48842948378572,27.0079843481693,4.19927629522746e-05,0.00267463466556553,"ECP_2574"
"ECP_4118",-0.932947411472902,11.602820299727,26.9467853564906,4.25655832976419e-05,0.00267463466556553,"ECP_4118"
"ECP_4217",0.947995708521702,5.86804173553715,27.0242234920357,4.18421931106268e-05,0.00267463466556553,"ECP_4217"
"ECP_4646",1.46956229753179,6.646205996982,26.8922424585181,4.45685283140458e-05,0.00276264647806119,"ECP_4646"
"ECP_4177",-0.903169883112075,6.77830049072909,26.4355887093187,4.7700686195233e-05,0.00291737396770045,"ECP_4177"
"ECP_2529",0.958445569849001,7.22873281226506,26.2450427954535,4.9786179719894e-05,0.00300485797862045,"ECP_2529"
"ECP_4215",1.80851766376606,5.15124987410428,25.9886509015651,5.91941250085951e-05,0.00352627858979774,"ECP_4215"
"ECP_1545",1.59516696881156,4.54829251221387,25.3892372845008,6.04753082396992e-05,0.00355641331917308,"ECP_1545"
"ECP_3514",1.69788803137668,2.948266140596,24.7126875205468,7.0720628777398e-05,0.00410627245825221,"ECP_3514"
"ECP_2486",0.870319876945002,6.37971643324848,24.3618361862785,7.67751283559849e-05,0.00440209392211128,"ECP_2486"
"ECP_1017",-1.7632810026968,7.42491621982931,25.4660710036588,7.88303209181568e-05,0.0044294144133279,"ECP_1017"
"ECP_2215",1.44567036463841,9.20102052209164,25.1514210399515,7.91829042713947e-05,0.0044294144133279,"ECP_2215"
"ECP_0386",-0.748359863933572,6.49287936769182,23.570485449981,9.26376877880577e-05,0.00511962739619061,"ECP_0386"
"ECP_1346",1.78412709702278,3.99047371930698,22.6262793980392,0.000116461009592944,0.00635960298812899,"ECP_1346"
"ECP_3058",-1.00362601520864,3.63339852823875,22.2124718196078,0.000128966447177169,0.00695963639060795,"ECP_3058"
"ECP_2415",1.34283462325233,5.94706023914313,22.1253516235306,0.000131783539201287,0.0070289662129803,"ECP_2415"
