"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_2895",-1.16757104807978,8.95355187602804,233.157350836627,1.38152811168178e-12,6.33706944828431e-09,"ECP_2895"
"ECP_1124",1.1235825522727,8.94822924322622,177.235908944945,1.74885568347574e-11,4.01100051005161e-08,"ECP_1124"
"ECP_0689",0.877648183887828,8.25411454289289,163.314788253541,3.6831888440317e-11,5.63159574252447e-08,"ECP_0689"
"ECP_1125",1.21961548863492,9.08413583639383,154.671057174218,6.02191073780405e-11,6.9056261385768e-08,"ECP_1125"
"ECP_2298",1.45703547961801,7.47544096396824,149.732099584639,8.06402029215883e-11,7.39793221602651e-08,"ECP_2298"
"ECP_1532",1.07668478293762,8.22722747273089,123.278863513587,4.52950248192512e-10,3.46280464743176e-07,"ECP_1532"
"ECP_4492",1.06648921012555,10.7692016246238,119.327024535241,6.02351500102951e-10,3.94712332996034e-07,"ECP_4492"
"ECP_2575",1.13889747580858,9.04100966671502,114.165035834895,8.85104236095818e-10,4.59825224456795e-07,"ECP_2575"
"ECP_3062",1.60216740945325,4.29198302792322,113.913414573063,9.02207765448256e-10,4.59825224456795e-07,"ECP_3062"
"ECP_4482",-1.39905875527224,8.80789208176326,111.31130080194,1.10204656578098e-09,5.05508759723734e-07,"ECP_4482"
"ECP_3282",0.735164910845979,8.83169776933913,108.329206291578,1.39296703424054e-09,5.80867253278305e-07,"ECP_3282"
"ECP_2846",1.15076392261358,7.15521437812076,106.45515301457,1.61846937985669e-09,6.1865992045022e-07,"ECP_2846"
"ECP_1552",0.963947754464531,8.42807394427633,104.977110775993,1.82468680115457e-09,6.43833719761232e-07,"ECP_1552"
"ECP_2299",1.43750497114895,6.06928786382196,98.0078349925899,3.2767907408112e-09,1.07361708057864e-06,"ECP_2299"
"ECP_4356",1.23415012543714,7.22047465834432,97.1238910229328,3.53813727147133e-09,1.08196237761593e-06,"ECP_4356"
"ECP_2562",1.1078707158814,6.36799323221537,93.7912959733818,4.75051779854407e-09,1.3619140713701e-06,"ECP_2562"
"ECP_1339",1.12761771418838,8.66938127865435,83.6694850495411,1.23012766804752e-08,3.15723035210001e-06,"ECP_1339"
"ECP_3279",0.887392401110027,8.64640931335652,83.5970928665483,1.23893931410072e-08,3.15723035210001e-06,"ECP_3279"
"ECP_1481",0.72041091076411,9.75633279273522,81.3293966357639,1.55337991247407e-08,3.75018613606239e-06,"ECP_1481"
"ECP_0865",0.83040216648592,8.58766892005242,80.4041078369323,1.70607158591569e-08,3.91287518229763e-06,"ECP_0865"
"ECP_2484",0.968472969283691,8.00742674013674,79.1351218994127,1.94295689813448e-08,4.05106513261038e-06,"ECP_2484"
"ECP_4357",1.52681800059946,9.24367744516364,80.9248741406839,1.93134579088549e-08,4.05106513261038e-06,"ECP_4357"
"ECP_0609",0.67656733802843,9.28671176318732,77.1014220275252,2.40158786130311e-08,4.78960153034669e-06,"ECP_0609"
"ECP_1513",1.29645497375659,8.45851277939983,76.4316297718097,2.57772882963724e-08,4.92668422564418e-06,"ECP_1513"
"ECP_3280",0.945754958294536,8.37836057796336,72.0573236055903,4.14438210624777e-08,7.6041122885434e-06,"ECP_3280"
"ECP_4180",1.08257541579248,8.88415739335232,71.5702693319756,4.37554919533979e-08,7.71947852270138e-06,"ECP_4180"
"ECP_1769",1.15756082432958,8.40877326135516,66.0406375835314,8.27816828985222e-08,1.40636881279823e-05,"ECP_1769"
"ECP_4168",0.885803913599183,9.40321413429848,64.4866978158002,9.97703663544603e-08,1.63445239452825e-05,"ECP_4168"
"ECP_0135",0.728573931039508,7.59870940063277,63.0830927137387,1.18450427516426e-07,1.75268422908983e-05,"ECP_0135"
"ECP_2295",1.53248617629298,6.17130356299559,63.133675582196,1.17714085671158e-07,1.75268422908983e-05,"ECP_2295"
"ECP_4108",-0.823390806796597,6.28398603876806,63.3413124458653,1.14743759999018e-07,1.75268422908983e-05,"ECP_4108"
"ECP_0597",1.06295232289566,9.95402384239449,61.5377310791723,1.43579211212568e-07,2.05811825572515e-05,"ECP_0597"
