"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_3713",-2.39328264717844,8.69976139358996,1077.84058052259,0.000000000000000000000000147849533181892,0.000000000000000000000666505695583968,"ECP_3713"
"ECP_1086",-2.22291161803693,12.4014795932337,510.300209679018,0.00000000000000000000954029820512334,0.000000000000000021503832154348,"ECP_1086"
"ECP_1087",-1.71599009235204,11.3038998539952,439.473806799511,0.0000000000000000000833468213518985,0.00000000000000012524249021812,"ECP_1087"
"ECP_1124",1.19539649532579,8.77767968380167,324.093325370508,0.0000000000000000064659091635421,0.00000000000000728707962731194,"ECP_1124"
"ECP_4123",2.07815936314947,8.63856665644475,336.476907856293,0.0000000000000000165787174041113,0.0000000000000149473716115467,"ECP_4123"
"ECP_1339",1.14536688193654,8.53495688551245,261.598134138887,0.000000000000000129384291980278,0.0000000000000972107313745156,"ECP_1339"
"ECP_1125",1.22439441945505,8.92403541707511,251.862649163905,0.000000000000000218501793400159,0.000000000000140715154949702,"ECP_1125"
"ECP_1085",-1.26492642206196,10.3024345072381,237.013438822609,0.000000000000000503714507941637,0.000000000000283843125225112,"ECP_1085"
"ECP_3542",-2.07916707616246,5.33902804204068,230.925388943445,0.000000000000000719075832250367,0.000000000000360177094642739,"ECP_3542"
"ECP_2298",1.58601232207796,6.90729357787177,197.942555055898,0.00000000000000578973633735617,0.00000000000261001314088016,"ECP_2298"
"ECP_4180",1.07777998266952,8.74314656302494,194.799998768825,0.00000000000000717344425358618,0.00000000000293980788137877,"ECP_4180"
"ECP_1481",0.990660574161539,9.60090108271608,158.296874687374,0.000000000000110621667550093,0.0000000000413982871441047,"ECP_1481"
"ECP_4068",-1.2572774293875,6.70668611217318,157.369788590784,0.000000000000119382815632955,0.0000000000413982871441047,"ECP_4068"
"ECP_2296",1.36561183052139,7.82636380708296,156.489358826307,0.000000000000135430069034262,0.0000000000436084822290324,"ECP_2296"
"ECP_2895",0.871331882303939,8.9045194327293,151.286371561952,0.000000000000198751715520637,0.0000000000597315155711354,"ECP_2895"
"ECP_0936",-1.00032400989679,6.54352689267961,146.492160302782,0.000000000000300662720172143,0.000000000081760990376576,"ECP_0936"
"ECP_4356",1.41332820944531,7.2067529570946,147.091247764222,0.000000000000308326716149466,0.000000000081760990376576,"ECP_4356"
"ECP_0852",-1.26996656399118,5.16579950898961,133.701968734388,0.000000000000961047254084974,0.000000000228021106390266,"ECP_0852"
"ECP_2500",-0.921147510686444,9.28837918277791,134.098882190513,0.000000000000925757828165036,0.000000000228021106390266,"ECP_2500"
"ECP_0171",2.14587202576306,10.5654005605879,204.946017469513,0.00000000000116308760500284,0.000000000254824082226758,"ECP_0171"
"ECP_0689",0.815076161440011,8.15728852627737,131.479031562593,0.00000000000118706870602527,0.000000000254824082226758,"ECP_0689"
"ECP_4492",0.841948482714639,10.598309427776,126.861521904578,0.00000000000185840192172157,0.000000000380803448323675,"ECP_4492"
"ECP_1552",1.01635934382326,8.09656326636709,124.536071990855,0.00000000000234079663039373,0.00000000045879613955717,"ECP_1552"
"ECP_1558",0.764282189896812,9.46835425363739,117.885055171546,0.00000000000461952196042433,0.000000000867700208233037,"ECP_1558"
"ECP_0940",-1.58613128945905,8.08782555280223,157.042049435854,0.00000000000512892893349883,0.000000000924009227257985,"ECP_0940"
"ECP_2299",1.48843004102835,5.47240172847987,116.523748254736,0.00000000000532924576501943,0.000000000924009227257985,"ECP_2299"
"ECP_3282",0.760023311999125,8.85771817816499,113.422321144714,0.00000000000741762932096774,0.00000000123846936958972,"ECP_3282"
"ECP_2484",0.971975455995809,7.99738279727608,111.575996416203,0.00000000000906233778602503,0.00000000145903638355003,"ECP_2484"
"ECP_2575",1.0367317843401,9.08782260074043,110.011494089125,0.000000000010760584529762,0.00000000167271431241956,"ECP_2575"
"ECP_0597",1.21578108053121,9.35232767729115,117.300558412164,0.0000000000183844206966826,0.00000000276256561668818,"ECP_0597"
"ECP_0653",1.27462193130416,5.74015478084197,104.314939388157,0.0000000000204507000775842,0.00000000297392761128224,"ECP_0653"
"ECP_3279",0.798177346370102,8.60529787788847,103.957637049979,0.0000000000213105077562316,0.00000000300211778015913,"ECP_3279"
"ECP_2846",1.13099213505297,6.95961565583121,100.894243913205,0.0000000000304745027532107,0.00000000416300177004465,"ECP_2846"
"ECP_1532",0.962523636004081,7.99910744845729,98.4885541769888,0.0000000000405986269945254,0.00000000538290030856824,"ECP_1532"
"ECP_2485",0.753160219404479,9.18851564322057,97.6518623221227,0.0000000000449146866522023,0.00000000578501164080365,"ECP_2485"
"ECP_4168",0.960544661511644,9.21470812449436,96.8916360707082,0.0000000000492614202146365,0.00000000616862450909948,"ECP_4168"
"ECP_0304",-1.34724625712115,5.43225878526646,95.2004432686654,0.0000000000606217070703866,0.00000000738601771549467,"ECP_0304"
"ECP_2362",0.897209388599822,10.6819289174297,91.1961280200875,0.000000000100228194047901,0.0000000118902289149457,"ECP_2362"
"ECP_2599",1.74667942623961,8.94173003805254,140.71141135385,0.000000000107680019573439,0.0000000124467058522324,"ECP_2599"
"ECP_0048",0.735270734006994,8.37144682918329,88.6864389650651,0.000000000138541337745364,0.0000000156136087639026,"ECP_0048"
"ECP_0855",0.847319543827284,7.95225758366722,84.2821954682914,0.000000000248708880719655,0.0000000273458447386391,"ECP_0855"
"ECP_0524",0.928492909095751,9.85714824003845,83.3648149315262,0.000000000281748236031054,0.0000000302409773339998,"ECP_0524"
"ECP_2297",1.33456964443705,5.8908849431747,83.0429879056109,0.000000000304059643599453,0.0000000318767644964263,"ECP_2297"
