"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1513",2.12890905204788,8.50620323405001,523.726262870594,0.00000000000000000000653327453352618,0.000000000000000029452001597136,"ECP_1513"
"ECP_1514",2.15504831524273,9.608850175309,433.332217680652,0.000000000000000000102119545295919,0.000000000000000230177455097,"ECP_1514"
"ECP_2298",2.25612811943711,6.90729357787177,402.939862608088,0.000000000000000000290835188984994,0.000000000000000437028343981451,"ECP_2298"
"ECP_4123",2.37942804938374,8.63856665644475,437.402469260445,0.000000000000000000477764602644966,0.000000000000000538440707180876,"ECP_4123"
"ECP_0865",1.47894679482232,8.65518998853266,345.45982174631,0.00000000000000000261845092299449,0.00000000000000236079535217183,"ECP_0865"
"ECP_0609",1.30082461605877,9.1245788695865,329.182176938278,0.00000000000000000518821674692743,0.00000000000000389808018252481,"ECP_0609"
"ECP_0940",-2.95239939489921,8.08782555280223,482.90772219846,0.0000000000000000213648439093301,0.0000000000000120390895429075,"ECP_0940"
"ECP_1481",1.37027750935832,9.60090108271608,299.347442270842,0.0000000000000000197734399849539,0.0000000000000120390895429075,"ECP_1481"
"ECP_2296",1.86593501796704,7.82636380708296,289.747864283198,0.0000000000000000337639131205536,0.0000000000000169119689274951,"ECP_2296"
"ECP_2214",1.28322180196007,7.50012820812334,274.304440667817,0.000000000000000066995339271434,0.0000000000000302014989435624,"ECP_2214"
"ECP_3248",2.02999012213389,6.05581114284259,264.414332369632,0.000000000000000111549660405062,0.0000000000000457150790096382,"ECP_3248"
"ECP_1339",1.1457648735735,8.53495688551245,262.390518349095,0.000000000000000124078077310677,0.0000000000000466119977097109,"ECP_1339"
"ECP_0864",1.41326505992595,6.95151634719917,252.281417147321,0.000000000000000213552735329009,0.0000000000000740535177587057,"ECP_0864"
"ECP_1515",2.05701299295234,6.66860459946683,256.21744246709,0.000000000000000249929927494614,0.0000000000000804774366532657,"ECP_1515"
"ECP_0524",1.60739504553913,9.85714824003845,244.317159365422,0.000000000000000332136090723637,0.0000000000000998179664654769,"ECP_0524"
"ECP_2299",2.05874539096453,5.47240172847987,234.296193897167,0.000000000000000589849348903453,0.000000000000166190054053548,"ECP_2299"
"ECP_0171",3.14346380057171,10.5654005605879,414.218569199948,0.000000000000000833399015922104,0.000000000000220997809633932,"ECP_0171"
"ECP_2280",1.3293127456259,6.59400834825008,218.723295219227,0.00000000000000150590224586862,0.000000000000362226343140754,"ECP_2280"
"ECP_2297",2.12508904156286,5.8908849431747,219.5802415405,0.00000000000000152668600702625,0.000000000000362226343140754,"ECP_2297"
"ECP_1125",1.13163960957958,8.92403541707511,216.033985577597,0.00000000000000178101877529596,0.00000000000040144163195171,"ECP_1125"
"ECP_1124",0.96942647355461,8.77767968380167,214.559052478585,0.00000000000000195422216515324,0.000000000000419506358119562,"ECP_1124"
"ECP_0523",1.54618700045647,11.3011256955127,213.560264989104,0.00000000000000208164294582577,0.000000000000426547563626481,"ECP_0523"
"ECP_3047",-1.70449118269362,5.56447818922736,197.751332087175,0.00000000000000586523145371442,0.00000000000114958536492803,"ECP_3047"
"ECP_3046",-1.5421748042045,6.41206894573608,194.848420068949,0.00000000000000714963443252814,0.00000000000134293966757654,"ECP_3046"
"ECP_3045",-1.64336913943816,5.80374724748798,189.431242746439,0.0000000000000104179929489006,0.00000000000187857248854575,"ECP_3045"
"ECP_3145",1.57364547429929,7.85083163488768,191.215181370828,0.0000000000000125320001293941,0.00000000000209237987345587,"ECP_3145"
"ECP_4180",1.05418921250946,8.74314656302494,186.863427633364,0.0000000000000124940524096495,0.00000000000209237987345587,"ECP_4180"
"ECP_2574",1.09376112557989,8.4786299888267,182.223598913708,0.0000000000000174464744526343,0.00000000000280888238687413,"ECP_2574"
"ECP_3511",2.23025769740848,5.64130946302936,192.365419733237,0.0000000000000306265479915163,0.00000000000476084408088811,"ECP_3511"
"ECP_4356",1.53231561056393,7.2067529570946,173.642085252204,0.0000000000000359975877313313,0.00000000000540923751642805,"ECP_4356"
"ECP_2562",1.24878037653387,6.10797384596374,170.995189379498,0.0000000000000403828604585181,0.00000000000587244951441934,"ECP_2562"
"ECP_0689",0.922912590720829,8.15728852627737,168.984246906961,0.0000000000000471654687332239,0.00000000000664443540779291,"ECP_0689"
"ECP_1552",1.14539208473552,8.09656326636709,158.461876503378,0.000000000000109135474165163,0.0000000000149085671980775,"ECP_1552"
"ECP_1403",1.07609558321691,9.92666829228883,155.600627630702,0.000000000000138219031085957,0.0000000000183262174157498,"ECP_1403"
"ECP_2895",0.881267931141449,8.9045194327293,154.977286762719,0.000000000000145589680054223,0.0000000000187519507909839,"ECP_2895"
"ECP_2575",1.2272795997838,9.08782260074043,154.050075918628,0.0000000000001573380541377,0.0000000000197022207792431,"ECP_2575"
"ECP_3048",-1.52089939522657,5.78728580028479,151.639549638623,0.000000000000192866526557169,0.0000000000234984405870194,"ECP_3048"
"ECP_4168",1.18147723404951,9.21470812449436,145.994954427776,0.000000000000314052923504043,0.0000000000372565941883218,"ECP_4168"
"ECP_0866",1.09106771815672,8.15390883026964,143.359356751933,0.000000000000396474698212848,0.0000000000435928765742321,"ECP_0866"
"ECP_2362",1.12972542742403,10.6819289174297,143.507697176282,0.000000000000391271332879726,0.0000000000435928765742321,"ECP_2362"
"ECP_3716",2.48353118692532,5.7022853856231,184.997533778812,0.000000000000387987536246464,0.0000000000435928765742321,"ECP_3716"
"ECP_4364",1.07708812146076,6.19864759167038,141.544634978117,0.000000000000466450755188517,0.0000000000500657143902341,"ECP_4364"
"ECP_3050",-2.02045295047166,9.03637127134086,214.515372685655,0.00000000000102781073607561,0.000000000107752809261136,"ECP_3050"
"ECP_2300",1.88046971419411,5.41632059594648,133.11344543445,0.00000000000139190267133989,0.000000000142606755509096,"ECP_2300"
"ECP_0165",0.927063371218511,7.60560733701323,127.268202864093,0.00000000000178552318082558,0.000000000175764047152522,"ECP_0165"
"ECP_3282",0.804439905220176,8.85771817816499,127.222776113163,0.00000000000179351068522982,0.000000000175764047152522,"ECP_3282"
"ECP_3127",0.818094594628043,10.8180378866909,126.764872700423,0.00000000000187618355060171,0.000000000179953945661968,"ECP_3127"
