"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_2574",1.70025962696836,8.48863500158552,228.421584672848,1.8727687199986e-15,8.59039011863356e-12,"ECP_2574"
"ECP_1125",1.42273656564732,9.084606476999,204.769083805907,7.81555561067654e-15,1.38662883981768e-11,"ECP_1125"
"ECP_1552",1.83842302624429,8.4290775849022,201.945860550406,9.35818967477821e-15,1.38662883981768e-11,"ECP_1552"
"ECP_4492",1.51624654569642,10.7693594809996,197.988109788983,1.20918146049067e-14,1.38662883981768e-11,"ECP_4492"
"ECP_1017",-2.26363015827036,7.42182422969636,186.284567793327,2.65079796600205e-14,2.02653504500856e-11,"ECP_1017"
"ECP_1290",1.4693223537267,7.66983441166543,188.008630790619,2.35510140985248e-14,2.02653504500856e-11,"ECP_1290"
"ECP_1339",1.3960797676331,8.67008453949563,179.839673099631,4.16026067943234e-14,2.72615939093659e-11,"ECP_1339"
"ECP_2114",2.32426595458636,4.95687918892206,176.464290015277,5.29747808137637e-14,2.88349607219973e-11,"ECP_2114"
"ECP_2575",1.87058720041669,9.04117717223549,175.55512046915,5.65761165245206e-14,2.88349607219973e-11,"ECP_2575"
"ECP_1124",1.31319626801127,8.94872233971818,174.073915567121,6.30148629888791e-14,2.89049176529988e-11,"ECP_1124"
"ECP_1553",1.91266454655416,7.87900446521159,163.60007888734,1.38215290250088e-13,5.76357760342865e-11,"ECP_1553"
"ECP_3145",2.11132809774422,7.6440555155271,159.655781593399,3.28870503545351e-13,1.2571074998021e-10,"ECP_3145"
"ECP_4180",1.43017334259347,8.88475003446687,149.045193602043,4.43457058498e-13,1.56472117486948e-10,"ECP_4180"
"ECP_2453",1.96217512785228,6.91736318824267,147.942677113561,4.86273382153494e-13,1.59324000281291e-10,"ECP_2453"
"ECP_0470",-1.30862111197637,7.90549461819913,137.506195609136,1.19867375977802e-12,3.66554435740119e-10,"ECP_0470"
"ECP_1018",-2.48234169381057,6.6211756418035,136.212786301707,1.34576507150139e-12,3.85814023936055e-10,"ECP_1018"
