"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_2906",-3.02147118682157,8.17411071865168,398.577481752601,1.01790719603496e-18,4.66914030821237e-15,"ECP_2906"
"ECP_1125",1.74730280742079,9.084606476999,304.834359259356,3.97880005367148e-17,6.0835852820637e-14,"ECP_1125"
"ECP_3960",2.60027572864472,10.4816802549412,310.146639893491,3.149038682228e-17,6.0835852820637e-14,"ECP_3960"
"ECP_1552",2.22688101076596,8.4290775849022,291.07700324157,7.42196880250391e-17,6.14126825202106e-14,"ECP_1552"
"ECP_3121",1.91866121937217,9.21562121088335,290.113540373071,7.76097356330455e-17,6.14126825202106e-14,"ECP_3121"
"ECP_3319",-1.84950453851086,8.44695784272785,289.372237695784,8.03305199741146e-17,6.14126825202106e-14,"ECP_3319"
"ECP_0586",-2.32366432872755,8.84143364346811,276.147151766648,1.50619441062362e-16,8.9235780265362e-14,"ECP_0586"
"ECP_4492",1.80264901991331,10.7693594809996,275.473602196193,1.55632492287529e-16,8.9235780265362e-14,"ECP_4492"
"ECP_1339",1.66835471054016,8.67008453949563,254.089466204231,4.57851865328917e-16,2.33351834029305e-13,"ECP_1339"
"ECP_1553",2.26836087126252,7.87900446521159,226.658426506585,2.07360020335925e-15,9.1675645396483e-13,"ECP_1553"
"ECP_2574",1.69247550496209,8.48863500158552,225.651900938569,2.19845672413628e-15,9.1675645396483e-13,"ECP_2574"
"ECP_1124",1.47815180516516,8.94872233971818,218.836021091846,3.28673238329281e-15,1.25635345351368e-12,"ECP_1124"
"ECP_1377",-1.49485948175818,9.58547226699328,212.545449073206,4.81145847032774e-15,1.69770461564564e-12,"ECP_1377"
"ECP_2562",1.98447243679604,6.37080041615208,201.924351235112,9.37112095297103e-15,3.07038084366272e-12,"ECP_2562"
"ECP_2895",1.42321702036486,8.9537310154601,198.498080401265,1.16961083502386e-14,3.57666993350296e-12,"ECP_2895"
"ECP_4180",1.5934665486345,8.88475003446687,183.520296817689,3.21072514441206e-14,9.20474764838633e-12,"ECP_4180"
"ECP_0855",1.70351527619817,8.28664877202783,179.554745742579,4.24535113168884e-14,1.08185698005871e-11,"ECP_0855"
"ECP_2575",1.89648717728212,9.04117717223549,179.829523190179,4.16326035758514e-14,1.08185698005871e-11,"ECP_2575"
"ECP_0609",1.36587729749157,9.28694646516362,176.367329562293,5.33469249877825e-14,1.22351172459479e-11,"ECP_0609"
"ECP_0689",1.37582591388185,8.25483022904486,176.573451948841,5.25591202086007e-14,1.22351172459479e-11,"ECP_0689"
"ECP_0853",1.87281271111536,7.40959391873811,174.120302473298,6.28017669703976e-14,1.3717700242534e-11,"ECP_0853"
"ECP_2453",2.06448136534382,6.91736318824267,162.55481437906,1.49835443241561e-13,3.12406899158654e-11,"ECP_2453"
"ECP_1017",-2.12454547850066,7.42182422969636,160.354566804881,1.77845611649967e-13,3.26311128255359e-11,"ECP_1017"
"ECP_2114",2.23589421285038,4.95687918892206,160.517430390289,1.75591801804373e-13,3.26311128255359e-11,"ECP_2114"
"ECP_4364",2.07165226767708,6.26449218191449,160.715576213316,1.72890775317366e-13,3.26311128255359e-11,"ECP_4364"
"ECP_2846",1.82492944207792,7.15620120794019,159.367950821417,1.92176412130867e-13,3.39043539401649e-11,"ECP_2846"
