"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_1255",-2.20688233356846,9.56596437997133,458.304325196816,1.46822610424294e-19,6.73475314016238e-16,"ECP_1255"
"ECP_1125",2.02369283347973,9.084606476999,407.150370749786,7.58628684175794e-19,1.73991488715718e-15,"ECP_1125"
"ECP_1124",1.78202959088378,8.94872233971818,317.372121716182,2.30436169497758e-17,3.52336903162072e-14,"ECP_1124"
"ECP_1339",1.82119118796941,8.67008453949563,303.950009435032,4.13826670649512e-17,4.74555734567328e-14,"ECP_1339"
"ECP_0700",-1.84525038582162,9.71509693439649,294.348279768502,6.38400539934939e-17,4.88057212780261e-14,"ECP_0700"
"ECP_1552",2.23686593393971,8.4290775849022,295.602508906521,6.02815203657927e-17,4.88057212780261e-14,"ECP_1552"
"ECP_0864",-1.98385398247917,6.87735589484187,253.384419026641,4.75087310318448e-16,3.11317927490103e-13,"ECP_0864"
"ECP_0865",-1.84898437024391,8.58738868515894,250.77972566366,5.45019693418929e-16,3.12500666714078e-13,"ECP_0865"
"ECP_0855",2.00659164361516,8.28664877202783,248.178810866947,6.25924810647907e-16,3.19013011826883e-13,"ECP_0855"
"ECP_1017",-2.46254085301325,7.42182422969636,233.939356333629,1.36763442151131e-15,6.27333909147236e-13,"ECP_1017"
"ECP_4180",1.76887172960449,8.88475003446687,226.466350897047,2.09682900866356e-15,8.74377696612703e-13,"ECP_4180"
"ECP_1553",2.24724211631168,7.87900446521159,224.577906983498,2.3405833015831e-15,8.9468796703014e-13,"ECP_1553"
"ECP_2562",2.02360664772836,6.37080041615208,216.624423998383,3.7537826464913e-15,1.24813600688605e-12,"ECP_2562"
"ECP_4492",1.58665632377466,10.7693594809996,216.38066080279,3.80944061399711e-15,1.24813600688605e-12,"ECP_4492"
"ECP_3533",-2.01297684122444,6.00384585894052,213.915042338277,4.42462129538625e-15,1.34465832812665e-12,"ECP_3533"
"ECP_4461",-1.88479541034168,8.35592606772906,212.961276115782,4.69032771964824e-15,1.34465832812665e-12,"ECP_4461"
"ECP_4364",2.21206872576563,6.26449218191449,195.329607039096,1.43996426045496e-14,3.88536238982759e-12,"ECP_4364"
"ECP_0689",1.41509284315418,8.25483022904486,189.338365718783,2.15114691256309e-14,5.19332151996151e-12,"ECP_0689"
"ECP_2846",1.97320262098602,7.15620120794019,189.982870555439,2.05915524206468e-14,5.19332151996151e-12,"ECP_2846"
"ECP_1558",1.41023742785581,9.56305935433852,171.981544883199,7.34774849964512e-14,1.68520611839361e-11,"ECP_1558"
"ECP_0653",2.41039221994816,5.88567976669698,152.487161650557,3.33785050657059e-13,7.29081917792348e-11,"ECP_0653"
"ECP_1514",-1.87752238785862,9.53590864150478,155.857127849283,3.82063738272687e-13,7.96602894298552e-11,"ECP_1514"
"ECP_1481",1.36187582950324,9.75659293381424,146.800571529018,5.35317845983446e-13,1.06760998240264e-10,"ECP_1481"
"ECP_0866",-1.63992758034617,8.11606701632079,144.497750181727,6.51011053063112e-13,1.1944750801602e-10,"ECP_0866"
"ECP_2895",1.20693841522592,8.9537310154601,144.923666587538,6.27749739601069e-13,1.1944750801602e-10,"ECP_2895"
"ECP_0609",1.21674757397114,9.28694646516362,141.555930884408,8.39088137256521e-13,1.48034510984449e-10,"ECP_0609"
"ECP_0125",-1.28047440543197,10.5065976310072,141.007378177779,8.80178775835446e-13,1.49532594250266e-10,"ECP_0125"
"ECP_0853",1.66681188680687,7.40959391873811,140.439042002354,9.25026378032926e-13,1.51539142715608e-10,"ECP_0853"
"ECP_0684",-1.13850734848538,9.01584783876561,139.629427023513,9.93175686294303e-13,1.57092995621792e-10,"ECP_0684"
"ECP_2258",1.39745543128653,11.985773282874,137.559746762247,1.19296637244505e-12,1.82404558346848e-10,"ECP_2258"
"ECP_1290",1.24380571816565,7.66983441166543,136.388813176253,1.32466111815831e-12,1.89881892156005e-10,"ECP_1290"
"ECP_2559",-1.4514184053574,8.48288475950684,136.583326699611,1.30175105444931e-12,1.89881892156005e-10,"ECP_2559"
"ECP_1256",-1.46804110914769,8.32772183861825,133.77518435232,1.67799379995411e-12,2.26381104717339e-10,"ECP_1256"
