"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1093",-2.80683115237465,9.79315261520395,881.266960349666,0.00000000000000000000000300719624171908,0.0000000000000000000135564406576696,"ECP_1093"
"ECP_4123",2.50273178010056,8.63856665644475,480.424032338223,0.000000000000000000132460068337639,0.000000000000000298564994033039,"ECP_4123"
"ECP_0821",-1.96133920109657,6.74488500571184,410.236669712201,0.000000000000000000224735002014283,0.000000000000000337701796360129,"ECP_0821"
"ECP_2575",1.92772859604055,9.08782260074043,370.550818125275,0.000000000000000000965198531412907,0.00000000000000108777874490235,"ECP_2575"
"ECP_2755",-1.75365535917541,6.88639689679566,348.477835657918,0.00000000000000000231420410152872,0.0000000000000020864864179383,"ECP_2755"
"ECP_1513",1.66947817040984,8.50620323405001,326.314743557734,0.00000000000000000587116984342502,0.00000000000000441120560902666,"ECP_1513"
"ECP_2574",1.39472996701749,8.4786299888267,293.819443306457,0.000000000000000025675061182626,0.0000000000000165347394016111,"ECP_2574"
"ECP_1339",1.17848205512889,8.53495688551245,276.776492528797,0.0000000000000000591322895876308,0.00000000000003332104518263,"ECP_1339"
"ECP_1124",1.08948991541049,8.77767968380167,269.888776318727,0.0000000000000000839460785943231,0.0000000000000420476580336898,"ECP_1124"
"ECP_3145",1.87229935187263,7.85083163488768,268.838264841965,0.000000000000000129770023924137,0.0000000000000585003267850011,"ECP_3145"
"ECP_4180",1.23896608705557,8.74314656302494,256.479119878357,0.000000000000000170050132355697,0.0000000000000696896360599531,"ECP_4180"
"ECP_0171",3.39118469405656,10.5654005605879,473.00555423977,0.000000000000000205598262319689,0.0000000000000772364138780966,"ECP_0171"
"ECP_0940",-2.47760443799958,8.08782555280223,355.716481673328,0.000000000000000687850844419157,0.000000000000238525508203197,"ECP_0940"
"ECP_2935",-1.16500675240752,9.54583436265777,226.458090131892,0.000000000000000938696408594647,0.000000000000302260243567476,"ECP_2935"
"ECP_0165",1.20301681256623,7.60560733701323,213.392089744058,0.00000000000000210395454851017,0.00000000000063230847364559,"ECP_0165"
"ECP_1125",1.11952439176123,8.92403541707511,211.15617724707,0.00000000000000242605509241948,0.000000000000683541022289189,"ECP_1125"
"ECP_1514",1.46999309467111,9.608850175309,208.179157631848,0.00000000000000293878560368542,0.000000000000779296794200815,"ECP_1514"
"ECP_3046",-1.55817752773539,6.41206894573608,196.376184566591,0.00000000000000644000407152697,0.00000000000161286324191353,"ECP_3046"
"ECP_3047",-1.63238094554772,5.56447818922736,180.067590339529,0.0000000000000204254569143748,0.00000000000484620840894746,"ECP_3047"
"ECP_3912",1.85619803673558,5.22334268856296,178.810671283306,0.0000000000000224084019300027,0.0000000000050508537950226,"ECP_3912"
"ECP_0956",1.02826168886722,7.78443108573534,171.906145150337,0.0000000000000376595251487263,0.00000000000808424473192659,"ECP_0956"
"ECP_0060",-1.24155856176207,9.30449514413715,170.65785717387,0.0000000000000414438920167558,0.00000000000849223023688796,"ECP_0060"
"ECP_3248",1.62959084863263,6.05581114284259,166.811835790558,0.000000000000055877501568399,0.0000000000109519903074062,"ECP_3248"
"ECP_4103",-1.06751374896083,7.54537482702002,163.829708727107,0.0000000000000707334091909532,0.0000000000132860920263674,"ECP_4103"
"ECP_2453",1.40359952838646,7.05489845276677,161.918485313233,0.0000000000000824285430372937,0.0000000000148635148804848,"ECP_2453"
"ECP_0849",-1.02709303105925,8.59626994146364,160.779723250046,0.0000000000000903625215756643,0.0000000000156674710485806,"ECP_0849"
"ECP_0955",1.32438510795568,7.05053621817586,160.287249416148,0.0000000000000940420993831026,0.0000000000157015475562602,"ECP_0955"
"ECP_1552",1.14141096980683,8.09656326636709,156.869763291598,0.00000000000012441233666163,0.0000000000200303862025225,"ECP_1552"
"ECP_2643",1.23734639415429,7.07097472120296,155.6365017939,0.000000000000137807114250687,0.0000000000207408383487077,"ECP_2643"
"ECP_2934",-1.08283099848165,7.18188945714774,155.617348508,0.000000000000138026874547744,0.0000000000207408383487077,"ECP_2934"
"ECP_0825",-1.03656772967287,8.96979562551914,154.755188836192,0.00000000000014831605915376,0.0000000000215680256343597,"ECP_0825"
"ECP_0689",0.882483882295505,8.15728852627737,154.125587264636,0.000000000000156344516393769,0.0000000000220250337469722,"ECP_0689"
"ECP_1481",0.975440827594846,9.60090108271608,153.535765072873,0.000000000000164286519457235,0.0000000000224425342337338,"ECP_1481"
"ECP_2599",2.48872193830287,8.94173003805254,277.251060039175,0.000000000000183330264155731,0.0000000000235267202792926,"ECP_2599"
"ECP_3648",1.55079258713882,5.76975911883674,151.947914789143,0.000000000000187879753783171,0.0000000000235267202792926,"ECP_3648"
"ECP_3913",1.8235468238305,4.89647406106755,152.00372607436,0.000000000000186991961571629,0.0000000000235267202792926,"ECP_3913"
"ECP_0925",-0.856198309095635,8.94342951928446,150.273661217398,0.000000000000216712591285012,0.0000000000264037935544009,"ECP_0925"
"ECP_1255",-0.844580416327827,9.22984112273631,149.618451450405,0.000000000000229248473942839,0.0000000000271961084351136,"ECP_1255"
"ECP_1819",1.77326596967231,7.12880731724993,178.771941713704,0.000000000000246009798363715,0.0000000000284362095134263,"ECP_1819"
"ECP_1544",2.31906681159097,5.01405756473155,156.612798189721,0.000000000000267767316858023,0.0000000000301773766098992,"ECP_1544"
"ECP_2298",1.36359120343026,6.90729357787177,145.569321582817,0.000000000000326020360904698,0.0000000000358463362672776,"ECP_2298"
