"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_2935",-2.23840287293132,9.54583436265777,778.97461637813,0.0000000000000000000000188671935431442,0.0000000000000000000850533084924942,"ECP_2935"
"ECP_0902",-2.01680412650935,9.66760511667959,727.303137877496,0.0000000000000000000000522184549215898,0.000000000000000000117700397393263,"ECP_0902"
"ECP_1217",-2.28875184680684,8.60902551736025,610.312681156966,0.000000000000000000000694838222243029,0.00000000000000000104411023529052,"ECP_1217"
"ECP_1513",2.25686716494801,8.50620323405001,586.320118413654,0.0000000000000000000012523001258599,0.00000000000000000141134224184411,"ECP_1513"
"ECP_1808",-1.9096121736203,9.14295845233048,531.555619255875,0.00000000000000000000526107880968932,0.00000000000000000474338865481589,"ECP_1808"
"ECP_1807",-2.48953805708458,6.66324486757637,464.466837622148,0.0000000000000000000374462982902615,0.0000000000000000281346521154165,"ECP_1807"
"ECP_0849",-1.69520571863843,8.59626994146364,421.499328707832,0.00000000000000000015220495979342,0.0000000000000000980199941069625,"ECP_0849"
"ECP_1514",2.05847628556231,9.608850175309,397.866685588689,0.000000000000000000348833326249853,0.000000000000000196567579341792,"ECP_1514"
"ECP_4123",2.3688504458931,8.63856665644475,434.289046927535,0.000000000000000000526636052082093,0.00000000000000026378614697623,"ECP_4123"
"ECP_3476",-1.47267886878043,10.068518232835,353.798575249256,0.00000000000000000186579528647205,0.000000000000000841100515141599,"ECP_3476"
"ECP_1830",1.56184290952482,7.46888755424872,348.628485206668,0.00000000000000000230003906509931,0.00000000000000094259782776979,"ECP_1830"
"ECP_0941",-1.27406724446933,9.87102401297118,334.437570241297,0.00000000000000000414657997032767,0.00000000000000143790634663363,"ECP_0941"
"ECP_2523",-1.72210290709376,8.21979521052747,336.052505151807,0.00000000000000000387314692944409,0.00000000000000143790634663363,"ECP_2523"
"ECP_0865",1.4420362251855,8.65518998853266,329.289783609552,0.00000000000000000516429472365252,0.00000000000000166290290101611,"ECP_0865"
"ECP_4184",-1.9627215061446,6.21559555414451,307.807549385416,0.0000000000000000133698522933194,0.00000000000000401808627588558,"ECP_4184"
"ECP_2933",-1.23699934578403,9.89714284363867,284.06078154987,0.0000000000000000411684001491604,0.000000000000011599196742026,"ECP_2933"
"ECP_1339",1.17640504482618,8.53495688551245,276.960070738752,0.0000000000000000585889489209184,0.0000000000000155364106903235,"ECP_1339"
"ECP_2934",-1.44913295353124,7.18188945714774,274.294028892328,0.0000000000000000670307201046119,0.0000000000000167874714573106,"ECP_2934"
"ECP_0470",-1.40322011340028,7.28834806521648,268.507026749175,0.0000000000000000901466342644442,0.0000000000000206456982989193,"ECP_0470"
"ECP_2596",-1.57053485817009,6.71253485397564,268.198676566904,0.0000000000000000915958220892604,0.0000000000000206456982989193,"ECP_2596"
"ECP_1124",1.08169858064958,8.77767968380167,267.007257080833,0.0000000000000000974327168060274,0.0000000000000209155565410272,"ECP_1124"
"ECP_0864",1.43775605717757,6.95151634719917,262.105411709967,0.00000000000000012596010810456,0.0000000000000258103712425162,"ECP_0864"
"ECP_1074",1.18026182343696,8.00873637411642,257.483763881854,0.000000000000000161107423899498,0.0000000000000312307780590504,"ECP_1074"
"ECP_3475",-1.12804164929374,9.34775520943135,256.896918873566,0.000000000000000166268561095211,0.0000000000000312307780590504,"ECP_3475"
"ECP_3624",1.33314160004382,6.54450749711117,256.013224358904,0.000000000000000174375307778059,0.0000000000000314433554985396,"ECP_3624"
"ECP_1857",-1.72564797396592,11.9008295165571,254.217835532888,0.000000000000000192170817498348,0.000000000000032786163192071,"ECP_1857"
"ECP_2278",-1.22397268352866,9.52148140307908,253.820196196738,0.000000000000000196367880697852,0.000000000000032786163192071,"ECP_2278"
"ECP_0684",-1.08280611443775,9.05225419588468,248.928613302356,0.000000000000000256794174664217,0.000000000000041343862120939,"ECP_0684"
"ECP_1515",2.04710566226128,6.66860459946683,254.902523760954,0.00000000000000026803739380504,0.0000000000000415016300465893,"ECP_1515"
"ECP_1834",1.275831871847,7.59890796764151,247.615857769819,0.000000000000000276186535358846,0.0000000000000415016300465893,"ECP_1834"
"ECP_3248",1.95538924050452,6.05581114284259,246.148719773166,0.000000000000000299719983745142,0.0000000000000435850866684871,"ECP_3248"
"ECP_1771",-1.30009753086086,8.62642630831135,245.032728393797,0.00000000000000031904786797502,0.000000000000044945868400981,"ECP_1771"
"ECP_2152",-1.16255773593078,8.99575529220091,232.125268577593,0.00000000000000066992019903605,0.0000000000000915151593107428,"ECP_2152"
"ECP_0179",-1.27976477801222,9.00261025050889,231.257501116232,0.000000000000000705096999968339,0.0000000000000934875669369787,"ECP_0179"
"ECP_1832",1.12997131223763,8.28380172456852,229.434729983002,0.000000000000000785554827985266,0.000000000000101179461844502,"ECP_1832"
"ECP_2422",-1.05885750576179,9.61346924130075,227.95092731037,0.000000000000000858265644370238,0.000000000000107473931245029,"ECP_2422"
"ECP_3162",1.46321926964601,6.31741057428693,225.14136271463,0.00000000000000101631381204554,0.000000000000123825477424359,"ECP_3162"
"ECP_1126",-1.14386780785934,8.22815744077836,220.725150309838,0.00000000000000133064849569488,0.000000000000155760617047448,"ECP_1126"
"ECP_4180",1.14525683284354,8.74314656302494,220.520441065405,0.00000000000000134752973931909,0.000000000000155760617047448,"ECP_4180"
"ECP_2214",1.14643406850172,7.50012820812334,219.780547339142,0.00000000000000141047200430635,0.000000000000158960194885325,"ECP_2214"
"ECP_0590",-1.63750924443644,6.71144934092268,217.349643752513,0.00000000000000164028467279216,0.00000000000018035130012066,"ECP_0590"
"ECP_4768",-1.21761597272851,9.21520004549424,213.561210942973,0.0000000000000020815181622348,0.000000000000223416282746535,"ECP_4768"
"ECP_0940",-2.27697128700624,8.08782555280223,308.119931294119,0.00000000000000344240168279758,0.000000000000360891785722128,"ECP_0940"
"ECP_4492",1.07104981671452,10.598309427776,204.016177014909,0.00000000000000385808159513241,0.000000000000395277996155839,"ECP_4492"
"ECP_0689",1.0076020308068,8.15728852627737,201.690610222196,0.00000000000000450115267190824,0.000000000000450915472110274,"ECP_0689"
"ECP_0524",1.4533068537701,9.85714824003845,201.25214198944,0.00000000000000463470924671004,0.000000000000454201506177583,"ECP_0524"
"ECP_1342",-1.30152398700179,9.62011041205875,200.119012374133,0.00000000000000499979030829509,0.000000000000479554355527537,"ECP_1342"
"ECP_1230",-1.5083749737989,6.7389076378757,198.098698059828,0.00000000000000572885834884494,0.000000000000538035279929021,"ECP_1230"
"ECP_4268",-1.12375455255848,7.71475059140144,197.620030328812,0.0000000000000059176761934542,0.000000000000544426209797786,"ECP_4268"
"ECP_1833",1.36177282443465,6.9045834914187,196.908377387893,0.00000000000000621074951824882,0.000000000000548981545652268,"ECP_1833"
"ECP_3746",-1.09313504199576,8.98530219455402,197.186947367249,0.00000000000000609422837868213,0.000000000000548981545652268,"ECP_3746"
"ECP_0898",-1.29988704624592,10.0697053004746,195.437806888336,0.00000000000000686647175335918,0.000000000000595270282002753,"ECP_0898"
"ECP_1125",1.06519481593824,8.92403541707511,192.001154646058,0.00000000000000870404811084667,0.000000000000740336771390505,"ECP_1125"
"ECP_2538",-1.26921724184661,9.26173556879591,189.909924526847,0.0000000000000100733658881999,0.000000000000840939507851949,"ECP_2538"
"ECP_0169",-1.20783907394293,7.4650489621816,185.363740406624,0.0000000000000139068548616868,0.00000000000113985639484516,"ECP_0169"
"ECP_1255",-0.939520774834282,9.22984112273631,185.030360028852,0.0000000000000142434649663048,0.00000000000114659892978753,"ECP_1255"
"ECP_0171",2.69445036572321,10.5654005605879,313.969464375892,0.0000000000000150253545925123,0.00000000000117489327859782,"ECP_0171"
"ECP_0267",-0.99889459254436,8.50312625370989,184.203641098371,0.0000000000000151161956873721,0.00000000000117489327859782,"ECP_0267"
"ECP_0523",1.42783016121875,11.3011256955127,183.225910686692,0.0000000000000162224405749312,0.00000000000123950444257271,"ECP_0523"
"ECP_1583",-1.00886257128363,8.84773033755826,182.330073489622,0.0000000000000173118969484735,0.00000000000130070052406198,"ECP_1583"
"ECP_0907",-1.0935311977471,10.1640947030856,181.924228872221,0.0000000000000178308648100661,0.0000000000013177301403898,"ECP_0907"
"ECP_4287",-1.13931978739931,8.88301639625625,178.615281107563,0.0000000000000227346310021473,0.0000000000016530276864142,"ECP_4287"
"ECP_2552",-0.907293340784046,8.47078829010449,178.040393337764,0.0000000000000237241541910032,0.0000000000016975950332229,"ECP_2552"
"ECP_4424",0.987504631511368,8.71114121947393,175.526058882854,0.0000000000000286234202682474,0.00000000000201616216514468,"ECP_4424"
"ECP_4684",1.98232126234581,5.01777732606488,174.057887420047,0.0000000000000319736697664754,0.00000000000221749697395802,"ECP_4684"
"ECP_1549",-1.58444207678824,5.90172459990641,172.45206819018,0.0000000000000361217494474622,0.00000000000246722494710848,"ECP_1549"
"ECP_0587",-1.08331960203448,8.86586850168511,171.391330824781,0.0000000000000391736604638901,0.0000000000026357441995704,"ECP_0587"
"ECP_3943",-1.26047274655421,9.39268446154045,170.27433328814,0.0000000000000426863866495608,0.00000000000282985633847383,"ECP_3943"
"ECP_0165",1.06849515400534,7.60560733701323,169.537375655085,0.0000000000000451866197946554,0.00000000000295219249325082,"ECP_0165"
"ECP_3438",-1.07330404098105,10.4480068148317,169.175168670759,0.0000000000000464722029202792,0.00000000000299280986806598,"ECP_3438"
"ECP_3717",-0.89160115171674,8.58333922119167,168.165171857638,0.0000000000000502670899186709,0.00000000000319160621624463,"ECP_3717"
"ECP_0866",1.17585985610128,8.15390883026964,166.611963696939,0.0000000000000567610692358029,0.00000000000355387361270832,"ECP_0866"
"ECP_2196",-1.61358651930517,7.57700347031008,184.759125312786,0.0000000000000730682589778732,0.00000000000451221522564729,"ECP_2196"
"ECP_2632",-1.25320215215732,8.69489248093453,161.845172067795,0.000000000000082916298969087,0.00000000000505117129395465,"ECP_2632"
"ECP_4646",1.50797912100796,6.62154723737136,161.366983664102,0.0000000000000861740744254882,0.00000000000517963636680134,"ECP_4646"
"ECP_3968",-1.56202691543287,5.96028478705034,159.821407929358,0.0000000000000976698063330461,0.00000000000579336167038647,"ECP_3968"
"ECP_4422",-0.954662227781834,9.99994824682231,156.899566260086,0.000000000000124106325954566,0.00000000000726586126497642,"ECP_4422"
"ECP_1481",0.981486307747053,9.60090108271608,155.755226131977,0.000000000000136453185586095,0.00000000000774169972451084,"ECP_1481"
"ECP_2597",-1.03341253705349,7.71409786193326,155.697698715934,0.000000000000137107448801574,0.00000000000774169972451084,"ECP_2597"
"ECP_3964",1.12770273580107,6.85799994632348,155.673297342113,0.000000000000137385975590255,0.00000000000774169972451084,"ECP_3964"
"ECP_3046",-1.34680160990748,6.41206894573608,152.790466241368,0.000000000000174941577412708,0.00000000000973625470341345,"ECP_3046"
"ECP_1480",1.92272395407193,5.30732649030848,151.918361052663,0.000000000000188351682964969,0.0000000000103547486195863,"ECP_1480"
"ECP_2277",-1.08542874119672,10.9798586920327,150.550560034545,0.00000000000021163610133213,0.0000000000113698015392216,"ECP_2277"
"ECP_4354",1.133399079583,9.06041280726579,150.538217946144,0.000000000000211859656010341,0.0000000000113698015392216,"ECP_4354"
"ECP_1548",-0.938230527794932,7.89105131223618,149.336223176868,0.000000000000234884184384862,0.0000000000123123012000809,"ECP_1548"
"ECP_3047",-1.44687221834717,5.56447818922736,149.406052162167,0.000000000000233476194300503,0.0000000000123123012000809,"ECP_3047"
"ECP_1218",-0.872538724108953,7.88597970691837,147.895444404933,0.000000000000266047182760754,0.00000000001378552528604,"ECP_1218"
"ECP_2106",-1.08980839985748,7.38243752473619,147.460430727975,0.000000000000276300017438953,0.0000000000141540963478955,"ECP_2106"
"ECP_1157",-1.48794852832716,8.27629947010199,169.051246406609,0.000000000000312285081035654,0.0000000000158177656776261,"ECP_1157"
"ECP_2599",2.3708489480711,8.94173003805254,253.70856052894,0.000000000000431116683594862,0.0000000000215941556627293,"ECP_2599"
"ECP_2510",-0.993036114282271,8.30585993386237,142.22012897181,0.000000000000438978086326203,0.0000000000217462990456981,"ECP_2510"
"ECP_4081",-1.06384240385875,9.41956882003648,142.021187703192,0.000000000000446885503830998,0.0000000000218973896877189,"ECP_4081"
"ECP_1075",1.07438511328385,7.5151876805246,141.737326037308,0.000000000000458431992460416,0.0000000000222216281936727,"ECP_1075"
"ECP_2610",-0.86889127255275,11.472040825137,140.865742470807,0.00000000000049591415589066,0.0000000000237827767527138,"ECP_2610"
"ECP_2575",1.16718255820824,9.08782260074043,139.795873688429,0.000000000000546440086474424,0.000000000025930020103439,"ECP_2575"
"ECP_1326",-1.17890016206472,6.29600924966146,138.98071733947,0.000000000000588607848249255,0.0000000000276400435407046,"ECP_1326"
"ECP_3648",1.4727494145258,5.76975911883674,138.738781929552,0.000000000000601779981232277,0.0000000000279672593339701,"ECP_3648"
"ECP_0973",-0.85587244313022,7.99527683652559,138.465831615254,0.000000000000617018524386465,0.0000000000283828521217774,"ECP_0973"
"ECP_2335",-0.953217560907342,11.5909874554382,135.818962152748,0.000000000000788024766815829,0.0000000000355241564880576,"ECP_2335"
"ECP_4423",1.18699550317558,7.06794157674705,135.858960242125,0.000000000000785094212208429,0.0000000000355241564880576,"ECP_4423"
"ECP_0003",1.14137746035893,6.28911430450708,134.210619222052,0.000000000000916074162353516,0.0000000000408877457810857,"ECP_0003"
"ECP_3045",-1.34751925004928,5.80374724748798,133.660879078168,0.000000000000964781512379272,0.0000000000426395593902525,"ECP_3045"
"ECP_0530",-0.842029023749522,8.69451577347288,133.507047778297,0.000000000000978899615230625,0.000000000042843489955919,"ECP_0530"
"ECP_2643",1.13836890501589,7.07097472120296,132.78231425842,0.00000000000104843732748543,0.0000000000454457256952336,"ECP_2643"
"ECP_0204",-0.864114531630294,10.0484719941147,132.404541392934,0.00000000000108675344731892,0.0000000000466579480048922,"ECP_0204"
"ECP_2578",-1.03110877038674,8.54007956365562,131.891672061185,0.0000000000011411758359724,0.0000000000484834790586138,"ECP_2578"
"ECP_3898",-1.38228131552821,5.75194502182553,131.803840117924,0.00000000000115078355352078,0.0000000000484834790586138,"ECP_3898"
"ECP_3129",0.846424676456015,8.36077055859135,128.811958655912,0.0000000000015353992413141,0.000000000064088701665222,"ECP_3129"
"ECP_2381",-1.20076934498598,6.21791875369894,128.613688443938,0.00000000000156532142235662,0.0000000000646941486782333,"ECP_2381"
"ECP_4364",1.02394782195959,6.19864759167038,128.526951630854,0.00000000000157860611237925,0.0000000000646941486782333,"ECP_4364"
"ECP_0134",-0.819795983415778,9.37174831331488,126.495901018755,0.00000000000192662977806014,0.0000000000775468485669206,"ECP_0134"
"ECP_1295",-1.33826430752923,6.59769714507874,126.568888120908,0.00000000000191279965045005,0.0000000000775468485669206,"ECP_1295"
"ECP_0609",0.798638780616418,9.1245788695865,125.864766174748,0.00000000000205075967719425,0.0000000000818126072990414,"ECP_0609"
"ECP_3661",-0.868990260306838,9.60196461157045,124.820675205248,0.00000000000227518465866308,0.0000000000899695828180104,"ECP_3661"
"ECP_1822",-1.11055077024582,9.47154439149187,124.32065186568,0.00000000000239179805395844,0.0000000000937584837151708,"ECP_1822"
"ECP_1582",-0.97463843130708,7.8780362960199,123.649468764621,0.00000000000255843437048472,0.0000000000994260529495268,"ECP_1582"
"ECP_0834",-0.911170748785301,8.8586617390889,123.49764385061,0.00000000000259781671585401,0.000000000100093656026238,"ECP_0834"
"ECP_3625",1.04453249636111,7.56684564607939,122.925712790824,0.00000000000275206824405714,0.000000000105138335967878,"ECP_3625"
"ECP_3662",-0.944595606928286,8.67013206924519,121.622047350272,0.00000000000314132782073429,0.000000000119000889208993,"ECP_3662"
"ECP_2574",0.890583169627963,8.4786299888267,121.371518454131,0.00000000000322263518794003,0.000000000121063661893614,"ECP_2574"
"ECP_2109",-0.978397703391489,7.91020436760251,121.24885392918,0.000000000003263259728704,0.000000000121576651710724,"ECP_2109"
"ECP_0879",-1.39282032711734,5.95962850183929,120.471268839311,0.00000000000353380816479651,0.000000000129515505747176,"ECP_0879"
"ECP_3718",-0.793147133577445,9.36660332953104,120.472005577478,0.00000000000353354080403986,0.000000000129515505747176,"ECP_3718"
"ECP_1829",1.42906980616568,5.68500566415181,119.524372300143,0.00000000000389591377416431,0.000000000141635316886554,"ECP_1829"
"ECP_0597",1.29242646922419,9.35232767729115,132.497353407719,0.00000000000457794764164986,0.000000000163788793401251,"ECP_0597"
"ECP_2125",-0.989133734827356,8.29593432229018,117.987294639626,0.00000000000457044636959144,0.000000000163788793401251,"ECP_2125"
