"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_3145",3.73845833099756,7.85083163488768,973.977450658492,0.00000000000000000000000134481044606077,0.00000000000000000000606240549084193,"ECP_3145"
"ECP_2574",2.47714050976275,8.4786299888267,874.456534537056,0.00000000000000000000000337605022474224,0.000000000000000000007609617206569,"ECP_2574"
"ECP_2575",2.76108267170464,9.08782260074043,728.672514538432,0.0000000000000000000000507835134732665,0.0000000000000000000763106929124952,"ECP_2575"
"ECP_2258",-2.23576325763372,12.0383336210057,669.225001406464,0.000000000000000000000178772378802971,0.000000000000000000201476470910948,"ECP_2258"
"ECP_2453",2.7917560297218,7.05489845276677,628.250723805938,0.000000000000000000000453737664723154,0.000000000000000000409089878514396,"ECP_2453"
"ECP_0940",-4.76868189513562,8.08782555280223,1002.645772776,0.00000000000000000000446478437676819,0.00000000000000000335454132841184,"ECP_0940"
"ECP_0171",5.42670474939644,10.5654005605879,1019.17783679951,0.0000000000000000000550180168068303,0.0000000000000000284505059787191,"ECP_0171"
"ECP_1513",1.9810450859233,8.50620323405001,456.285002754997,0.0000000000000000000484382464630333,0.0000000000000000284505059787191,"ECP_1513"
"ECP_4123",2.59394986591856,8.63856665644475,510.977426485103,0.0000000000000000000568000341190044,0.0000000000000000284505059787191,"ECP_4123"
"ECP_3146",1.57687093457587,7.04714007389177,407.45055118942,0.000000000000000000247859505574272,0.000000000000000111735065112882,"ECP_3146"
"ECP_3648",2.43641707627786,5.76975911883674,385.308504665914,0.000000000000000000552339240822416,0.000000000000000226358663420677,"ECP_3648"
"ECP_2833",1.70992649923413,7.39719161725985,365.66031876488,0.00000000000000000116660527626494,0.000000000000000406250810096711,"ECP_2833"
"ECP_3502",2.6212348105475,5.046195817393,365.552281125719,0.00000000000000000117153073009256,0.000000000000000406250810096711,"ECP_3502"
"ECP_1514",1.93603789038059,9.608850175309,355.003877257411,0.00000000000000000177768701860296,0.000000000000000534254205324143,"ECP_1514"
"ECP_2952",1.50805234626469,8.03729577004337,356.137575137806,0.00000000000000000169884855482246,0.000000000000000534254205324143,"ECP_2952"
"ECP_0185",1.54622011075325,10.5702644385304,351.310090987729,0.00000000000000000206275906385367,0.000000000000000581182366240773,"ECP_0185"
"ECP_0184",1.63714971104156,9.19184042454492,330.121575140514,0.00000000000000000498329520826586,0.00000000000000132145263522721,"ECP_0184"
"ECP_3627",1.57051765752802,7.98265876505118,319.944652996739,0.00000000000000000775531917621563,0.00000000000000194227660257667,"ECP_3627"
"ECP_0172",2.24669654544842,5.3148736362765,308.546181254302,0.0000000000000000129267974154067,0.00000000000000306705277624492,"ECP_0172"
"ECP_3336",1.48631175926227,7.02808904598087,302.703580436303,0.0000000000000000169099924133957,0.00000000000000381151228997939,"ECP_3336"
"ECP_0864",1.56559609519974,6.95151634719917,301.383971705855,0.0000000000000000179793617900874,0.00000000000000385956966427209,"ECP_0864"
"ECP_1819",2.58884166108425,7.12880731724993,371.188205257686,0.0000000000000000354991878214445,0.00000000000000727410630450326,"ECP_1819"
"ECP_3889",2.12224149329044,5.75059275848445,281.300752539226,0.0000000000000000471754990842155,0.00000000000000924639782050625,"ECP_3889"
"ECP_2497",1.74303418275993,6.4816608381224,263.772441364967,0.000000000000000115370672565047,0.0000000000000216704579968013,"ECP_2497"
"ECP_0865",1.28234595201712,8.65518998853266,259.125975101779,0.000000000000000147550679478771,0.000000000000026606338523612,"ECP_0865"
"ECP_2214",1.23211694140143,7.50012820812334,247.749607550496,0.00000000000000027414121732561,0.0000000000000475318695270712,"ECP_2214"
"ECP_1157",-2.00432053278512,8.27629947010199,291.570771078247,0.000000000000000398798819091253,0.0000000000000665846324616062,"ECP_1157"
"ECP_2280",1.37601776097805,6.59400834825008,230.242802377118,0.000000000000000748741489457911,0.000000000000120547379802724,"ECP_2280"
"ECP_2496",1.54377512159836,7.20140855291185,229.315516600145,0.000000000000000791146968826393,0.000000000000122982432257565,"ECP_2496"
"ECP_3248",1.95804799098841,6.05581114284259,214.954378477348,0.00000000000000190610599434312,0.000000000000286424194083294,"ECP_3248"
"ECP_0524",1.47082561547787,9.85714824003845,205.668525961799,0.00000000000000346102334999837,0.000000000000503299782638473,"ECP_0524"
"ECP_0470",-1.20474068357037,7.28834806521648,194.825395355946,0.00000000000000716094568015061,0.00000000000100879822269122,"ECP_0470"
"ECP_2517",1.15729010873099,8.56868394874566,189.741663717615,0.0000000000000101931009070064,0.00000000000139243936026621,"ECP_2517"
