"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1513",2.09680568929163,8.50620323405001,507.140999063031,0.0000000000000000000104435285695191,0.0000000000000000470794267913919,"ECP_1513"
"ECP_1523",-2.09718511742484,6.84789317746787,426.282779634157,0.000000000000000000129366869061156,0.000000000000000291592922863845,"ECP_1523"
"ECP_2575",1.97074953367279,9.08782260074043,386.139849345402,0.000000000000000000535559609790738,0.000000000000000804767573645549,"ECP_2575"
"ECP_3145",2.14163458463449,7.85083163488768,348.911440223508,0.00000000000000000352966609567396,0.00000000000000318234695185965,"ECP_3145"
"ECP_4483",-1.79159202476558,8.73859521962682,340.39935123893,0.00000000000000000322824167792467,0.00000000000000318234695185965,"ECP_4483"
"ECP_0940",-3.09231135757289,8.08782555280223,518.012125215143,0.00000000000000000955817532938963,0.00000000000000650043284460961,"ECP_0940"
"ECP_2574",1.44389481076492,8.4786299888267,314.017890776799,0.0000000000000000100938398208224,0.00000000000000650043284460961,"ECP_2574"
"ECP_1514",1.77198219629819,9.608850175309,298.537466548658,0.0000000000000000205391506136506,0.0000000000000115738113707921,"ECP_1514"
"ECP_1124",1.12115074011915,8.77767968380167,285.197199570959,0.0000000000000000389367356820214,0.0000000000000175526804454552,"ECP_1124"
"ECP_2552",-1.16706795245029,8.47078829010449,287.217141473069,0.0000000000000000352818886514393,0.0000000000000175526804454552,"ECP_2552"
"ECP_0524",1.72398705284275,9.85714824003845,279.107332114846,0.0000000000000000526139759647272,0.00000000000002156216396809,"ECP_0524"
"ECP_0523",1.76432921268843,11.3011256955127,274.577225811623,0.0000000000000000660754231010991,0.0000000000000248223339449796,"ECP_0523"
"ECP_0171",3.56295494808924,10.5654005605879,515.142916039939,0.0000000000000000832371832724221,0.0000000000000288640940147753,"ECP_0171"
"ECP_2298",1.77444512305483,6.90729357787177,247.571640028381,0.000000000000000276866287603575,0.0000000000000891509446083512,"ECP_2298"
"ECP_4123",1.85976179565168,8.63856665644475,270.499631280299,0.000000000000000300591908512608,0.0000000000000903378882383223,"ECP_4123"
"ECP_4180",1.20027638459787,8.74314656302494,240.673824278953,0.000000000000000408252009127612,0.000000000000115025003571705,"ECP_4180"
"ECP_4423",1.58455636274244,7.06794157674705,239.045895896322,0.000000000000000448084859547465,0.000000000000118821561578822,"ECP_4423"
"ECP_1339",1.07751972779534,8.53495688551245,231.379644795998,0.000000000000000700028919082231,0.000000000000175318353734594,"ECP_1339"
"ECP_0865",1.09476453745298,8.65518998853266,190.511483413065,0.00000000000000965739590717237,0.00000000000219114494139533,"ECP_0865"
"ECP_1125",1.06321240619074,8.92403541707511,190.417529002371,0.00000000000000972113993520552,0.00000000000219114494139533,"ECP_1125"
"ECP_1481",1.07091035085465,9.60090108271608,184.430116978138,0.0000000000000148715911902752,0.00000000000319243490884573,"ECP_1481"
"ECP_1598",-1.57238177637537,5.79128554702144,179.425851603152,0.000000000000021413429179689,0.00000000000438780630645627,"ECP_1598"
"ECP_3046",-1.48330912432014,6.41206894573608,177.947426180678,0.0000000000000238884355066949,0.0000000000046821333593122,"ECP_3046"
"ECP_3279",1.03571808114445,8.60529787788847,174.259996031101,0.0000000000000314886832346583,0.00000000000591462433424331,"ECP_3279"
"ECP_2214",0.995040726554484,7.50012820812334,163.735749863291,0.0000000000000712649771155731,0.0000000000121717839670604,"ECP_2214"
"ECP_2299",1.75042103150647,5.47240172847987,163.451168203117,0.0000000000000729011018435292,0.0000000000121717839670604,"ECP_2299"
"ECP_3487",-1.17405471372792,8.45082464251845,163.599986031635,0.0000000000000720405821322178,0.0000000000121717839670604,"ECP_3487"
"ECP_0609",0.876512850092364,9.1245788695865,150.739903162485,0.000000000000208237799684024,0.000000000033090366032939,"ECP_0609"
"ECP_2562",1.18180276423317,6.10797384596374,150.482578615019,0.000000000000212870588943041,0.000000000033090366032939,"ECP_2562"
"ECP_1552",1.11633973403208,8.09656326636709,149.831462742164,0.000000000000225090351076412,0.0000000000338235767550821,"ECP_1552"
"ECP_2833",1.05005996973813,7.39719161725985,139.056138701467,0.000000000000584564592542156,0.0000000000850070059090336,"ECP_2833"
"ECP_0421",-1.04826195222005,7.16466816279375,136.421590510475,0.000000000000745079122595079,0.000000000104963021395582,"ECP_0421"
"ECP_0864",1.04345376212592,6.95151634719917,135.393545058938,0.000000000000819924854511145,0.000000000112006704367765,"ECP_0864"
"ECP_2453",1.28011666289048,7.05489845276677,134.012098682297,0.000000000000933354099979235,0.000000000123751773020776,"ECP_2453"
"ECP_0470",-0.975873394028993,7.28834806521648,131.971806173013,0.00000000000113248466586527,0.00000000014181224649224,"ECP_0470"
"ECP_0689",0.818233855732151,8.15728852627737,132.215512545598,0.00000000000110648324082386,0.00000000014181224649224,"ECP_0689"
"ECP_1515",1.50337334348058,6.66860459946683,134.106624499131,0.00000000000117818439675279,0.000000000143547439474637,"ECP_1515"
"ECP_1236",-1.01491432783749,6.88438638343298,130.776929571393,0.00000000000126973192532926,0.000000000150630303141692,"ECP_1236"
"ECP_1711",-0.948411328268441,7.60977979996207,128.44894638651,0.00000000000159065603686769,0.000000000174894571078037,"ECP_1711"
"ECP_3047",-1.36195894937382,5.56447818922736,128.45966950567,0.00000000000158899378304252,0.000000000174894571078037,"ECP_3047"
"ECP_3648",1.43873626933128,5.76975911883674,128.839941470794,0.00000000000153122547800582,0.000000000174894571078037,"ECP_3648"
"ECP_4168",1.10037290947996,9.21470812449436,126.62682714186,0.00000000000190189622611995,0.000000000204136861603541,"ECP_4168"
"ECP_0185",0.913136563485621,10.5702644385304,125.607915432173,0.00000000000210369046323832,0.000000000220313754234896,"ECP_0185"
"ECP_1712",-0.955568355601011,7.70190645991961,125.387112006041,0.00000000000215035607505222,0.000000000220313754234896,"ECP_1712"
