"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_0179",-2.02129491358413,9.00261025050889,543.744707792687,0.00000000000000000000377766826768121,0.0000000000000000170297285507069,"ECP_0179"
"ECP_1830",1.83378847739725,7.46888755424872,476.005709248487,0.0000000000000000000262344068254416,0.0000000000000000501412279987565,"ECP_1830"
"ECP_4123",2.63857439336604,8.63856665644475,531.103627748649,0.00000000000000000003336816415179,0.0000000000000000501412279987565,"ECP_4123"
"ECP_0470",-1.51358402236576,7.28834806521648,307.154496284204,0.0000000000000000137750527736369,0.00000000000000564526708214137,"ECP_0470"
"ECP_0940",-3.15241249929819,8.08782555280223,538.662489534379,0.00000000000000000609991563456637,0.00000000000000564526708214137,"ECP_0940"
"ECP_1074",1.30671634805309,8.00873637411642,313.873847921552,0.0000000000000000101592732815004,0.00000000000000564526708214137,"ECP_1074"
"ECP_1339",1.27111395648602,8.53495688551245,321.884909206315,0.00000000000000000712116231173085,0.00000000000000564526708214137,"ECP_1339"
"ECP_1513",1.63666472011206,8.50620323405001,314.499733774297,0.00000000000000000987819763638112,0.00000000000000564526708214137,"ECP_1513"
"ECP_2776",-1.46594261157839,7.1305986310399,313.949977932788,0.0000000000000000101246340786222,0.00000000000000564526708214137,"ECP_2776"
"ECP_4180",1.36083809003539,8.74314656302494,308.900101660003,0.0000000000000000127200695611428,0.00000000000000564526708214137,"ECP_4180"
"ECP_4420",-1.40107440826645,9.07384095860617,309.237413306424,0.0000000000000000125263170899951,0.00000000000000564526708214137,"ECP_4420"
"ECP_2643",1.7251430081393,7.07097472120296,302.438227741717,0.0000000000000000171194560202736,0.00000000000000643120897828276,"ECP_2643"
"ECP_3145",1.9641856386071,7.85083163488768,296.020461689601,0.0000000000000000345940307269627,0.000000000000011996145424396,"ECP_3145"
"ECP_0171",3.69638332702645,10.5654005605879,548.908178998971,0.0000000000000000423938122977872,0.0000000000000136508075598875,"ECP_0171"
"ECP_1832",1.18625266481848,8.28380172456852,251.951098176083,0.0000000000000002174464079203,0.0000000000000653498937936475,"ECP_1832"
"ECP_1124",1.0387239055591,8.77767968380167,245.895578865206,0.00000000000000030399208250111,0.0000000000000806115475244119,"ECP_1124"
"ECP_2575",1.56025501177795,9.08782260074043,246.605905736208,0.000000000000000292165508500719,0.0000000000000806115475244119,"ECP_2575"
"ECP_4287",-1.31051437804191,8.88301639625625,233.033273107775,0.000000000000000635104865366142,0.000000000000159058485170587,"ECP_4287"
"ECP_1859",1.69174987305548,6.25320478905553,225.956480832456,0.000000000000000967493464122696,0.000000000000229550554540269,"ECP_1859"
"ECP_1075",1.35546489361956,7.5151876805246,223.846361666383,0.000000000000001099348907319,0.000000000000247793243709703,"ECP_1075"
"ECP_1834",1.19748995606576,7.59890796764151,217.848322760604,0.00000000000000159007931049407,0.000000000000341337025319393,"ECP_1834"
"ECP_2298",1.63665648598972,6.90729357787177,211.708843777716,0.00000000000000234183305869816,0.000000000000479862883118697,"ECP_2298"
"ECP_1514",1.47741605656874,9.608850175309,210.43722412316,0.00000000000000254047606418011,0.000000000000497933308579301,"ECP_1514"
"ECP_1829",1.86513759885672,5.68500566415181,204.713447665127,0.00000000000000368491115696343,0.000000000000692149145649631,"ECP_1829"
"ECP_2574",1.15308802883046,8.4786299888267,202.165638431782,0.00000000000000436107236920437,0.000000000000786388569614932,"ECP_2574"
"ECP_0689",1.00635573762468,8.15728852627737,200.597580389925,0.0000000000000048419979774759,0.000000000000839527957017744,"ECP_0689"
"ECP_1552",1.27879632032543,8.09656326636709,196.837369249112,0.00000000000000624082892197572,0.00000000000104198728815802,"ECP_1552"
"ECP_1583",-1.04473975385503,8.84773033755826,194.411523733322,0.00000000000000736754988583616,0.00000000000114527292708101,"ECP_1583"
"ECP_1742",-2.42642131685764,5.88098687955489,222.688972878966,0.00000000000000725465598802026,0.00000000000114527292708101,"ECP_1742"
"ECP_2214",1.07563693034768,7.50012820812334,192.613557043486,0.00000000000000834166471629187,0.00000000000125347415136813,"ECP_2214"
"ECP_2599",2.91305204223529,8.94173003805254,370.844486724421,0.000000000000010752021947222,0.00000000000153447458311458,"ECP_2599"
"ECP_3248",1.72567409282074,6.05581114284259,188.799112796363,0.0000000000000108924548934486,0.00000000000153447458311458,"ECP_3248"
"ECP_3964",1.23655301261182,6.85799994632348,186.272541545431,0.0000000000000130315508391226,0.00000000000178018882372015,"ECP_3964"
"ECP_1125",1.04746862248504,8.92403541707511,185.36520063727,0.0000000000000139053992562485,0.00000000000184369234844612,"ECP_1125"
"ECP_3271",-1.00341102843195,8.52946806414901,178.834541489587,0.0000000000000223688905579864,0.00000000000288111310386864,"ECP_3271"
"ECP_0524",1.36570855124113,9.85714824003845,178.152207661638,0.0000000000000235281603533042,0.00000000000294624852424154,"ECP_0524"
"ECP_1833",1.28105596531257,6.9045834914187,173.560434727014,0.0000000000000332015801379528,0.00000000000393875587531292,"ECP_1833"
"ECP_2935",-1.01592999764779,9.54583436265777,173.688485153426,0.0000000000000328807751824416,0.00000000000393875587531292,"ECP_2935"
"ECP_3963",1.29468218984667,6.76023179951927,172.232581787257,0.0000000000000367318131105388,0.00000000000424582085903356,"ECP_3963"
"ECP_0523",1.35986248673706,11.3011256955127,166.674196846384,0.0000000000000564843729400409,0.00000000000636578883034261,"ECP_0523"
"ECP_0596",-1.76135643771531,5.58379962414295,165.589556246432,0.000000000000061519544939114,0.00000000000676414898989088,"ECP_0596"
"ECP_1582",-1.11639418591347,7.8780362960199,159.661665949142,0.0000000000000989478601372344,0.0000000000106204036547298,"ECP_1582"
"ECP_0011",-1.80240372257918,7.00603068461317,190.643260559653,0.000000000000115895543951752,0.0000000000121501653984767,"ECP_0011"
"ECP_2299",1.70435560794965,5.47240172847987,156.72623942259,0.000000000000125897303930936,0.0000000000128987510481968,"ECP_2299"
"ECP_0715",1.7593600807197,5.67719460747517,156.063092375145,0.000000000000133007851984315,0.0000000000132237873624803,"ECP_0715"
"ECP_1707",1.46487539265789,6.16707876033307,155.889711926618,0.000000000000134936605739595,0.0000000000132237873624803,"ECP_1707"
"ECP_1290",0.99370049976079,7.15821791611193,153.848247423936,0.000000000000160026753319639,0.0000000000153489490205305,"ECP_1290"
"ECP_3162",1.20610955102257,6.31741057428693,151.537604375596,0.000000000000194545999471684,0.0000000000182711117837156,"ECP_3162"
"ECP_2645",1.53282712091294,6.16285074336689,150.842483940478,0.000000000000206421007027667,0.0000000000189907326465454,"ECP_2645"
"ECP_1255",-0.838520468598764,9.22984112273631,147.693538327141,0.000000000000270754590800435,0.0000000000244112339065672,"ECP_1255"
"ECP_0808",1.24598759782381,5.76180476767131,147.322399715284,0.000000000000279640566303468,0.0000000000247180328018831,"ECP_0808"
"ECP_1549",-1.46490638905774,5.90172459990641,147.030610378161,0.000000000000286844680559796,0.0000000000248672273069915,"ECP_1549"
"ECP_3625",1.14398978341117,7.56684564607939,146.781364698449,0.000000000000293154974819319,0.0000000000249347665374621,"ECP_3625"
"ECP_1860",1.58650390485862,5.44574914094421,142.173437343819,0.000000000000440820484376211,0.0000000000368003471031103,"ECP_1860"
"ECP_3250",-1.07610241383897,10.8981218876737,138.821617083674,0.000000000000597235039257412,0.0000000000489515555813166,"ECP_3250"
"ECP_0597",1.40798668796753,9.35232767729115,156.362059917127,0.000000000000661087093517465,0.0000000000532175110281559,"ECP_0597"
"ECP_0059",-1.17972216553522,6.72211179430419,137.391961893718,0.000000000000681080727736585,0.0000000000538651214146759,"ECP_0059"
"ECP_2496",1.1848264608453,7.20140855291185,135.957164538071,0.000000000000777948159137106,0.0000000000604653500239668,"ECP_2496"
"ECP_3511",1.95605998857547,5.64130946302936,146.13281395806,0.000000000000900332791678884,0.0000000000687915292353967,"ECP_3511"
"ECP_2453",1.27140580216914,7.05489845276677,133.227109578907,0.00000000000100515894630609,0.0000000000755209421657974,"ECP_2453"
"ECP_4106",-1.1154224661337,9.17300619515292,130.64094024723,0.00000000000128644009640465,0.0000000000950700320424942,"ECP_4106"
"ECP_0060",-1.07887333783162,9.30449514413715,130.225256990594,0.00000000000133898037679028,0.0000000000973568312672674,"ECP_0060"
"ECP_0609",0.808769680231293,9.1245788695865,128.802279116028,0.00000000000153684580733132,0.000000000109969855546819,"ECP_0609"
"ECP_3046",-1.22027044063711,6.41206894573608,125.543849296314,0.00000000000211711840405047,0.000000000149124527585305,"ECP_3046"
"ECP_1857",-1.1926683413677,11.9008295165571,124.984612365567,0.00000000000223828223408925,0.000000000152881459261733,"ECP_1857"
"ECP_3353",-0.945908473584433,11.9255016210519,125.003782367568,0.0000000000022340088549729,0.000000000152881459261733,"ECP_3353"
"ECP_2562",1.07147982107229,6.10797384596374,124.610496737296,0.00000000000232344656314607,0.000000000156329807562126,"ECP_2562"
"ECP_2296",1.21665546384081,7.82636380708296,124.568002736174,0.00000000000244104126819681,0.000000000161826677015165,"ECP_2296"
"ECP_2851",2.01276545897801,4.31585905844814,120.565063567565,0.00000000000349994283988895,0.000000000228662932206078,"ECP_2851"
"ECP_0653",1.35944831884666,5.74015478084197,120.246612691724,0.00000000000361634908057854,0.000000000232892880789258,"ECP_0653"
"ECP_2538",-1.00277689476908,9.26173556879591,119.944688049311,0.00000000000373052780255698,0.000000000236862244139815,"ECP_2538"
"ECP_1828",1.47443075244633,6.4177995671771,128.732674562577,0.00000000000408561249669535,0.000000000255804737987537,"ECP_1828"
"ECP_0172",1.43859834023643,5.3148736362765,118.843388329351,0.0000000000041806613309012,0.000000000258170154516474,"ECP_0172"
"ECP_2934",-0.936563709525306,7.18188945714774,118.292963559926,0.00000000000442700627842873,0.000000000269688436529145,"ECP_2934"
"ECP_4646",1.29174043050421,6.62154723737136,117.695609396477,0.00000000000471194662811808,0.000000000283219405327417,"ECP_4646"
"ECP_0165",0.879229001033652,7.60560733701323,114.329419089426,0.0000000000067289203806949,0.00000000038932955994934,"ECP_0165"
"ECP_1826",1.0575490441066,6.5385765003386,114.341590868735,0.00000000000672015585460699,0.00000000038932955994934,"ECP_1826"
"ECP_1827",1.23811625787351,6.5775003820027,114.319040624707,0.00000000000673640321119089,0.00000000038932955994934,"ECP_1827"
"ECP_3868",-1.14019502965778,7.09880815569641,114.192647359392,0.00000000000682824676019041,0.000000000389642232847321,"ECP_3868"
"ECP_1775",-0.957916403535489,10.1552650692078,113.547860816121,0.00000000000731799655461008,0.000000000412369105852278,"ECP_1775"
"ECP_4419",-0.953439135675524,9.31018582103437,113.320542965027,0.00000000000749946437632557,0.000000000417377597635502,"ECP_4419"
"ECP_0853",1.02843245529883,7.01561280131048,113.104610968092,0.00000000000767628623350234,0.000000000422008516349129,"ECP_0853"
"ECP_2297",1.53967614383471,5.8908849431747,112.717454719721,0.0000000000083455725496066,0.000000000453275193417187,"ECP_2297"
"ECP_4121",0.928183759611703,7.33795685260648,112.176088330429,0.00000000000848881918728539,0.000000000455566629717649,"ECP_4121"
"ECP_3270",-0.895478480892712,9.56493889788069,111.543431654755,0.00000000000909461842217078,0.000000000482335762907599,"ECP_3270"
"ECP_0267",-0.773031643223954,8.50312625370989,111.162595868333,0.00000000000948135551530113,0.000000000496999426313692,"ECP_0267"
