"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1513",2.29866379424224,8.50620323405001,606.067368069275,0.000000000000000000000769917647136335,0.00000000000000000289700377095691,"ECP_1513"
"ECP_4123",2.99644944309304,8.63856665644475,671.792147757951,0.00000000000000000000128527230299774,0.00000000000000000289700377095691,"ECP_4123"
"ECP_1514",2.13387716972342,9.608850175309,425.347970793899,0.000000000000000000133525076031853,0.000000000000000200643680917198,"ECP_1514"
"ECP_2214",1.50022234568948,7.50012820812334,373.593350049963,0.000000000000000000858848552601851,0.000000000000000967922318782286,"ECP_2214"
"ECP_0940",-3.29252430699936,8.08782555280223,578.788606031412,0.00000000000000000266695007954681,0.00000000000000240452219171941,"ECP_0940"
"ECP_0524",1.83831479980755,9.85714824003845,315.765463646497,0.00000000000000000933477095248029,0.00000000000000701352457563019,"ECP_0524"
"ECP_0171",3.97479631332061,10.5654005605879,620.456103517589,0.0000000000000000114787357947325,0.00000000000000739230585180771,"ECP_0171"
"ECP_0700",-1.25772374886405,9.766648840955,304.737130659761,0.0000000000000000153925603292054,0.00000000000000867370774550722,"ECP_0700"
"ECP_2575",1.70613647681223,9.08782260074043,293.231091634836,0.0000000000000000264057088021088,0.0000000000000132263261422118,"ECP_2575"
"ECP_0865",1.35209069959592,8.65518998853266,289.757662078709,0.0000000000000000311958944102598,0.0000000000000140631092001451,"ECP_0865"
"ECP_0523",1.77366589503796,11.3011256955127,277.402415373685,0.000000000000000057301450689355,0.0000000000000234831763370557,"ECP_0523"
"ECP_0609",1.18160430453938,9.1245788695865,272.582279723334,0.0000000000000000731270763087764,0.0000000000000253582199999972,"ECP_0609"
"ECP_4180",1.27795966086368,8.74314656302494,273.023198792383,0.0000000000000000715022969881579,0.0000000000000253582199999972,"ECP_4180"
"ECP_3145",1.89405095909442,7.85083163488768,275.26528248778,0.0000000000000000939338889526153,0.0000000000000302467122427421,"ECP_3145"
"ECP_3046",-1.80767904777255,6.41206894573608,258.869739983327,0.000000000000000149583352703816,0.0000000000000449547835992535,"ECP_3046"
"ECP_2574",1.28238207637575,8.4786299888267,249.364835535648,0.000000000000000250675477312776,0.0000000000000706278157328745,"ECP_2574"
"ECP_2298",1.70336250002363,6.90729357787177,229.581330477637,0.000000000000000778735639996196,0.000000000000206502368535462,"ECP_2298"
"ECP_3248",1.88756003972653,6.05581114284259,227.188541531559,0.000000000000000898382529218154,0.000000000000224994913428636,"ECP_3248"
"ECP_2599",3.33867021294001,8.94173003805254,473.325224900636,0.000000000000000963556888986817,0.00000000000022861655029224,"ECP_2599"
"ECP_0864",1.33632577730835,6.95151634719917,225.128682855193,0.00000000000000101709366357399,0.000000000000229252911769578,"ECP_0864"
"ECP_0470",-1.27534466009688,7.28834806521648,222.330441933864,0.00000000000000120582388037285,0.000000000000247084275123673,"ECP_0470"
"ECP_1515",1.94284542686954,6.66860459946683,228.150372936416,0.00000000000000119892713176885,0.000000000000247084275123673,"ECP_1515"
"ECP_1339",1.05054772995388,8.53495688551245,220.722254657932,0.0000000000000013308857076488,0.000000000000260853598699165,"ECP_1339"
"ECP_2280",1.32507594056407,6.59400834825008,216.947771228414,0.00000000000000168197188070203,0.000000000000315930384925197,"ECP_2280"
"ECP_3045",-1.73420212944198,5.80374724748798,207.393295176966,0.00000000000000309259035122213,0.000000000000557655892132375,"ECP_3045"
"ECP_1124",0.951828231523932,8.77767968380167,206.750707020476,0.00000000000000322472328984524,0.000000000000559117407331629,"ECP_1124"
"ECP_2620",-1.2917391134764,7.07737888090268,204.071089029823,0.00000000000000384413449877927,0.000000000000641828085944331,"ECP_2620"
"ECP_1830",1.16783514551937,7.46888755424872,195.103306341355,0.00000000000000702568101409996,0.00000000000113113464327009,"ECP_1830"
"ECP_3047",-1.66342836971214,5.56447818922736,188.30010305469,0.0000000000000112832416953016,0.00000000000175396046766964,"ECP_3047"
"ECP_0135",1.32917907615535,7.69048664920623,183.865183569931,0.0000000000000154897641545867,0.00000000000232759522696256,"ECP_0135"
"ECP_1125",1.02996231483691,8.92403541707511,179.257357252378,0.000000000000021681179987105,0.00000000000315286320586676,"ECP_1125"
"ECP_4168",1.29206546583688,9.21470812449436,173.915570616924,0.000000000000032319947219206,0.00000000000455307256450564,"ECP_4168"
"ECP_4133",1.36020020575945,7.02508335556469,157.925802310925,0.00000000000011404327806637,0.0000000000155790029552484,"ECP_4133"
"ECP_1790",2.68234865346135,4.69823669715192,174.383146256144,0.000000000000153815436061876,0.0000000000203941172284393,"ECP_1790"
"ECP_4356",1.44453047406908,7.2067529570946,154.071149768502,0.000000000000170161993887731,0.0000000000219168648127398,"ECP_4356"
"ECP_3048",-1.52636887498157,5.78728580028479,151.803441501398,0.000000000000190198810174157,0.0000000000235667089743884,"ECP_3048"
"ECP_3279",0.964118344185693,8.60529787788847,151.60543295452,0.00000000000019342684828136,0.0000000000235667089743884,"ECP_3279"
"ECP_2453",1.32309189108369,7.05489845276677,144.333842582003,0.000000000000363592105867281,0.0000000000431335056118342,"ECP_2453"
"ECP_1552",1.08907889675444,8.09656326636709,143.209898712191,0.000000000000401791858757415,0.0000000000464430179302161,"ECP_1552"
"ECP_4290",1.56999778980339,8.14577707532577,172.61304724427,0.000000000000465851462914573,0.0000000000525014598704723,"ECP_4290"
"ECP_3648",1.49026031298645,5.76975911883674,140.582299836561,0.000000000000508796221230068,0.0000000000559427650074426,"ECP_3648"
"ECP_0853",1.14379958053844,7.01561280131048,139.995506870716,0.000000000000536611486552659,0.000000000057596299556652,"ECP_0853"
"ECP_2299",1.610991272053,5.47240172847987,138.968412686261,0.000000000000589270307940904,0.0000000000617774546092464,"ECP_2299"
"ECP_1105",1.99117353744767,4.71372584863171,137.296476917841,0.000000000000687110378977599,0.0000000000703975815552504,"ECP_1105"
"ECP_0011",-1.65016875680553,7.00603068461317,162.159722852467,0.000000000000761719842136908,0.0000000000763074010745152,"ECP_0011"
"ECP_2562",1.10944440543034,6.10797384596374,133.704540166501,0.000000000000960814072783134,0.0000000000941597791327472,"ECP_2562"
"ECP_0956",0.902673689967701,7.78443108573534,132.850550182777,0.00000000000104167114487536,0.0000000000999117770446405,"ECP_0956"
"ECP_0689",0.810672856043786,8.15728852627737,130.336517728493,0.00000000000132469729882616,0.000000000124411154648091,"ECP_0689"
"ECP_2296",1.21569026917989,7.82636380708296,124.444965478064,0.00000000000247117753933319,0.000000000227348333618654,"ECP_2296"
"ECP_3050",-1.9138117142875,9.03637127134086,193.838582664391,0.00000000000278434004616753,0.000000000251036098562464,"ECP_3050"
"ECP_2297",1.60267249063608,5.8908849431747,122.446552713122,0.00000000000302035998064625,0.000000000266976133191241,"ECP_2297"
"ECP_0165",0.905864780275587,7.60560733701323,121.332804695629,0.00000000000323539808786661,0.000000000280484126540437,"ECP_0165"
"ECP_1796",0.910540736395869,10.0508178462979,120.722538464524,0.00000000000344386016049161,0.000000000292923049122569,"ECP_1796"
"ECP_3282",0.781959549798632,8.85771817816499,120.193795560158,0.00000000000363605118237578,0.000000000303542939447222,"ECP_3282"
"ECP_3280",1.08663388508374,8.37027242476204,119.922761905009,0.00000000000373896780596158,0.000000000306459397623178,"ECP_3280"
"ECP_1481",0.858348156267807,9.60090108271608,119.30001570085,0.00000000000398737463422668,0.000000000320983658055248,"ECP_1481"
"ECP_1255",-0.749303722184345,9.22984112273631,118.369906248735,0.00000000000439166017030463,0.000000000347326386802338,"ECP_1255"
"ECP_2833",0.962310897443145,7.39719161725985,117.414933789965,0.00000000000485251750213053,0.000000000377157739648352,"ECP_2833"
"ECP_3049",-1.19555616413694,6.354280387427,116.712691664424,0.00000000000522415872907517,0.000000000399161144926625,"ECP_3049"
"ECP_1403",0.924373794911874,9.92666829228883,115.405861288229,0.00000000000599888103367973,0.00000000045071592833047,"ECP_1403"
"ECP_2496",1.08315569886115,7.20140855291185,113.52417298449,0.00000000000733668640986596,0.000000000542193153043865,"ECP_2496"
"ECP_3716",2.15964021481809,5.7022853856231,137.521766398193,0.0000000000100545774136612,0.000000000731065080335239,"ECP_3716"
"ECP_2935",-0.800473650271549,9.54583436265777,108.830177875716,0.0000000000122664254640677,0.000000000877730888762181,"ECP_2935"
"ECP_1452",1.40931416008267,7.84444028082606,129.554913395219,0.0000000000131008090709127,0.000000000922788238932416,"ECP_1452"
"ECP_4492",0.77569173665298,10.598309427776,107.898760266733,0.0000000000136116591005584,0.00000000094402091115873,"ECP_4492"
"ECP_0020",1.42325901322648,7.40417629984154,125.896722331785,0.0000000000182807586455119,0.00000000121768569656727,"ECP_0020"
"ECP_0185",0.835040784149936,10.5702644385304,105.347847861372,0.0000000000181664941456586,0.00000000121768569656727,"ECP_0185"
"ECP_2895",0.725534896414929,8.9045194327293,105.251342078577,0.0000000000183679297618843,0.00000000121768569656727,"ECP_2895"
"ECP_0436",1.9604820989485,6.00438357577913,132.288294427168,0.0000000000203816726769861,0.00000000133160261489642,"ECP_0436"
"ECP_0715",1.44639609016021,5.67719460747517,103.99035330675,0.0000000000212302014386777,0.000000001349531651368,"ECP_0715"
"ECP_0866",0.928532890239749,8.15390883026964,103.980308189994,0.0000000000212548241453256,0.000000001349531651368,"ECP_0866"
"ECP_3020",-1.7973804688477,8.48802803400057,161.457235689433,0.0000000000219788639802092,0.00000000137612109476088,"ECP_3020"
"ECP_0172",1.34612046474627,5.3148736362765,103.011348640025,0.0000000000237790845924395,0.00000000146843990880435,"ECP_0172"
"ECP_3627",0.879505153266312,7.98265876505118,101.982120472851,0.0000000000268136883261791,0.00000000163346090505967,"ECP_3627"
"ECP_4122",0.950871822431475,7.46138438262483,101.419595369175,0.0000000000286443165581789,0.00000000172171438725694,"ECP_4122"
"ECP_1773",0.914412079189684,9.50830562449683,99.3517575569982,0.0000000000366053080505127,0.00000000217127274594357,"ECP_1773"
"ECP_3044",-1.43113419925699,4.32213041320442,97.1904808342375,0.0000000000475015278002331,0.00000000278099853666819,"ECP_3044"
"ECP_0597",1.15381437545794,9.35232767729115,105.894912835451,0.0000000000576990970040453,0.00000000333471191402867,"ECP_0597"
"ECP_1265",0.990553178306058,7.5032911265336,95.4324764502425,0.0000000000589103002423943,0.00000000336161561383182,"ECP_1265"
"ECP_3043",-1.5251267642859,4.14036929360244,93.9640922598624,0.0000000000706788734962042,0.0000000039827545215111,"ECP_3043"
"ECP_3964",0.880045629963324,6.85799994632348,93.8363108398445,0.0000000000718153725757362,0.00000000399683579717801,"ECP_3964"
"ECP_2941",0.884477849151262,8.51078874809408,93.6714917920958,0.0000000000733101107915357,0.00000000403026804205175,"ECP_2941"
"ECP_1435",1.18311684097168,6.68947850089417,94.4470183869534,0.0000000000754541615054799,0.00000000409816096465908,"ECP_1435"
"ECP_3511",1.62777264479938,5.64130946302936,99.3970849942469,0.0000000000803897661471722,0.00000000431425078323157,"ECP_3511"
"ECP_3490",1.04895519706054,7.4823366556774,91.849768280383,0.0000000000922262628746174,0.00000000489124697692677,"ECP_3490"
"ECP_1669",-0.851301042202215,8.14468830656758,91.6194584170269,0.0000000000949652170841933,0.00000000497794416994818,"ECP_1669"
"ECP_0653",1.18694148715918,5.74015478084197,90.6134401455641,0.000000000107986242411422,0.00000000559542506655968,"ECP_0653"
"ECP_2109",-0.837812153921636,7.91020436760251,89.1174139634736,0.000000000130986099789631,0.0000000067100606574052,"ECP_2109"
"ECP_0825",0.767782422314705,8.96979562551914,88.8016060238645,0.000000000136477998464669,0.000000006912840641334,"ECP_0825"
"ECP_3114",0.85740666411806,7.60722608042943,88.2999304246717,0.000000000145712427296316,0.00000000729857358057546,"ECP_3114"
"ECP_0607",-0.906200793106501,6.81107101971332,87.3398152161047,0.000000000165292815993099,0.00000000814890874165763,"ECP_0607"
"ECP_1819",1.32367010442237,7.12880731724993,99.7705679543638,0.000000000166304260033829,0.00000000814890874165763,"ECP_1819"
"ECP_3127",0.676624665430001,10.8180378866909,87.0193375951013,0.000000000172437585943746,0.00000000835858749929468,"ECP_3127"
"ECP_0717",2.4020285555791,7.69591374808122,157.703295090641,0.000000000181705314242319,0.00000000871412294259971,"ECP_0717"
"ECP_2882",1.3621427733342,4.60934996196546,85.1497039974914,0.000000000221242009922486,0.0000000104985155866376,"ECP_2882"
"ECP_4357",1.65034375901912,9.25572109473418,129.763233206326,0.000000000238314287815447,0.0000000111908417653337,"ECP_4357"
"ECP_1775",-0.820372373383879,10.1552650692078,83.7309931249535,0.000000000268031717293562,0.0000000124565668201997,"ECP_1775"
"ECP_1521",1.34932884641714,4.83742601082916,83.5101763007907,0.000000000276215769245949,0.0000000127059253853136,"ECP_1521"
"ECP_4364",0.829409401819087,6.19864759167038,82.7885881644738,0.000000000304868627410572,0.0000000138823007309784,"ECP_4364"
"ECP_0596",-1.19193058718668,5.58379962414295,82.1676664711299,0.000000000332061742650003,0.0000000149693433586621,"ECP_0596"
"ECP_4355",0.948040251109428,7.309738172161,81.717764806019,0.000000000353373803991049,0.0000000157723674098183,"ECP_4355"
"ECP_4181",0.830093561850369,6.93867193623478,81.6206642251211,0.000000000358161900812234,0.0000000158293514594269,"ECP_4181"
"ECP_1689",2.60018106631681,6.54353587592399,141.380812114744,0.00000000038186977071609,0.0000000167132905474576,"ECP_1689"
"ECP_2300",1.494503860834,5.41632059594648,81.6300277962907,0.000000000441594600035166,0.0000000191414274707551,"ECP_2300"
