"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_0941",-1.73666223185733,9.87102401297118,602.50843628436,0.000000000000000000000839518255980679,0.0000000000000000037845482979609,"ECP_0941"
"ECP_1513",2.12127686663291,8.50620323405001,519.923734750073,0.00000000000000000000726595526787082,0.0000000000000000163774631737808,"ECP_1513"
"ECP_1514",2.0002906254762,9.608850175309,376.39286620497,0.000000000000000000771974207751779,0.00000000000000116001990951501,"ECP_1514"
"ECP_4123",2.11084830673813,8.63856665644475,347.621641308069,0.0000000000000000107090777161864,0.000000000000012069130586142,"ECP_4123"
"ECP_2657",-1.29079629375883,10.8145073831343,304.648887726665,0.0000000000000000154553047892227,0.0000000000000139345027979632,"ECP_2657"
"ECP_2214",1.24920933862105,7.50012820812334,259.92440158936,0.000000000000000141403313584766,0.000000000000106241022940021,"ECP_2214"
"ECP_0865",1.25590180127114,8.65518998853266,250.753556979242,0.000000000000000232208733426215,0.000000000000139739638818939,"ECP_0865"
"ECP_0973",-1.16143451151757,7.99527683652559,248.872726812174,0.000000000000000257589489592212,0.000000000000139739638818939,"ECP_0973"
"ECP_1339",1.11240321466053,8.53495688551245,247.4346654174,0.000000000000000278983307313764,0.000000000000139739638818939,"ECP_1339"
"ECP_0864",1.38955311747645,6.95151634719917,243.70435455342,0.000000000000000343799374515039,0.000000000000153196821511094,"ECP_0864"
"ECP_0940",-2.55038942108658,8.08782555280223,375.476274253169,0.000000000000000373816556482261,0.000000000000153196821511094,"ECP_0940"
"ECP_1124",1.02574541309681,8.77767968380167,239.912442390142,0.000000000000000426390921373463,0.000000000000160180856129298,"ECP_1124"
"ECP_0524",1.57217923561948,9.85714824003845,234.056760918346,0.000000000000000598157899559196,0.000000000000207422754708681,"ECP_0524"
"ECP_2575",1.48290499900425,9.08782260074043,223.287112853981,0.00000000000000113741497183209,0.000000000000366247620929934,"ECP_2575"
"ECP_1515",1.92034444617787,6.66860459946683,222.974155961967,0.00000000000000163102795766234,0.000000000000459542127071363,"ECP_1515"
"ECP_3248",1.8503246730235,6.05581114284259,218.415346952507,0.00000000000000153497422949349,0.000000000000459542127071363,"ECP_3248"
"ECP_1125",1.13126796942576,8.92403541707511,215.853774435535,0.00000000000000180127542791215,0.000000000000477655860531058,"ECP_1125"
"ECP_0523",1.53450506297405,11.3011256955127,210.440726662893,0.00000000000000253990490862175,0.000000000000636105073781491,"ECP_0523"
"ECP_4180",1.11703781740391,8.74314656302494,209.437416405545,0.00000000000000270924285018457,0.000000000000642803514138529,"ECP_4180"
"ECP_0609",1.03080161916787,9.1245788695865,208.352383707441,0.00000000000000290599111099198,0.000000000000655010396417591,"ECP_0609"
"ECP_4492",1.08070510090651,10.598309427776,207.545519552356,0.0000000000000030621415429504,0.000000000000657339717886686,"ECP_4492"
"ECP_0171",2.86678828844211,10.5654005605879,351.152096185778,0.00000000000000469737808658937,0.000000000000962535473379312,"ECP_0171"
"ECP_3046",-1.55298739023109,6.41206894573608,197.034632533865,0.00000000000000615764783315894,0.00000000000120689897529915,"ECP_3046"
"ECP_0689",0.982115626944215,8.15728852627737,191.167767376268,0.00000000000000922436222023838,0.00000000000173264270370144,"ECP_0689"
"ECP_2298",1.54616177212627,6.90729357787177,188.958051182955,0.0000000000000107710331102261,0.00000000000194223269043597,"ECP_2298"
"ECP_3045",-1.58923407045051,5.80374724748798,178.050517462686,0.0000000000000237063367306863,0.00000000000411031407622823,"ECP_3045"
"ECP_1481",1.03658563561969,9.60090108271608,173.249839106795,0.0000000000000339936447878035,0.00000000000542622253314772,"ECP_1481"
"ECP_1552",1.19977294118438,8.09656326636709,173.607964547035,0.0000000000000330821163177059,0.00000000000542622253314772,"ECP_1552"
"ECP_3047",-1.58258263808483,5.56447818922736,172.901134676702,0.0000000000000349069328884835,0.00000000000542622253314772,"ECP_3047"
"ECP_2574",1.03667822567283,8.4786299888267,163.753177208679,0.0000000000000711660622881041,0.0000000000106938869598258,"ECP_2574"
"ECP_0770",-1.45906189320763,5.73886982568846,158.257447246327,0.000000000000110979976511059,0.0000000000156343041909955,"ECP_0770"
"ECP_3279",0.986285669743161,8.60529787788847,158.622565960603,0.000000000000107708544352967,0.0000000000156343041909955,"ECP_3279"
"ECP_3145",1.41308886025651,7.85083163488768,154.144002751877,0.000000000000203997209993931,0.0000000000278672552318982,"ECP_3145"
"ECP_0470",-1.00817779750163,7.28834806521648,141.794396149893,0.000000000000456085317805,0.000000000059588370217535,"ECP_0470"
"ECP_0653",1.47096738921875,5.74015478084197,141.635700885466,0.000000000000462642625912539,0.000000000059588370217535,"ECP_0653"
"ECP_3282",0.824454162063841,8.85771817816499,133.580258482753,0.000000000000972153348358274,0.000000000121735202622197,"ECP_3282"
"ECP_2599",2.2380251522225,8.94173003805254,227.255905888352,0.00000000000123620623931589,0.000000000150616695319893,"ECP_2599"
"ECP_0165",0.933937841565529,7.60560733701323,129.117663311343,0.00000000000149045098125487,0.000000000172280846756332,"ECP_0165"
"ECP_2280",1.02593949666608,6.59400834825008,129.326541345143,0.00000000000146054643197382,0.000000000172280846756332,"ECP_2280"
"ECP_1255",-0.775640403627024,9.22984112273631,126.719407594803,0.00000000000188461085589011,0.000000000212395643458816,"ECP_1255"
"ECP_4184",-1.20363587409574,6.21559555414451,125.565987581014,0.0000000000021124680384807,0.000000000232268437011488,"ECP_4184"
"ECP_3511",1.86325398025836,5.64130946302936,132.2801747412,0.00000000000296201238331642,0.000000000317922662475963,"ECP_3511"
"ECP_2935",-0.844628495350293,9.54583436265777,120.981107596989,0.00000000000335383970064141,0.000000000351607194662592,"ECP_2935"
"ECP_2846",1.21996548688355,6.95961565583121,118.0775477116,0.00000000000452758562365815,0.000000000463871727078431,"ECP_2846"
"ECP_1532",1.04793858910865,7.99910744845729,117.018100230048,0.00000000000505893500989814,0.000000000506792867213796,"ECP_1532"
"ECP_3048",-1.31571884285362,5.78728580028479,116.105783759562,0.00000000000556979273569283,0.000000000545839688097897,"ECP_3048"
"ECP_2453",1.18355897399308,7.05489845276677,115.328532003393,0.00000000000604840399482687,0.000000000580132025716586,"ECP_2453"
"ECP_2933",-0.774407983249666,9.89714284363867,113.525385151096,0.00000000000733572876935936,0.000000000688947193589,"ECP_2933"
"ECP_0597",1.26464460089808,9.35232767729115,126.863029099265,0.00000000000754237402943919,0.000000000693898410708406,"ECP_0597"
"ECP_0011",-1.47029571049249,7.00603068461317,130.984386650957,0.00000000000857341426420479,0.000000000772979030060704,"ECP_0011"
"ECP_4168",1.03114331040535,9.21470812449436,111.644535937778,0.00000000000899479426780468,0.000000000795069265867912,"ECP_4168"
"ECP_2562",1.00767116072715,6.10797384596374,109.999948006483,0.0000000000107743105320677,0.000000000934049843818485,"ECP_2562"
"ECP_0060",-0.984558067373599,9.30449514413715,108.975254039166,0.0000000000120699717597397,0.00000000100761912394272,"ECP_0060"
"ECP_2299",1.43573868713391,5.47240172847987,109.102371213157,0.0000000000119005905333991,0.00000000100761912394272,"ECP_2299"
"ECP_2484",0.9518364411569,7.99738279727608,107.230976205557,0.000000000014672413756034,0.00000000120260438567639,"ECP_2484"
