"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_3157",-2.78371802472554,11.3860402305676,789.048902628607,0.0000000000000000000000155886189904084,0.000000000000000000070273494408761,"ECP_3157"
"ECP_1513",2.28441146595939,8.50620323405001,598.435010897405,0.000000000000000000000927491818292125,0.00000000000000000209056655843045,"ECP_1513"
"ECP_1326",-2.21187297728448,6.29600924966146,421.876828952147,0.000000000000000000150255232561395,0.000000000000000225783529462256,"ECP_1326"
"ECP_1514",2.0912114060822,9.608850175309,409.385113233127,0.000000000000000000231548801043529,0.000000000000000260955498776057,"ECP_1514"
"ECP_2214",1.43960025230107,7.50012820812334,343.896733722547,0.00000000000000000279252409148596,0.00000000000000251773972088374,"ECP_2214"
"ECP_0524",1.90917205379212,9.85714824003845,339.222159462246,0.00000000000000000339074292897775,0.00000000000000254757818730528,"ECP_0524"
"ECP_0940",-3.01313157163702,8.08782555280223,498.71867153251,0.000000000000000014772635540111,0.00000000000000951357728783152,"ECP_0940"
"ECP_0523",1.84769950124576,11.3011256955127,299.702562051528,0.0000000000000000194473658905586,0.00000000000000994904032827232,"ECP_0523"
"ECP_2575",1.72460535143783,9.08782260074043,299.251243649464,0.000000000000000019862769067092,0.00000000000000994904032827232,"ECP_2575"
"ECP_0865",1.32300535338757,8.65518998853266,277.429959889222,0.0000000000000000572222818251766,0.0000000000000257958046467896,"ECP_0865"
"ECP_1515",2.03388576931373,6.66860459946683,249.768138997675,0.000000000000000353322565856498,0.000000000000144798011534645,"ECP_1515"
"ECP_2574",1.25693772484593,8.4786299888267,239.506288634174,0.000000000000000436416304723921,0.00000000000016394705847462,"ECP_2574"
"ECP_1339",1.07710999253886,8.53495688551245,231.797805330082,0.000000000000000682969950120537,0.000000000000236832964241799,"ECP_1339"
"ECP_0171",3.14582356939513,10.5654005605879,414.572398938942,0.000000000000000825951030475545,0.000000000000265956231813126,"ECP_0171"
"ECP_3145",1.74036053809034,7.85083163488768,232.882048897285,0.000000000000000909779174951343,0.000000000000273418968045377,"ECP_3145"
"ECP_3279",1.17584315520883,8.60529787788847,224.372500050011,0.00000000000000106477330717038,0.000000000000299999879295254,"ECP_3279"
"ECP_0864",1.32625439296555,6.95151634719917,221.190211166658,0.00000000000000129312875971315,0.000000000000342907320516874,"ECP_0864"
"ECP_4180",1.13943255295535,8.74314656302494,217.579077459787,0.00000000000000161697953126143,0.000000000000404963540384808,"ECP_4180"
"ECP_1124",0.968570847855043,8.77767968380167,213.878806376255,0.00000000000000204007009754698,0.000000000000484033473670621,"ECP_1124"
"ECP_0825",1.19023193922743,8.96979562551914,211.104194959122,0.00000000000000243414112088532,0.000000000000524736422538003,"ECP_0825"
"ECP_4492",1.0901441454324,10.598309427776,211.038352754574,0.00000000000000244442432859318,0.000000000000524736422538003,"ECP_4492"
"ECP_2895",1.02052784136605,8.9045194327293,206.983545360949,0.00000000000000317616409739693,0.000000000000650824897775697,"ECP_2895"
"ECP_1830",1.16569097177651,7.46888755424872,194.049837455734,0.00000000000000755330341096702,0.00000000000148044746854954,"ECP_1830"
"ECP_1125",1.05981494774869,8.92403541707511,189.56723889204,0.0000000000000103188236196067,0.00000000000193821903654946,"ECP_1125"
"ECP_2280",1.19638201399654,6.59400834825008,176.016900996426,0.0000000000000275884349154354,0.00000000000497474658395132,"ECP_2280"
"ECP_3248",1.66655035475139,6.05581114284259,175.131081253887,0.0000000000000294862803860345,0.00000000000511246738385552,"ECP_3248"
"ECP_0135",1.29045288799021,7.69048664920623,173.245610051826,0.0000000000000340045673535114,0.00000000000548728041159768,"ECP_0135"
"ECP_3282",0.940193331949818,8.85771817816499,173.215482617661,0.000000000000034082487028557,0.00000000000548728041159768,"ECP_3282"
