"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_2552",-1.63295588567813,8.47078829010449,547.318458018966,0.00000000000000000000343263009294508,0.0000000000000000154742964589964,"ECP_2552"
"ECP_0941",-1.578297759919,9.87102401297118,503.09691714368,0.000000000000000000011734775539279,0.0000000000000000176334560436899,"ECP_0941"
"ECP_2840",-1.94321527109477,7.38963492880774,512.863038093737,0.00000000000000000000886872529686368,0.0000000000000000176334560436899,"ECP_2840"
"ECP_2274",-1.70176399997164,10.6099137377794,476.149469276452,0.0000000000000000000261197020392462,0.0000000000000000294369041982305,"ECP_2274"
"ECP_2643",2.11296554137376,7.07097472120296,449.436820108697,0.0000000000000000000602842471425195,0.0000000000000000543522772236956,"ECP_2643"
"ECP_0432",-1.73531069166843,9.42826799648675,402.033897755992,0.000000000000000000300387192049508,0.000000000000000210376803816945,"ECP_0432"
"ECP_1126",-1.56751917869219,8.22815744077836,399.691041658384,0.000000000000000000326672055616374,0.000000000000000210376803816945,"ECP_1126"
"ECP_3328",-1.87579896651928,7.32201444994962,389.664304864206,0.000000000000000000470222064434503,0.000000000000000264970133308843,"ECP_3328"
"ECP_2278",-1.52593205784531,9.52148140307908,386.436796189935,0.000000000000000000529698404385881,0.000000000000000265320045219061,"ECP_2278"
"ECP_2422",-1.33392211070263,9.61346924130075,355.700821994933,0.00000000000000000172877074209656,0.000000000000000708481682306481,"ECP_2422"
"ECP_3717",-1.31908877624226,8.58333922119167,357.332941024256,0.00000000000000000161973882488939,0.000000000000000708481682306481,"ECP_3717"
"ECP_4123",2.25124872913416,8.63856665644475,393.241694618873,0.00000000000000000202975163616429,0.000000000000000762510031319051,"ECP_4123"
"ECP_2933",-1.32917898750459,9.89714284363867,325.779618655395,0.00000000000000000600890469659348,0.00000000000000206929310975706,"ECP_2933"
"ECP_3073",-1.59883688606007,6.77045739589182,324.234104286384,0.00000000000000000642637611725796,0.00000000000000206929310975706,"ECP_3073"
"ECP_2277",-1.58656582949393,10.9798586920327,313.057864076776,0.0000000000000000105385735981887,0.00000000000000316719265204231,"ECP_2277"
"ECP_0587",-1.4787996251384,8.86586850168511,310.448529633781,0.0000000000000000118561420056671,0.00000000000000334046801009671,"ECP_0587"
"ECP_3438",-1.45850274256469,10.4480068148317,305.858158901854,0.0000000000000000146186500773164,0.0000000000000038765220322672,"ECP_3438"
"ECP_0179",-1.47046972440768,9.00261025050889,300.659855881975,0.0000000000000000185965635376292,0.00000000000000441227939092802,"ECP_0179"
"ECP_4354",1.61917854099094,9.06041280726579,301.209854043641,0.0000000000000000181257523499417,0.00000000000000441227939092802,"ECP_4354"
"ECP_0849",-1.37909893655811,8.59626994146364,284.341808630672,0.000000000000000040604136029699,0.00000000000000871635453437538,"ECP_0849"
"ECP_1017",-1.72812478817834,7.63312566910902,285.329608856585,0.0000000000000000386852181774524,0.00000000000000871635453437538,"ECP_1017"
"ECP_0684",-1.12289646167101,9.05225419588468,266.399706806495,0.000000000000000100560523108636,0.0000000000000206057653715332,"ECP_0684"
"ECP_1513",1.48745364591163,8.50620323405001,260.624404315609,0.000000000000000136237949512633,0.0000000000000267026381044762,"ECP_1513"
"ECP_0470",-1.37773611019007,7.28834806521648,257.735458510108,0.000000000000000158946362559586,0.0000000000000298554251007755,"ECP_0470"
"ECP_2494",-1.31539287972291,7.3428137928581,256.292156539081,0.000000000000000171771936795891,0.0000000000000309739156430351,"ECP_2494"
"ECP_0535",-1.51021806906522,9.7774304512283,254.415968058133,0.00000000000000019011529104737,0.0000000000000329630666169825,"ECP_0535"
"ECP_1340",-1.1581358195427,9.08364823728976,249.686902105282,0.000000000000000246257696560275,0.0000000000000411159146701377,"ECP_1340"
