"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1513",2.53999825138843,8.50620323405001,729.792490338793,0.0000000000000000000000496411316563668,0.000000000000000000223782221506902,"ECP_1513"
"ECP_3145",2.88868837765719,7.85083163488768,617.34126622699,0.00000000000000000000104400084544706,0.00000000000000000235317790563768,"ECP_3145"
"ECP_4123",2.83750687122842,8.63856665644475,606.849731748765,0.0000000000000000000052810356817847,0.00000000000000000793563628449515,"ECP_4123"
"ECP_2575",2.27720642459737,9.08782260074043,507.474924416623,0.0000000000000000000103438909256247,0.000000000000000011657565073179,"ECP_2575"
"ECP_0865",1.77550380711304,8.65518998853266,491.071609423977,0.000000000000000000016684771500345,0.0000000000000000125358249872592,"ECP_0865"
"ECP_1514",2.31363667186674,9.608850175309,494.059261047737,0.0000000000000000000152763400029565,0.0000000000000000125358249872592,"ECP_1514"
"ECP_2574",1.78856250532756,8.4786299888267,476.505960398294,0.0000000000000000000258375589974729,0.0000000000000000166393879943726,"ECP_2574"
"ECP_0864",1.8342567311489,6.95151634719917,421.171912334449,0.000000000000000000153917832627539,0.0000000000000000867326986856181,"ECP_0864"
"ECP_2298",2.26969482696516,6.90729357787177,405.074487123743,0.000000000000000000269584521748527,0.000000000000000135031891560262,"ECP_2298"
"ECP_0940",-3.71852289259738,8.08782555280223,693.461992262688,0.000000000000000000329472241059283,0.000000000000000148526086269525,"ECP_0940"
"ECP_2453",2.13253075302143,7.05489845276677,371.536714821715,0.000000000000000000929278335455531,0.000000000000000380835157839412,"ECP_2453"
"ECP_0171",4.55182386484213,10.5654005605879,774.835253760641,0.00000000000000000105978842174786,0.000000000000000398127183769946,"ECP_0171"
"ECP_1515",2.38047659702359,6.66860459946683,340.585458289796,0.000000000000000004945470772075,0.00000000000000171493709542416,"ECP_1515"
"ECP_2280",1.62978990335549,6.59400834825008,326.694847931437,0.00000000000000000577537964945671,0.00000000000000185967224712506,"ECP_2280"
"ECP_2296",1.9812956106761,7.82636380708296,324.19036262223,0.00000000000000000700016744916527,0.00000000000000210378365738913,"ECP_2296"
"ECP_2214",1.38512857948159,7.50012820812334,317.238947813522,0.00000000000000000874196858933853,0.00000000000000231816437651401,"ECP_2214"
"ECP_3046",-2.05577126427526,6.41206894573608,317.962608076998,0.00000000000000000846563004954723,0.00000000000000231816437651401,"ECP_3046"
"ECP_2258",-1.49642174122523,12.0383336210057,315.277148838103,0.00000000000000000954055361158554,0.00000000000000238937864894598,"ECP_2258"
"ECP_0609",1.25701257624716,9.1245788695865,307.114277487505,0.0000000000000000138004311606686,0.00000000000000327433387748916,"ECP_0609"
"ECP_3648",2.14546129026859,5.76975911883674,297.03417049464,0.0000000000000000220452358925861,0.00000000000000496899617018891,"ECP_3648"
"ECP_2299",2.28155423015888,5.47240172847987,286.818515238906,0.0000000000000000359731178526265,0.0000000000000077222292990305,"ECP_2299"
"ECP_3120",1.44028793759965,7.14206723481786,279.20112710875,0.0000000000000000523682406048751,0.0000000000000107307285748535,"ECP_3120"
"ECP_3047",-2.03368233073111,5.56447818922736,258.211407121294,0.00000000000000015494376973538,0.0000000000000303689788681344,"ECP_3047"
"ECP_3248",2.0129847947248,6.05581114284259,256.967987214341,0.000000000000000165634270614464,0.0000000000000311116371637501,"ECP_3248"
"ECP_3045",-1.89619785046065,5.80374724748798,235.799536119922,0.000000000000000540411691596246,0.000000000000097447036228635,"ECP_3045"
"ECP_0866",1.38542766059383,8.15390883026964,228.864112233613,0.000000000000000812708966847512,0.000000000000140911231636484,"ECP_0866"
"ECP_0470",-1.26384907668118,7.28834806521648,216.208780577877,0.00000000000000176160253989013,0.000000000000294122379623138,"ECP_0470"
"ECP_1819",2.18393873080397,7.12880731724993,268.871364446082,0.00000000000000189036288540519,0.000000000000304348424550236,"ECP_1819"
"ECP_0524",1.49578438117374,9.85714824003845,212.187455227141,0.0000000000000022714108797401,0.000000000000353086905029943,"ECP_0524"
"ECP_3020",-3.06441045832986,8.48802803400057,408.751972295102,0.00000000000000243027885252757,0.000000000000365189902239809,"ECP_3020"
"ECP_2833",1.29071797031415,7.39719161725985,209.946810239155,0.00000000000000262181366757625,0.000000000000381262452046249,"ECP_2833"
"ECP_0523",1.48060839639347,11.3011256955127,196.271544135746,0.00000000000000648613135792953,0.000000000000897071049149391,"ECP_0523"
