"","control_1","control_2","control_3","genename"
"ECP_0001",1917.93820809567,1881.62658996287,909.38708602511,"thrL"
"ECP_0002",28.7979464259297,25.2105876852516,48.1567432017241,"thrA"
"ECP_0003",33.3106625592109,27.4314059925208,45.8768018330726,"thrB"
"ECP_0004",32.3739837839878,31.8756538859569,47.1639793438222,"thrC"
"ECP_0005",4.20097974692401,3.09848689963946,7.18298945499804,"ECP_0005"
"ECP_0006",18.1167251586098,8.39173535319021,12.759257584536,"yaaX"
"ECP_0007",88.6585146590217,72.896191152393,84.0764463742912,"ECP_0007"
"ECP_0008",4.2802435157339,3.464415820701,5.42112411697965,"ECP_0008"
"ECP_0009",245.47989200422,231.704460608259,358.222175203576,"ECP_0009"
"ECP_0010",118.184705737444,95.5893747609861,131.122347784846,"mog"
"ECP_0011",196.979272577992,272.688705982379,373.611464885696,"ECP_0011"
"ECP_0012",5.18944556972966,3.64527870545819,4.67005506362101,"ECP_0012"
"ECP_0013",3.17407358656481,2.90722227620493,3.86453233836152,"ECP_0013"
"ECP_0014",1407.15070903305,1313.74551488104,1410.61346658123,"dnaK"
"ECP_0015",579.800336544458,485.296173841895,633.779395976285,"dnaJ"
"ECP_0016",413.533943837832,556.866951129648,477.527029228652,"ECP_0016"
"ECP_0017",1.09159316258655,1.62650230952203,0.893036401367348,"ECP_0017"
"ECP_0018",4.20097974692401,3.19388877205139,3.27948789321407,"ECP_0018"
"ECP_0019",3.30076980115458,3.39358089008131,3.07842405214202,"tnp3503b"
"ECP_0020",49.6341977297243,59.739464646005,79.303469020138,"nhaA"
"ECP_0021",63.0146962038601,50.2050636718623,64.4441089479433,"nhaR"
"ECP_0022",10452.4195175967,15022.2625845626,5891.94161348128,"ECP_0022"
"ECP_0023",209.273010195495,191.764104298281,238.172808244672,"ribF"
"ECP_0024",198.989539066758,188.505035449134,256.350711607329,"ileS"
"ECP_0025",46.7454473657726,72.7361975228496,108.604051089922,"lspA"
"ECP_0026",87.7164571157733,79.4589751596431,123.547418625966,"fkpB"
"ECP_0027",87.4377834282134,83.9093346734661,99.6789481414405,"ispH"
"ECP_0028",12.8095448020962,12.3262211089482,20.7494811866552,"rihC"
"ECP_0029",97.2358158941316,83.2294291290016,100.832283782416,"dapB"
"ECP_0030",0.311183684957334,1.78513648538899,4.20057862865382,"ECP_0030"
"ECP_0031",41.5929900792058,26.7510792379665,53.9538551065264,"carA"
"ECP_0032",19.3566112477095,15.5164985468121,28.9405382760356,"carB"
"ECP_0033",4.83400409235091,3.67856892194639,5.59309921513906,"ECP_0033"
"ECP_0034",8.78386674356838,9.3893542413317,9.10761820849033,"caiF"
"ECP_0035",3.71051003027806,2.62139331610783,3.91485399096874,"ECP_0035"
"ECP_0036",1.05826207365261,1.89220574023784,2.42415072004755,"ECP_0036"
"ECP_0037",3.90377850287776,3.43618050055619,5.24791219113271,"ECP_0037"
"ECP_0038",3.91125700575683,3.30708782391732,5.08414861606032,"ECP_0038"
"ECP_0039",8.33580233247913,5.53010785237489,7.79918457194151,"ECP_0039"
"ECP_0040",0.499126306565229,0.490849409843875,0.673756176081108,"ECP_0040"
"ECP_0041",3.04039779349364,2.81315282716942,4.14827570409471,"fixA"
"ECP_0042",2.00683745872166,2.36827024176265,1.95045975814563,"fixB"
"ECP_0043",0.646304576449848,0.963010691418636,1.2689859913136,"fixC"
"ECP_0044",0.525122468365501,1.50620890954696,0.94513019144711,NA
"ECP_0045",2.15725987004206,1.58181012894507,1.73699602752442,"yaaU"
"ECP_0046",10.2532387043569,9.68641855631169,11.0211791816205,"kefF"
"ECP_0047",9.17315384352489,7.78363858846628,11.542459536127,"kefC"
"ECP_0048",242.606580384861,244.005843346608,269.503874091143,"folA"
"ECP_0049",162.545600977137,175.316096372763,174.776383095296,"ccdA"
"ECP_0050",30.0069981923143,26.9519177936893,36.7250588676591,"ccdB"
"ECP_0051",33.9344159062483,24.9630746684734,40.5571061658435,"ECP_0051"
"ECP_0052",108.425286801563,73.1177331872592,110.71525099809,"ECP_0052"
"ECP_0053",103.307304871438,102.529006898045,167.474310420219,"ECP_0053"
"ECP_0054",58.6836551644617,59.219790899198,77.6001630872364,"ECP_0054"
"ECP_0055",99.8102122786769,111.587049149495,161.745496482024,"ECP_0055"
"ECP_0056",220.288875479328,205.812688854524,218.679498046075,"ECP_0056"
"ECP_0057",138.134635958729,122.202744474953,171.611563016695,"ECP_0057"
"ECP_0058",40.1255344945168,34.0985445573068,61.8782295929784,"djlA"
"ECP_0059",134.622305526428,119.150905322499,153.111091014432,"ECP_0059"
"ECP_0060",187.210224387691,146.685162410864,209.836459099242,"ECP_0060"
"ECP_0061",14.1461562906625,13.5690540247817,17.1280736735721,"ECP_0061"
"ECP_0062",0.760522195563829,1.51362865786985,1.75989759786703,"ECP_0062"
"ECP_0063",3.82364623672125,3.05107159778204,3.44095303233439,"ECP_0063"
"ECP_0064",1.46700880051315,0.692195780048792,1.36018736546886,"ECP_0064"
"ECP_0065",17.9658921091857,16.9208149838467,23.5679273271492,"araC"
"ECP_0066",1.69226745989165,0.802905910389495,1.44274290708534,"ECP_0066"
"ECP_0067",3.21777172104818,2.34400900209132,1.44785901668493,"ECP_0067"
"ECP_0068",33.2124516462698,26.8130500334814,41.3633448492147,"yabI"
"ECP_0069",34.2929763032166,27.7489670840387,41.8615604108763,"ECP_0069"
"ECP_0070",14.4100646067673,17.0407162823126,26.4847655882609,"ECP_0070"
"ECP_0071",91.0639207336271,81.2408150515225,110.441920663978,"ECP_0071"
"ECP_0072",15.2513829942676,13.0974687786692,15.7795649354648,"ECP_0072"
"ECP_0073",6.23907883206536,4.19267204241643,10.6678061212842,"ECP_0073"
"ECP_0074",8.04213253479671,6.72334059593431,10.2001202674378,"ECP_0074"
"ECP_0075",6.99393880943942,6.98010785083615,9.53439028294997,"ECP_0075"
"ECP_0076",10.9193404872338,6.1890896086946,11.9043115716621,"ECP_0076"
