"","logFC","logCPM","F","PValue","FDR","locus_tag"
"gpmI",-2.4628812646654,8.68395141850233,1266.12967985684,1.64260792873968e-31,7.45415478062066e-28,"ECP_3713"
"acpP",-2.25580198456508,12.2420411531285,623.191639443307,1.02258147837409e-25,1.54682491628721e-22,"ECP_1086"
"fabF",-1.81773224008213,11.3374120093976,632.963191732422,7.66596509732748e-26,1.54682491628721e-22,"ECP_1087"
"ECP_1124",1.15582210945519,8.8374070507931,347.620804836539,4.05687982526752e-21,4.602530161766e-18,"ECP_1124"
"ECP_3542",-2.24344184292998,5.37822023875124,285.399396695968,1.28450037243341e-19,1.16581253802056e-16,"ECP_3542"
"ECP_1085",-1.29515532864852,10.3181071363151,279.970135780747,1.79103771460907e-19,1.354621524816e-16,"ECP_1085"
"ECP_1125",1.15758412777928,8.93280793798763,254.802413038567,9.04155529609538e-19,5.86151113338298e-16,"ECP_1125"
"arnB",1.55355794911116,8.03768817735922,246.862465195308,2.79230142384664e-18,1.583932982677e-15,"ECP_2296"
"ECP_4356",1.50873842861841,7.39116366857551,237.365192518319,3.17445021187533e-18,1.60062834016558e-15,"ECP_4356"
"ECP_1339",1.10753265972767,8.59744674390349,220.348605715974,1.05612129628354e-17,4.35698040230428e-15,"ECP_1339"
"fabR",1.01359035041382,8.81981764693524,221.464261894236,9.70443989210649e-18,4.35698040230428e-15,"ECP_4180"
"ECP_0940",-1.86683664162436,8.19914046878387,261.68209170627,1.56764504248448e-17,5.92831100232881e-15,"ECP_0940"
"ECP_2500",-1.01576434310733,9.15824782789615,183.051719329373,2.25514031879364e-16,7.87217443591197e-14,"ECP_2500"
"ECP_3716",1.65819660440372,5.89795496477975,177.597956282448,3.83741927392006e-16,1.24387204750352e-13,"ECP_3716"
"yihD",-1.43327005401599,6.72973027396186,176.152098121269,4.48193659726573e-16,1.35593521855946e-13,"ECP_4068"
"yffB",0.942434889138955,8.14095161506138,174.02306794295,5.11407917355688e-16,1.45048070560007e-13,"ECP_2484"
"speG",0.97665592237805,8.07514710343405,172.808272055656,5.7248591086034e-16,1.52820062557895e-13,"ECP_1532"
"ECP_0304",-1.40242252297474,5.55880687939152,172.126294704241,6.10092243035771e-16,1.53811033272018e-13,"ECP_0304"
"ECP_0597",1.20227423042206,9.37553859078917,170.089062964833,7.38707659521233e-16,1.76434492574071e-13,"ECP_0597"
"ECP_2295",1.65881827312524,5.97071486134999,173.875635397408,1.20835008553413e-15,2.74174634407694e-13,"ECP_2295"
"ECP_0689",0.870269432168923,8.30858461148876,163.931225961746,1.33236836178438e-15,2.87918458370358e-13,"ECP_0689"
"ECP_1481",0.990658349353986,9.73394611835772,162.500524882027,1.53199274412862e-15,3.1600832149344e-13,"ECP_1481"
"ECP_1552",1.08389115369819,8.25807366062601,157.458771517164,2.52597710553014e-15,4.98386265430252e-13,"ECP_1552"
"arnA",1.75198540546437,7.10079669830459,192.972308278522,3.11743812379676e-15,5.89455591907903e-13,"ECP_2298"
"arnD",1.50729874468477,5.57937447593757,154.721384264574,3.33197725534722e-15,6.04820511390628e-13,"ECP_2299"
"ECP_4355",1.05976438876834,7.47186975346709,152.967838588354,3.98702824477291e-15,6.95889775953055e-13,"ECP_4355"
"dapE",0.772394321838291,9.32857870683931,145.33463682581,8.88212548313982e-15,1.49285501638846e-12,"ECP_2485"
"degP",2.48123775027376,10.6889296270657,229.508937599215,9.80711423665962e-15,1.58945301449862e-12,"ECP_0171"
"ECP_0852",-1.15688611897818,5.33859231315061,142.480625797014,1.20870315575603e-14,1.8385567810874e-12,"ECP_0852"
