"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_4482",-1.4122839700215,8.87350895058828,444.925884616091,4.89001743253356e-23,2.21908991088373e-19,"ECP_4482"
"ECP_1124",1.1147436814852,8.8374070507931,323.60269392312,1.43412820067812e-20,3.25403688733864e-17,"ECP_1124"
"bglA",-1.27280484817776,8.95496189936641,297.037527891035,6.41590557202622e-20,9.70512649528499e-17,"ECP_2895"
"ECP_1125",1.17304112285578,8.93280793798763,261.740027830035,5.70901921115584e-19,6.47688229505631e-16,"ECP_1125"
"fabR",1.08031463621509,8.81981764693524,251.919243067085,1.09805223453505e-18,9.96592208064008e-16,"ECP_4180"
"speG",1.13252138805466,8.07514710343405,233.07173650771,4.10955732744907e-18,3.10819519199398e-15,"ECP_1532"
"mgtA",1.07748145276264,10.7190970717204,222.368681615447,9.06358120166527e-18,5.87579021330814e-15,"ECP_4492"
"ECP_1339",1.10746014980298,8.59744674390349,220.402111324427,1.05183595574157e-17,5.96653945894404e-15,"ECP_1339"
"ECP_0940",-1.7975209538528,8.19914046878387,244.081833967467,4.46441205315418e-17,2.25105576635708e-14,"ECP_0940"
"ECP_0689",0.940257837352861,8.30858461148876,191.645436271551,1.06648624881395e-16,4.83971459711772e-14,"ECP_0689"
"ECP_2562",1.15474770352399,6.15108371502438,184.998785458765,1.89843050398592e-16,7.83188875189827e-14,"ECP_2562"
"yffB",0.955924045089147,8.14095161506138,179.203858085263,3.18355071888213e-16,1.1113040894067e-13,"ECP_2484"
"ECP_4356",1.31708881358779,7.39116366857551,180.450607192748,2.96596132579684e-16,1.1113040894067e-13,"ECP_4356"
"arnB",1.31463236059319,8.03768817735922,176.648573853438,6.40135621671522e-16,2.02559885004933e-13,"ECP_2296"
"ECP_2575",1.23116486758853,9.07875933819681,171.560514429272,6.69545675423973e-16,2.02559885004933e-13,"ECP_2575"
"ECP_0855",0.968743854650863,8.06382277056061,170.121789254293,7.36430257264732e-16,2.0887003171671e-13,"ECP_0855"
"AKN40_0794",1.79457488166626,4.02286672212122,169.454299686691,7.84375842090021e-16,2.09382210082618e-13,"ECP_3062"
"ECP_1552",1.12032692546731,8.25807366062601,168.552080608834,8.54456888092303e-16,2.15418075453493e-13,"ECP_1552"
"ECP_3716",1.60569527215433,5.89795496477975,166.285845596085,1.10345529409166e-15,2.63551585504629e-13,"ECP_3716"
"ECP_2295",1.61426033032917,5.97071486134999,164.66185392985,2.79680494952045e-15,6.34595043046189e-13,"ECP_2295"
"ECP_0609",0.798571395561881,9.14403295494689,155.764159825815,2.99698934211166e-15,6.47635125452511e-13,"ECP_0609"
"arnD",1.47745058584439,5.57937447593757,148.924956843169,6.06910941061263e-15,1.25189175024364e-12,"ECP_2299"
"pagP",1.32756695720196,5.80232825388146,144.261067406108,9.96786426073615e-15,1.96670295718351e-12,"ECP_0653"
"degP",2.44539452439522,10.6889296270657,223.305933194646,1.36730730750782e-14,2.58535023394603e-12,"ECP_0171"
"ECP_4355",1.00311057475087,7.47186975346709,137.000661967096,2.21451460635607e-14,4.01978691345753e-12,"ECP_4355"
"ECP_0597",1.07589221342551,9.37553859078917,136.355793012889,2.38102313968186e-14,4.15580115687549e-12,"ECP_0597"
"arnA",1.59672339743188,7.10079669830459,159.797264178496,4.21020633094871e-14,7.0762653073501e-12,"ECP_2298"
"ECP_1553",1.09552278973673,7.58190771683785,130.470262986833,4.67334829348139e-14,7.57416234136376e-12,"ECP_1553"
"dapE",0.72495628903205,9.32857870683931,127.993858934096,6.25071019795874e-14,9.7812837511506e-12,"ECP_2485"
"marA",1.051005672397,9.28208889751535,124.45795494332,9.54063225089325e-14,1.44317963848512e-11,"ECP_1514"
"ynfB",1.01630816951705,8.04214931384526,124.018762289546,1.0061598578323e-13,1.47288820478805e-11,"ECP_1531"
"ECP_1769",1.07948687791224,8.09677643651717,124.782567473692,1.08565603920174e-13,1.53959597059297e-11,"ECP_1769"
"ECP_1558",0.708136280970983,9.51290687673705,121.009846217672,1.45399364083843e-13,1.99946155821964e-11,"ECP_1558"
"ECP_4357",1.57327756773247,9.39730209675815,156.820231084512,1.51354401478327e-13,2.02013609973131e-11,"ECP_4357"
"ECP_4364",0.9550941732666,6.36978509351918,119.952820933043,1.65750126491061e-13,2.1490687829041e-11,"ECP_4364"
"ECP_0356",1.13117314675945,6.07280021587772,119.612868597998,1.72914703291595e-13,2.17968589871461e-11,"ECP_0356"
"ECP_2574",0.893731925165482,8.63522251587592,117.926205233987,2.13602085148172e-13,2.61980070919568e-11,"ECP_2574"
"ECP_4142",-0.784374208335744,8.1500808936537,117.327876361069,2.30356543840211e-13,2.75094209459705e-11,"ECP_4142"
"cpxP",1.98273537103893,8.81272175916273,168.569465119761,4.11478114195167e-13,4.78791713389146e-11,"ECP_4123"
"fdhD",-0.928426667266341,6.42946435651396,108.710411308183,7.06821382404392e-13,8.01888858337782e-11,"ECP_4108"
"dacC",0.969529363640009,7.28167408049396,106.870228284619,9.05722785222745e-13,1.0024804876441e-10,"ECP_0853"
"yhcN",1.19897777208333,10.7267084299577,110.474421876092,1.69801399057557e-12,1.79199709051906e-10,"ECP_3322"
"ECP_4168",0.912344608406021,9.40357240669671,102.366072237139,1.68450349651724e-12,1.79199709051906e-10,"ECP_4168"
"arnC",1.38956582358423,6.22104578510069,112.522168702055,1.78868251369719e-12,1.84478210162678e-10,"ECP_2297"
"ECP_4491",0.958367857522952,8.31016679346978,102.165651883669,1.96766992446717e-12,1.98428580382934e-10,"ECP_4491"
"ygdR",1.1575920049268,6.6844512443615,105.314008940595,2.13851097407087e-12,2.10968756528991e-10,"ECP_2846"
"ECP_3282",0.701782030703818,8.82559219030227,96.5662972036776,3.85951561006878e-12,3.72648549755152e-10,"ECP_3282"
"arnT",1.28574168138307,5.58941273152852,96.4217868103023,4.55631490728122e-12,4.30761605192546e-10,"ECP_2300"
"glsA",1.2147105354964,4.58431902368755,91.1044275399077,8.7126388450888e-12,8.06897042428836e-10,"ECP_0550"
"arnF",1.17392193633342,5.94671815410196,89.2699238895711,1.84827143937095e-11,1.67749115837308e-09,"ECP_2302"
"ECP_3280",0.853181184127187,8.40043282210523,84.4086170297349,2.51806666648001e-11,2.24058559460515e-09,"ECP_3280"
"ECP_1726",-0.827271747489635,5.5008943167193,83.0753533489324,3.07780219917114e-11,2.68597430381512e-09,"ECP_1726"
"ECP_3279",0.787736796683998,8.62902951327903,81.581369868537,3.92867068742439e-11,3.3638316187796e-09,"ECP_3279"
"ECP_1481",0.693742020200862,9.73394611835772,79.6032969207899,5.45338797520638e-11,4.49954084208847e-09,"ECP_1481"
"slyB",0.670754879940582,10.816014579165,79.6395469970005,5.4204431396825e-11,4.49954084208847e-09,"ECP_1587"
"tqsA",1.33136880584066,4.75109537704291,77.5700596760962,7.68409186451682e-11,6.22685872878166e-09,"ECP_1545"
"cybB",0.917316108115974,7.09135067378274,77.243206248684,1.02003361287255e-10,8.12089918458884e-09,"ECP_1422"
"ygiM",1.34251429208114,7.95472215552362,95.6470674454446,1.08361959430997e-10,8.47838917065283e-09,"ECP_3145"
"ECP_2071",0.974948655073793,5.61458403525987,73.5951588880569,1.52936219808834e-10,1.17631282286862e-08,"ECP_2071"
"ECP_1105",1.22577550263516,5.03612149370817,72.7701278604731,1.76968510004196e-10,1.33847183066507e-08,"ECP_1105"
"folA",0.604100208967269,8.384973812187,71.9654562176828,2.04257110481789e-10,1.51953896289567e-08,"ECP_0048"
"ubiE",-0.559715658564297,7.7938577605288,70.8004301594879,2.51865119237398e-10,1.84349017919244e-08,"ECP_4048"
"yfeO",0.796847938613644,5.81525211140367,69.8479077434482,2.99429382992595e-10,2.1568421270165e-08,"ECP_2415"
"ECP_0976",0.713953906177305,8.10190434810874,69.6417385826409,3.10916094018247e-10,2.20458942914813e-08,"ECP_0976"
"yijD",0.684408655344846,7.13485565440035,68.4789521102602,3.84985996074265e-10,2.68779453874618e-08,"ECP_4181"
"ECP_0470",-0.599949738670869,7.42698870708974,66.5722632021498,5.49353426605765e-10,3.77722098475297e-08,"ECP_0470"
"ECP_1689",1.61699084261507,6.46042860638709,82.6397656442708,9.52490972958139e-10,6.45134930639408e-08,"ECP_1689"
"ECP_0357",1.52526454246114,5.66160453005338,74.9173417292945,1.03130656900368e-09,6.88245472079219e-08,"ECP_0357"
"yeiR",0.716259619592607,7.33421110585035,62.6390086226883,1.16829572604556e-09,7.68366087651414e-08,"ECP_2214"
"ECP_1748",-0.546196761404819,7.82892020883801,62.405270003235,1.22301547403595e-09,7.9286346016788e-08,"ECP_1748"
"dbpA",-0.621382142039237,6.41125270932774,62.2329360591676,1.26508204362847e-09,8.08583424505068e-08,"ECP_1397"
"bepA",0.603093779934671,7.35177327351218,57.8381369175339,3.05871639668069e-09,1.92784097335235e-07,"ECP_2496"
"ECP_1265",0.791104217514525,7.67084789274697,58.8987110400491,3.56113705009173e-09,2.21375889497483e-07,"ECP_1265"
"marR",1.09445495712547,8.14626295287446,67.7524045415403,3.71970097212798e-09,2.25066706820224e-07,"ECP_1513"
"ECP_4690",0.55496205283535,9.0485536140957,56.9549629242262,3.67057798025419e-09,2.25066706820224e-07,"ECP_4690"
"clcA",0.566132155483467,7.67154258711378,56.7442986691576,3.83473276518423e-09,2.28313685360933e-07,"ECP_0165"
"ECP_3648",0.789228502908916,5.84830962903636,56.6953270428925,3.87398716897131e-09,2.28313685360933e-07,"ECP_3648"
"ECP_3136",-0.831088727942694,5.91598956094382,56.1692077702627,4.32338037750361e-09,2.51532053245018e-07,"ECP_3136"
"ECP_2599",1.92935962344432,9.25919154719016,76.5759950752381,5.07792668374493e-09,2.91691535327019e-07,"ECP_2599"
"nfsA",0.697512149882983,8.44949105302316,54.7909737959431,5.90747147325774e-09,3.35101319320545e-07,"ECP_0865"
"yhbW",0.692475667156248,5.99069720260788,54.037520125028,6.78813925577375e-09,3.80303406700016e-07,"ECP_3248"
"yidQ",0.717233890732714,5.82514592493883,53.811324658134,7.12541427192816e-09,3.94330853244024e-07,"ECP_3889"
"sbmA",1.07208117472307,6.20322239903679,56.6720228830647,1.17940009379085e-08,6.44833448870224e-07,"ECP_0436"
"ygiC",0.553029848313853,8.38473035002332,50.174671783065,1.5805708165592e-08,8.53884567326865e-07,"ECP_3129"
"ECP_3278",0.620030222059619,6.95782043913785,48.6819457148648,2.2133657078317e-08,1.1816768920165e-06,"ECP_3278"
"ECP_3442",0.698067369455086,5.65373099239123,48.5759245504136,2.26744654175854e-08,1.19647353563956e-06,"ECP_3442"
