"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1093",-3.1180384211751,9.82310160198196,689.162126589844,1.97307965983071e-25,8.95383549631174e-22,"ECP_1093"
"rlmF",-2.16196728579449,6.93883197388545,455.719564379542,3.16806370005014e-23,7.18833653541377e-20,"ECP_0821"
"ECP_2755",-2.03119640272267,6.80826682018194,442.442273176991,5.41107706253249e-23,8.18515590325748e-20,"ECP_2755"
"ECP_0940",-2.70711398976626,8.19914046878387,510.810738219806,4.72022219274782e-22,5.3550920776724e-19,"ECP_0940"
"ECP_2575",1.86013662848334,9.07875933819681,388.350424764164,6.04486671002278e-22,5.48632102601668e-19,"ECP_2575"
"yieE",2.18330274832917,5.72449214453802,353.178934996929,3.06306211290981e-21,2.31669597806412e-18,"ECP_3912"
"ECP_2574",1.53290728996577,8.63522251587592,347.945602452287,3.99036421110429e-21,2.5868961128559e-18,"ECP_2574"
"yhbW",1.61847496543272,5.99069720260788,319.994383833945,1.74625716327842e-20,9.90564375869685e-18,"ECP_3248"
"fabR",1.19600365266768,8.81981764693524,309.021152858053,3.21795682072293e-20,1.62256533916007e-17,"ECP_4180"
"clcA",1.27057733004558,7.67154258711378,290.921801843216,9.21195143197093e-20,4.18038355982841e-17,"ECP_0165"
"yieF",1.9996176938394,5.30442464794696,287.744568248324,1.11460554967182e-19,4.59825453128247e-17,"ECP_3913"
"bepA",1.27254514046347,7.35177327351218,263.621407461079,5.04901880839586e-19,1.90937061270837e-16,"ECP_2496"
"ECP_1124",0.995896056591056,8.8374070507931,258.323297070123,7.15021755012299e-19,2.49597594172755e-16,"ECP_1124"
"ECP_3336",1.11017684180363,7.11661235967629,255.034087349526,8.90223346306621e-19,2.88559538967103e-16,"ECP_3336"
"ECP_1023",2.73759672777989,4.4055702564333,262.210315013515,1.01993956738054e-18,3.08565717118194e-16,"ECP_1023"
"ECP_1339",1.18049113404703,8.59744674390349,251.042055063139,1.16536402920366e-18,3.1108364497213e-16,"ECP_1339"
"ECP_3648",1.60079925738227,5.84830962903636,251.14541596244,1.15721197627224e-18,3.1108364497213e-16,"ECP_3648"
"degP",3.64610988572754,10.6889296270657,467.658551206497,1.3312367716814e-18,3.35619581660565e-16,"ECP_0171"
"ECP_4103",-1.25973654596227,7.6937159705394,243.167340822464,2.00444915728646e-18,4.7874685661926e-16,"ECP_4103"
"ECP_1544",2.03485731433738,5.25440430456643,241.050688984814,2.32503470725342e-18,5.16091257085441e-16,"ECP_1544"
"metK",-1.27998705434553,9.58850130838359,240.669633018462,2.38825835143108e-18,5.16091257085441e-16,"ECP_2935"
"ECP_2510",-1.09558512637532,8.43171284119011,229.233181563987,5.437568094022e-18,1.12162200048508e-15,"ECP_2510"
"ECP_0597",1.35438087733764,9.37553859078917,215.785436710962,1.4985410453375e-17,2.95668663640939e-15,"ECP_0597"
"cysS",-0.995184836288891,8.83320463402832,213.821026379278,1.74552947365441e-17,3.16848510057749e-15,"ECP_0587"
"ECP_3062",1.98136339407822,4.02286672212122,214.178814338458,1.69754295527696e-17,3.16848510057749e-15,"ECP_3062"
"ECP_0059",-1.32161749705424,6.70822714030273,205.090492053537,3.48977200185238e-17,5.86540197940967e-15,"ECP_0059"
"speG",1.06282632191544,8.07514710343405,205.099258608694,3.48730196762008e-17,5.86540197940967e-15,"ECP_1532"
"ECP_0470",-1.05235021569089,7.42698870708974,198.638687328397,5.91786354133159e-17,9.59116598234385e-15,"ECP_0470"
"ECP_2901",-0.968910456214936,7.68330393943671,196.134363052424,7.29265121498841e-17,1.14117417977991e-14,"ECP_2901"
"cpxP",2.81403327399874,8.81272175916273,333.987646481852,1.02803582356355e-16,1.5550755224438e-14,"ECP_4123"
"cdaR",1.73751482439162,5.53695427139579,189.116700809408,1.32547204811092e-16,1.94032004978302e-14,"ECP_0172"
"ECP_0849",-1.20072197213825,8.57390981899642,186.150665936815,1.71578370757697e-16,2.43319577030759e-14,"ECP_0849"
"ECP_2934",-1.24816171512988,7.07740719900925,181.82276003147,2.51601265628787e-16,3.45989861643465e-14,"ECP_2934"
"yegQ",-1.1488656700218,8.40113435935597,179.153750827521,3.19800496687257e-16,4.26839604107874e-14,"ECP_2125"
"ECP_0609",0.848991639988837,9.14403295494689,176.094570213957,4.22532441190746e-16,5.33727966992267e-14,"ECP_0609"
"proV",1.18743260848727,7.3178787907773,176.072027158783,4.23406937234941e-16,5.33727966992267e-14,"ECP_2643"
"ECP_1125",0.959870673590774,8.93280793798763,175.229753606975,4.57482478901442e-16,5.61096078176958e-14,"ECP_1125"
"ECP_0060",-1.51216919517926,9.29513770867073,192.301463444062,5.61970457868429e-16,6.53903060976136e-14,"ECP_0060"
"ECP_3046",-1.36391084200367,6.89124386278963,174.794157476172,5.56790331055646e-16,6.53903060976136e-14,"ECP_3046"
"glsA",1.61970925622497,4.58431902368755,172.116821180457,6.1063256278757e-16,6.72893290005862e-14,"ECP_0550"
"ECP_0689",0.890308865448931,8.30858461148876,171.906222679919,6.22774750556329e-16,6.72893290005862e-14,"ECP_0689"
"msbA",-1.11166196588028,8.95868776398415,171.93747697508,6.20956847273093e-16,6.72893290005862e-14,"ECP_0925"
"ECP_3716",1.62261004159319,5.89795496477975,170.898955757935,7.12347400198681e-16,7.51775000488748e-14,"ECP_3716"
"ECP_3047",-1.44658571693414,5.97030908835847,168.428085171769,8.64590988964574e-16,8.91707706345736e-14,"ECP_3047"
"marA",1.21647800676269,9.28208889751535,166.595014367857,1.03007969684252e-15,1.03877814761586e-13,"ECP_1514"
"ECP_2106",-1.08722516905521,7.38170489478593,165.569517625666,1.13689412661749e-15,1.12157077099786e-13,"ECP_2106"
