"","logFC","logCPM","F","PValue","FDR","locus_tag"
"metK",-2.41312900036714,9.58850130838359,779.235788397398,1.5936573230588e-27,7.23201693204084e-24,"ECP_2935"
"ECP_1217",-2.48932680946511,8.65294946794207,723.115457326036,6.44514610138881e-27,9.74935766936747e-24,"ECP_1217"
"ECP_1808",-2.10706576605867,9.11067927855158,733.736282420178,4.90939816677673e-27,9.74935766936747e-24,"ECP_1808"
"ECP_1807",-2.68488751648091,6.74337308276256,682.40126465726,1.89743923493834e-26,2.15264481203755e-23,"ECP_1807"
"ECP_0902",-2.18839293954879,9.75019211821488,672.239237459966,2.50809384766835e-26,2.27634597614379e-23,"ECP_0902"
"ECP_0849",-1.93220426940822,8.57390981899642,455.444397804483,3.20293726037035e-23,2.07641846965152e-20,"ECP_0849"
"yhbW",1.91177238513973,5.99069720260788,458.138455379988,2.87814182922288e-23,2.07641846965152e-20,"ECP_3248"
"ECP_2596",-1.78910608489559,6.71351431673382,439.664920103802,6.06356144024361e-23,3.13085606924903e-20,"ECP_2596"
"ECP_3476",-1.67994479600719,10.0009005639415,439.087629266706,6.20927823341588e-23,3.13085606924903e-20,"ECP_3476"
"ECP_0470",-1.52479747625961,7.42698870708974,404.176115664092,2.76132772093655e-22,1.25309051976101e-19,"ECP_0470"
"ECP_0590",-1.75030659527981,6.72083836705195,390.374488869656,5.14691154492513e-22,1.94639038257252e-19,"ECP_0590"
"murI",-2.06634939309882,6.21674559358857,391.606745494088,4.86463595220751e-22,1.94639038257252e-19,"ECP_4184"
"marA",1.82868322996707,9.28208889751535,373.96900341462,1.10805232104446e-21,3.86795494838442e-19,"ECP_1514"
"ECP_2523",-1.87758371232934,8.27425725197332,350.792374181119,4.86653576960528e-21,1.57745280874777e-18,"ECP_2523"
"ECP_0940",-2.46734429934993,8.19914046878387,437.355896514433,5.5551810449739e-21,1.6806274388061e-18,"ECP_0940"
"ECP_1771",-1.51220304152643,8.5594206518936,339.321833369657,6.21899049605855e-21,1.76386117944461e-18,"ECP_1771"
"ECP_0684",-1.22982885115408,9.04731985395303,319.751296305574,1.76970361914719e-20,4.7240676609941e-18,"ECP_0684"
"cysS",-1.22055439752428,8.83320463402832,318.081547601176,1.93996680591221e-20,4.89087186957199e-18,"ECP_0587"
"ECP_3475",-1.34438079435312,9.38937431318346,313.175934954651,2.54736127107514e-20,6.08417128849421e-18,"ECP_3475"
"ECP_1216",-2.51007055297373,6.86346619470404,371.79211127585,3.12344520477714e-20,6.44281560876303e-18,"ECP_1216"
"fadR",-1.70390912085295,6.74455711392062,309.853640403487,3.07006742116096e-20,6.44281560876303e-18,"ECP_1230"
"metG",-1.28882119664676,9.08712279626201,309.802854683348,3.0788815431284e-20,6.44281560876303e-18,"ECP_2152"
"ECP_2933",-1.40312960341106,9.97168327440693,300.13096909125,5.356555775186e-20,1.05687174381713e-17,"ECP_2933"
"ECP_0941",-1.41521288801706,9.89774100874999,290.17697212189,9.63126028706196e-20,1.74826636730749e-17,"ECP_0941"
"nrdB",-1.40890410978941,9.53876076517496,290.364896912844,9.52360869725392e-20,1.74826636730749e-17,"ECP_2278"
"ECP_2422",-1.21954191676254,9.58858735548276,287.902783768975,1.10402904385807e-19,1.92695530808766e-17,"ECP_2422"
"ECP_2934",-1.57683481147137,7.07740719900925,285.750243110046,1.25744308293624e-19,2.11343581865358e-17,"ECP_2934"
"ECP_2597",-1.20703043378311,7.77460900635091,277.441414315516,2.09502762567754e-19,3.39544120190166e-17,"ECP_2597"
"ECP_1124",1.02127875608946,8.8374070507931,272.727249032935,2.81570203838315e-19,4.37750097373082e-17,"ECP_1124"
"deoD",-1.39232140553031,9.23613666785752,272.294050552939,2.89389663314069e-19,4.37750097373082e-17,"ECP_4768"
"ECP_0689",1.09299563520441,8.30858461148876,260.895316759763,6.03428586263386e-19,8.55737163894764e-17,"ECP_0689"
"yibF",-1.30276565230384,8.23709557997467,261.142430541722,5.93716340162654e-19,8.55737163894764e-17,"ECP_1126"
"ECP_1342",-1.49691219103039,9.72429707831324,254.749001931334,9.07399896438704e-19,1.24781234243601e-16,"ECP_1342"
"dnaB",-1.31342263420767,7.79086941433926,253.650408435262,9.76917825543128e-19,1.30389796832786e-16,"ECP_4268"
"ECP_2510",-1.14870524990801,8.43171284119011,252.420536832072,1.06143126443253e-18,1.37622145085566e-16,"ECP_2510"
"ydgH",-1.10134271388141,7.97236220428079,250.869644246592,1.17909661147441e-18,1.4863167841308e-16,"ECP_1548"
"purA",-1.0395954096823,10.1029445321536,244.238038606708,1.86031166105999e-18,2.2816471129433e-16,"ECP_4422"
"gmk",-1.25309352129443,8.99753153169162,242.413338784463,2.11296516234605e-18,2.5233252386122e-16,"ECP_3746"
"ECP_3968",-1.66757575770469,5.91006143776678,238.082364866784,2.86825772897873e-18,3.33747527541166e-16,"ECP_3968"
"fabR",1.04560991937762,8.81981764693524,236.797884701143,3.1432756999143e-18,3.56604628155278e-16,"ECP_4180"
"ECP_3648",1.53657548460178,5.84830962903636,234.687197744055,3.65703778028538e-18,4.04771645047197e-16,"ECP_3648"
"yhcN",1.86454942324722,10.7267084299577,263.0908755246,4.33687408314274e-18,4.68588918792899e-16,"ECP_3322"
"ECP_0898",-1.35950013032186,9.85159031454475,230.665878173476,4.89567080784893e-18,5.16664049442289e-16,"ECP_0898"
"ECP_1339",1.1290253178167,8.59744674390349,230.311355178953,5.02425260945947e-18,5.18183144130161e-16,"ECP_1339"
"ECP_1857",-1.88426948196626,11.7535308159972,247.316089980753,5.20192376528681e-18,5.24585112152701e-16,"ECP_1857"
"ECP_1649",-1.12165855938179,7.74465859482604,229.176756432565,5.46015933619855e-18,5.38656588427587e-16,"ECP_1649"
"ECP_1583",-1.12580664517786,8.85142694045231,227.23575064972,6.30054704661956e-18,6.08337925479991e-16,"ECP_1583"
"ssb",-1.34523769060164,8.85490487894659,226.863879258845,6.47651983581748e-18,6.12300979477911e-16,"ECP_4287"
"ECP_2632",-1.49822982029095,8.63382908920494,229.819584945175,6.95129301052994e-18,6.43774850648671e-16,"ECP_2632"
"ybiT",-1.06795101999584,8.90111536555074,223.823817791282,8.12414842662305e-18,7.37347711200308e-16,"ECP_0834"
"xthA",-1.06318763129719,6.64648903407959,222.526806438372,8.95618239356266e-18,7.96924621607595e-16,"ECP_1695"
"ECP_1775",-1.00612052872198,10.1799952687207,220.680609894596,1.02982380532027e-17,8.98719313181422e-16,"ECP_1775"
"ECP_1582",-1.09946491005398,7.8503571155085,218.2825236359,1.23645881215891e-17,1.05868869614663e-15,"ECP_1582"
"argS",-1.28769923828088,9.43459111190655,216.806825364758,1.38490540506389e-17,1.16383346818147e-15,"ECP_1822"
"ECP_2552",-1.00021941639736,8.5366665725296,215.297921093008,1.55619609789169e-17,1.28400325313318e-15,"ECP_2552"
"serS",-1.09798659178892,10.1887371473923,212.842406759167,1.88420718668398e-17,1.52688075235213e-15,"ECP_0907"
"ECP_2106",-1.22394195350761,7.38170489478593,209.936093594877,2.36864344479226e-17,1.88577262323987e-15,"ECP_2106"
"ECP_0597",1.32614855434181,9.37553859078917,207.536085828215,2.86709151128724e-17,2.24325194452094e-15,"ECP_0597"
"ECP_1830",1.3246779533859,7.47239074793576,206.382646788581,3.14479361134571e-17,2.41882600140455e-15,"ECP_1830"
"pyrH",-1.51270630730556,9.04203712754459,217.592373886312,3.43357981179461e-17,2.59693086432066e-15,"ECP_0179"
"ECP_1255",-1.03996365456564,9.33555808844549,199.327218048833,5.5897297767535e-17,4.15839241424711e-15,"ECP_1255"
"ECP_1218",-0.982128446811893,7.96100216969106,198.936324723263,5.77360108136019e-17,4.22590350116331e-15,"ECP_1218"
"ECP_3162",1.36557953385611,6.28981601978457,198.300253161781,6.08651419897719e-17,4.35119674534564e-15,"ECP_3162"
"ECP_3717",-1.03113569110179,8.5859582851322,198.201740964902,6.13654895773735e-17,4.35119674534564e-15,"ECP_3717"
"ECP_3662",-1.11861935031876,8.76274172809842,196.750285210481,6.92601863484274e-17,4.76443923938403e-15,"ECP_3662"
"kbl",-0.934506405288231,9.35881924763201,196.744570475875,6.92932987658321e-17,4.76443923938403e-15,"ECP_3718"
"clcA",1.04269614720405,7.67154258711378,196.355930560067,7.15846656980232e-17,4.84852556623328e-15,"ECP_0165"
"glsA",1.69030067178491,4.58431902368755,193.333437770833,9.23649904933087e-17,6.16400480674463e-15,"ECP_0550"
"yegQ",-1.18868916363961,8.40113435935597,192.394390193276,1.00044018452925e-16,6.57970660491843e-15,"ECP_2125"
"flgK",1.07951030118865,7.89429214946295,189.73273335709,1.25682052937229e-16,8.14778794613062e-15,"ECP_1074"
"ECP_0879",-1.48045854539862,6.09071499210611,189.336326333941,1.30055532467259e-16,8.31256346952709e-15,"ECP_0879"
"ECP_0169",-1.35938802848397,7.52175062392685,188.812463066752,1.42058343133155e-16,8.71163190727375e-15,"ECP_0169"
"adk",-1.00270259551515,9.72551666675342,188.367343555252,1.41433188736925e-16,8.71163190727375e-15,"ECP_0535"
"cpxP",2.7741160308891,8.81272175916273,325.928705263919,1.39490701694103e-16,8.71163190727375e-15,"ECP_4123"
"gpt",-1.10180948552194,8.45924827784696,187.248974308294,1.55877487124396e-16,9.30752679698038e-15,"ECP_0267"
"ECP_4081",-1.03290241242145,9.54481744300564,187.318349384669,1.54937857564653e-16,9.30752679698038e-15,"ECP_4081"
