"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ybaB",-2.72473712111701,9.1806320007878,1079.62605946429,3.40484245259059e-30,1.54511750498561e-26,"ECP_0532"
"recR",-3.28901152017315,8.05831142088445,990.723786370142,1.73453466365769e-29,3.93565915183929e-26,"ECP_0533"
"ECP_0940",-3.05732143038604,8.19914046878387,626.454199353964,1.78361839066993e-23,2.69802008562005e-20,"ECP_0940"
"yhbW",1.75535374463423,5.99069720260788,376.759065364323,9.70509401538467e-22,1.10104291604539e-18,"ECP_3248"
"ECP_1124",1.08184029247559,8.8374070507931,304.895951837648,4.06964267385904e-20,3.69360769079446e-17,"ECP_1124"
"marA",1.60360426516296,9.28208889751535,288.02581211612,1.09587767104015e-19,8.28848811863365e-17,"ECP_1514"
"ECP_0609",1.0729408277258,9.14403295494689,281.038155562321,1.67691514059947e-19,9.64382002171167e-17,"ECP_0609"
"ECP_3716",2.05116046543655,5.89795496477975,281.729128647724,1.70010048862259e-19,9.64382002171167e-17,"ECP_3716"
"fabR",1.09176273209213,8.81981764693524,257.117881148906,7.74599375650893e-19,3.90570218522639e-16,"ECP_4180"
"ECP_2575",1.42439954284808,9.07875933819681,228.979632977409,5.8190436694065e-18,2.64068201717667e-15,"ECP_2575"
"degP",3.18943688859914,10.6889296270657,367.044394041254,2.90142330044086e-17,1.19696899430915e-14,"ECP_0171"
"ECP_1481",1.09735955799393,9.73394611835772,199.396875389136,5.55761511138235e-17,2.10170478128776e-14,"ECP_1481"
"arnD",1.68304565212796,5.57937447593757,196.93958702738,6.81726761858383e-17,2.37975080408719e-14,"ECP_2299"
"ECP_1339",1.04166241887114,8.59744674390349,195.071271568482,7.97425845314911e-17,2.52767460736326e-14,"ECP_1339"
"ECP_2574",1.14686609346488,8.63522251587592,194.518216466679,8.35502845095831e-17,2.52767460736326e-14,"ECP_2574"
"ECP_4356",1.34069155531854,7.39116366857551,187.013073555652,1.66056271734113e-16,4.70977100705877e-14,"ECP_4356"
"ECP_1552",1.17349179459074,8.25807366062601,184.743334009534,1.94163792675153e-16,5.18303112446966e-14,"ECP_1552"
"ECP_3046",-1.41416054348922,6.89124386278963,185.877952376884,2.06948669892467e-16,5.21740591095565e-14,"ECP_3046"
"arnB",1.35798421545742,8.03768817735922,188.577722451834,2.26444622221493e-16,5.40845102969019e-14,"ECP_2296"
"ftsZ",-0.841633802541228,9.21464904385437,179.824291058303,3.01015781387555e-16,6.79548178994619e-14,"ECP_0097"
"ECP_1125",0.970527624076917,8.93280793798763,179.339838667572,3.14466984550176e-16,6.79548178994619e-14,"ECP_1125"
"yhcN",1.58666381300515,10.7267084299577,191.352007296037,6.05809821100239e-16,1.24962044006949e-13,"ECP_3322"
"dusB",-1.19235487153573,11.8513726006235,171.050357226991,6.7479316707178e-16,1.33139625746597e-13,"ECP_3353"
"ECP_1553",1.2450630044273,7.58190771683785,168.736676507847,8.3960057355424e-16,1.58754475116214e-13,"ECP_1553"
"dnaX",-1.02683016521945,9.34479312321989,164.862530024606,1.21726922235485e-15,2.18491208786686e-13,"ECP_0531"
"ECP_4133",1.01207908221566,6.96651666519753,164.573545113521,1.25182270349357e-15,2.18491208786686e-13,"ECP_4133"
"yeiR",1.1511690677969,7.33421110585035,163.467462514518,1.39389853715131e-15,2.34278205984913e-13,"ECP_2214"
"ECP_0689",0.867677568338001,8.30858461148876,163.082776586683,1.4472018011789e-15,2.34550063348209e-13,"ECP_0689"
"ECP_0597",1.16332175855565,9.37553859078917,159.457802327736,2.06851261253181e-15,3.23686559850667e-13,"ECP_0597"
"ECP_4168",1.13085239524541,9.40357240669671,157.181386994671,2.59740608618074e-15,3.92900960636273e-13,"ECP_4168"
"ECP_0470",-0.930811954790426,7.42698870708974,156.683468306946,2.73100162523055e-15,3.99783399203105e-13,"ECP_0470"
"arnA",1.74769261716506,7.10079669830459,192.355711914166,3.26017279601411e-15,4.62333254634752e-13,"ECP_2298"
"ECP_2562",1.05285226044267,6.15108371502438,152.749026146701,4.07780099484926e-15,5.60759421655332e-13,"ECP_2562"
"ECP_3047",-1.37422224916822,5.97030908835847,151.973928492567,4.41721501021517e-15,5.8956828577519e-13,"ECP_3047"
"speG",0.915018842326018,8.07514710343405,151.573929828442,4.60386969831863e-15,5.96924591170569e-13,"ECP_1532"
"ECP_3044",-1.36677991791846,4.83303817091718,144.015528067611,1.02352569199885e-14,1.290210997303e-12,"ECP_3044"
"iap",-1.07693474907781,5.7465822731706,141.665417697142,1.32107536465768e-14,1.62028108238285e-12,"ECP_2735"
"ECP_3491",0.964610510322558,8.51642733325046,141.129272822811,1.40092511317055e-14,1.67299951672841e-12,"ECP_3491"
"ECP_1417",1.25196368713088,7.06861268636099,144.233501206751,1.53684705655388e-14,1.74636976363733e-12,"ECP_1417"
"bepA",0.933905561707747,7.35177327351218,140.271905497812,1.53932989302541e-14,1.74636976363733e-12,"ECP_2496"
"arnC",1.6248429680436,6.22104578510069,155.925800026628,1.90468352835148e-14,2.05796520277596e-12,"ECP_2297"
"arnT",1.53416611857086,5.58941273152852,140.290728151881,1.87742367151116e-14,2.05796520277596e-12,"ECP_2300"
"ECP_3045",-1.23962309392139,6.16660344191258,138.11837417531,1.95425643725899e-14,2.06242225867007e-12,"ECP_3045"
"pagP",1.28844270371134,5.80232825388146,135.114634444287,2.73962702857298e-14,2.71475130221756e-12,"ECP_0653"
"ECP_2295",1.50372576733845,5.97071486134999,141.966923710908,2.63662898444926e-14,2.71475130221756e-12,"ECP_2295"
"cpxP",2.22688121981734,8.81272175916273,211.793209150585,2.7518413376379e-14,2.71475130221756e-12,"ECP_4123"
"clcA",0.866680851056672,7.67154258711378,133.764539476523,3.19496106572126e-14,3.0848368757964e-12,"ECP_0165"
"marB",1.53517541537626,6.40022171473,148.670057781434,3.98476840752574e-14,3.75723245214309e-12,"ECP_1515"
"ECP_3048",-1.3380279395327,6.08662769550803,133.359517657816,4.05694998137971e-14,3.75723245214309e-12,"ECP_3048"
"ECP_0356",1.17885565145353,6.07280021587772,130.277982625039,4.77934092132002e-14,4.33772982019005e-12,"ECP_0356"
"marR",1.74438623930549,8.14626295287446,172.911106586238,6.42055178871254e-14,5.71303216023089e-12,"ECP_1513"
"AKN40_0794",1.57998968822086,4.02286672212122,127.030742655531,7.00745799394443e-14,6.11535468779227e-12,"ECP_3062"
"fis",-1.39104554686742,9.79896383402696,143.534810016962,7.23603179238299e-14,6.19568156110076e-12,"ECP_3354"
"ECP_4159",1.15427719538208,7.39977002265859,128.312950478297,8.58543924222467e-14,7.21494875578066e-12,"ECP_4159"
"dacC",1.04425131058236,7.28167408049396,124.076523061834,9.99140885137109e-14,8.24382061227672e-12,"ECP_0853"
"ECP_3049",-0.985859252125563,6.57251608129448,123.689995764824,1.04711026457713e-13,8.33646733447549e-12,"ECP_3049"
"ECP_3282",0.79434871405536,8.82559219030227,123.719285543924,1.04339190898327e-13,8.33646733447549e-12,"ECP_3282"
"ygiM",1.78405873259611,7.95472215552362,169.261670987506,1.22859727699226e-13,9.61271455688081e-12,"ECP_3145"
"nfsA",1.03996598905928,8.44949105302316,121.826278167321,1.37932711374909e-13,1.05257221376642e-11,"ECP_0865"
"elfA",-1.03226180308323,6.4803844750029,121.364882681691,1.3916776735563e-13,1.05257221376642e-11,"ECP_3811"
"ECP_3648",1.13441316860538,5.84830962903636,120.825776929332,1.48744943944075e-13,1.10656484527576e-11,"ECP_3648"
"ECP_4355",0.929882040957242,7.47186975346709,117.449167874817,2.26851792013199e-13,1.66040876154177e-11,"ECP_4355"
"ECP_3043",-1.18047277262082,4.50931579723286,115.118818470006,3.05202274022026e-13,2.19842526906659e-11,"ECP_3043"
"mntP",-0.869441547844899,6.0237284037907,113.805706266795,3.6145854391325e-13,2.56296698793489e-11,"ECP_1764"
"ECP_0808",0.920090540596128,5.98011693650918,111.213602799704,5.06966729933154e-13,3.5394077237487e-11,"ECP_0808"
"ECP_3490",0.969726808172611,7.44164247549501,108.325134700593,7.44291652510697e-13,5.04118734193066e-11,"ECP_3490"
"mgtA",0.751344790057933,10.7190970717204,108.358193156682,7.40996121633293e-13,5.04118734193066e-11,"ECP_4492"
"ECP_4364",0.905677927206576,6.36978509351918,107.140702467033,8.73135671194192e-13,5.82689658217536e-11,"ECP_4364"
"ECP_3250",-0.837753862194564,10.9645049645759,106.823986938162,9.11420769883377e-13,5.99424268656633e-11,"ECP_3250"
"ECP_4357",1.45926055695058,9.39730209675815,135.203510665767,9.9164866932807e-13,6.42871665915826e-11,"ECP_4357"
"ilvG",0.901639789002732,7.78489378369891,104.190723992794,1.30699903478208e-12,8.35374876033956e-11,"ECP_3962"
"yffB",0.726465425031997,8.14095161506138,103.158376798944,1.5081572308246e-12,9.50557987983618e-11,"ECP_2484"
"metK",-0.825205568202456,9.58850130838359,102.982247683628,1.54560751063419e-12,9.60817381268211e-11,"ECP_2935"
"yhaK",1.49950165289019,4.47703998730758,100.178386998099,2.29352406476592e-12,1.40648813593348e-10,"ECP_3201"
"ynfB",0.907296080704634,8.04214931384526,98.6096062775843,2.87034392640087e-12,1.7203697575735e-10,"ECP_1531"
"ECP_3928",-0.854036094050814,11.2551967641101,98.5834019118817,2.88118337539855e-12,1.7203697575735e-10,"ECP_3928"
"ybjC",1.04264778459907,6.71943451999079,98.5490538773724,3.35671104465595e-12,1.97827983385048e-10,"ECP_0864"
"sbmA",1.4931245587199,6.20322239903679,112.786860149327,3.55870555062619e-12,2.07043663958226e-10,"ECP_0436"
"ECP_3280",0.914930456826065,8.40043282210523,97.1211787418448,3.61948045066416e-12,2.07913952976126e-10,"ECP_3280"
"ECP_0357",1.90641874670483,5.66160453005338,121.115403915357,3.83811370124229e-12,2.17716999702969e-10,"ECP_0357"
"cspA",-1.00463413900272,9.32404165572973,98.2780430526749,4.01139610554962e-12,2.247372287282e-10,"ECP_3659"
"glpD",1.48399374933324,5.51986159093641,103.660824033721,4.72285184662141e-12,2.61369532682536e-10,"ECP_3511"
"ECP_2453",1.09331179645636,7.10509492084472,99.7861833054984,4.94474765983636e-12,2.70352588919728e-10,"ECP_2453"
"ECP_0596",-1.08452022886682,5.73977946687629,93.3630752980853,6.19627438093452e-12,3.34746346912868e-10,"ECP_0596"
"ilvD",0.922497319009999,7.17598165200282,89.0626996483772,1.19181321634518e-11,6.36288044208755e-10,"ECP_3964"
"ECP_0523",1.47674942592679,11.2368323076432,111.35664909287,1.24760708037036e-11,6.58330340781477e-10,"ECP_0523"
"ECP_0976",0.798648979744163,8.10190434810874,87.1865885155093,1.59654166460091e-11,8.32770813098728e-10,"ECP_0976"
"ECP_0059",-0.835548677118749,6.70822714030273,85.6783939649315,2.02603185594986e-11,1.04478779117051e-09,"ECP_0059"
"ECP_3279",0.806511557654188,8.62902951327903,85.4073151709939,2.11532601003425e-11,1.07857858803769e-09,"ECP_3279"
"ECP_1452",1.15316690058233,7.77161918909101,97.5972734476678,2.20964775814525e-11,1.11415350294035e-09,"ECP_1452"
"ECP_3502",1.10561205500036,5.23868521773088,84.6920574243938,2.37137080824138e-11,1.1825583217362e-09,"ECP_3502"
"cdaR",1.19575516811043,5.53695427139579,84.1312682044316,2.59482983735974e-11,1.27992802194984e-09,"ECP_0172"
"bglA",0.644966207552567,8.95496189936641,84.0371779253355,2.63444060974959e-11,1.28549370828426e-09,"ECP_2895"
"mexA",1.26944755213571,4.80586993060093,83.3628024146218,2.93762126303617e-11,1.41400540830924e-09,"ECP_1344"
"ECP_2054",1.35123775303787,4.96135461575448,83.3156959562317,2.96012590985847e-11,1.41400540830924e-09,"ECP_2054"
"yijD",0.753920919785822,7.13485565440035,83.2403956779405,2.99647703117723e-11,1.4164596632794e-09,"ECP_4181"
"ECP_1255",-0.663890760629292,9.33555808844549,82.8765306936266,3.17886422938077e-11,1.48718411061134e-09,"ECP_1255"
"ECP_0524",1.51155021728636,9.78820903381311,110.303697132545,3.25892426503659e-11,1.50908146068735e-09,"ECP_0524"
