"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_0940",-4.63683850687452,8.19914046878387,1218.44765906512,3.34533461063148e-28,8.57141594427186e-25,"ECP_0940"
"ECP_2575",2.64367215601978,9.07875933819681,845.804581164377,3.77761830950721e-28,8.57141594427186e-25,"ECP_2575"
"ECP_2258",-2.21491815738292,12.1483352107793,801.856389638929,9.32175809762887e-28,1.07245128585035e-24,"ECP_2258"
"ECP_2574",2.27765029437939,8.63522251587592,801.258442519427,9.45307435742923e-28,1.07245128585035e-24,"ECP_2574"
"ECP_3648",2.4584643732074,5.84830962903636,677.695200176397,2.15809683149878e-26,1.9586886842683e-23,"ECP_3648"
"ECP_2453",2.75470636123391,7.10509492084472,716.382690981974,9.58297394679006e-26,7.24792262842222e-23,"ECP_2453"
"ECP_2952",1.47215394319487,8.10362213420212,553.296867086759,9.17547282051079e-25,5.94832795135399e-22,"ECP_2952"
"marA",2.02868038908907,9.28208889751535,528.078665261692,2.15955854042516e-24,1.22500958205617e-21,"ECP_1514"
"yidQ",1.98858111125317,5.82514592493883,483.384669681281,1.08595922153488e-23,5.47564771925031e-21,"ECP_3889"
"cca",1.44299815902794,7.15877890288355,464.836604205122,2.21178490064955e-23,9.12461807195242e-21,"ECP_3146"
"ECP_3336",1.43839565431965,7.11661235967629,465.123876809296,2.18711640717035e-23,9.12461807195242e-21,"ECP_3336"
"ECP_3502",2.37118027407606,5.23868521773088,456.515270893645,3.0694460540656e-23,1.16076218277914e-20,"ECP_3502"
"yhbW",1.87425725000963,5.99069720260788,445.9170768161,4.69703766508862e-23,1.63962745570555e-20,"ECP_3248"
"degP",5.12650386374425,10.6889296270657,927.148084690568,1.8232113515907e-22,5.55349766271925e-20,"ECP_0171"
"ECP_2833",1.60316862722091,7.48265780109794,413.46647873757,1.83566471883625e-22,5.55349766271925e-20,"ECP_2833"
"bepA",1.5017141170976,7.35177327351218,398.710554312339,3.52522749603779e-22,9.99842648563718e-20,"ECP_2496"
"cdaR",2.27806856645618,5.53695427139579,376.436959122896,9.85428641369444e-22,2.63051480854973e-19,"ECP_0172"
"ygiM",3.49879388534746,7.95472215552362,679.995900796945,1.08861490761279e-21,2.7445191393038e-19,"ECP_3145"
"rseP",1.53615935010915,9.2629621564471,329.441534612988,1.04711173099703e-20,2.50094370277081e-18,"ECP_0184"
"bamA",1.45518061250305,10.6204705775813,318.900020340974,1.85445361209283e-20,4.20775524583863e-18,"ECP_0185"
"ECP_2497",1.51422367199823,6.55540640612374,295.866918838945,6.87233250916223e-20,1.48507832983706e-17,"ECP_2497"
"yhcN",1.94852207722284,10.7267084299577,331.324766604981,1.07542534612789e-19,2.21830919124017e-17,"ECP_3322"
"ECP_1819",2.33035786866409,6.97495277650724,357.952351713843,6.50748468760201e-19,1.28395502227556e-16,"ECP_1819"
"ECP_0470",-1.18496711038434,7.42698870708974,258.546090223188,7.04547938159891e-19,1.33218272640399e-16,"ECP_0470"
"marB",2.0723020451851,6.40022171473,306.37840786219,7.70430981081805e-19,1.39848631685969e-16,"ECP_1515"
"sbmA",2.35959775676403,6.20322239903679,332.488426383585,8.6773528504277e-19,1.51453181674004e-16,"ECP_0436"
"ECP_0609",0.971966213814989,9.14403295494689,252.382567611879,1.06415957474648e-18,1.72595572476195e-16,"ECP_0609"
"ybjC",1.59721246668028,6.71943451999079,257.001284770053,1.06493522021451e-18,1.72595572476195e-16,"ECP_0864"
"ECP_3627",1.4224138074837,8.12396503767947,251.133300860853,1.18523005049615e-18,1.85468067901777e-16,"ECP_3627"
"yfeK",3.1870697680363,3.25244372359451,247.489059385872,1.48568735236894e-18,2.24734973501675e-16,"ECP_2443"
"ECP_3437",1.95764930644029,10.7725521865939,299.437430951953,1.54149624662952e-18,2.25655160232412e-16,"ECP_3437"
"nfsA",1.36722489877517,8.44949105302316,237.759976132507,3.17694887862319e-18,4.50531062849752e-16,"ECP_0865"
"ECP_2573",1.11338919820358,7.34418303781752,236.095967535142,3.30514624298055e-18,4.54507686383203e-16,"ECP_2573"
"yeiR",1.27842744581772,7.33421110585035,222.02489281965,9.30178079884902e-18,1.24151415485814e-15,"ECP_2214"
"yaiW",1.21571465876081,6.21231128682907,212.452804152539,1.94259695632383e-17,2.5187157107993e-15,"ECP_0437"
"fabR",0.931309513919205,8.81981764693524,208.83232161761,2.58550133661261e-17,3.25916807376334e-15,"ECP_4180"
"ECP_1417",1.4372572332633,7.06861268636099,212.122988841872,3.53354734435837e-17,4.33384806721576e-15,"ECP_1417"
"ECP_2280",1.36640286673824,6.38393170033564,203.032331792537,4.12380944479222e-17,4.92469664749134e-15,"ECP_2280"
"marR",2.11654007228963,8.14626295287446,294.48420900969,5.78828748089296e-17,6.61506821903113e-15,"ECP_1513"
"ECP_3045",-1.50368964978384,6.16660344191258,198.817341946861,5.83082258178152e-17,6.61506821903113e-15,"ECP_3045"
"ECP_4258",1.04920940750748,7.82140905332889,196.257943888577,7.21748591621252e-17,7.98852465555425e-15,"ECP_4258"
"ECP_3046",-1.4453037798144,6.89124386278963,193.556734950725,1.0725160599632e-16,1.15882806669357e-14,"ECP_3046"
"ECP_1481",0.973019002837858,9.73394611835772,175.96014334822,4.27775398219641e-16,4.45102258992332e-14,"ECP_1481"
"bamD",0.88211540081629,8.59196313075634,175.864009157061,4.3156675618472e-16,4.45102258992332e-14,"ECP_2598"
"yraP",1.06343673348705,6.89676718774588,174.791722634024,4.76331752215287e-16,4.80354109233994e-14,"ECP_3238"
"ECP_4159",1.28437688329042,7.39977002265859,176.675747162892,6.32435329775183e-16,6.23911201417343e-14,"ECP_4159"
"ECP_4133",0.983578277992447,6.96651666519753,164.57645511623,1.2514696672064e-15,1.20833390420907e-13,"ECP_4133"
"ECP_2452",0.74843100910202,8.24368464980082,163.779120932977,1.35222821061431e-15,1.27841908745161e-13,"ECP_2452"
"cpxP",2.42475812229161,8.81272175916273,270.286911500551,1.41914820810049e-15,1.31430501395103e-13,"ECP_4123"
"ECP_3120",0.976515237715122,7.42760357990225,161.858073792065,1.63164037959812e-15,1.48087680852325e-13,"ECP_3120"
"ECP_1157",-2.06773786872484,8.27076795799844,232.046163906534,1.75499523498355e-15,1.56160164242262e-13,"ECP_1157"
"ECP_3048",-1.4568922794213,6.08662769550803,161.524160768519,2.10979475182036e-15,1.77300899699274e-13,"ECP_3048"
"yieE",1.47365852438164,5.72449214453802,159.58495633599,2.04253081197656e-15,1.77300899699274e-13,"ECP_3912"
"yieF",1.47220541640275,5.30442464794696,159.368428173744,2.08698244776223e-15,1.77300899699274e-13,"ECP_3913"
"ECP_3049",-1.10448490673015,6.57251608129448,158.638915765567,2.2443807154674e-15,1.8518181248711e-13,"ECP_3049"
"ECP_1689",2.524163363879,6.46042860638709,251.181495465416,2.70801512696858e-15,2.15596011336551e-13,"ECP_1689"
"arnB",1.21946996639872,8.03768817735922,161.21315712525,2.68650547835357e-15,2.15596011336551e-13,"ECP_2296"
"ECP_2517",1.05033468009188,8.71601902301155,156.04765871945,2.91217500364284e-15,2.27852589078125e-13,"ECP_2517"
"ECP_0056",0.956177525473587,8.38521895059457,152.237408938621,4.29862309243247e-15,3.30629688024721e-13,"ECP_0056"
"ECP_0055",0.968465786624719,7.59921235191232,150.198292590508,5.3116592307408e-15,4.01738493151696e-13,"ECP_0055"
"elfA",-1.11951537448618,6.4803844750029,149.64988373583,5.62492193120215e-15,4.18457306947465e-13,"ECP_3811"
"yhaK",1.71171674672592,4.47703998730758,149.494522328372,5.717154009025e-15,4.18458788596055e-13,"ECP_3201"
"ECP_3118",1.12717504580366,5.8113187177731,147.520823604482,7.03762500611461e-15,5.06932417107112e-13,"ECP_3118"
"skp",0.928647273296965,9.14477130183634,145.858689916979,8.39797930363386e-15,5.95469219998289e-13,"ECP_0186"
"ECP_1552",0.990397933052941,8.25807366062601,144.604181671114,9.60644665793547e-15,6.70677768210941e-13,"ECP_1552"
"cysB",-1.07589382641131,6.36022999257604,143.667244328222,1.06275396229266e-14,7.30723860740014e-13,"ECP_1326"
"ECP_3716",1.39370620556051,5.89795496477975,142.566658823669,1.23969990056944e-14,8.39665395340916e-13,"ECP_3716"
"ECP_4259",0.862042003096529,8.00700418202184,141.936991762146,1.28246790930122e-14,8.5585873123661e-13,"ECP_4259"
"ypeC",1.70133953716767,3.64480701984074,141.253612041647,1.38196572157949e-14,9.08892818047499e-13,"ECP_2416"
"ECP_2562",0.968283122527693,6.15108371502438,140.394411962273,1.51870417600636e-14,9.8455422153098e-13,"ECP_2562"
"ECP_3928",-0.979106046720298,11.2551967641101,140.070490866887,1.57388334525113e-14,1.00595529869713e-12,"ECP_3928"
"ECP_3047",-1.29459314655071,5.97030908835847,138.651280880271,1.84168344492042e-14,1.16077214903456e-12,"ECP_3047"
"ECP_1286",1.91903329633068,3.90670588599853,136.158882966888,2.43444959932587e-14,1.51336058653983e-12,"ECP_1286"
"rimK",1.01032663126918,8.01596976478809,132.809577342194,3.56463444202765e-14,2.18598798620561e-12,"ECP_0866"
"ECP_2518",1.00267956275168,7.95028197727624,132.684529688626,3.61627183118582e-14,2.18808554265616e-12,"ECP_2518"
"ECP_0596",-1.24771897564111,5.73977946687629,131.253386576542,4.26652310650687e-14,2.54756340228002e-12,"ECP_0596"
"arnD",1.30399645358568,5.57937447593757,130.319867414696,4.75603902453654e-14,2.80297468744764e-12,"ECP_2299"
"speG",0.81421716456043,8.07514710343405,130.019104769423,4.92605156092404e-14,2.86595153634273e-12,"ECP_1532"
"ECP_1796",0.766527793315534,9.97095506582937,128.838532175166,5.65768328330813e-14,3.24994515691801e-12,"ECP_1796"
"ECP_0816",2.3296615800392,7.37644953043876,209.707034952031,6.11417104136719e-14,3.46826352321554e-12,"ECP_0816"
"ydcL",1.08816995099589,6.51927714561406,126.71346303801,7.27736316197539e-14,4.0771202504993e-12,"ECP_1435"
"ECP_1630",1.17815597243266,6.29050800730178,126.947324598568,8.09018819821033e-14,4.47722854188762e-12,"ECP_1630"
"arnA",1.46823257334558,7.10079669830459,150.850064005285,9.18243447547435e-14,5.02046839153044e-12,"ECP_2298"
"ECP_1452",1.35430936766474,7.77161918909101,148.410848017787,9.38241160921764e-14,5.06873617650353e-12,"ECP_1452"
"ECP_2832",0.759616966215443,7.45742524133901,123.822212057745,1.03043501310533e-13,5.50131069349643e-12,"ECP_2832"
"ECP_0962",-0.921723109652216,13.5160896958156,121.474312745034,1.37304145868545e-13,7.24518853431925e-12,"ECP_0962"
"ECP_1848",-0.869842864787871,7.69307090336434,117.435596019845,2.27241154621147e-13,1.18531075824226e-11,"ECP_1848"
"pal",-0.764582931048386,9.69526998222388,116.564528972313,2.53760912924485e-13,1.30859888960377e-11,"ECP_0752"
"ECP_3044",-1.20387115513094,4.83303817091718,115.963019656005,2.73959326035905e-13,1.39688474331566e-11,"ECP_3044"
"ECP_3043",-1.17744459067976,4.50931579723286,115.353693580906,2.96150677128386e-13,1.49325752534291e-11,"ECP_3043"
