"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_0940",-3.25415291054822,8.19914046878387,695.081634791024,3.31768597729006e-24,1.50258208981565e-20,"ECP_0940"
"ydfG",-2.126459378286,6.93616522649564,496.683429883064,6.62222163867628e-24,1.50258208981565e-20,"ECP_1523"
"ECP_4483",-1.94748212292251,8.65072078418101,456.53353296446,3.06722094291501e-23,4.63968287964945e-20,"ECP_4483"
"ECP_2575",1.8184776047201,9.07875933819681,370.300056813444,1.41101162256486e-21,1.60079268579983e-18,"ECP_2575"
"rnt",-1.59425164306122,5.96297899850775,359.246844829769,2.26407126354237e-21,2.05487107879106e-18,"ECP_1598"
"ECP_2552",-1.23751603087913,8.5366665725296,321.449970170586,1.61252421342781e-20,1.21960581342256e-17,"ECP_2552"
"ECP_1649",-1.32498677335756,7.74465859482604,310.204336502047,3.00992153176991e-20,1.95128913016741e-17,"ECP_1649"
"ECP_2574",1.44091914202042,8.63522251587592,306.46084635424,3.72158562508473e-20,2.11106944582931e-17,"ECP_2574"
"ECP_1124",1.05100677183075,8.8374070507931,287.557885757434,1.12722213201399e-19,5.68370448342164e-17,"ECP_1124"
"fabR",1.13102347753577,8.81981764693524,276.057167689776,2.28397649450757e-19,1.03646853320754e-16,"ECP_4180"
"marA",1.53013952971839,9.28208889751535,262.671964709606,5.37144031687821e-19,2.2159632870903e-16,"ECP_1514"
"degP",3.66222596082998,10.6889296270657,470.327910120865,1.23762514592903e-18,4.68028576018829e-16,"ECP_0171"
"ECP_0421",-1.18918053964273,7.1866195643966,228.848869500229,5.593404067958e-18,1.95252828156872e-15,"ECP_0421"
"ECP_1711",-1.0989559812591,7.65056566843786,222.949803492432,8.67540421670418e-18,2.81207030967168e-15,"ECP_1711"
"speG",1.07045719433504,8.07514710343405,208.023667313418,2.7575652338486e-17,7.95464883167146e-15,"ECP_1532"
"ECP_1712",-1.04242629325824,7.79926767415872,207.811670952581,2.80463599177486e-17,7.95464883167146e-15,"ECP_1712"
"ECP_3716",1.77193989904128,5.89795496477975,204.725656186803,3.76164183999945e-17,1.00413709823044e-14,"ECP_3716"
"ECP_0609",0.901846060732415,9.14403295494689,198.585553099095,5.94401330919437e-17,1.35981715124544e-14,"ECP_0609"
"arnD",1.69778568876461,5.57937447593757,199.462225065669,5.5276627038498e-17,1.35981715124544e-14,"ECP_2299"
"bepA",1.10832820119018,7.35177327351218,198.486625700307,5.99302402488074e-17,1.35981715124544e-14,"ECP_2496"
"ECP_1339",1.04714975997237,8.59744674390349,197.155911377642,6.69518611213292e-17,1.44679783699329e-14,"ECP_1339"
"ECP_1125",0.992963396565327,8.93280793798763,187.716073522843,1.49664659113586e-16,2.99649256117104e-14,"ECP_1125"
"ECP_1481",1.06385123507996,9.73394611835772,187.406341646428,1.53754628612061e-16,2.99649256117104e-14,"ECP_1481"
"ECP_3648",1.39714480868961,5.84830962903636,187.059478263179,1.58474705747256e-16,2.99649256117104e-14,"ECP_3648"
"ECP_0689",0.903655727495181,8.30858461148876,177.068497315029,3.86507290395484e-16,7.01588033525883e-14,"ECP_0689"
"ECP_0470",-0.99079233560809,7.42698870708974,176.609149600147,4.03078441038462e-16,7.03526909781746e-14,"ECP_0470"
"ECP_1552",1.14485034661668,8.25807366062601,175.800883518929,4.34075512006121e-16,7.29568397586583e-14,"ECP_1552"
"ygiM",2.22353611038682,7.95472215552362,262.222848491165,4.52921250270583e-16,7.3405594061711e-14,"ECP_3145"
"ECP_3936",-1.19617619574665,9.9089938190849,174.492770225285,4.89663588754434e-16,7.66239091644007e-14,"ECP_3936"
"yidQ",1.26145338698442,5.82514592493883,173.648485113978,5.29475403457166e-16,8.0091979362954e-14,"ECP_3889"
"ECP_0597",1.19111512561836,9.37553859078917,167.108844088568,9.80577195959924e-16,1.4022320128965e-13,"ECP_0597"
"arnB",1.29712731483639,8.03768817735922,171.846504139677,9.88792957529481e-16,1.4022320128965e-13,"ECP_2296"
"arnA",1.81734015108271,7.10079669830459,207.498126187094,1.12355963532345e-15,1.52159722559759e-13,"ECP_2298"
"ECP_2562",1.09582328340529,6.15108371502438,165.541013124124,1.14002436470512e-15,1.52159722559759e-13,"ECP_2562"
"ECP_3336",0.889107371214091,7.11661235967629,161.937271557004,1.61899665148215e-15,2.09914480126457e-13,"ECP_3336"
"yffB",0.889095057027407,8.14095161506138,154.931444178402,3.26146143398574e-15,4.11125332984092e-13,"ECP_2484"
"yhcN",1.48392373431256,10.7267084299577,168.154030321029,4.21831266864218e-15,5.17370348386438e-13,"ECP_3322"
"arnT",1.60682457397235,5.58941273152852,154.040295673549,4.43345433319698e-15,5.29058386143295e-13,"ECP_2300"
"ECP_3046",-1.27351169748415,6.89124386278963,153.063774608212,4.54677766848579e-15,5.29058386143295e-13,"ECP_3046"
"yhbW",1.11676103527713,5.99069720260788,146.215296560713,8.08444495202212e-15,9.1718027980691e-13,"ECP_3248"
"emtA",-1.12103650189066,6.92565908260777,144.130028800008,1.01096394964122e-14,1.11896448865168e-12,"ECP_1236"
"ECP_2295",1.54603147553903,5.97071486134999,149.973175860093,1.15826138266041e-14,1.25147384631261e-12,"ECP_2295"
"ECP_1553",1.14411506574088,7.58190771683785,142.102802434162,1.25948056687206e-14,1.32919135173614e-12,"ECP_1553"
"sseA",-0.983568346575869,6.42329201559808,141.280666732227,1.37787622703727e-14,1.42109143597617e-12,"ECP_2526"
"pagP",1.3072562949401,5.80232825388146,139.586696837036,1.66025317373092e-14,1.67427308942020e-12,"ECP_0653"
"ECP_2833",0.967719110835225,7.48265780109794,138.99886079446,1.77194831419486e-14,1.74806553256876e-12,"ECP_2833"
"sbmA",1.80030080335008,6.20322239903679,166.768449328227,1.90772379453629e-14,1.78123339441927e-12,"ECP_0436"
"ECP_2453",1.323699218697,7.10509492084472,147.458567034987,1.90931649918246e-14,1.78123339441927e-12,"ECP_2453"
"ECP_3062",1.64035586817694,4.02286672212122,138.261524793321,1.92332385029846e-14,1.78123339441927e-12,"ECP_3062"
