"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_0940",-3.28203884163049,8.19914046878387,709.112917189868,2.39880673929435e-24,1.08857849829178e-20,"ECP_0940"
"ECP_0470",-1.62563133241216,7.42698870708974,452.292203847418,3.63248796784603e-23,6.87321109457802e-20,"ECP_0470"
"hflC",-1.59078461456125,9.10141182330262,446.735280902128,4.54377110703703e-23,6.87321109457802e-20,"ECP_4420"
"pyrH",-2.29878329786696,9.04203712754459,466.290502070641,9.5367398247689e-23,1.08194313312003e-19,"ECP_0179"
"proV",1.71157647950651,7.3178787907773,368.028449867897,1.47375898577681e-21,1.14790008465636e-18,"ECP_2643"
"queF",-1.60263051289854,7.10399069688221,367.421165242965,1.51771716790175e-21,1.14790008465636e-18,"ECP_2776"
"yhbW",1.71179507937107,5.99069720260788,361.860528780553,1.99051455670819e-21,1.29042215119168e-18,"ECP_3248"
"fabR",1.25397551662024,8.81981764693524,339.706199486578,6.09589519784335e-21,3.45789655097664e-18,"ECP_4180"
"ECP_1830",1.61092689426756,7.47239074793576,304.445439728848,4.17606507868124e-20,2.10566481411727e-17,"ECP_1830"
"ECP_1582",-1.28604841817985,7.8503571155085,292.145317716916,8.56428319268589e-20,3.88647171284086e-17,"ECP_1582"
"ECP_3716",2.06636546089914,5.89795496477975,289.068999829005,1.08974163348988e-19,4.49567957525191e-17,"ECP_3716"
"ECP_1339",1.23159629890657,8.59744674390349,273.505009774686,2.6808326084123e-19,1.01380153141459e-16,"ECP_1339"
"degP",3.8752125451765,10.6889296270657,520.499585784543,3.36614280975603e-19,1.17504277466715e-16,"ECP_0171"
"ECP_1124",1.01263874474329,8.8374070507931,267.846525335336,3.8422755822093e-19,1.24544618514756e-16,"ECP_1124"
"ECP_1583",-1.20842613413872,8.85142694045231,259.278679547348,6.71229907089541e-19,2.03069421224823e-16,"ECP_1583"
"ssb",-1.43870073731492,8.85490487894659,257.344427167141,7.63016487589109e-19,2.16410551292461e-16,"ECP_4287"
"ECP_0596",-1.83796882651817,5.73977946687629,245.841669840525,1.66446257039009e-18,4.43970718505715e-16,"ECP_0596"
"arnD",1.85430083584297,5.57937447593757,245.027683065405,1.76101210513505e-18,4.43970718505715e-16,"ECP_2299"
"ECP_0689",1.04592275061589,8.30858461148876,238.164043090827,2.85164774445331e-18,5.89967358286251e-16,"ECP_0689"
"flgK",1.20754603506021,7.89429214946295,236.90128031943,3.12014468904143e-18,5.89967358286251e-16,"ECP_1074"
"bepA",1.20872958859073,7.35177327351218,237.862153152183,2.91354830349496e-18,5.89967358286251e-16,"ECP_2496"
"ECP_2575",1.45004949197803,9.07875933819681,237.628131120165,3.11563322098546e-18,5.89967358286251e-16,"ECP_2575"
"proX",1.65589637560491,6.55987188812878,241.203008595788,2.9488971978065e-18,5.89967358286251e-16,"ECP_2645"
"ECP_3250",-1.26979593881895,10.9645049645759,238.959008376671,2.69516612255777e-18,5.89967358286251e-16,"ECP_3250"
"ECP_0059",-1.40254212684845,6.70822714030273,230.82758803121,4.83817322341891e-18,8.57094989638467e-16,"ECP_0059"
