"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_0941",-1.98954625639093,9.89774100874999,545.986381852266,1.17147784581631e-24,5.31616646431443e-21,"ECP_0941"
"yhbW",1.84259481116957,5.99069720260788,421.75447652409,1.28425928857173e-22,2.91398432576925e-19,"ECP_3248"
"ECP_0940",-2.74298511946175,8.19914046878387,524.185245340307,3.12383819387398e-22,4.72532590793338e-19,"ECP_0940"
"ECP_2657",-1.48243509740261,10.8904916867364,350.157976736882,3.56671501270902e-21,4.04643818191838e-18,"ECP_2657"
"marA",1.75341792983759,9.28208889751535,343.854374267827,4.91918209893741e-21,4.46464967299559e-18,"ECP_1514"
"ECP_0973",-1.42297629792922,8.04167457851543,296.838514286683,6.49119583659235e-20,4.90950778440935e-17,"ECP_0973"
"ECP_0770",-1.54149476122935,5.93749487741111,265.131768668376,4.57735400231782e-19,2.96743320893118e-16,"ECP_0770"
"ECP_0609",1.02714065355435,9.14403295494689,258.006544178112,7.30195310722049e-19,4.14203290007082e-16,"ECP_0609"
"ECP_1124",0.960011765243688,8.8374070507931,240.538683976496,2.41040001285724e-18,1.09383952583462e-15,"ECP_1124"
"fabR",1.05587354738878,8.81981764693524,241.236575508528,2.29483362958746e-18,1.09383952583462e-15,"ECP_4180"
"ECP_0689",1.04303698312854,8.30858461148876,236.936406197065,3.11232731727625e-18,1.28397648779997e-15,"ECP_0689"
"ECP_1339",1.13148693867893,8.59744674390349,231.131110856903,4.73216031237036e-18,1.78954529146139e-15,"ECP_1339"
"ECP_3716",1.85537493332881,5.89795496477975,229.03292186182,5.79633080366908e-18,2.02336532208079e-15,"ECP_3716"
"yhcN",1.80958994654589,10.7267084299577,247.533048285524,1.13442798376218e-17,3.67716727879484e-15,"ECP_3322"
"ECP_0470",-1.09993401477186,7.42698870708974,216.961448716871,1.36850802776314e-17,4.14019295332609e-15,"ECP_0470"
"ECP_0597",1.34851283973835,9.37553859078917,214.469194825745,1.65961684917986e-17,4.70708828848639e-15,"ECP_0597"
"ECP_2575",1.35866870988027,9.07875933819681,208.645740304013,2.74808328209308e-17,7.33576584361081e-15,"ECP_2575"
"murI",-1.44465375698684,6.21674559358857,203.64470539876,3.92339814185294e-17,9.89132264873814e-15,"ECP_4184"
"ECP_1125",1.02715915906954,8.93280793798763,201.221628443513,4.78186067625524e-17,1.14210967099191e-14,"ECP_1125"
"degP",3.00631805579577,10.6889296270657,329.273182165107,1.13734983061038e-16,2.58064676565496e-14,"ECP_0171"
"ECP_3045",-1.45549387042036,6.16660344191258,188.694117837609,1.37483638085148e-16,2.97095595062096e-14,"ECP_3045"
"mgtA",0.975556767785442,10.7190970717204,182.425004936658,2.38442319884393e-16,4.91841476197899e-14,"ECP_4492"
"speG",0.992943954240085,8.07514710343405,179.428607259449,3.11955775558853e-16,6.15502308472206e-14,"ECP_1532"
"ECP_1481",1.03047232721555,9.73394611835772,176.115071781251,4.21738787140068e-16,7.83270800846675e-14,"ECP_1481"
"ECP_3046",-1.37046849470496,6.89124386278963,177.595147050352,4.31506611308217e-16,7.83270800846675e-14,"ECP_3046"
