"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_2840",-2.07083939376312,7.49701200856938,698.730089800621,1.22177330101465e-26,5.5444072400045e-23,"ECP_2840"
"ECP_2274",-1.88112654546997,10.5543943602792,566.941939812111,5.86197182605183e-25,1.33008140733116e-21,"ECP_2274"
"ECP_2552",-1.64957415675756,8.5366665725296,554.170357101678,8.91329478428883e-25,1.34828439103676e-21,"ECP_2552"
"proV",2.02988504716746,7.3178787907773,514.429850878103,3.48759083726462e-24,3.95667180487672e-21,"ECP_2643"
"cysS",-1.54649718038212,8.83320463402832,496.134194324707,6.75723551451927e-24,6.13286695297769e-21,"ECP_0587"
"adk",-1.53830628974052,9.72551666675342,426.833307620799,1.03504464785696e-22,7.39100266533226e-20,"ECP_0535"
"ECP_0941",-1.73482292298124,9.89774100874999,424.550926512759,1.14008414846465e-22,7.39100266533226e-20,"ECP_0941"
"ECP_3073",-1.79147088655179,6.81738745882592,392.335855690397,4.70532061388221e-22,2.66909311822468e-19,"ECP_3073"
"ECP_3328",-1.94669119694005,7.4561150393296,368.529599577364,1.4384914210461e-21,7.25319340967465e-19,"ECP_3328"
"ECP_2422",-1.38388247712691,9.58858735548276,366.227404253683,1.60819257372765e-21,7.29797789957608e-19,"ECP_2422"
"ECP_0590",-1.69142757946358,6.72083836705195,360.809454931666,2.09609531404136e-21,8.64734594101789e-19,"ECP_0590"
"yibF",-1.52650694944734,8.23709557997467,350.567524385472,3.49361887404614e-21,1.32117020420178e-18,"ECP_1126"
"ECP_0266",-1.23378291791996,9.29790327028093,347.817612139827,4.01643759435858e-21,1.32650572848767e-18,"ECP_0266"
"ECP_3717",-1.38611320388379,8.5859582851322,347.449887546819,4.09234909625988e-21,1.32650572848767e-18,"ECP_3717"
"ECP_0879",-2.09524305302348,6.09071499210611,339.162636673628,6.27073659257087e-21,1.89710684380578e-18,"ECP_0879"
"ECP_0470",-1.38812161656048,7.42698870708974,337.075183026099,6.99273004727426e-21,1.98331305965816e-18,"ECP_0470"
"nrdB",-1.51045736146833,9.53876076517496,331.436016803107,9.41521941321938e-21,2.5133097468935e-18,"ECP_2278"
"pabB",-1.60833642571177,5.99725936770676,328.77641167303,1.08503339176129e-20,2.64372485621018e-18,"ECP_1755"
"ECP_2611",-1.19072547494261,9.02758483722985,328.40402973503,1.1068922932568e-20,2.64372485621018e-18,"ECP_2611"
"proP",1.54203208333542,9.21802096380895,324.241029502035,1.38531231695404e-20,3.14327364716872e-18,"ECP_4354"
"ECP_3716",2.1871591385864,5.89795496477975,323.187885246037,1.55919653381804e-20,3.36934946212679e-18,"ECP_3716"
"ECP_2933",-1.4543559001746,9.97168327440693,320.924749381198,1.65949338782502e-20,3.42308226997724e-18,"ECP_2933"
"dkgB",2.00323796652206,4.31458384977948,314.904670064457,2.31321267172328e-20,4.56406917577402e-18,"ECP_0213"
"ECP_1544",2.30203355915499,5.25440430456643,313.499424559171,2.50172192555848e-20,4.73033920757683e-18,"ECP_1544"
"yejF",1.67495581566803,5.58309587045391,307.922271268961,3.42472699855316e-20,6.00149856720047e-18,"ECP_2221"
"proX",1.88681332760446,6.55987188812878,313.040884534058,3.43849631439427e-20,6.00149856720047e-18,"ECP_2645"
"ECP_0684",-1.20503667118118,9.04731985395303,306.834297804852,3.64324164957016e-20,6.12334466879607e-18,"ECP_0684"
"serS",-1.31222881576342,10.1887371473923,298.904442257484,5.75272468428221e-20,8.42124665073311e-18,"ECP_0907"
"ECP_2339",-1.45258987710343,7.43088456525033,299.326223840284,5.61312426092306e-20,8.42124665073311e-18,"ECP_2339"
"ECP_2906",-1.49752797457068,8.09536184473338,299.215966239478,5.64926992805156e-20,8.42124665073311e-18,"ECP_2906"
"ECP_4075",-1.26982603437049,7.39930655310216,300.302153188555,5.30358626818996e-20,8.42124665073311e-18,"ECP_4075"
"ECP_1599",-1.39165320193342,8.33688364146942,298.193707678639,5.99627872010979e-20,8.50347275995569e-18,"ECP_1599"
"kbl",-1.15637263855197,9.35881924763201,296.394532152569,6.66252800400005e-20,9.16198547944007e-18,"ECP_3718"
"ECP_3438",-1.58886764525707,10.4395661593867,294.446325294984,7.47248196491836e-20,9.97356563435279e-18,"ECP_3438"
"ECP_0432",-2.00853540365666,9.22593086026049,328.798210642214,8.40549281430875e-20,1.08983218260952e-17,"ECP_0432"
"ECP_0453",-1.25752294304089,7.95404033008027,288.733704863313,1.05018828451342e-19,1.32382067642275e-17,"ECP_0453"
"proW",1.9137670487225,5.74580228906095,288.205107210679,1.08411135532111e-19,1.32964792714789e-17,"ECP_2644"
"nrdA",-1.52071434210227,11.0245143895182,275.999203784659,2.29226902105379e-19,2.73745179409002e-17,"ECP_2277"
"ECP_1611",-1.51253766369313,6.95796025544539,273.865065322939,2.62071169229265e-19,3.04943324605745e-17,"ECP_1611"
"tsf",-1.65338205762805,12.3447116651169,268.823134896241,3.60914009045021e-19,3.99470188547879e-17,"ECP_0178"
"ECP_2931",-1.33943747662292,8.51954732740322,269.070522414987,3.55247660530492e-19,3.99470188547879e-17,"ECP_2931"
"ECP_2509",-1.0558372768342,9.39082757470262,267.24831076775,3.99285210467604e-19,4.31418163119521e-17,"ECP_2509"
"rraB",-1.57043466400862,8.63135128591624,266.241058085516,4.41814735466472e-19,4.66268667336477e-17,"ECP_4504"
"ECP_2510",-1.17585555976583,8.43171284119011,263.345636372596,5.14051705335741e-19,5.30174236093999e-17,"ECP_2510"
"bcp",-1.41005119822825,7.43211648334074,261.300210449214,5.87601204508179e-19,5.92563170235137e-17,"ECP_2494"
"katG",-1.41808643301183,9.67325280284782,260.894016552565,6.03480127267084e-19,5.9534626468218e-17,"ECP_4156"
"ECP_0849",-1.42888815350203,8.57390981899642,259.779631099109,6.49402985162663e-19,6.27019307801737e-17,"ECP_0849"
"ECP_4081",-1.21919036665724,9.54481744300564,257.090598267427,7.760067157762e-19,7.33649682540082e-17,"ECP_4081"
"ECP_1340",-1.16117256079972,9.22087421852949,256.416912709509,8.11623723960065e-19,7.51662950883832e-17,"ECP_1340"
"glnS",-1.02695071846161,9.84740945209853,254.203385567283,9.41252006659441e-19,8.3752972670991e-17,"ECP_0700"
"ECP_2338",-1.10402865018725,8.08562209948144,254.446504067209,9.26006945295896e-19,8.3752972670991e-17,"ECP_2338"
"ECP_1649",-1.18789933902621,7.74465859482604,253.617003379687,9.79117370747969e-19,8.5446819777967e-17,"ECP_1649"
"acnB",-1.19112209869845,10.3536130904738,251.837351036321,1.10415976159458e-18,9.45410754361544e-17,"ECP_0125"
"pfkA",-1.17020893226657,8.37048555183157,251.554218800528,1.12555238508555e-18,9.45880874725597e-17,"ECP_4125"
"xthA",-1.14251921455314,6.64648903407959,251.216243716585,1.15166042533772e-18,9.50224547305921e-17,"ECP_1695"
"ECP_0683",-1.28328138751743,8.39666935486068,249.54031470799,1.29086162669293e-18,1.04605893963081e-16,"ECP_0683"
"ECP_2071",1.73022032504465,5.61458403525987,246.18565290243,1.62534891791326e-18,1.29400585780533e-16,"ECP_2071"
"rpsA",-1.40034175755775,14.1247471311606,243.913399213785,1.90282711325948e-18,1.48879817930543e-16,"ECP_0922"
"cdaR",1.9274233025139,5.53695427139579,236.325122822766,3.25135814126951e-18,2.50079038052221e-16,"ECP_0172"
"fklB",-1.11798716093883,8.46254028442345,233.149013065354,4.0866228256971e-18,3.09084906383557e-16,"ECP_4461"
"yffB",1.08393998789389,8.14095161506138,231.467174434641,4.61762393845398e-18,3.4352094151974e-16,"ECP_2484"
"dusB",-1.3908183203269,11.8513726006235,229.559265903432,5.3089217705831e-18,3.88578822498486e-16,"ECP_3353"
"ECP_2295",1.94237549978726,5.97071486134999,243.951459393262,5.53420009783852e-18,3.98638095936368e-16,"ECP_2295"
"metG",-1.09191960729031,9.08712279626201,225.114792332122,7.37628424475825e-18,5.11459646083985e-16,"ECP_2152"
"ECP_2841",-1.42777338069404,7.06879471869065,225.119198151388,7.37385958780424e-18,5.11459646083985e-16,"ECP_2841"
"ECP_3662",-1.19989232398812,8.76274172809842,225.002090233086,7.43859335424042e-18,5.11459646083985e-16,"ECP_3662"
