"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",3.29778142711228e-15,7.42000821100263e-13,1.72397604176178e-22,4.47156285831961e-22,"Cationic antimicrobial peptide (CAMP) resistance"
"PhoPQ",11,"Up",1.50670885785428e-09,1.69504746508607e-07,3.53304082132821e-08,7.15225337000589e-08,"PhoPQ"
"BolA",1,"Up",3.61772960070119e-09,2.7132972005259e-07,3.61772960070119e-09,7.60181156603036e-09,"BolA"
"path:ecp02020",159,"Up",2.0737114574706e-08,1.16646269482721e-06,2.85737991904552e-36,8.32149239581678e-36,"Two-component system"
"CpxR",25,"Up",1.61357872189725e-07,7.26110424853765e-06,3.52338658450542e-20,8.86185110648332e-20,"CpxR"
"path:ecp00520",54,"Up",1.43054742796155e-06,5.3645528548558e-05,8.41205967235414e-24,2.21651096128697e-23,"Amino sugar and nucleotide sugar metabolism"
"Fis",26,"Down",2.2001468854017e-06,6.42277430987885e-05,1.81584155026946e-18,4.43278966683426e-18,"Fis"
"path:ecp00680",33,"Down",2.28365308795692e-06,6.42277430987885e-05,1.13655204337136e-33,3.22508784956659e-33,"Methane metabolism"
"SlyA",14,"Up",3.30284728836969e-06,7.66030806602214e-05,6.04361172613809e-15,1.39338825908184e-14,"SlyA"
"TyrR",2,"Up",3.40458136267651e-06,7.66030806602214e-05,0.312454887679917,0.447133718576433,"TyrR"
"OmpR",5,"Up",8.40395482716632e-06,0.00017189907601022,0.291080587365611,0.420168500023404,"OmpR"
"GadX",11,"Up",1.53541836735574e-05,0.000287890943879201,1.48694089000394e-07,2.88692617240531e-07,"GadX"
"path:ecp01501",21,"Up",2.03634954517384e-05,0.00035244511358778,1.49065099535092e-16,3.56040381623384e-16,"beta-Lactam resistance"
"DpiA",3,"Down",3.81659567658093e-05,0.000613381448021935,0.647862563868481,0.836927514413758,"DpiA"
"DcuR",2,"Down",4.47231146914901e-05,0.000670846720372352,0.781064741686503,0.982248084242118,"DcuR"
"GadE",13,"Down",4.83956473473444e-05,0.000679526909308649,0.0045880908727258,0.00797511083636108,"GadE"
"ZraR",2,"Up",5.3653044647465e-05,0.000679526909308649,1,1,"ZraR"
