"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"CpxR",25,"Up",2.55002304876443e-15,3.66704341541904e-13,4.82127082425068e-24,1.16836636032936e-23,"CpxR"
"path:ecp01503",37,"Up",3.25959414703915e-15,3.66704341541904e-13,3.74844472884652e-25,9.57295115366957e-25,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp00790",26,"Down",9.95126187178156e-14,7.46344640383617e-12,2.6219479340381e-25,6.74795902403605e-25,"Folate biosynthesis"
"PhoPQ",11,"Up",2.75047102070186e-12,1.5471399491448e-10,2.52313042907671e-08,4.10627109045817e-08,"PhoPQ"
"path:ecp00240",50,"Down",1.13206174949214e-11,5.09427787271463e-10,9.16229645736793e-21,2.01449167142129e-20,"Pyrimidine metabolism"
"SlyA",14,"Up",1.49012631246548e-11,5.58797367174554e-10,4.03957098989448e-13,7.66364324939982e-13,"SlyA"
"path:ecp03018",17,"Down",2.78026986323992e-11,8.20117101429292e-10,5.02052499025086e-15,9.86280648972358e-15,"RNA degradation"
"path:ecp00970",25,"Down",2.91597191619304e-11,8.20117101429292e-10,4.91063238317388e-15,9.70434494770077e-15,"Aminoacyl-tRNA biosynthesis"
"path:ecp00230",77,"Down",3.80643576827086e-11,9.51608942067715e-10,6.66128736834899e-20,1.44545582110579e-19,"Purine metabolism"
"BolA",1,"Up",2.56016211450372e-10,5.76036475763338e-09,2.56016211450372e-10,4.4972159894986e-10,"BolA"
"path:ecp03020",4,"Down",3.77635948949431e-10,7.72437168305654e-09,0.0341875534814653,0.0469019328753986,"RNA polymerase"
"path:ecp00680",33,"Down",4.66395436950971e-10,8.74491444283071e-09,4.02922069551912e-21,9.16233747200239e-21,"Methane metabolism"
"path:ecp01240",141,"Down",6.46121719274859e-10,1.05537910799076e-08,7.19299365439475e-24,1.70576706661361e-23,"Biosynthesis of cofactors"
"NagC",1,"Up",7.03586071993837e-10,1.05537910799076e-08,7.03586071993837e-10,1.20407513351523e-09,"NagC"
"NanR",1,"Up",7.03586071993837e-10,1.05537910799076e-08,7.03586071993837e-10,1.20407513351523e-09,"NanR"
"RutR",2,"Down",7.75038256725999e-10,1.08989754852094e-08,0.303327030925884,0.374366447090683,"RutR"
"MarA",25,"Up",1.15322098757402e-09,1.52632189531856e-08,5.77974577413337e-19,1.22221375605878e-18,"MarA"
"EvgA",4,"Up",1.54365793257534e-09,1.92957241571917e-08,0.0258476380299608,0.0356075345474979,"EvgA"
"path:ecp00650",32,"Up",2.12910506566416e-09,2.51536215484011e-08,9.59335299179778e-28,2.67646486829989e-27,"Butanoate metabolism"
"path:ecp03030",17,"Down",2.29342521359862e-09,2.51536215484011e-08,3.40727301483186e-10,5.953761268022e-10,"DNA replication"
