"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",8.46174854537298e-17,1.90389342270892e-14,2.44100141472168e-24,6.00305533101924e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"CpxR",25,"Up",1.81212054470126e-14,2.03863561278892e-12,2.16996442331247e-25,5.49945182091405e-25,"CpxR"
"MarA",25,"Up",1.54426087961195e-13,1.15819565970896e-11,3.03631239758839e-17,6.58859945097612e-17,"MarA"
"Rob",19,"Up",2.79959830757333e-12,1.57477404801e-10,1.11347966582333e-12,2.22695933164666e-12,"Rob"
"SoxS",21,"Up",4.15461310767447e-12,1.66612094675926e-10,9.21072197947407e-14,1.92324509256943e-13,"SoxS"
"MntR",1,"Down",4.44298919135802e-12,1.66612094675926e-10,4.44298919135802e-12,8.78019292577894e-12,"MntR"
"BolA",1,"Up",1.26917407475907e-10,3.95453000091906e-09,1.26917407475907e-10,2.36722355516861e-10,"BolA"
"PhoPQ",11,"Up",1.40605511143789e-10,3.95453000091906e-09,6.71256786146461e-08,1.17913890476521e-07,"PhoPQ"
"path:ecp02020",159,"Up",8.99141478309584e-10,2.24785369577396e-08,4.88248497804742e-34,1.44730804706406e-33,"Two-component system"
"path:ecp00633",7,"Up",8.69128448630225e-09,1.95553900941801e-07,3.21430170619544e-06,5.44463350233105e-06,"Nitrotoluene degradation"
"path:ecp03018",17,"Down",1.09961964565886e-08,2.24922200248404e-07,1.13096846460281e-14,2.3764653813173e-14,"RNA degradation"
"path:ecp03070",56,"Down",2.26408970969769e-08,4.24516820568318e-07,1.74884771408549e-25,4.46628800827986e-25,"Bacterial secretion system"
"path:ecp01501",21,"Up",3.46516567683387e-08,5.99740213298169e-07,8.23889362840409e-19,1.84818424637173e-18,"beta-Lactam resistance"
"OmpR",5,"Up",6.06014937934798e-08,9.73952578823783e-07,0.0512003861601448,0.0735867021868749,"OmpR"
"path:ecp02026",49,"Up",9.25266250108134e-08,1.3878993751622e-06,9.58737263442594e-29,2.65250642885784e-28,"Biofilm formation - Escherichia coli"
"RutR",2,"Down",1.49607868385601e-07,2.10386064917252e-06,0.411122922117319,0.53737326827933,"RutR"
