"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"CpxR",25,"Up",7.42564098731469e-19,1.6707692221458e-16,7.95555155381829e-25,1.98589707959975e-24,"CpxR"
"MarA",25,"Up",3.70857223007696e-16,4.17214375883658e-14,4.90000189501031e-18,1.12972265912738e-17,"MarA"
"Rob",19,"Up",5.7382083238779e-16,4.30365624290843e-14,1.00394132092162e-13,2.10954758573403e-13,"Rob"
"path:ecp01503",37,"Up",1.57191819144926e-15,8.10859329349457e-14,5.67578249588012e-25,1.42754529441833e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"SoxS",21,"Up",1.80190962077657e-15,8.10859329349457e-14,5.65760143490218e-15,1.22766253358662e-14,"SoxS"
"SoxR",1,"Up",2.16223159806617e-10,7.11941202384927e-09,2.16223159806617e-10,4.19801690384777e-10,"SoxR"
"CdaR",2,"Up",2.21492818519755e-10,7.11941202384927e-09,0.172532875856039,0.242715740611037,"CdaR"
"path:ecp00633",7,"Up",4.11060727251524e-10,1.15610829539491e-08,6.728026790999e-06,1.14548968954444e-05,"Nitrotoluene degradation"
"IscR",4,"Up",6.92621180734625e-10,1.73155295183656e-08,0.0363511399100896,0.05363812644511,"IscR"
"MntR",1,"Down",2.38480673254729e-09,5.3658151482314e-08,2.38480673254729e-09,4.49861270003238e-09,"MntR"
"path:ecp03070",56,"Down",6.27489133005516e-09,1.28350049932946e-07,8.78828882392363e-25,2.17739693249451e-24,"Bacterial secretion system"
"path:ecp01501",21,"Down",1.3090346679782e-07,2.45444000245913e-06,1.0967542178459e-21,2.60087428803455e-21,"beta-Lactam resistance"
"BolA",1,"Up",1.66352839429158e-07,2.87918375935082e-06,1.66352839429158e-07,2.96930874680003e-07,"BolA"
"path:ecp01053",13,"Up",4.15466429239292e-07,6.67713904134577e-06,2.80420808416862e-06,4.82381908779265e-06,"Biosynthesis of siderophore group nonribosomal peptides"
"PdhR",1,"Up",5.20787248137999e-07,7.81180872206998e-06,5.20787248137999e-07,9.1968811905221e-07,"PdhR"
