"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",9.42866889642734e-17,2.12145050169615e-14,7.60122043364134e-25,1.85559204703597e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"CpxR",25,"Up",1.80798428998319e-15,2.03398232623109e-13,1.59684879098755e-24,3.84169419281063e-24,"CpxR"
"MarA",25,"Up",1.67737354936091e-11,1.25803016202068e-09,1.13489573248113e-17,2.46264956329239e-17,"MarA"
"path:ecp00680",33,"Down",9.33065381023305e-11,5.24849276825609e-09,4.4869064779453e-26,1.1458868851368e-25,"Methane metabolism"
"PhoPQ",11,"Up",3.57920137140516e-10,1.50794333303004e-08,3.8975405516201e-08,6.84647334993584e-08,"PhoPQ"
"SoxS",21,"Up",4.02118222141345e-10,1.50794333303004e-08,3.95659604197968e-14,8.05883365605677e-14,"SoxS"
"Rob",19,"Up",1.21799070869342e-09,3.914970135086e-08,3.10148104692837e-13,6.20296209385673e-13,"Rob"
"path:ecp03018",17,"Down",2.20344285395851e-09,6.1971830267583e-08,7.01041766160261e-17,1.48245774754909e-16,"RNA degradation"
"SoxR",1,"Down",3.10604978496231e-09,7.76512446240578e-08,3.10604978496231e-09,5.66598092641477e-09,"SoxR"
"path:ecp00240",50,"Down",7.62639463792711e-09,1.70317818913676e-07,4.13394450793942e-32,1.17305092020161e-31,"Pyrimidine metabolism"
"BolA",1,"Up",8.32664892466862e-09,1.70317818913676e-07,8.32664892466862e-09,1.48626206612365e-08,"BolA"
"path:ecp02020",159,"Up",2.16312519550304e-08,4.05585974156821e-07,1.75542399770549e-36,5.2504573625065e-36,"Two-component system"
"SlyA",14,"Up",2.55502211095309e-08,4.42215365357266e-07,1.4398548681225e-13,2.91482814766263e-13,"SlyA"
"path:ecp03030",17,"Down",1.22862416217151e-07,1.97457454634707e-06,5.54849876567186e-09,1.00114216858862e-08,"DNA replication"
"EvgA",4,"Up",2.32544959198237e-07,3.48817438797355e-06,0.0498058275021583,0.0706646783363956,"EvgA"
