"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",1.2909991132621e-16,2.90474800483972e-14,4.70449505540807e-24,1.18325178666324e-23,"Cationic antimicrobial peptide (CAMP) resistance"
"CpxR",25,"Up",1.61170200997333e-14,1.81316476122e-12,2.13369074076246e-24,5.49135911576075e-24,"CpxR"
"path:ecp02026",49,"Up",1.37760811233788e-12,1.03320608425341e-10,1.95124197182705e-31,5.7840387022016e-31,"Biofilm formation - Escherichia coli"
"path:ecp02020",159,"Up",2.14251147697775e-12,1.20516270579998e-10,1.92521675380521e-34,5.86396295654432e-34,"Two-component system"
"path:ecp02030",20,"Up",3.38916055981862e-12,1.52512225191838e-10,7.54167388800003e-14,1.45571844814884e-13,"Bacterial chemotaxis"
"BolA",1,"Up",1.21084238522897e-11,4.54065894460865e-10,1.21084238522897e-11,2.20878940602208e-11,"BolA"
"PhoPQ",11,"Up",1.52077179128551e-11,4.8881950434177e-10,2.19384816787485e-08,3.55296386211927e-08,"PhoPQ"
"MarA",25,"Up",6.1292750257847e-11,1.5827113201836e-09,1.38880032955799e-16,2.84618339143984e-16,"MarA"
"DcuR",2,"Down",6.56572088597057e-11,1.5827113201836e-09,0.290337662170415,0.369318405519455,"DcuR"
"MntR",1,"Down",7.03427253414935e-11,1.5827113201836e-09,7.03427253414935e-11,1.23564999012571e-10,"MntR"
"path:ecp00290",16,"Up",7.76898006255233e-11,1.58910955824934e-09,2.52290010703693e-09,4.16717828625005e-09,"Valine, leucine and isoleucine biosynthesis"
"path:ecp03020",4,"Down",1.02651323067018e-10,1.92471230750659e-09,0.0307132219425022,0.0419620974687685,"RNA polymerase"
"path:ecp03030",17,"Down",1.60153318209351e-10,2.49394105127113e-09,3.9574869845746e-12,7.29936488265981e-12,"DNA replication"
"NagC",1,"Up",1.66262736751408e-10,2.49394105127113e-09,1.66262736751408e-10,2.86006365810713e-10,"NagC"
"NanR",1,"Up",1.66262736751408e-10,2.49394105127113e-09,1.66262736751408e-10,2.86006365810713e-10,"NanR"
"path:ecp00660",12,"Up",1.98704545892526e-10,2.79428267661364e-09,4.42817498150239e-07,7.03423011415691e-07,"C5-Branched dibasic acid metabolism"
"path:ecp03018",17,"Down",3.08823189006183e-10,4.08736573684654e-09,2.61568028011079e-15,5.20003504788492e-15,"RNA degradation"
"path:ecp01210",26,"Up",3.30268572272379e-10,4.12835715340474e-09,1.67642114729757e-15,3.35284229459514e-15,"2-Oxocarboxylic acid metabolism"
"path:ecp00240",50,"Down",4.93715215050115e-10,5.8466275466461e-09,1.06256478539679e-20,2.3998061819846e-20,"Pyrimidine metabolism"
"path:ecp03010",55,"Down",2.0362318157756e-09,2.29076079274755e-08,2.01839476323462e-11,3.66178722073165e-11,"Ribosome"
"path:ecp03430",22,"Down",2.59272490015653e-09,2.77791953588199e-08,8.02301733037044e-19,1.71847855076322e-18,"Mismatch repair"
"path:ecp00790",26,"Down",4.64020052517826e-09,4.74565962802322e-08,6.16341002210317e-26,1.70521010611521e-25,"Folate biosynthesis"
"DpiA",3,"Down",5.64796548599146e-09,5.52518362760035e-08,0.0955383402807659,0.125370470249859,"DpiA"
"path:ecp03070",56,"Down",7.90919730069572e-09,7.41487246940224e-08,1.00563069565447e-32,3.03517628142985e-32,"Bacterial secretion system"
"path:ecp00230",77,"Down",8.99756072441226e-09,8.09780465197103e-08,2.7835821708733e-20,6.07992947848641e-20,"Purine metabolism"
"IlvY",1,"Up",1.08597081034208e-08,9.39782432026797e-08,1.08597081034208e-08,1.76736425996848e-08,"IlvY"
"SlyA",14,"Up",1.47426582518286e-08,1.19410808308732e-07,1.60213440693865e-13,3.05694610979099e-13,"SlyA"
"path:ecp02024",57,"Up",1.55104149759799e-08,1.19410808308732e-07,1.47189179397526e-20,3.23621242119064e-20,"Quorum sensing"
"path:ecp00650",32,"Up",1.58807867852579e-08,1.19410808308732e-07,3.70223471894709e-26,1.03289237537011e-25,"Butanoate metabolism"
"path:ecp00970",25,"Down",1.59214411078309e-08,1.19410808308732e-07,1.11612465077236e-13,2.14192707547065e-13,"Aminoacyl-tRNA biosynthesis"
"path:ecp03440",27,"Down",1.98052560318567e-08,1.43747826037669e-07,1.4643562471244e-20,3.23621242119064e-20,"Homologous recombination"
"SoxS",21,"Up",2.34462749640393e-08,1.64856620840902e-07,3.04114682334891e-12,5.64056282319462e-12,"SoxS"
"Rob",19,"Up",2.760985151087e-08,1.88248987574114e-07,2.03923683147833e-11,3.67949254375438e-11,"Rob"
"OxyR",11,"Down",3.07672242787681e-08,2.03606631256554e-07,1.47395296248548e-07,2.36402117654676e-07,"OxyR"
"BasR",3,"Up",4.02029871501862e-08,2.58447774536911e-07,0.085705219920332,0.11336307973526,"BasR"
"DnaA",4,"Down",6.42941580804886e-08,4.01838488003054e-07,0.0406212893344795,0.0552715904059311,"DnaA"
"CdaR",2,"Up",8.3808327272517e-08,5.09645233413955e-07,0.275739551739168,0.353457649333605,"CdaR"
"H-NS",23,"Down",2.83783228864003e-07,1.68029543406318e-06,1.98487267911184e-19,4.30704398343223e-19,"H-NS"
"path:ecp01501",21,"Up",5.8176404511358e-07,3.32138440133995e-06,3.73316049633633e-21,8.48910469029905e-21,"beta-Lactam resistance"
"path:ecp00053",19,"Up",5.90468338015991e-07,3.32138440133995e-06,3.33446305418886e-15,6.5120101999453e-15,"Ascorbate and aldarate metabolism"
"EvgA",4,"Up",7.17311777143799e-07,3.93646706969158e-06,0.0896836576975596,0.118154660141229,"EvgA"
"GadX",11,"Up",9.30713021584455e-07,4.98596261563101e-06,4.05389379237324e-08,6.53345989838795e-08,"GadX"
"path:ecp00480",24,"Up",1.49305917155879e-06,7.81251892094713e-06,1.08206922256622e-22,2.56604987065703e-22,"Glutathione metabolism"
"ArcA",16,"Down",1.54888776128008e-06,7.87775697260692e-06,4.69272556226995e-15,9.11102272908551e-15,"ArcA"
"RbsR",1,"Up",1.57555139452138e-06,7.87775697260692e-06,1.57555139452138e-06,2.47906664919952e-06,"RbsR"
"path:ecp00680",33,"Down",1.65207136971902e-06,8.08078387362562e-06,5.39010395246426e-19,1.16202241053126e-18,"Methane metabolism"
"LldR",3,"Up",1.69049676886116e-06,8.0928036807183e-06,0.228546940656767,0.294099163945918,"LldR"
"path:ecp00020",34,"Up",2.29745248436206e-06,1.07693085204471e-05,9.02344625389822e-25,2.37760647324937e-24,"Citrate cycle (TCA cycle)"
"path:ecp03060",18,"Down",2.61129653301099e-06,1.19906473454586e-05,3.34158538378112e-10,5.68926332007863e-10,"Protein export"
"path:ecp00670",13,"Down",3.34374592009083e-06,1.50468566404088e-05,5.08476101624322e-10,8.56924191569923e-10,"One carbon pool by folate"
"path:ecp00430",6,"Down",4.71892371006823e-06,2.08187810738304e-05,0.00273339924766952,0.00389480064474799,"Taurine and hypotaurine metabolism"
"path:ecp00500",41,"Up",7.99063548560703e-06,3.40103977465553e-05,2.10068580225106e-16,4.27869746225369e-16,"Starch and sucrose metabolism"
"ArgP",5,"Down",8.01133813585524e-06,3.40103977465553e-05,0.00576104026839155,0.00807031801310547,"ArgP"
"path:ecp00770",24,"Up",1.20872847956213e-05,5.0363686648422e-05,1.46557121175226e-17,3.06018642957076e-17,"Pantothenate and CoA biosynthesis"
"path:ecp01230",124,"Up",1.31355215550487e-05,5.37362245433809e-05,1.766275054503e-18,3.75899562881407e-18,"Biosynthesis of amino acids"
"path:ecp00061",14,"Down",1.71901661763307e-05,6.90676319584717e-05,5.55273766190716e-10,9.26386383795566e-10,"Fatty acid biosynthesis"
"path:ecp00900",14,"Down",2.27697165729769e-05,8.98804601564877e-05,1.28070928660938e-10,2.23787096397008e-10,"Terpenoid backbone biosynthesis"
"path:ecp01240",141,"Down",2.42315157220614e-05,9.40015696114453e-05,7.91844423198946e-26,2.17266403720703e-25,"Biosynthesis of cofactors"
"path:ecp00361",2,"Up",3.1008934866202e-05,0.000114377218768778,1,1,"Chlorocyclohexane and chlorobenzene degradation"
"path:ecp00364",2,"Up",3.1008934866202e-05,0.000114377218768778,1,1,"Fluorobenzoate degradation"
"path:ecp00623",2,"Up",3.1008934866202e-05,0.000114377218768778,1,1,"Toluene degradation"
"CsgD",4,"Up",3.22765069396778e-05,0.000117132484861734,0.200206217170633,0.258632156033658,"CsgD"
"PspF",6,"Down",4.32690359019574e-05,0.000154532271078419,0.00618359361725477,0.00862585328121253,"PspF"
"AsnC",1,"Down",4.81067003718161e-05,0.000169125118494666,4.81067003718161e-05,7.36010346702439e-05,"AsnC"
"CspA",1,"Down",5.52956127354076e-05,0.000189258045755623,5.52956127354076e-05,8.41607772419525e-05,"CspA"
"path:ecp00565",1,"Down",5.55156934216494e-05,0.000189258045755623,5.55156934216494e-05,8.41607772419525e-05,"Ether lipid metabolism"
"path:ecp02010",181,"Up",5.82538905623096e-05,0.000195229967720267,1.2721443708484e-26,3.57925365357345e-26,"ABC transporters"
"path:ecp00270",39,"Up",5.90028346887919e-05,0.000195229967720267,1.02177824782375e-21,2.33951985018954e-21,"Cysteine and methionine metabolism"
"GutM",6,"Down",7.30157316984774e-05,0.000238094777277644,0.00115419864894496,0.0017106872832577,"GutM"
"YqhC",2,"Up",7.91311838398061e-05,0.000254350233770805,0.670676969061755,0.775835378844957,"YqhC"
"path:ecp00130",21,"Down",8.07845116651984e-05,0.000256007255277037,1.00987802448883e-12,1.89423448661182e-12,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp00260",39,"Up",8.67843505221618e-05,0.000271201095381755,1.38126498164539e-16,2.84618339143984e-16,"Glycine, serine and threonine metabolism"
"path:ecp00561",13,"Up",0.000100226586316584,0.000308917560564814,9.00330577221728e-09,1.47246183072716e-08,"Glycerolipid metabolism"
"path:ecp00280",11,"Up",0.000187204337972966,0.000569202378971855,6.47774841218475e-11,1.14394280470497e-10,"Valine, leucine and isoleucine degradation"
"path:ecp00633",7,"Up",0.000197237259695757,0.000591711779087272,1.6397354009047e-05,2.54388856588954e-05,"Nitrotoluene degradation"
