"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",5.30172747759372e-16,6.36207297311246e-14,1.10750349895168e-25,5.5375174947584e-25,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp00970",25,"Down",4.12685625344782e-11,2.47611375206869e-09,5.05846504929066e-17,1.34892401314418e-16,"Aminoacyl-tRNA biosynthesis"
"path:ecp00230",77,"Down",1.08972118450442e-09,3.82034964171183e-08,3.25312075490064e-20,1.02730129102125e-19,"Purine metabolism"
"path:ecp00240",50,"Down",1.27344988057061e-09,3.82034964171183e-08,1.07393602655952e-22,4.29574410623807e-22,"Pyrimidine metabolism"
"path:ecp03030",17,"Down",2.04393654238097e-09,4.90544770171432e-08,6.81991798059665e-10,1.25906178103323e-09,"DNA replication"
"path:ecp03070",56,"Down",2.50982408541298e-09,5.01964817082596e-08,5.4219497171255e-26,2.84811587431396e-25,"Bacterial secretion system"
"path:ecp02020",159,"Up",2.93199865179336e-09,5.02628340307433e-08,9.78411759274845e-36,1.17409411112981e-33,"Two-component system"
"path:ecp00650",32,"Up",3.61849286334539e-09,5.42773929501809e-08,5.64651503795613e-30,1.12930300759123e-28,"Butanoate metabolism"
"path:ecp03018",17,"Down",9.33654911670767e-09,1.24014679417308e-07,3.84764934536057e-14,8.71165889515601e-14,"RNA degradation"
"path:ecp00020",34,"Up",1.0334556618109e-08,1.24014679417308e-07,2.22567730780578e-24,1.02723568052575e-23,"Citrate cycle (TCA cycle)"
"path:ecp00290",16,"Up",1.45994375749306e-08,1.59266591726516e-07,1.4196479333359e-08,2.46895292754069e-08,"Valine, leucine and isoleucine biosynthesis"
"path:ecp03440",27,"Down",1.64069622947918e-08,1.64069622947918e-07,9.96611443925281e-16,2.44068108716395e-15,"Homologous recombination"
"path:ecp00660",12,"Up",2.32183514804607e-08,2.09723764327028e-07,2.52198907808917e-06,3.93037258922988e-06,"C5-Branched dibasic acid metabolism"
"path:ecp00330",22,"Down",2.446777250482e-08,2.09723764327028e-07,1.05746326908059e-22,4.29574410623807e-22,"Arginine and proline metabolism"
"path:ecp03020",4,"Down",3.48024727661069e-08,2.78419782128855e-07,0.0586169257195204,0.0725157843952829,"RNA polymerase"
"path:ecp00790",26,"Down",6.07126372839406e-08,4.55344779629555e-07,6.27201429603204e-24,2.78756190934757e-23,"Folate biosynthesis"
"path:ecp00670",13,"Down",6.63806110919045e-08,4.68569019472267e-07,1.14868455734267e-09,2.08851737698667e-09,"One carbon pool by folate"
"path:ecp02026",49,"Up",7.1220217454915e-08,4.72331143747908e-07,9.0706966175425e-30,1.36060449263138e-28,"Biofilm formation - Escherichia coli"
"path:ecp00633",7,"Up",7.47857644267521e-08,4.72331143747908e-07,3.27749101739466e-06,5.04229387291486e-06,"Nitrotoluene degradation"
"path:ecp01210",26,"Up",9.72676137679002e-08,5.83605682607401e-07,4.53949351382689e-15,1.06811612090044e-14,"2-Oxocarboxylic acid metabolism"
