"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",5.88283607212096e-15,1.32363811622722e-12,2.89950910610143e-25,7.02654761478594e-25,"Cationic antimicrobial peptide (CAMP) resistance"
"MarA",25,"Up",2.64292515912745e-14,2.97329080401838e-12,2.41374630523572e-18,5.3782803579749e-18,"MarA"
"CpxR",25,"Up",6.37140376329566e-14,4.77855282247174e-12,7.51865135083386e-26,1.84903129516803e-25,"CpxR"
"Rob",19,"Up",6.72979230635563e-13,3.6844311312787e-11,1.25222328501527e-13,2.53498860137237e-13,"Rob"
"SoxS",21,"Up",8.18762473617488e-13,3.6844311312787e-11,1.13669440590096e-14,2.3586408922445e-14,"SoxS"
"PhoPQ",11,"Up",1.66560975222695e-10,6.24603657085105e-09,3.34049391495298e-08,5.74634186406419e-08,"PhoPQ"
"MntR",1,"Down",2.55046796472062e-10,8.19793274374486e-09,2.55046796472062e-10,4.70419646826248e-10,"MntR"
"path:ecp02020",159,"Up",1.18280793459455e-09,3.18024714546861e-08,4.17831438772688e-37,1.26109125156848e-36,"Two-component system"
"BolA",1,"Up",1.27209885818744e-09,3.18024714546861e-08,1.27209885818744e-09,2.29530880933822e-09,"BolA"
"RutR",2,"Down",3.12801524163338e-09,7.03803429367511e-08,0.324070808747812,0.417021350791758,"RutR"
"path:ecp03070",56,"Down",1.7371862167946e-08,3.5533354434435e-07,8.62868864304889e-26,2.10641516874429e-25,"Bacterial secretion system"
"path:ecp00650",32,"Up",2.78949927881692e-08,5.23031114778173e-07,1.26798537342714e-26,3.23823956906009e-26,"Butanoate metabolism"
"NhaR",3,"Up",4.78051489230467e-08,8.27396808283501e-07,0.172014726968361,0.228435557413983,"NhaR"
"path:ecp00620",61,"Up",6.10276475755455e-08,9.80801478892695e-07,4.19252945385481e-26,1.06253418219832e-25,"Pyruvate metabolism"
"path:ecp00020",34,"Up",8.71686761322331e-08,1.3075301419835e-06,4.39887817551844e-25,1.05828083642907e-24,"Citrate cycle (TCA cycle)"
"path:ecp03030",17,"Down",1.41561014660899e-07,1.9907017686689e-06,5.6540242558107e-08,9.62633873297002e-08,"DNA replication"
"path:ecp02026",49,"Up",1.65516420566459e-07,2.19065850749725e-06,8.63037972531037e-33,2.491553103307e-32,"Biofilm formation - Escherichia coli"
"path:ecp00500",41,"Up",4.00836966018389e-07,5.01046207522986e-06,1.39633706216286e-17,3.0905593642538e-17,"Starch and sucrose metabolism"
"path:ecp00670",13,"Down",4.95305663142996e-07,5.60282520116354e-06,2.66887401576152e-09,4.73832178199372e-09,"One carbon pool by folate"
"RbsR",1,"Up",4.98028906770092e-07,5.60282520116354e-06,4.98028906770092e-07,8.30882397224476e-07,"RbsR"
"path:ecp03018",17,"Down",5.54710775173237e-07,5.94332973399897e-06,3.76822805330492e-15,8.01956226728995e-15,"RNA degradation"
"SoxR",1,"Up",6.19631104150503e-07,6.33713629244833e-06,6.19631104150503e-07,1.02858763288983e-06,"SoxR"
"path:ecp03430",22,"Down",7.38204198734342e-07,7.22156281370552e-06,2.07880244675919e-13,4.18280249893365e-13,"Mismatch repair"
"GadX",11,"Up",9.32569754634058e-07,8.7428414496943e-06,3.30497531096593e-08,5.71485314187859e-08,"GadX"
"path:ecp00660",12,"Up",1.0758921287652e-06,9.68302915888684e-06,6.43152239340559e-06,1.02656992048589e-05,"C5-Branched dibasic acid metabolism"
"path:ecp02030",20,"Up",1.28580522692332e-06,1.11271606176057e-05,9.33138860117176e-10,1.70220934922474e-09,"Bacterial chemotaxis"
"AsnC",1,"Down",1.49033529427423e-06,1.24194607856186e-05,1.49033529427423e-06,2.4018996004808e-06,"AsnC"
"path:ecp00480",24,"Up",1.79211718151304e-06,1.44009416371584e-05,3.33494776311594e-28,8.78732267741659e-28,"Glutathione metabolism"
"path:ecp03440",27,"Down",2.3826801025e-06,1.84863111400862e-05,1.4241202457146e-15,3.05037368759515e-15,"Homologous recombination"
"CueR",1,"Up",2.86566686692437e-06,2.14925015019328e-05,2.86566686692437e-06,4.59614202811059e-06,"CueR"
