"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp00240",50,"Down",2.2763408685819e-17,5.12176695430928e-15,7.69825161450795e-24,1.70387969067776e-23,"Pyrimidine metabolism"
"path:ecp00790",26,"Down",1.15974270495433e-16,1.30471054307362e-14,1.21533414902086e-24,2.78269612051673e-24,"Folate biosynthesis"
"path:ecp01240",143,"Down",7.75489004357389e-16,4.62529522720796e-14,6.27343136079957e-24,1.39783839717145e-23,"Biosynthesis of cofactors"
"path:ecp00030",35,"Down",8.75850114546822e-16,4.62529522720796e-14,1.36055331079313e-25,3.24966690059941e-25,"Pentose phosphate pathway"
"ArgP",5,"Down",1.16664650066592e-15,4.62529522720796e-14,0.00161784364986641,0.0022195210403126,"ArgP"
"path:ecp00680",33,"Down",1.25403727643004e-15,4.62529522720796e-14,4.86104380353381e-25,1.12857800193932e-24,"Methane metabolism"
"path:ecp00970",25,"Down",1.43898073735359e-15,4.62529522720796e-14,3.79863013343256e-18,7.46239765857758e-18,"Aminoacyl-tRNA biosynthesis"
"path:ecp00670",13,"Down",2.13121886602304e-15,5.9940530606898e-14,3.73717720735679e-12,6.70671801536461e-12,"One carbon pool by folate"
"ModE",7,"Down",8.96327704711983e-15,2.24081926177996e-13,2.44615878518345e-05,3.59347219770312e-05,"ModE"
"path:ecp00230",77,"Down",1.38519529636559e-14,3.11668941682257e-13,6.34890531342159e-22,1.33407377471897e-21,"Purine metabolism"
"path:ecp00010",54,"Down",8.61674906545257e-14,1.76251685429712e-12,9.31907837790441e-26,2.27495148637078e-25,"Glycolysis / Gluconeogenesis"
"path:ecp00400",22,"Down",1.0898231441166e-13,2.04341839521863e-12,6.00182377168251e-25,1.3837538140268e-24,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"DnaA",4,"Down",1.91847401151653e-13,3.32043578916323e-12,0.0105750425786,0.0141569118390935,"DnaA"
"path:ecp01503",37,"Up",3.12818967865109e-13,4.9514405025582e-12,1.712944852925e-24,3.86869177667414e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp01110",355,"Down",3.3009603350388e-13,4.9514405025582e-12,1.40257762412224e-27,3.58196747083527e-27,"Biosynthesis of secondary metabolites"
"path:ecp00460",7,"Down",6.91450276764301e-13,9.72351951699798e-12,2.11529010527065e-06,3.22145098600851e-06,"Cyanoamino acid metabolism"
"path:ecp04122",18,"Down",8.73989733226849e-13,1.15675111750612e-11,1.51933029314037e-17,2.94981086153569e-17,"Sulfur relay system"
"path:ecp00750",10,"Down",1.0028645953821e-12,1.25358074422763e-11,3.79426250234295e-08,6.08548382018289e-08,"Vitamin B6 metabolism"
"path:ecp00480",24,"Down",1.33136658840012e-12,1.57661832836856e-11,1.35024109839594e-25,3.24840612077863e-25,"Glutathione metabolism"
"path:ecp00401",4,"Down",1.49763779987251e-12,1.68484252485657e-11,0.00661658659428162,0.00889354959231376,"Novobiocin biosynthesis"
"SlyA",14,"Up",1.69212139015595e-12,1.81298720373852e-11,5.33429824539892e-12,9.47051881001305e-12,"SlyA"
"EvgA",4,"Up",2.43845950594096e-12,2.49387904016689e-11,0.0144248128322125,0.0190041184932323,"EvgA"
"path:ecp00785",3,"Down",2.65903069800813e-12,2.60122568283404e-11,0.0652936110158984,0.0814942814183394,"Lipoic acid metabolism"
"path:ecp00250",31,"Down",3.30771118634112e-12,3.1009792371948e-11,1.90371499148572e-29,5.40199467669453e-29,"Alanine, aspartate and glutamate metabolism"
"path:ecp00130",21,"Down",4.04859746980802e-12,3.64373772282722e-11,4.78689987685759e-14,8.78039093434653e-14,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp01100",898,"Down",4.64114903048373e-12,3.95375441037934e-11,1.3858995930659e-27,3.56681135579751e-27,"Metabolic pathways"
"path:ecp01200",119,"Down",4.74450529245521e-12,3.95375441037934e-11,4.95828812681085e-28,1.2961824079537e-27,"Carbon metabolism"
"path:ecp01250",49,"Down",1.19343162635585e-11,9.5900755689309e-11,4.28901031681566e-25,1.0027826937907e-24,"Biosynthesis of nucleotide sugars"
"path:ecp01230",124,"Down",1.61052799387078e-11,1.24779650628994e-10,6.30494535047264e-29,1.75902677004783e-28,"Biosynthesis of amino acids"
"CspA",1,"Down",1.66372867505326e-11,1.24779650628994e-10,1.66372867505326e-11,2.93807404317916e-11,"CspA"
"path:ecp00340",8,"Down",2.94179028734299e-11,2.13517036984572e-10,0.000223484641866413,0.00031573149404106,"Histidine metabolism"
"path:ecp00053",19,"Up",4.68814140515249e-11,3.29634942549784e-10,1.85245536984219e-21,3.86802001753212e-21,"Ascorbate and aldarate metabolism"
"path:ecp00740",12,"Down",5.2632621365099e-11,3.58858782034766e-10,1.74336824806995e-09,2.86533791266943e-09,"Riboflavin metabolism"
"Fis",26,"Down",6.53257107136739e-11,4.32302497369901e-10,6.98745952931768e-27,1.74423801784472e-26,"Fis"
"CdaR",2,"Up",8.18248002012195e-11,5.26016572722126e-10,0.231025640882837,0.272955561470113,"CdaR"
"path:ecp00541",19,"Down",2.43336089326602e-10,1.52085055829126e-09,1.37652260088016e-17,2.68826766760125e-17,"O-Antigen nucleotide sugar biosynthesis"
