"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",2.93436566347504e-16,6.60232274281883e-14,1.41113209317552e-25,3.39489749952372e-25,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp00240",50,"Down",7.01481808718889e-15,7.8916703480875e-13,6.4710644276906e-24,1.491939854162e-23,"Pyrimidine metabolism"
"path:ecp00230",77,"Down",6.38586289783188e-14,4.78939717337391e-12,2.6995275689925e-22,5.97495435270341e-22,"Purine metabolism"
"path:ecp00680",33,"Down",2.08096420322663e-13,1.17054236431498e-11,2.20229581224576e-24,5.1855475862808e-24,"Methane metabolism"
"path:ecp00790",26,"Down",4.55534080513939e-13,2.04990336231273e-11,5.5545371594136e-23,1.23765525968142e-22,"Folate biosynthesis"
"path:ecp00970",25,"Down",7.46344565868696e-13,2.79879212200761e-11,5.54333983724441e-16,1.07625077541821e-15,"Aminoacyl-tRNA biosynthesis"
"SlyA",14,"Up",2.10017556900785e-12,6.68957082247841e-11,1.67970326010014e-14,3.11542727571647e-14,"SlyA"
"path:ecp00670",13,"Down",2.37851407021455e-12,6.68957082247841e-11,8.64054533126597e-11,1.49409429686474e-10,"One carbon pool by folate"
"Fis",26,"Down",4.07726877302669e-12,1.01931719325667e-10,3.35560541918819e-29,9.4411949082244e-29,"Fis"
"path:ecp01240",141,"Down",8.4133459830048e-12,1.89300284617608e-10,4.21924127507873e-23,9.46478448193336e-23,"Biosynthesis of cofactors"
"path:ecp01502",7,"Down",3.59968991451557e-11,7.36300209787276e-10,3.63613673479415e-06,5.64110932687691e-06,"Vancomycin resistance"
"path:ecp00030",35,"Down",1.67477361349074e-10,3.14020052529514e-09,3.19351579310733e-26,8.0321760856942e-26,"Pentose phosphate pathway"
"path:ecp00130",21,"Down",1.85174757457788e-10,3.15906114245906e-09,6.83346589711022e-15,1.28175744510768e-14,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp02020",159,"Up",1.96563804419675e-10,3.15906114245906e-09,1.09802049373014e-35,3.34442939374686e-35,"Two-component system"
"DnaA",4,"Down",2.37776798214466e-10,3.36187131209412e-09,0.0253599440492951,0.0335438303759601,"DnaA"
"CpxR",25,"Up",2.39066404415582e-10,3.36187131209412e-09,5.64825695019722e-24,1.31134357165418e-23,"CpxR"
"CdaR",2,"Up",3.2744137974259e-10,4.17068926311462e-09,0.221224097962566,0.272023705642859,"CdaR"
"path:ecp00053",19,"Up",3.44618788799821e-10,4.17068926311462e-09,5.9965891477911e-16,1.15568945411758e-15,"Ascorbate and aldarate metabolism"
"ArgP",5,"Down",3.52191537774123e-10,4.17068926311462e-09,0.0036481628665697,0.0052340839287379,"ArgP"
"PhoPQ",11,"Up",3.75658927053393e-10,4.22616292935067e-09,1.5163589875736e-08,2.44384069841958e-08,"PhoPQ"
"path:ecp00650",32,"Up",9.31473792307728e-10,9.61496782219322e-09,2.3956525060832e-28,6.62797193349686e-28,"Butanoate metabolism"
"OxyR",11,"Down",9.40130187058893e-10,9.61496782219322e-09,3.01290497987143e-09,5.00142226658657e-09,"OxyR"
"path:ecp00290",16,"Up",1.05658817978192e-09,1.03361887152579e-08,5.16733889099763e-10,8.70840868939702e-10,"Valine, leucine and isoleucine biosynthesis"
"path:ecp00760",24,"Down",1.57090217946605e-09,1.47272079324942e-08,2.4213562408178e-27,6.43112217561207e-27,"Nicotinate and nicotinamide metabolism"
"EvgA",4,"Up",1.97217554026096e-09,1.77396068456316e-08,0.045631068094857,0.0596437582972147,"EvgA"
"path:ecp00401",4,"Down",2.0499101243841e-09,1.77396068456316e-08,0.0173325775483258,0.0233919339270088,"Novobiocin biosynthesis"
"path:ecp00521",6,"Down",2.68099012156964e-09,2.17993319962414e-08,0.000271191361532181,0.000403746780397686,"Streptomycin biosynthesis"
"path:ecp00250",31,"Down",2.71280575953226e-09,2.17993319962414e-08,1.39427217301954e-26,3.58835939102702e-26,"Alanine, aspartate and glutamate metabolism"
"GadE",13,"Down",4.53823279801735e-09,3.52104268811691e-08,9.05411109400181e-10,1.51053511719025e-09,"GadE"
"path:ecp00010",54,"Down",5.03212519853818e-09,3.75313514057317e-08,1.77816250024583e-26,4.54115346216626e-26,"Glycolysis / Gluconeogenesis"
"CspA",1,"Down",5.17098619367858e-09,3.75313514057317e-08,5.17098619367858e-09,8.45698234631177e-09,"CspA"
"path:ecp03030",17,"Down",6.48492782654255e-09,4.55971487803773e-08,3.00183116734971e-10,5.13715436886652e-10,"DNA replication"
"MarA",25,"Up",1.22386058383711e-08,8.34450398070755e-08,1.50394121595955e-17,3.00788243191909e-17,"MarA"
"GadX",11,"Up",1.26235160414023e-08,8.35379738033975e-08,6.90162442872812e-09,1.1232055442832e-08,"GadX"
"path:ecp03070",56,"Down",1.43035462681432e-08,9.19513688666351e-08,3.93291347105236e-31,1.14537480034157e-30,"Bacterial secretion system"
"path:ecp03010",55,"Down",1.49661493684358e-08,9.35384335527239e-08,1.72624308586734e-11,3.03234235189396e-11,"Ribosome"
"RutR",2,"Down",2.19553802973444e-08,1.30479496405804e-07,0.368746972861079,0.440374082697404,"RutR"
"path:ecp00460",7,"Down",2.24564012293581e-08,1.30479496405804e-07,5.66880489982305e-06,8.7536894267035e-06,"Cyanoamino acid metabolism"
"path:ecp00565",1,"Down",2.26164460436727e-08,1.30479496405804e-07,2.26164460436727e-08,3.62737202246345e-08,"Ether lipid metabolism"
"path:ecp02026",49,"Up",2.62154094577205e-08,1.47461678199678e-07,1.78988515654557e-29,5.07899035874469e-29,"Biofilm formation - Escherichia coli"
"path:ecp00660",12,"Up",3.02138575948267e-08,1.65807755093561e-07,4.95685753056303e-08,7.91190721224484e-08,"C5-Branched dibasic acid metabolism"
"path:ecp04122",18,"Down",3.34846876805697e-08,1.79382255431623e-07,5.4455175252866e-15,1.02722262408815e-14,"Sulfur relay system"
"path:ecp03060",18,"Down",3.65851933171374e-08,1.91434151078045e-07,2.79833205833134e-14,5.16136801870003e-14,"Protein export"
"path:ecp03440",27,"Down",3.81769615449417e-08,1.95223098809361e-07,1.72035225105262e-19,3.56973092093419e-19,"Homologous recombination"
"path:ecp00590",2,"Down",4.22062854752609e-08,2.11031427376305e-07,0.37244119968098,0.443191678473424,"Arachidonic acid metabolism"
"path:ecp00562",3,"Down",4.44993440119128e-08,2.17659834840878e-07,0.0657581854194528,0.0852801467158528,"Inositol phosphate metabolism"
"path:ecp01250",49,"Down",5.22350323100026e-08,2.5006132488831e-07,2.04011707907757e-26,5.17037305537217e-26,"Biosynthesis of nucleotide sugars"
"OmpR",5,"Up",5.61456891317575e-08,2.63182917805113e-07,0.0285419212828344,0.0376028486742104,"OmpR"
"path:ecp00400",22,"Down",5.79823558876294e-08,2.66245511728911e-07,2.05721745330738e-23,4.646232615633e-23,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"BolA",1,"Up",8.99238167300664e-08,4.03633715565277e-07,8.99238167300664e-08,1.42845488776948e-07,"BolA"
"DcuR",2,"Down",9.14903088614628e-08,4.03633715565277e-07,0.445136775128432,0.524061735257587,"DcuR"
"path:ecp01210",26,"Up",1.28800657584859e-07,5.57310537626795e-07,4.98598149721699e-17,9.91225064117389e-17,"2-Oxocarboxylic acid metabolism"
"path:ecp00740",16,"Down",1.78548215804316e-07,7.57987708603227e-07,1.4288909751253e-11,2.55049356850322e-11,"Riboflavin metabolism"
"Rob",19,"Up",2.30236907046014e-07,9.59320446025057e-07,1.48762693448401e-11,2.63110102397491e-11,"Rob"
"path:ecp03018",17,"Down",2.61960107859434e-07,1.05437728934884e-06,6.05768702522946e-14,1.11113375269402e-13,"RNA degradation"
"RcsB-BglJ",6,"Up",2.62422792015711e-07,1.05437728934884e-06,0.0186979832550701,0.0251325119056003,"RcsB-BglJ"
"IHF",70,"Up",3.4111766563467e-07,1.34651710118948e-06,2.98797332004735e-25,7.08576530182657e-25,"IHF"
"path:ecp00750",10,"Down",3.48204203763756e-07,1.35079216977319e-06,4.20472160715333e-07,6.58475270554201e-07,"Vitamin B6 metabolism"
"path:ecp03020",4,"Down",4.21945186501206e-07,1.60911299936901e-06,0.0603897020334148,0.0786250238238969,"RNA polymerase"
"AsnC",1,"Down",7.40804847957504e-07,2.73389866331536e-06,7.40804847957504e-07,1.15468173484456e-06,"AsnC"
"path:ecp01100",898,"Down",7.41190304276608e-07,2.73389866331536e-06,8.20552921070376e-26,1.98849321018514e-25,"Metabolic pathways"
"path:ecp00785",3,"Down",7.99830138994442e-07,2.90260937538306e-06,0.17535385702163,0.221359241563426,"Lipoic acid metabolism"
"path:ecp01110",355,"Down",9.70038115273321e-07,3.46442184026186e-06,7.08236726333426e-26,1.74173772698294e-25,"Biosynthesis of secondary metabolites"
"LldR",3,"Up",1.29679470344593e-06,4.55904387930209e-06,0.26199377502634,0.320092402978551,"LldR"
"path:ecp00541",19,"Down",1.33824525410568e-06,4.63238741805812e-06,5.56045173220238e-17,1.09885117564952e-16,"O-Antigen nucleotide sugar biosynthesis"
"path:ecp00430",6,"Down",1.79811642191298e-06,6.1299423474306e-06,0.00166116487880372,0.0024083263745102,"Taurine and hypotaurine metabolism"
"NhaR",3,"Up",1.94248422602734e-06,6.52326792322614e-06,0.176743637097843,0.222268513320014,"NhaR"
"path:ecp00330",22,"Down",2.07146029708141e-06,6.85409657122524e-06,5.78696742974444e-20,1.21599568776908e-19,"Arginine and proline metabolism"
"path:ecp01501",21,"Up",2.47859600124663e-06,8.08237826493467e-06,5.88218816729369e-19,1.20548547626019e-18,"beta-Lactam resistance"
"H-NS",23,"Down",4.7168905251339e-06,1.51614338307875e-05,4.91469410708872e-20,1.0392856328366e-19,"H-NS"
"ModE",7,"Down",5.60629271987432e-06,1.7766420591151e-05,0.0245077260168704,0.0325462601504038,"ModE"
"SoxS",21,"Up",7.75403514159797e-06,2.42313598174937e-05,1.18266945816518e-14,2.20587786579123e-14,"SoxS"
"YdeO",10,"Up",7.87408978262054e-06,2.42694548094469e-05,0.00365755262490119,0.0052340839287379,"YdeO"
"path:ecp03410",13,"Down",8.75402038922943e-06,2.66169538861706e-05,3.86672608317599e-10,6.58334902366373e-10,"Base excision repair"
"IlvY",1,"Up",1.04413009481011e-05,3.13239028443032e-05,1.04413009481011e-05,1.59747092846523e-05,"IlvY"
"MalT",4,"Up",1.07239549226075e-05,3.17485507577196e-05,0.205692362733749,0.255767282500393,"MalT"
"DpiA",3,"Down",1.41518197335556e-05,4.13527200006496e-05,0.290707292744423,0.35353414355732,"DpiA"
"path:ecp00071",13,"Up",1.87361266178654e-05,5.40465190899965e-05,1.48990057984121e-11,2.63110102397491e-11,"Fatty acid degradation"
"path:ecp00903",2,"Up",2.44329253128768e-05,6.87176024424661e-05,1,1,"Limonene and pinene degradation"
"path:ecp00930",2,"Up",2.44329253128768e-05,6.87176024424661e-05,1,1,"Caprolactam degradation"
"path:ecp00040",37,"Up",2.73781395746545e-05,7.60503877073737e-05,3.34525927667094e-34,1.00056403590518e-33,"Pentose and glucuronate interconversions"
"path:ecp00860",22,"Down",2.99838129592493e-05,8.22726575101353e-05,2.22965795107174e-18,4.51369780338914e-18,"Porphyrin metabolism"
"path:ecp00020",34,"Up",3.2653785392856e-05,8.85192977517181e-05,2.03175173666836e-27,5.43985142398303e-27,"Citrate cycle (TCA cycle)"
"path:ecp03420",8,"Down",4.20274461838214e-05,0.000112573516563807,0.00103748087712312,0.00152408695223396,"Nucleotide excision repair"
"path:ecp00592",3,"Down",4.96027039703107e-05,0.000131301275215528,0.179326414341018,0.224665545514029,"alpha-Linolenic acid metabolism"
"path:ecp00550",23,"Down",5.70105235998356e-05,0.000149155439650733,1.78702713022513e-21,3.90324346864962e-21,"Peptidoglycan biosynthesis"
"path:ecp00280",11,"Up",5.90036275687967e-05,0.000152595588539992,2.26450674033949e-12,4.10828545241919e-12,"Valine, leucine and isoleucine degradation"
"CsgD",4,"Up",6.41679768944777e-05,0.000164065850014289,0.0776634877379008,0.100327929684759,"CsgD"
"path:ecp00362",7,"Up",6.92179210594611e-05,0.000174989126273919,0.0137633085403179,0.0188041910921216,"Benzoate degradation"
"path:ecp00470",14,"Down",0.000116365838077879,0.000290914595194697,4.40435729158122e-12,7.9469925043748e-12,"D-Amino acid metabolism"
"path:ecp03430",22,"Down",0.000128902250785098,0.000318714356336781,1.53084492672211e-19,3.19648123063987e-19,"Mismatch repair"
"LrhA",2,"Up",0.000131910024984403,0.00032260603936403,0.668095667895533,0.76222598536535,"LrhA"
"path:ecp00633",7,"Up",0.000140232256299145,0.000339271587820512,2.2330530260707e-05,3.38526760116654e-05,"Nitrotoluene degradation"
"path:ecp00340",8,"Down",0.000165861557129774,0.000396826037368371,0.0315468659100021,0.0413974683087774,"Histidine metabolism"
