"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",1.91276192036168e-15,2.31444192363764e-13,1.21593556946147e-23,9.19551274405236e-23,"Cationic antimicrobial peptide (CAMP) resistance"
"PhoPQ",11,"Up",8.09783981570646e-11,4.89919308850241e-09,1.86724773410357e-08,4.51873951653063e-08,"PhoPQ"
"path:ecp02020",159,"Up",4.64853718524895e-07,1.87490999805041e-05,3.41100003473527e-39,4.12731004202967e-37,"Two-component system"
"path:ecp00633",7,"Up",3.96077601876963e-06,0.000119813474567781,1.53419256867678e-05,3.09395501349818e-05,"Nitrotoluene degradation"
"path:ecp00240",50,"Down",9.72314669409888e-06,0.000235300149997193,6.6491289039563e-20,3.83116474942244e-19,"Pyrimidine metabolism"
"path:ecp00520",54,"Up",2.84683237442558e-05,0.000574111195509158,7.37277466416911e-25,7.06132935337011e-24,"Amino sugar and nucleotide sugar metabolism"
"path:ecp00250",31,"Down",3.88967259030069e-05,0.00067235769060912,1.42945980997418e-24,1.15309758004584e-23,"Alanine, aspartate and glutamate metabolism"
"path:ecp00230",77,"Down",6.89372619499633e-05,0.000928640151717289,3.70190282588453e-14,1.39978200603759e-13,"Purine metabolism"
"path:ecp00680",33,"Down",6.90724079789719e-05,0.000928640151717289,3.57797347066467e-12,1.2369565427155e-11,"Methane metabolism"
"path:ecp00330",22,"Down",0.00017788953164431,0.00199451404378732,1.42410842481573e-19,7.83259633648649e-19,"Arginine and proline metabolism"
"path:ecp00670",13,"Down",0.00018131945852612,0.00199451404378732,1.02896449977786e-08,2.59384800985669e-08,"One carbon pool by folate"
"path:ecp00130",21,"Down",0.000247816230538692,0.00249881365793181,1.27606665789306e-10,3.86010164012652e-10,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp00740",12,"Down",0.000305970867440262,0.00284788268925167,8.54478292907456e-06,1.81389251652285e-05,"Riboflavin metabolism"
"path:ecp03018",17,"Down",0.000487700333232138,0.00421512430864919,2.08835346074644e-08,4.95472095588862e-08,"RNA degradation"
"path:ecp02060",43,"Up",0.000936418527408928,0.0072793987684305,0.000314434470207181,0.000576463195379832,"Phosphotransferase system (PTS)"
"path:ecp00592",3,"Down",0.00101735799061779,0.0072793987684305,0.964020159362663,1,"alpha-Linolenic acid metabolism"
"path:ecp01240",143,"Down",0.00102272544680428,0.0072793987684305,3.03854841591683e-26,3.67664358325936e-25,"Biosynthesis of cofactors"
"path:ecp00030",35,"Down",0.00137033426363339,0.00905308866843644,1.47646336332202e-09,3.9700459324881e-09,"Pentose phosphate pathway"
"path:ecp00565",1,"Down",0.00142155937768837,0.00905308866843644,0.00142155937768837,0.00249287948841004,"Ether lipid metabolism"
"path:ecp00970",25,"Down",0.00169414177472668,0.0102226375584277,1.01482653031135e-06,2.23261836668496e-06,"Aminoacyl-tRNA biosynthesis"
"path:ecp00332",2,"Down",0.0017741767663387,0.0102226375584277,0.659883807483817,0.823154027892184,"Carbapenem biosynthesis"
"path:ecp01501",21,"Up",0.00233083485394222,0.0128195916966822,1.17463893271923e-15,5.07611824496526e-15,"beta-Lactam resistance"
"path:ecp00540",39,"Up",0.00245329414460543,0.0129064604998808,7.58655219783566e-25,7.06132935337011e-24,"Lipopolysaccharide biosynthesis"
"path:ecp00010",54,"Down",0.00669050210418611,0.0335705940897006,5.40499044755104e-33,1.63500961038419e-31,"Glycolysis / Gluconeogenesis"
"path:ecp00290",16,"Up",0.00699358007456201,0.0335705940897006,0.000116398741414564,0.000223559487478767,"Valine, leucine and isoleucine biosynthesis"
"path:ecp00660",12,"Up",0.00721351608539021,0.0335705940897006,0.0162216823031918,0.0254912150478729,"C5-Branched dibasic acid metabolism"
"path:ecp00440",7,"Down",0.00800830673889729,0.0358890783483916,0.938809335293717,1,"Phosphonate and phosphinate metabolism"
