"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",3.29778142711228e-15,3.99031552680586e-13,1.72397604176178e-22,9.9333857644369e-22,"Cationic antimicrobial peptide (CAMP) resistance"
"PhoPQ",11,"Up",1.50670885785428e-09,9.11558859001841e-08,3.53304082132821e-08,9.09570083788752e-08,"PhoPQ"
"path:ecp02020",159,"Up",2.0737114574706e-08,8.3639695451314e-07,2.85737991904552e-36,4.93918528863583e-35,"Two-component system"
"path:ecp00520",54,"Up",1.43054742796155e-06,4.32740596958368e-05,8.41205967235414e-24,5.35715379134132e-23,"Amino sugar and nucleotide sugar metabolism"
"path:ecp00680",33,"Down",2.28365308795692e-06,5.52644047285575e-05,1.13655204337136e-33,1.37522797247934e-32,"Methane metabolism"
"path:ecp01501",21,"Up",2.03634954517384e-05,0.000410663824943392,1.49065099535092e-16,6.01229234791536e-16,"beta-Lactam resistance"
"path:ecp00240",50,"Down",5.43621527446919e-05,0.000939688640301103,1.20766162347606e-17,5.21882344430728e-17,"Pyrimidine metabolism"
"path:ecp02026",49,"Up",0.000295874859427823,0.00447510724884582,2.56014503390432e-28,2.38290422386479e-27,"Biofilm formation - Escherichia coli"
"path:ecp00061",14,"Down",0.000412430954868231,0.00554490505989511,2.3314321138798e-14,7.83620238276266e-14,"Fatty acid biosynthesis"
"path:ecp00540",39,"Up",0.000698829222071621,0.00845583358706661,9.38942674629497e-25,7.10075397688557e-24,"Lipopolysaccharide biosynthesis"
"path:ecp00780",15,"Down",0.000799457142048573,0.00879402856253431,2.02191963890068e-16,7.89200891312846e-16,"Biotin metabolism"
"path:ecp01212",21,"Down",0.00195551371293218,0.0197180966053995,6.28125069299757e-24,4.2223962991817e-23,"Fatty acid metabolism"
"path:ecp00230",77,"Down",0.00281455648693203,0.0261970257629828,2.39885527139861e-07,5.47663184602324e-07,"Purine metabolism"
"path:ecp00565",1,"Down",0.00379151038331783,0.0327694825986755,0.00379151038331783,0.00695110236941602,"Ether lipid metabolism"
"path:ecp00260",39,"Down",0.00503121436826597,0.0405851292373455,4.45314527196612e-34,5.98700642119889e-33,"Glycine, serine and threonine metabolism"
"path:ecp00290",16,"Up",0.005451729622346,0.0412287052689916,0.000346925518927135,0.0006881637342653,"Valine, leucine and isoleucine biosynthesis"
"path:ecp03020",4,"Down",0.00593542001697636,0.0414668503135088,0.444671501350994,0.604553389477194,"RNA polymerase"
"path:ecp00250",31,"Down",0.00616862236068726,0.0414668503135088,1.19613691921171e-21,6.44080340587214e-21,"Alanine, aspartate and glutamate metabolism"
"path:ecp02060",43,"Up",0.00678769467864376,0.0432268976903102,0.00014724614778099,0.000296946398024996,"Phosphotransferase system (PTS)"
"path:ecp00660",12,"Up",0.00907641621934044,0.0549123181270097,0.0137988169941998,0.0238522408042597,"C5-Branched dibasic acid metabolism"
"path:ecp02024",57,"Up",0.0104534182282571,0.0572738047147408,1.43817786508627e-22,8.70097608377195e-22,"Quorum sensing"
"path:ecp03410",13,"Down",0.0111040319613226,0.0572738047147408,0.0176965682351345,0.0297400660618232,"Base excision repair"
"path:ecp00620",61,"Up",0.011277209026438,0.0572738047147408,4.42482028430927e-35,6.69254068001778e-34,"Pyruvate metabolism"
"path:ecp00650",32,"Up",0.0113600934971387,0.0572738047147408,7.5202993924779e-09,2.02212494775517e-08,"Butanoate metabolism"
"path:ecp00400",22,"Down",0.0123052642712872,0.0595574790730299,3.44231146004623e-08,9.05477579707814e-08,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:ecp03018",17,"Down",0.0141685371602527,0.0659381921688682,1.42651607959577e-10,4.31521114077722e-10,"RNA degradation"
"path:ecp00020",34,"Up",0.0171343274769642,0.0767871712856542,2.66918205837344e-17,1.11369320366616e-16,"Citrate cycle (TCA cycle)"
"path:ecp00592",3,"Down",0.0207054051292471,0.0874063370515962,1,1,"alpha-Linolenic acid metabolism"
"path:ecp03030",17,"Down",0.0209486262355065,0.0874063370515962,0.00225741724774727,0.00420226903042184,"DNA replication"
