"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",3.25959414703915e-15,3.94410891791737e-13,3.74844472884652e-25,2.26780906095214e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp00790",26,"Down",9.95126187178156e-14,6.02051343242785e-12,2.6219479340381e-25,1.66976684220321e-24,"Folate biosynthesis"
"PhoPQ",11,"Up",2.75047102070186e-12,1.10935664501642e-10,2.52313042907671e-08,3.96491924569197e-08,"PhoPQ"
"path:ecp00240",50,"Down",1.13206174949214e-11,3.42448679221372e-10,9.16229645736793e-21,2.842661208568e-20,"Pyrimidine metabolism"
"path:ecp03018",17,"Down",2.78026986323992e-11,5.88054336432263e-10,5.02052499025086e-15,1.14619532796293e-14,"RNA degradation"
"path:ecp00970",25,"Down",2.91597191619304e-11,5.88054336432263e-10,4.91063238317388e-15,1.14266638146931e-14,"Aminoacyl-tRNA biosynthesis"
"path:ecp00230",77,"Down",3.80643576827086e-11,6.57969611372534e-10,6.66128736834899e-20,1.96589212578104e-19,"Purine metabolism"
"path:ecp01240",143,"Down",3.57317888622039e-10,5.07710553587568e-09,4.32124537531445e-24,2.01104111697326e-23,"Biosynthesis of cofactors"
"path:ecp03020",4,"Down",3.77635948949431e-10,5.07710553587568e-09,0.0341875534814653,0.0426463296005907,"RNA polymerase"
"path:ecp00680",33,"Down",4.66395436950971e-10,5.64338478710675e-09,4.02922069551912e-21,1.43392854164063e-20,"Methane metabolism"
"path:ecp00650",32,"Up",2.12910506566416e-09,2.31253709037861e-08,9.59335299179778e-28,1.16079571200753e-26,"Butanoate metabolism"
"path:ecp03030",17,"Down",2.29342521359862e-09,2.31253709037861e-08,3.40727301483186e-10,6.0629416881567e-10,"DNA replication"
"path:ecp00670",13,"Down",3.89817594020925e-09,3.62830222127169e-08,1.31279877127843e-09,2.20623126839848e-09,"One carbon pool by folate"
"path:ecp04122",18,"Down",5.20031083243391e-09,4.49455436231788e-08,2.79595034255564e-14,6.04124984730772e-14,"Sulfur relay system"
"path:ecp03410",13,"Down",5.78438422915123e-09,4.66606994484866e-08,4.92398709423562e-10,8.63481794786247e-10,"Base excision repair"
