"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp00970",25,"Down",1.11783385560295e-14,8.25161073643921e-13,2.9965075975066e-17,6.71439665367219e-17,"Aminoacyl-tRNA biosynthesis"
"path:ecp01503",37,"Up",1.74999626224061e-14,8.25161073643921e-13,3.46642646281092e-28,4.01704746806559e-27,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp00240",50,"Down",2.22146224134142e-14,8.25161073643921e-13,1.1073960384172e-22,3.52618212232846e-22,"Pyrimidine metabolism"
"path:ecp00790",26,"Down",2.72780520212866e-14,8.25161073643921e-13,1.8185975741642e-22,5.64231555061201e-22,"Folate biosynthesis"
"path:ecp00230",77,"Down",8.95513620752059e-14,2.16714296221998e-12,5.94526046962469e-22,1.79844129206147e-21,"Purine metabolism"
"path:ecp01240",143,"Down",2.46166839491623e-13,4.96436459641441e-12,5.35917523438988e-24,2.02643813550367e-23,"Biosynthesis of cofactors"
"path:ecp02020",159,"Up",2.13395196855038e-12,3.68868840277995e-11,1.66372667902479e-37,2.01310928161999e-35,"Two-component system"
"path:ecp00670",13,"Down",5.71711081680588e-12,8.64713011041889e-11,1.19303459848118e-10,2.0331998086792e-10,"One carbon pool by folate"
"path:ecp03030",17,"Down",7.20776288726804e-12,9.69043677066036e-11,3.14132030184172e-12,6.03332946861663e-12,"DNA replication"
"path:ecp00680",33,"Down",9.43951428423607e-12,1.14218122839256e-10,3.40653105390124e-23,1.14497293756125e-22,"Methane metabolism"
"path:ecp01502",7,"Down",1.05837936357841e-11,1.16421729993625e-10,6.85174154171956e-05,9.21178585053408e-05,"Vancomycin resistance"
"PhoPQ",11,"Up",1.5579001342415e-11,1.57088263536018e-10,9.32818366609984e-09,1.46585743324426e-08,"PhoPQ"
"path:ecp03440",27,"Down",1.7874462660355e-11,1.66369998607919e-10,6.21760421110042e-21,1.79126216557893e-20,"Homologous recombination"
"path:ecp00250",31,"Down",1.93548675846687e-11,1.67281355553208e-10,1.42755903219124e-27,1.11974197345096e-26,"Alanine, aspartate and glutamate metabolism"
"path:ecp01250",49,"Down",8.05224862604006e-11,6.3677639755798e-10,2.21042694917644e-25,1.02869869557827e-24,"Biosynthesis of nucleotide sugars"
"path:ecp00400",22,"Down",8.42018376936173e-11,6.3677639755798e-10,3.75939272176784e-24,1.46737586881906e-23,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:ecp02030",20,"Up",1.47582809826742e-10,1.03780260913063e-09,5.11255428993445e-13,1.01412962144601e-12,"Bacterial chemotaxis"
"path:ecp00330",22,"Down",1.54383859209515e-10,1.03780260913063e-09,6.37228593432205e-21,1.793131623379e-20,"Arginine and proline metabolism"
"path:ecp00470",14,"Down",1.73733055898861e-10,1.10640525072433e-09,3.15432828169296e-11,5.78293518310376e-11,"D-Amino acid metabolism"
"path:ecp00660",12,"Up",3.51019051583342e-10,2.12366526207922e-09,1.54538286700314e-07,2.3085349000911e-07,"C5-Branched dibasic acid metabolism"
"path:ecp00053",19,"Up",3.91602661820877e-10,2.25637724192029e-09,2.72291708509839e-16,5.99041758721645e-16,"Ascorbate and aldarate metabolism"
"path:ecp02026",49,"Up",5.53205339982004e-10,3.04262936990102e-09,4.49629601696986e-28,4.53376515044461e-27,"Biofilm formation - Escherichia coli"
"path:ecp00130",21,"Down",6.1054223568193e-10,3.21198306597885e-09,3.49100272303824e-14,7.15951405911233e-14,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp00401",4,"Down",1.06019010814484e-09,5.34512512856358e-09,0.0162866757682843,0.0199059370501253,"Novobiocin biosynthesis"
"path:ecp00290",16,"Up",1.24513334891448e-09,6.02644540874611e-09,4.98323919887814e-10,8.25988963101719e-10,"Valine, leucine and isoleucine biosynthesis"
"path:ecp00030",35,"Down",1.33971879063241e-09,6.23484514102008e-09,3.70594765893093e-25,1.6014988097523e-24,"Pentose phosphate pathway"
"path:ecp00460",7,"Down",3.69639498397798e-09,1.65653256689383e-08,5.99296023015625e-06,8.24032031646485e-06,"Cyanoamino acid metabolism"
"path:ecp00650",32,"Up",4.50434586115742e-09,1.94652089000017e-08,2.37854844186304e-28,3.19782623850476e-27,"Butanoate metabolism"
