"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",8.46174854537298e-17,1.02387157399013e-14,2.44100141472168e-24,1.28417900513619e-23,"Cationic antimicrobial peptide (CAMP) resistance"
"PhoPQ",11,"Up",1.40605511143789e-10,8.50663342419921e-09,6.71256786146461e-08,1.23063744126851e-07,"PhoPQ"
"path:ecp02020",159,"Up",8.99141478309584e-10,3.62653729584865e-08,4.88248497804742e-34,1.47695170585934e-32,"Two-component system"
"path:ecp00633",7,"Up",8.69128448630225e-09,2.62911355710643e-07,3.21430170619544e-06,5.4778944570373e-06,"Nitrotoluene degradation"
"path:ecp03018",17,"Down",1.09961964565886e-08,2.66107954249445e-07,1.13096846460281e-14,3.04104853815423e-14,"RNA degradation"
"path:ecp03070",56,"Down",2.26408970969769e-08,4.56591424789035e-07,1.74884771408549e-25,1.05805286702172e-24,"Bacterial secretion system"
"path:ecp01501",21,"Up",3.46516567683387e-08,5.98978638424139e-07,8.23889362840409e-19,2.76918369176915e-18,"beta-Lactam resistance"
"path:ecp02026",49,"Up",9.25266250108134e-08,1.39946520328855e-06,9.58737263442594e-29,1.05461098978685e-27,"Biofilm formation - Escherichia coli"
"path:ecp03440",27,"Down",2.94405339247951e-07,3.9581162276669e-06,2.76164602681627e-24,1.3923298718532e-23,"Homologous recombination"
"path:ecp03030",17,"Down",5.11489246795841e-07,6.18901988622968e-06,1.7268995642968e-11,4.01836244769062e-11,"DNA replication"
"path:ecp00240",50,"Down",6.11834756652848e-07,6.73018232318133e-06,8.96271547393445e-25,5.16423129688604e-24,"Pyrimidine metabolism"
"path:ecp00650",32,"Up",9.34548341549754e-07,9.42336244396003e-06,4.34031598224395e-28,4.0398325680886e-27,"Butanoate metabolism"
"path:ecp00290",16,"Up",1.24271447769475e-06,1.15668039846973e-05,1.73310997344846e-07,3.03922183749658e-07,"Valine, leucine and isoleucine biosynthesis"
"path:ecp00480",24,"Up",3.67266477252272e-06,3.17423169625178e-05,6.62764158004429e-26,4.22076121676505e-25,"Glutathione metabolism"
"path:ecp00660",12,"Up",4.7191375482852e-06,3.80677095561673e-05,1.4272971953148e-05,2.2724073767512e-05,"C5-Branched dibasic acid metabolism"
"path:ecp00230",77,"Down",9.46917210331468e-06,7.16106140313173e-05,1.85325306567405e-20,7.23366519182452e-20,"Purine metabolism"
"path:ecp03430",22,"Down",1.16222428067413e-05,8.27230223303351e-05,3.26375117958186e-19,1.16151144920413e-18,"Mismatch repair"
"path:ecp01210",26,"Up",2.00341497681608e-05,0.000134674006774859,6.76044745279996e-13,1.74045562082722e-12,"2-Oxocarboxylic acid metabolism"
"path:ecp03020",4,"Down",4.5715205617788e-05,0.000291133677881703,0.19565452296206,0.246606221650097,"RNA polymerase"
"path:ecp00790",26,"Down",6.55364161517755e-05,0.000396495317718241,8.37586513143865e-24,4.0539187236163e-23,"Folate biosynthesis"
"path:ecp00970",25,"Down",8.2871305758973e-05,0.000477496571277892,1.5674914038056e-11,3.7189501933427e-11,"Aminoacyl-tRNA biosynthesis"
"path:ecp00520",54,"Up",0.000113440041259245,0.00062392022692585,2.51621951835567e-23,1.17100985277322e-22,"Amino sugar and nucleotide sugar metabolism"
"path:ecp02024",57,"Up",0.000184111112571546,0.00096858454874596,1.78595192555885e-22,8.0037104812082e-22,"Quorum sensing"
"path:ecp03010",55,"Down",0.000209753333370663,0.00105750638907709,4.03028327165971e-06,6.70127558292858e-06,"Ribosome"
"path:ecp00670",13,"Down",0.000257119874134936,0.00124446019081309,1.73797908841682e-09,3.56003802015289e-09,"One carbon pool by folate"
"path:ecp00680",33,"Down",0.00052109774054094,0.00242510871559437,4.19639771966163e-18,1.37233547048394e-17,"Methane metabolism"
"path:ecp00592",3,"Down",0.000719680860220604,0.0032252364476553,0.916161388955789,1,"alpha-Linolenic acid metabolism"
"path:ecp02010",181,"Up",0.000805949971750891,0.00341674458563431,1.2335332359985e-37,4.97525071852729e-36,"ABC transporters"
"path:ecp00565",1,"Down",0.000825750945886821,0.00341674458563431,0.000825750945886821,0.00124894830565382,"Ether lipid metabolism"
"path:ecp01240",143,"Down",0.000850749749027772,0.00341674458563431,7.2349967572384e-31,1.09429325953231e-29,"Biosynthesis of cofactors"
"path:ecp01040",3,"Down",0.000875364315327799,0.00341674458563431,0.473009719126412,0.578122990043392,"Biosynthesis of unsaturated fatty acids"
"path:ecp00020",34,"Up",0.000989444362779766,0.00366734140589163,1.48694432764094e-26,1.19946842429703e-25,"Citrate cycle (TCA cycle)"
"path:ecp00250",31,"Down",0.00100018401978863,0.00366734140589163,3.58287940390207e-26,2.40849115484528e-25,"Alanine, aspartate and glutamate metabolism"
"path:ecp00053",19,"Up",0.00110244415514731,0.00392340419920073,7.88251451369448e-13,1.98705053366048e-12,"Ascorbate and aldarate metabolism"
"path:ecp01502",7,"Down",0.00152607392288044,0.00527585556195809,0.0136764118152598,0.0190212164327177,"Vancomycin resistance"
"path:ecp00620",61,"Up",0.00192252890439356,0.00646183326198946,4.4001455103438e-33,8.87362677919332e-32,"Pyruvate metabolism"
"path:ecp00130",21,"Down",0.00216016478234443,0.00706432266658585,7.24952841298646e-11,1.56641596066315e-10,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp00500",41,"Up",0.0023731747333859,0.00755668796683404,1.56594275784419e-17,4.73697684247868e-17,"Starch and sucrose metabolism"
"path:ecp00785",3,"Down",0.00356871420522779,0.0110721645854503,1,1,"Lipoic acid metabolism"
"path:ecp02030",20,"Up",0.00427140314873141,0.0129209945249125,1.20498330663789e-05,1.94403973470913e-05,"Bacterial chemotaxis"
"path:ecp00561",13,"Up",0.00694490102355589,0.020495927410982,1.43067783013195e-08,2.70487527259323e-08,"Glycerolipid metabolism"
"path:ecp02060",43,"Up",0.00872269573452796,0.0251296710447115,8.21134446236862e-11,1.7431099648186e-10,"Phosphotransferase system (PTS)"
"path:ecp00564",27,"Up",0.00943734173279842,0.0265562406899677,1.17850315740787e-29,1.58443202273725e-28,"Glycerophospholipid metabolism"
"path:ecp00540",39,"Up",0.0105549151686773,0.0290260167138626,3.30499065848053e-26,2.35237570397732e-25,"Lipopolysaccharide biosynthesis"
"path:ecp00770",24,"Up",0.0166290292336208,0.0447136119392914,2.73964211948897e-16,7.89277848709919e-16,"Pantothenate and CoA biosynthesis"
"path:ecp04122",18,"Down",0.0177631645710156,0.0467248459368019,2.60797283922586e-09,5.17319202534965e-09,"Sulfur relay system"
"path:ecp01200",119,"Up",0.020804395418014,0.0535602520336106,8.59461892007082e-34,2.07989777865714e-32,"Carbon metabolism"
"path:ecp00460",7,"Down",0.0226663026402355,0.056813401494976,0.0508161101817074,0.0683194370220733,"Cyanoamino acid metabolism"
"path:ecp00562",3,"Down",0.0230070799442465,0.056813401494976,0.350907978350901,0.433263932453664,"Inositol phosphate metabolism"
"path:ecp00361",2,"Up",0.0245479412001307,0.0571211708695349,1,1,"Chlorocyclohexane and chlorobenzene degradation"
"path:ecp00364",2,"Up",0.0245479412001307,0.0571211708695349,1,1,"Fluorobenzoate degradation"
"path:ecp00623",2,"Up",0.0245479412001307,0.0571211708695349,1,1,"Toluene degradation"
"path:ecp00280",11,"Up",0.0363356575208817,0.0829549916986168,9.21332876728607e-08,1.66389967289793e-07,"Valine, leucine and isoleucine degradation"
"path:ecp00541",19,"Down",0.0405185873787375,0.0907916494968006,1.07209880307945e-15,3.01683616680496e-15,"O-Antigen nucleotide sugar biosynthesis"
"path:ecp00625",4,"Up",0.046325698464884,0.100096598468767,0.101456057618703,0.12922297865119,"Chloroalkane and chloroalkene degradation"
"path:ecp00626",4,"Up",0.046325698464884,0.100096598468767,0.101456057618703,0.12922297865119,"Naphthalene degradation"
