"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",9.42866889642734e-17,1.14086893646771e-14,7.60122043364134e-25,3.40647286100223e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp00680",33,"Down",9.33065381023305e-11,5.645045555191e-09,4.4869064779453e-26,2.58531278014944e-25,"Methane metabolism"
"PhoPQ",11,"Up",3.57920137140516e-10,1.44361121980008e-08,3.8975405516201e-08,7.03884189173183e-08,"PhoPQ"
"path:ecp03018",17,"Down",2.20344285395851e-09,6.66541463322448e-08,7.01041766160261e-17,1.92786485694072e-16,"RNA degradation"
"path:ecp00240",50,"Down",7.62639463792711e-09,1.84558750237836e-07,4.13394450793942e-32,5.55785872734077e-31,"Pyrimidine metabolism"
"path:ecp02020",159,"Up",2.16312519550304e-08,4.36230247759781e-07,1.75542399770549e-36,7.0802101240788e-35,"Two-component system"
"path:ecp03030",17,"Down",1.22862416217151e-07,2.12376462318218e-06,5.54849876567186e-09,1.03287438560969e-08,"DNA replication"
"path:ecp00230",77,"Down",3.1781238225741e-07,4.80691228164332e-06,5.69335272257785e-21,1.96827336980549e-20,"Purine metabolism"
"path:ecp03070",56,"Down",1.2910337421396e-06,1.46254568843822e-05,2.69484033307199e-26,1.63037840150856e-25,"Bacterial secretion system"
"path:ecp00670",13,"Down",1.3118949054633e-06,1.46254568843822e-05,3.17673267913567e-11,6.51499413856637e-11,"One carbon pool by folate"
"path:ecp00633",7,"Up",1.32958698948929e-06,1.46254568843822e-05,6.17814495511853e-06,1.01021018860722e-05,"Nitrotoluene degradation"
"path:ecp00250",31,"Down",3.9253288316435e-06,3.57350984698129e-05,1.53022162670375e-25,7.71486736796474e-25,"Alanine, aspartate and glutamate metabolism"
"path:ecp00790",26,"Down",3.99988551817934e-06,3.57350984698129e-05,5.44364854213462e-24,2.27131542620099e-23,"Folate biosynthesis"
"path:ecp01240",143,"Down",4.13463949237504e-06,3.57350984698129e-05,1.30972631979086e-27,9.90480529341841e-27,"Biosynthesis of cofactors"
"path:ecp00460",7,"Down",7.79004579469085e-06,6.28397027438395e-05,3.64782084242044e-06,6.04638797168319e-06,"Cyanoamino acid metabolism"
"path:ecp03430",22,"Down",9.17704670664858e-06,6.94014157190299e-05,3.05660283369536e-13,7.39697885754278e-13,"Mismatch repair"
"path:ecp03020",4,"Down",1.00607098981775e-05,7.16085822164397e-05,0.109429409203272,0.133747055692889,"RNA polymerase"
"path:ecp02026",49,"Up",1.50310272803369e-05,9.9332121650894e-05,9.32880785849818e-30,8.6829673144483e-29,"Biofilm formation - Escherichia coli"
"path:ecp04122",18,"Down",1.5597605879066e-05,9.9332121650894e-05,4.83232145863735e-18,1.4617772412378e-17,"Sulfur relay system"
"path:ecp00130",21,"Down",1.72169689225489e-05,0.000104162661981421,8.45412832641644e-13,2.00578338724782e-12,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp00970",25,"Down",2.16993872811171e-05,0.000125029802905484,2.1816800311194e-10,4.2577948994427e-10,"Aminoacyl-tRNA biosynthesis"
"path:ecp00650",32,"Up",3.32916974448845e-05,0.000183104335946865,1.35821974239565e-24,5.8694496010669e-24,"Butanoate metabolism"
