"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",1.2909991132621e-16,1.56210892704714e-14,4.70449505540807e-24,2.84621950852188e-23,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp02026",49,"Up",1.37760811233788e-12,8.3345290796442e-11,1.95124197182705e-31,7.87000928636908e-30,"Biofilm formation - Escherichia coli"
"path:ecp02020",159,"Up",2.14251147697775e-12,8.64146295714358e-11,1.92521675380521e-34,2.32951227210431e-32,"Two-component system"
"path:ecp02030",20,"Up",3.38916055981862e-12,1.02522106934513e-10,7.54167388800003e-14,1.62954025080001e-13,"Bacterial chemotaxis"
"PhoPQ",11,"Up",1.52077179128551e-11,3.68026773491092e-10,2.19384816787485e-08,3.49283721464286e-08,"PhoPQ"
"path:ecp00290",16,"Up",7.76898006255233e-11,1.56674431261472e-09,2.52290010703693e-09,4.12528260745227e-09,"Valine, leucine and isoleucine biosynthesis"
"path:ecp03020",4,"Down",1.02651323067018e-10,1.77440144158703e-09,0.0307132219425022,0.0391189458425555,"RNA polymerase"
"path:ecp03030",17,"Down",1.60153318209351e-10,2.42231893791643e-09,3.9574869845746e-12,7.85009713333649e-12,"DNA replication"
"path:ecp00660",12,"Up",1.98704545892526e-10,2.67147222811063e-09,4.42817498150239e-07,6.78239459192139e-07,"C5-Branched dibasic acid metabolism"
"path:ecp03018",17,"Down",3.08823189006183e-10,3.63295429499617e-09,2.61568028011079e-15,6.07462154275739e-15,"RNA degradation"
"path:ecp01210",26,"Up",3.30268572272379e-10,3.63295429499617e-09,1.67642114729757e-15,3.97739134947071e-15,"2-Oxocarboxylic acid metabolism"
"path:ecp00240",50,"Down",4.93715215050115e-10,4.97829508508866e-09,1.06256478539679e-20,3.78148055979447e-20,"Pyrimidine metabolism"
"path:ecp03010",55,"Down",2.0362318157756e-09,1.89526192083729e-08,2.01839476323462e-11,3.87659946589506e-11,"Ribosome"
"path:ecp03430",22,"Down",2.59272490015653e-09,2.24085509227814e-08,8.02301733037044e-19,2.36776852920689e-18,"Mismatch repair"
"path:ecp00790",26,"Down",4.64020052517826e-09,3.74309509031047e-08,6.16341002210317e-26,7.45772612674483e-25,"Folate biosynthesis"
"path:ecp03070",56,"Down",7.90919730069572e-09,5.98133045865114e-08,1.00563069565447e-32,6.08406570870952e-31,"Bacterial secretion system"
"path:ecp00230",77,"Down",8.99756072441226e-09,6.4041461626699e-08,2.7835821708733e-20,8.63624211988895e-20,"Purine metabolism"
"path:ecp02024",57,"Up",1.55104149759799e-08,9.63247187023772e-08,1.47189179397526e-20,4.68681334397385e-20,"Quorum sensing"
"path:ecp00650",32,"Up",1.58807867852579e-08,9.63247187023772e-08,3.70223471894709e-26,4.97744889991776e-25,"Butanoate metabolism"
"path:ecp00970",25,"Down",1.59214411078309e-08,9.63247187023772e-08,1.11612465077236e-13,2.36931724111325e-13,"Aminoacyl-tRNA biosynthesis"
"path:ecp03440",27,"Down",1.98052560318567e-08,1.14115999040698e-07,1.4643562471244e-20,4.68681334397385e-20,"Homologous recombination"
"path:ecp01501",21,"Up",5.8176404511358e-07,3.10637690869282e-06,3.73316049633633e-21,1.36882551532332e-20,"beta-Lactam resistance"
"path:ecp00053",19,"Up",5.90468338015991e-07,3.10637690869282e-06,3.33446305418886e-15,7.33581871921549e-15,"Ascorbate and aldarate metabolism"
"path:ecp00480",24,"Up",1.49305917155879e-06,7.52750665660888e-06,1.08206922256622e-22,4.84927318261156e-22,"Glutathione metabolism"
"path:ecp00680",33,"Down",1.65207136971902e-06,7.99602542944004e-06,5.39010395246426e-19,1.63050644562044e-18,"Methane metabolism"
"path:ecp00020",34,"Up",2.29745248436206e-06,1.06919904079927e-05,9.02344625389822e-25,6.82398122951053e-24,"Citrate cycle (TCA cycle)"
"path:ecp03060",18,"Down",2.61129653301099e-06,1.17024770553456e-05,3.34158538378112e-10,5.85988161503646e-10,"Protein export"
"path:ecp00670",13,"Down",3.34374592009083e-06,1.44497591546782e-05,5.08476101624322e-10,8.6655786333159e-10,"One carbon pool by folate"
"path:ecp00430",6,"Down",4.71892371006823e-06,1.96893023764916e-05,0.00273339924766952,0.00359501422791317,"Taurine and hypotaurine metabolism"
"path:ecp00500",41,"Up",7.99063548560703e-06,3.2228896458615e-05,2.10068580225106e-16,5.29547879317454e-16,"Starch and sucrose metabolism"
"path:ecp00770",24,"Up",1.20872847956213e-05,4.71794019441992e-05,1.46557121175226e-17,3.94075814715607e-17,"Pantothenate and CoA biosynthesis"
