"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",5.30172747759372e-16,6.4150902478884e-14,1.10750349895168e-25,5.58366347388138e-25,"Cationic antimicrobial peptide (CAMP) resistance"
"PhoPQ",11,"Up",5.00204324144633e-12,3.02623616107503e-10,3.9816521743636e-08,6.59972483695884e-08,"PhoPQ"
"path:ecp00970",25,"Down",4.12685625344782e-11,1.66449868889062e-09,5.05846504929069e-17,1.36016504658705e-16,"Aminoacyl-tRNA biosynthesis"
"path:ecp00230",77,"Down",1.08972118450442e-09,3.08174871098087e-08,3.25312075490059e-20,1.03586213511308e-19,"Purine metabolism"
"path:ecp00240",50,"Down",1.27344988057061e-09,3.08174871098087e-08,1.0739360265595e-22,4.33154197378996e-22,"Pyrimidine metabolism"
"path:ecp03030",17,"Down",2.04393654238099e-09,4.12193869380166e-08,6.81991798059666e-10,1.26955396254184e-09,"DNA replication"
"path:ecp03070",56,"Down",2.50982408541297e-09,4.33841020478528e-08,5.42194971712708e-26,2.87185017326651e-25,"Bacterial secretion system"
"path:ecp02020",159,"Up",2.93199865179336e-09,4.43464796083746e-08,9.78411759274651e-36,1.18387822872233e-33,"Two-component system"
"path:ecp00650",32,"Up",3.61849286334539e-09,4.86486262738658e-08,5.64651503795538e-30,1.13871386598767e-28,"Butanoate metabolism"
"path:ecp03018",17,"Down",9.33654911670767e-09,1.12972244312163e-07,3.84764934536061e-14,8.78425605261574e-14,"RNA degradation"
"path:ecp00020",34,"Up",1.0334556618109e-08,1.13680122799199e-07,2.22567730780583e-24,1.03579597786348e-23,"Citrate cycle (TCA cycle)"
"path:ecp00290",16,"Up",1.45994375749306e-08,1.47210995547217e-07,1.41964793333588e-08,2.48952753527016e-08,"Valine, leucine and isoleucine biosynthesis"
"path:ecp03440",27,"Down",1.64069622947918e-08,1.52710956743832e-07,9.96611443925327e-16,2.46102009622377e-15,"Homologous recombination"
"path:ecp00660",12,"Up",2.32183514804607e-08,1.97373364872214e-07,2.52198907808915e-06,3.91231639036906e-06,"C5-Branched dibasic acid metabolism"
"path:ecp00330",22,"Down",2.446777250482e-08,1.97373364872214e-07,1.05746326908055e-22,4.33154197378996e-22,"Arginine and proline metabolism"
"path:ecp03020",4,"Down",3.4802472766107e-08,2.63193700293684e-07,0.0586169257195205,0.0723739593067549,"RNA polymerase"
"path:ecp00790",26,"Down",6.07126372839409e-08,4.32131124197462e-07,6.27201429603315e-24,2.81079159192597e-23,"Folate biosynthesis"
"path:ecp00670",13,"Down",6.63806110919045e-08,4.46225219006691e-07,1.14868455734268e-09,2.10592168846157e-09,"One carbon pool by folate"
"path:ecp02026",49,"Up",7.1220217454915e-08,4.52453874781849e-07,9.07069661754539e-30,1.37194286340374e-28,"Biofilm formation - Escherichia coli"
"path:ecp00633",7,"Up",7.47857644267519e-08,4.52453874781849e-07,3.27749101739458e-06,5.01995459626259e-06,"Nitrotoluene degradation"
"path:ecp01210",26,"Up",9.72676137679002e-08,5.60446726948378e-07,4.53949351382679e-15,1.07701708857459e-14,"2-Oxocarboxylic acid metabolism"
"path:ecp00250",31,"Down",1.8615285096087e-07,1.02384068028479e-06,9.79984271546468e-27,6.97518216806604e-26,"Alanine, aspartate and glutamate metabolism"
"path:ecp01501",21,"Up",2.31884897658961e-07,1.19150127120083e-06,5.66084930592383e-20,1.75631478465842e-19,"beta-Lactam resistance"
"path:ecp03430",22,"Down",2.36330830651403e-07,1.19150127120083e-06,3.17593891518272e-16,8.1763533773853e-16,"Mismatch repair"
"path:ecp00541",19,"Down",9.04048101423856e-07,4.33564349529756e-06,8.02265198447724e-19,2.36766070761402e-18,"O-Antigen nucleotide sugar biosynthesis"
"path:ecp01240",143,"Down",9.31625875022617e-07,4.33564349529756e-06,4.17325338885097e-26,2.40458885738556e-25,"Biosynthesis of cofactors"
"path:ecp01250",49,"Down",9.97748734452749e-07,4.47139247662158e-06,1.63382429899439e-27,1.41209100127373e-26,"Biosynthesis of nucleotide sugars"
"path:ecp03010",55,"Down",2.38417386106108e-06,1.03030370424425e-05,3.82602820851133e-09,6.80807960632164e-09,"Ribosome"
"path:ecp02024",57,"Up",3.17976167975359e-06,1.32672814913857e-05,1.76896591237987e-21,6.11556786851326e-21,"Quorum sensing"
"path:ecp00785",3,"Down",1.57141519685839e-05,6.33804129399549e-05,0.322636269312074,0.386524639472881,"Lipoic acid metabolism"
"path:ecp00401",4,"Down",1.89976590553894e-05,7.41521530871653e-05,0.572944965869088,0.666599431443842,"Novobiocin biosynthesis"
