"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",5.88283607212096e-15,7.11823164726636e-13,2.89950910610143e-25,1.40336240735309e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"PhoPQ",11,"Up",1.66560975222695e-10,1.0076939000973e-08,3.34049391495298e-08,6.03283229416881e-08,"PhoPQ"
"path:ecp02020",159,"Up",1.18280793459455e-09,4.77065866953134e-08,4.17831438772688e-37,2.52788020457476e-35,"Two-component system"
"path:ecp03070",56,"Down",1.7371862167946e-08,5.25498830580367e-07,8.62868864304889e-26,4.35029719087048e-25,"Bacterial secretion system"
"path:ecp00650",32,"Up",2.78949927881692e-08,6.75058825473695e-07,1.26798537342714e-26,7.67131150923421e-26,"Butanoate metabolism"
"path:ecp00620",61,"Up",6.10276475755455e-08,1.23072422610683e-06,4.19252945385481e-26,2.4156955424592e-25,"Pyruvate metabolism"
"path:ecp00020",34,"Up",8.71686761322331e-08,1.50677283028574e-06,4.39887817551844e-25,2.04717022783743e-24,"Citrate cycle (TCA cycle)"
"path:ecp03030",17,"Down",1.41561014660899e-07,2.1411103467461e-06,5.6540242558107e-08,9.91502804279848e-08,"DNA replication"
"path:ecp02026",49,"Up",1.65516420566459e-07,2.22527632094906e-06,8.63037972531037e-33,1.74045991127093e-31,"Biofilm formation - Escherichia coli"
"path:ecp00500",41,"Up",4.00836966018389e-07,4.8501272888225e-06,1.39633706216286e-17,4.56639958166773e-17,"Starch and sucrose metabolism"
"path:ecp00670",13,"Down",4.95305663142996e-07,5.44836229457296e-06,2.66887401576152e-09,5.12593263344674e-09,"One carbon pool by folate"
"path:ecp03018",17,"Down",5.54710775173237e-07,5.59333364966348e-06,3.76822805330492e-15,1.06036184755789e-14,"RNA degradation"
"path:ecp03430",22,"Down",7.38204198734342e-07,6.8709775420658e-06,2.07880244675919e-13,5.03070192115725e-13,"Mismatch repair"
"path:ecp00660",12,"Up",1.0758921287652e-06,9.29878197004212e-06,6.43152239340559e-06,1.02396606526589e-05,"C5-Branched dibasic acid metabolism"
"path:ecp02030",20,"Up",1.28580522692332e-06,1.03721621638482e-05,9.33138860117176e-10,1.88183003456964e-09,"Bacterial chemotaxis"
"path:ecp00480",24,"Up",1.79211718151304e-06,1.35528861851924e-05,3.33494776311594e-28,2.37369811374722e-27,"Glutathione metabolism"
"path:ecp03440",27,"Down",2.3826801025e-06,1.69590760236765e-05,1.4241202457146e-15,4.10282261265397e-15,"Homologous recombination"
"path:ecp00230",77,"Down",3.08567203032983e-06,2.07425730927728e-05,4.24428236661411e-21,1.55623686775851e-20,"Purine metabolism"
"path:ecp00630",41,"Up",4.15533535483375e-06,2.64629251544675e-05,3.18881080827289e-29,2.75604362715014e-28,"Glyoxylate and dicarboxylate metabolism"
"path:ecp00330",22,"Down",5.33485006695613e-06,3.22758429050846e-05,1.46577603877745e-22,5.72125486103458e-22,"Arginine and proline metabolism"
"path:ecp00290",16,"Up",9.58240048466866e-06,5.52128789830909e-05,2.35858376163943e-07,4.07698050226245e-07,"Valine, leucine and isoleucine biosynthesis"
"path:ecp00240",50,"Down",1.22650780534491e-05,6.74579292939701e-05,4.45502169339445e-26,2.45026193136695e-25,"Pyrimidine metabolism"
"path:ecp00970",25,"Down",1.36196593940868e-05,6.88534470925655e-05,7.33157914292431e-12,1.64281680795156e-11,"Aminoacyl-tRNA biosynthesis"
"path:ecp00053",19,"Up",1.39101295619775e-05,6.88534470925655e-05,9.21125671832333e-11,1.95537204020548e-10,"Ascorbate and aldarate metabolism"
"path:ecp00340",8,"Down",1.4225918820778e-05,6.88534470925655e-05,0.0161706709618535,0.0215016613888382,"Histidine metabolism"
"path:ecp00010",54,"Up",1.53176927050383e-05,7.12861852811398e-05,5.9894831418321e-30,6.03939550134737e-29,"Glycolysis / Gluconeogenesis"
"path:ecp00565",1,"Down",2.04733741673431e-05,9.17510471943894e-05,2.04733741673431e-05,3.17599778749809e-05,"Ether lipid metabolism"
"path:ecp01200",119,"Up",2.2380738994174e-05,9.6716764939109e-05,4.70288594630987e-31,7.11311499379368e-30,"Carbon metabolism"
"path:ecp00520",54,"Up",2.3831119141423e-05,9.94332902107649e-05,2.25503843118089e-24,1.01059129693662e-23,"Amino sugar and nucleotide sugar metabolism"
"path:ecp00790",26,"Down",2.76151038597568e-05,0.000111380918901019,1.82686705650072e-23,7.3683637945529e-23,"Folate biosynthesis"
"path:ecp00561",13,"Up",3.94796811832314e-05,0.000154098110424871,7.67204965819731e-07,1.28933056755816e-06,"Glycerolipid metabolism"
"path:ecp00401",4,"Down",6.57480716871186e-05,0.000248609896066917,0.492428263381138,0.584155096756056,"Novobiocin biosynthesis"
