"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp00240",50,"Down",2.2763408685819e-17,2.7543724509841e-15,7.69825161450795e-24,2.45128538251437e-23,"Pyrimidine metabolism"
"path:ecp00790",26,"Down",1.15974270495433e-16,7.01644336497368e-15,1.21533414902086e-24,4.32515976563307e-24,"Folate biosynthesis"
"path:ecp01240",143,"Down",7.75489004357389e-16,2.64944659650414e-14,6.27343136079957e-24,2.0515816071804e-23,"Biosynthesis of cofactors"
"path:ecp00030",35,"Down",8.75850114546822e-16,2.64944659650414e-14,1.36055331079313e-25,5.87953395021315e-25,"Pentose phosphate pathway"
"path:ecp00680",33,"Down",1.25403727643004e-15,2.9019444869964e-14,4.86104380353381e-25,1.83808218821122e-24,"Methane metabolism"
"path:ecp00970",25,"Down",1.43898073735359e-15,2.9019444869964e-14,3.79863013343256e-18,8.83912011817962e-18,"Aminoacyl-tRNA biosynthesis"
"path:ecp00670",13,"Down",2.13121886602304e-15,3.68396403983982e-14,3.73717720735679e-12,6.85149154682077e-12,"One carbon pool by folate"
"path:ecp00230",77,"Down",1.38519529636559e-14,2.09510788575295e-13,6.34890531342159e-22,1.74594896119094e-21,"Purine metabolism"
"path:ecp00010",54,"Down",8.61674906545257e-14,1.15847404102196e-12,9.31907837790441e-26,4.33695570664013e-25,"Glycolysis / Gluconeogenesis"
"path:ecp00400",22,"Down",1.0898231441166e-13,1.31868600438109e-12,6.00182377168251e-25,2.20066871628359e-24,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:ecp01503",37,"Up",3.12818967865109e-13,3.32846833783079e-12,1.712944852925e-24,5.75739797788679e-24,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp01110",355,"Down",3.3009603350388e-13,3.32846833783079e-12,1.40257762412224e-27,8.08151869137103e-27,"Biosynthesis of secondary metabolites"
"path:ecp00460",7,"Down",6.91450276764301e-13,6.4358064221908e-12,2.11529010527065e-06,3.04702503259225e-06,"Cyanoamino acid metabolism"
"path:ecp04122",18,"Down",8.73989733226849e-13,7.55376840860348e-12,1.51933029314037e-17,3.40442528648121e-17,"Sulfur relay system"
"path:ecp00750",10,"Down",1.0028645953821e-12,8.08977440274895e-12,3.79426250234295e-08,5.88597131773714e-08,"Vitamin B6 metabolism"
"path:ecp00480",24,"Down",1.33136658840012e-12,1.00684598247759e-11,1.35024109839594e-25,5.87953395021315e-25,"Glutathione metabolism"
"path:ecp00401",4,"Down",1.49763779987251e-12,1.06596572814455e-11,0.00661658659428162,0.0083396560198758,"Novobiocin biosynthesis"
"path:ecp00785",3,"Down",2.65903069800813e-12,1.78745952477213e-11,0.0652936110158984,0.0790052693292371,"Lipoic acid metabolism"
"path:ecp00250",31,"Down",3.30771118634112e-12,2.10648975551197e-11,1.90371499148572e-29,2.59792927036456e-28,"Alanine, aspartate and glutamate metabolism"
"path:ecp00130",21,"Down",4.04859746980802e-12,2.44940146923385e-11,4.78689987685759e-14,9.34217556612531e-14,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp01100",898,"Down",4.64114903048373e-12,2.60947791085037e-11,1.3858995930659e-27,8.08151869137103e-27,"Metabolic pathways"
"path:ecp01200",119,"Down",4.74450529245521e-12,2.60947791085037e-11,4.95828812681085e-28,3.33307146302285e-27,"Carbon metabolism"
"path:ecp01250",49,"Down",1.19343162635585e-11,6.27848812126336e-11,4.28901031681566e-25,1.67409757527321e-24,"Biosynthesis of nucleotide sugars"
"path:ecp01230",124,"Down",1.61052799387078e-11,8.11974530243186e-11,6.30494535047264e-29,7.6289838740719e-28,"Biosynthesis of amino acids"
"path:ecp00340",8,"Down",2.94179028734299e-11,1.423826499074e-10,0.000223484641866413,0.00029393088767213,"Histidine metabolism"
"path:ecp00053",19,"Up",4.68814140515249e-11,2.18178888470558e-10,1.85245536984219e-21,4.98104666113123e-21,"Ascorbate and aldarate metabolism"
"path:ecp00740",12,"Down",5.2632621365099e-11,2.35872117969518e-10,1.74336824806995e-09,2.7395786755385e-09,"Riboflavin metabolism"
"path:ecp00541",19,"Down",2.43336089326602e-10,1.05155952887567e-09,1.37652260088016e-17,3.14262706993394e-17,"O-Antigen nucleotide sugar biosynthesis"
"path:ecp03410",13,"Down",2.98614524145227e-10,1.24594335936457e-09,7.42693061557355e-11,1.26571634434422e-10,"Base excision repair"
"path:ecp00330",22,"Down",3.254511692862e-10,1.31265304945434e-09,5.81487932963598e-20,1.46583416434574e-19,"Arginine and proline metabolism"
"path:ecp00332",2,"Down",6.55298926482032e-10,2.55777968078471e-09,0.291199305260879,0.33240675411855,"Carbapenem biosynthesis"
"path:ecp03440",27,"Down",9.11995738056663e-10,3.44848388452676e-09,2.13960237309493e-18,5.07631151263699e-18,"Homologous recombination"
"path:ecp01040",3,"Down",1.14123608119621e-09,4.18453229771944e-09,0.139435717138703,0.167046750235476,"Biosynthesis of unsaturated fatty acids"
"path:ecp00260",39,"Down",1.75362434185978e-09,6.24083956955979e-09,8.31044590487807e-28,5.29244186573814e-27,"Glycine, serine and threonine metabolism"
"path:ecp00521",6,"Down",5.1780907565669e-09,1.79013994727027e-08,0.00021281746483467,0.000282977068626319,"Streptomycin biosynthesis"
